zvimbokoma 	D- 	8 	z 		zvimbokoma D- z 8 . Uku kurwa kunenge kuchiita vanhu vachikandana zvibhakera.
mhepo 	K- 	9 	z 		mhepo K- z 9 . Mhepo ndechinovhuvhuta chisingaonekwi. Kana kusina mhepo, mabarwe haarudziki zvakanaka. Mhepo idenda rinokonzera murwere kunzwa chando kana zvazvo kuchipisa. Pamusha panonzi papinda mhepo kana paita urwere kana zvimwe zvisinganzwisisike. Mhepo kapundu kakaomarara kanomera paganda remunhu.
mhereka 	KKD 	9 	z 		mhereka KKD z 9 . Mhereka ndezvinobviswa nababa, vachidzosera mwana wavo kumurume wake, mushure mekunge asununguka.
mherekamusana 	DDDDKK 	9 	z 		mherekamusana DDDDKK z 9 . Uyu mutambo wevana vadiki wavanotakurana vakapanana makotsi. Mherekamusana inodzidzisa vana kukura vakasimba.
mherekedzo 	KKKD 	9 	z 		mherekedzo KKKD z 9 . gupuro 5 .
mheremhere 	D- 	9 	z 		mheremhere D- z 9 . Urwu ruzha rwakanyanya.
mhereredzo 	KKKD 	9 	z 		mhereredzo KKKD z 9 . Aya magumiro anoita zvinhu zvisina kunyatsokwanira pane zvazvanga zvichinzi zviite.
mhesano 	D- 	9 	z 		mhesano D- z 9 . mharadzano 9 .
mhesero 	D- 	9 	z 		mhesero D- z 9 . Mhesero inzira yokutaura wakavanza chaicho chaicho chauri kuda kuburitsa.
mhesvamukono 	KKDKK 	9 	z 		mhesvamukono KKDKK z 9 . Uyu munhu, kazhinji mbwende, anokonzera kuti vamwe vanhu varwe.
mhetamakumbo 	D- 	9 	z 		mhetamakumbo D- z 9 . Uyu munhu ane urema hunokonzerwa nezvirwere zvinokonzerwa nekusadzivirirwa kwezvirwere zvevana vadiki. chirema 7 .
mheyapeya 	D- 	9 	z 		mheyapeya D- z 9 . Uku kutsveyama kana kunyangara kweimba, kana chigadzirwa, kana chimwewo chinhu.
mhidigari 	KKDK 	9 	z 		mhidigari mhidiga KKDK z 9 . Uku kumira kana kurara nemusoro, wozodonha kana kumira watarisa rimwe divi. Kumira nemusoro makumbo ari mudenga.
mhindo 	D- 	9 	z 		mhindo D- z 9 . Mhindo kusviba kunenge kwakaita kunze, kusina mwedzi kana nyenyedzi. zarima 5 .
mhingamupinyi 	K- 	9 	z 		mhingamupinyi K- z 9 . Ichi ndechinokanganisa zvinhu kuti zvisafambeØzvakanaka.
mhinganidzo 	KKKD 	9 	z 		mhinganidzo KKKD z 9 . Uyu mushonga wakaipa unoshandiswa kuti pfungwa dzemumwe dzivhiringike, agotadza kuita basa rake zvakanaka, sekutadza kunyora bvunzo. mhingamupinyi 7 .
mhingepinge 	KDKD 	9 	z 		mhingepinge KDKD z 9 . Uku kupindana-pindana nekumonerana-monerana kunowanikwa musango remiti, rine miti mirefu yakatsinhana. mhiyepiye 9 .
mhingo 	K- 	9 	z 		mhingo K- z 9 . Mhingo mushonga unopihwa munhu nen'anga kuti afambe nawo, kana kuisa pamusha pake, kudzinga vavengi pamwe nekuita kuti mishonga yavo ishaye basa. Mhingo idanda rinoshandiswa kuvhara pamusiwo wakaita sewetsapi.
mhinzamumba 	DDDK 	9 	z 		mhinzamumba DDDK z 9 . Iyi itsika yekuunza mudzimu wemhuri mumusha.
mhinzo 	D- 	9 	z 		mhinzo D- z 9 . Mhinzo mashoko ekutanga panhoroondo yenyaya. Mhinzo inzira inoita kuti panzvimbo pakwanisike kusvikwa. mhinzamumba 9 .
mhiramidzimu 	KKDKK 	9 	z 		mhiramidzimu KKDKK z 9 . Uyu munhu wechikuru anenge achitaura nekuchingamidza midzimu yemhuri panenge pachipirwa midzimu. Iyi imhuka yakaita semombe inourayiwa panenge pachipirwa mudzimu.
mhiribidi 	K- 	9 	z 		mhiribidi K- z 9 . Uku kurwisana nedambudziko rakasimba kuti ripere, sezvinoita mhuka inenge yapinda mumambure kana kuti yabatwa nemusungo.
mhirimo 	D- 	9 	z 		mhirimo D- z 9 . Mhirimo ihari huru inochengeterwa doro.
mhiripiri 	D- 	9 	z 		mhiripiri D- z 9 . Ichi chirimwa chakasvibira kana kutsvuka, chinoshandiswa kurunga muriwo kuti uvavire.
mhirizhonga 	D- 	9 	z 		mhirizhonga D- z 9 . Iyi imheremhere inoitwa nevanhu vanenge vakatsamwidzana. Mhirizhonga yanga iri mudhorobha yanga ichiitwa navadzidzi, vepayunivhesiti vachida kuti hurumende ivape mari yakawanda. manyongori 6 .
mhopiro 	DKD 	9 	z 		mhopiro DKD z 9 . Mhopiro kutaura kunoita munhu neruzha, akangwarisa.
mhora 	KD 	9 	z 		mhora KD z 9 . Mhora inamo inoitwa nenyuchi.
mhovha 	D- 	9 	z 		mhovha D- z 9 . Mhovha ibundo refu rinokura rakabatana, zvekuti nzvimbo yacho inenge ichinetsa kupinda.
mhukutu 	D- 	9 	z 		mhukutu D- z 9 . Mhukutu ivhu dzvuku rinowanikwa, kazhinji, mujinga memakomo. jihwo 5, jiho 5 .
mhundwa 	D- 	9 	z 		mhundwa D- z 9 . Mhundwa inzvimbo ine uswa hukuru netumiti tudiki, zvakabatana zvekusapindika. bvokocho 5 .
mhunga 	D- 	9 	z 		mhunga D- z 9 . Mhunga imbeu inobikiswa doro kana sadza, yakada kufanana nezviyo.
mhurusikopu 	DDKKK 	9 	z 		mhurusikopu mhurusikofu DDKKK z 9 . Idzi inguva dzemangwanani-ngwanani.
mhute 	DK 	9 	z 		mhute DK z 9 . Mhute tudonwe tudiki twemvura, tunenge turi mumhepo twakawanda, tuchikonzera kutsvetera nekusvibira kwekunze.
mhutiputi 	KDKD 	9 	z 		mhutiputi KDKD z 9 . Uku kurira kunenge kuchiita chibage kana chichikangwa.
mhuu 	K- 	9 	z 		mhuu K- z 9 . Mhuu rudzi rwesora rinoita mhodzi dzinonamira kana dzanzvenzverwa.
minisiparati 	KKDKDD 	9 	z 		minisiparati minisipara KKDKDD z 9 . menisiparati .
miriro 	D- 	9 	z 		miriro D- z 9 . Miriro itarisiro yekuti chimwe chinhu chiitike.
mondo 	K- 	9 	z 		mondo K- z 9 . Mondo pakati pezai pakaita yero. Mondo kudya kunotapira kunogadzirwa nemonga kana kuti dendende.
motsi 	DK 	9 	z 		motsi moshi DK z 9 . Motsi inhamba yekutanga. Tinoverenga nhamba tichiti motsi, piri, tatu. poshi 9 .
motsiro 	DKD 	9 	z 		motsiro DKD z 9 . Motsiro maverengerwo enhamba yekutanga nevana, pavanenge vachiverenga vachitamba mutambo wavo. Vana vanotamba vachiti motsiro - dhendere - wagara - mashango. . . . . . . poshiro 9 .
mumumu 	K- 	9 	z 		mumumu K- z 9 . chimumumu 7 .
muswewadepa 	DKKDD 	9 	z 		muswewadepa muswewademba DKKDD z 9 . Iyi ishiri ine besu rakareba, inodya mhodzi nekukandira mazai ayo mumadendere enjikenjike.
mutowegodo 	D- 	9 	z 		mutowegodo D- z 9 . Iyi ishiri ine huro nhema. chikweguru 7, tivagodo 9 .
mvanya 	KD 	9 	z 		mvanya KD z 9 . muchayiwa 3 .
mvengemvenge 	DKDD 	9 	z 		mvengemvenge DKDD z 9 . Ava vanhu kana zvinhu zvinenge zvakangosangana. Musangoita mvengemvenge, mirai vasikana kwavo, vakomana kwavo.
mvenyamvenya 	KDKD 	9 	z 		mvenyamvenya KDKD z 9 . Mvenyamvenya zvinhu zviri kuitwa nekukasira. chimbichimbi 7 .
mvi 	K 	9 	z 		mvi K z 9 . Mvi ivhudzi jena rinoita mumusoro memunhu, kazhinzi kana munhu akura.
mviromviro 	D- 	9 	z 		mviromviro D- z 9 . Aya mavambiro anoita chinhu. Mviromviro yehosha iyi kupisa kwemuviri.
mvongamvonga 	DKDD 	9 	z 		mvongamvonga DKDD z 9 . Panhu pane mvongamvonga panenge paine kutaura kukuru pasina kumira zvakanaka. Pabasa pedu pamuka mvongamvonga nhasi vanhu vachiramba mabasa nepamusaka pekuda kuwedzerwa mari. nyonganyonga 9 .
mvumo 	D- 	9 	z 		mvumo D- z 9 . Mvumo itendero kana kuti kubvumirwa kuita chimwe chinhu. Kana vana vangosvika makore gumi nematanhatu, vanenge vava nemvumo yekutyaira mota.
mwapwatirwa 	KKDK 	9 	z 		mwapwatirwa pwapwatira KKDK z 9 . Utwu tumitsetse twemasiriri akaoma, twunenge twuri pamuromo. mbovha 9 .
nama 	DK 	9 	z 		nama DK z 9 . Nama karudzi kemuti kanomera mumapani, kaine mashizha anokurungwa sederere.
ndakupuka 	DKDD 	9 	z 		ndakupuka DKDD z 9 . Uyu muriwo unenge sipinachi, unomera musango.
ndamo 	D- 	9 	z 		ndamo D- z 9 . namo 9 .
ndande 	D- 	9 	z 		ndande D- z 9 . Ndande imhando yemapfunde ane ruvara rutema. bandara 5 .
ndanga 	D- 	9 	z 		ndanga D- z 9 . bangano .
ndaramo 	D- 	9 	z 		ndaramo D- z 9 . Ndaramo kuva mupenyu kwenguva yakareba.
ndarauko 	KKKD 	9 	z 		ndarauko KKKD z 9 . Iyi inzvimbo isina kuvakirwa chinhu, yokuti vanhu vangarima kana kuitira rimwe basa.
ndare 	D- 	9 	z 		ndare D- z 9 . Ndare kupinga munhu nemakumbo kuti apunzike.
ndari 	DK 	9 	z 		ndari DK z 9 . Ndari idoro rokutengesa rinobikwa kumaruwa. ngome 9 .
ndarimana 	DKDD 	9 	z 		ndarimana DKDD z 9 . ndari 9 .
ndaudzo 	KKD 	9 	z 		ndaudzo KKD z 9 . Ndaudzo uwandu hwenhamba hunenge hwadarikidza uwandu hunenge huchidiwa. Ndakazopiwa madhora maviri, namai paita ndaudzo pahembe yandanga ndichitenga. muraudzo 3 .
ndaza 	DK 	9 	z 		ndaza DK z 9 . Ndaza chipfekwa chemumusoro chinopfekwa namambo.
ndebwa 	DK 	9 	z 		ndebwa DK z 9 . Ndebwa chinhu chiri kunze kwemutemo kana murau. mhosva 9 .
ndedzekero 	KKKD 	9 	z 		ndedzekero ndadzekerwa KKKD z 9 . Uyu mudziyo mudiki unenge une chinwiwa kana mvura yokuzadzisa mudziyo mukuru.
ndedzekerwa 	KKDK 	9 	z 		ndedzekerwa KKDK z 9 . ndedzekero .
ndefu 	DK 	9 	z 		ndefu DK z 9 . Iri izwi rinoshandiswa kureva chinhu chakareba. Atora nguva ndefu ari parunhare. -refu .
ndemo 	K- 	9 	z 		ndemo K- z 9 . ndemo kuramba kuita zvaunenge wanzi uite.
ndenene 	K- 	9 	z 		ndenene K- z 9 . Ndenene imhando yemhunga. Ndenene inharo dzinopedzwa nokurwa chete.
ndere 	DK 	9 	z 		ndere DK z 9 . Ndere munhu asingadi zvetsvina anogara akachena.
ndevo 	K- 	9 	z 		ndevo K- z 9 . Ndevo chinhu chakaipa chinenge chichipomerwa munhu kuti achiita. mhosva 9 .
ndikidza 	KKD 	9 	z 		ndikidza KKD z 9 . Ndikidza ivhu rakaita jecha asi rakasvibirira.
ndikishwa 	DKD 	9 	z 		ndikishwa DKD z 9 . ndikitwa .
ndikusi 	KKD 	9 	z 		ndikusi KKD z 9 . Ndikusi imhando yeshiri.
ndima 	DK 	9 	z 		ndima DK z 9 . Ndima chidimbu chemunda chinenge chatarirwa munhu kuti achirime kana kusakura ari oga. Ndima chikamu chezvakanyorwa, chinotanga nemutsetse mutsva, uye chinosimbirira kutsanangudza pfungwa imwe chete kana kuti pfungwa dzinoenderena. Ndima zvikamu zvezvitsauko zvemuBhaibheri.
ndimborimbo 	D- 	9 	z 		ndimborimbo D- z 9 . gurokuro 5 .
ndimo 	D- 	9 	z 		ndimo D- z 9 . Ndimo inzvimbo yokurima mbesa.
ndinde 	DK 	9 	z 		ndinde DK z 9 . Ndinde kusapera kwechinhu, sezvakaita urwere kana mvura inoramba ichinaya. Mvura yegore rino indinde, zvekuti kune maguta.
ndirwana 	KDK 	9 	z 		ndirwana KDK z 9 . Ndirwana kandiro kadiki kanowanzopakurirwa muriwo.
ndobwa 	DK 	9 	z 		ndobwa DK z 9 . hunda 9 .
ndodo 	DK 	9 	z 		ndodo DK z 9 . Ndodo rudzi rwenhanga rine madodzidodzi kunze kwaro, rinotapira chaizvo. mhenjerere 9 .
ndodyo 	DK 	9 	z 		ndodyo DK z 9 . Ndodyo kapisi kenyama kadiki.
ndondo 	D- 	9 	z 		ndondo D- z 9 . Ndondo idombo rekugadzirisa guyo.
ndondondo 	K- 	9 	z 		ndondondo K- z 9 . Kuti ndondondo kunyura-nyura kunoita chitube kana hove ichidyira. ndoi ndoi .
ndongamahwe 	D- 	9 	z 		ndongamahwe D- z 9 . Aya matambiro anoita vanhu pabira rekurova guva. pfudzatsoka 9 .
ndongorera 	K- 	9 	z 		ndongorera K- z 9 . Uhu ukosha husingaperi, hunopedzera vanhu mari nokurapisa murwere. Uhu upenyu hwekungotambura, sokugara munhu uchingotsvinyirwa kana kutukwa.
ndove 	D- 	9 	z 		ndove D- z 9 . Ndove itsvina inoitwa nemombe. disa 9 . Ndove ivhu nyoro rinenge razara mvura uye rinonyudza.
ndovero 	KKD 	9 	z 		ndovero KKD z 9 . Ndovera mudziyo unoshandiswa pakurovera zvinhu zvakaita sezvipikiri. nyundo 9, chikuvauro 9 .
ndudu 	KD 	9 	z 		ndudu KD z 9 . chikwepa 7 .
ndudza 	KD 	9 	z 		ndudza KD z 9 . twiza 9 .
ndudzo 	D- 	9 	z 		ndudzo D- z 9 . Ndudzo mushonga unoita kuti murwi asaurayiwa muhondo kana kuti asapfurwa nemabara.
ndudzu 	DK 	9 	z 		ndudzu DK z 9 . Ndudzu imba inochengeterwa zvirimwa zvinenge zvakohwewa, kupurwa kana kuchokonyorwa. hozi 9 .
nduru 	D- 	9 	z 		nduru D- z 9 . Nduru inzara yakakura.
ndwara 	DK 	9 	z 		ndwara DK z 9 . nzara 9 .
ndyavava 	D- 	9 	z 		ndyavava D- z 9 . Ndyavava idoro rinovava.
ndye 	D 	9 	z 		ndye D z 9 . Ndye ibudzi rinovava zvekuti haridyike. indye 9 .
ndyirendyire 	KDKD 	9 	z 		ndyirendyire KDKD z 9 . mesomeso 6 .
ndywavava 	DKD 	9 	z 		ndywavava DKD z 9 . Ndyavava idoro rinonetsa kunwa nokuti rinenge richivava.
nekiresi 	KDDD 	9 	z 		nekiresi KDDD z 9 . Ichi chishongo chinopfekwa muhuro.
nenedzero 	KKKD 	9 	z 		nenedzero KKKD z 9 . Nenedzero kupomerwa kunenge kuchiitwa mumwe munhu mhosva.
ngaangu 	KD 	9 	z 		ngaangu KD z 9 . Ngaangu kapuka kakada kufanana nembeva, kanonzi kane machende makuru chaizvo akanonzi kanofamba kachiita zvekuzvuva.
ngandini 	DKD 	9 	z 		ngandini DKD z 9 . Ngandini hwahwa hwakasimba uye hunopisa chaizvo, hwemumabhodhoro. Zvinonzi paakanwa ngandini asina kuizanganisa nezvimwewo zvinwiwa zvisingadhake, akakurura mabhurukwa pazvirango pazere vanhu, vanhu vakashaya pekutarisa.
ngandure 	DKD 	9 	z 		ngandure DKD z 9 . Ngandure idoro rinodhaka zvekuti dhu.
ngara 	D- 	9 	z 		ngara D- z 9 . muchekechera 3 . Ngara pamusoro pemuti. Ngara chinhu chinopfekwa mumusoro nashe wedunhu.
ngavi 	DK 	9 	z 		ngavi DK z 9 . Ngavi ishiri hombe nhema, inobhururuka ichienda mudenga-denga, inovaka dendere rayo ichishandisa tutsotso nokuripoteredza nezvinhu zvakaita samadhaka kana mamvemve. njerere 9 . ngavi imombe inenge yakachekwa kuitira kuti isakwanisa kuitisa mombe hadzi mwana. dhonza 5 .
ngazi 	DK 	9 	z 		ngazi gazi DK z 9 . ropa 5 .
ngege 	KD 	9 	z 		ngege KD z 9 . Ngege kutuhwina wakatarira mudenga.
ngezimana 	DKDD 	9 	z 		ngezimana DKDD z 9 . Iri ibhatani diki rehembe.
ngoi 	DK 	9 	z 		ngoi DK z 9 . mukosi 3 .
ngombo 	K- 	9 	z 		ngombo K- z 9 . Ngombo chikafu chinozvichengetera munhu achiziva nguva dzekuchidya, uye kuti chichazopera musure mamazuva mangani.
ngome 	DK 	9 	z 		ngome DK z 9 . ndari 9 .
ngonda 	D- 	9 	z 		ngonda D- z 9 . Ngonda chirwere chemapapu chinobata mombe.
ngororombe 	KKKD 	9 	z 		ngororombe KKKD z 9 . Uku kudzana muchitenderera, pachiridzwa kanyonge kana tserere.
ngosikazi 	KKDD 	9 	z 		ngosikazi KKDD z 9 . Iri izwi rinoshandiswa pakukudza munhukadzi. mambokadzi 1a .
ngoto 	K- 	9 	z 		ngoto K- z 9 . Ngoto hwahwa hunobikwa nevanhu mudzimba, hunotora mazuva anokwana vhiki kuti huibve.
ngura 	DK 	9 	z 		ngura DK z 9 . Ngura kutsvukuruka kunoitika pasimbi kana ichinge yagarisa panze, mumvura kana muvhu.
ngwadyangwadya 	DKDK 	9 	z 		ngwadyangwadya DKDK z 9 . Iri idoro rinomwiwa nemumhu anenge achitanga kuriravira kuti anzwe kana richinaka.
ngwendere 	D- 	9 	z 		ngwendere D- z 9 . Ngwendere idambudziko guru rinonetsa vanhu. Ngwendere ibopoto rakaoma kwazvo. Ngwendere munhu asinganeti kuita chimwe chinhu, chakaita sebasa rakawanda kana kuti kunonota vamwe.
ngwerewere 	K- 	9 	z 		ngwerewere K- z 9 . Ngwerewere upfu hwechibage hwakagayiwa hukaita uchenachena.
nhabvu 	DK 	9 	z 		nhabvu DK z 9 . Nhabvu mutambo unotambwa nezvikwata zviviri zvinenge zvichikwikwidzana kubanhira bhora mugedhi. Mutambo wenhabvu ndivo mutambo unonyanya kufarirwa navanhu munyika muno. bhora 5 .
nhafu 	DK 	9 	z 		nhafu DK z 9 . Nhafu mwoyo wokuda kudya woga usingapi vamwe. mandyo 6, makaro 6, mbayo 10, mukaha 3 .
nhakara 	D- 	9 	z 		nhakara D- z 9 . Nhakara usavi hunogadzirwa nokukanyira dovi mumvura inotonhora. tsanga 9 .
nhakari 	K- 	9 	z 		nhakari K- z 9 . nhakara 9 .
nhako 	K- 	9 	z 		nhako K- z 9 . Kana munhu achidyira nhako anenge achidya zvekusada kusiyira vamwe.
nhakura 	DDK 	9 	z 		nhakura DDK z 9 . mutakura 3 .
nhambarakishoni 	DDDKDD 	9 	z 		nhambarakishoni DDDKDD z 9 . Uyu mushonga unozorwa panenge pakazvimba kuti pakasike kupora.
nhambetambe 	KDKD 	9 	z 		nhambetambe KDKD z 9 . Kuita nhambetambe kufara muchinakidwa nezvinhu zvinozoguma zvakupinzai mumatambudziko.
nhamburiko 	D- 	9 	z 		nhamburiko D- z 9 . dambudziko 5 .
nhamburo 	D- 	9 	z 		nhamburo D- z 9 . Nhamburo kuva nepfungwa yekungotya zvese zvese, nezvisinganyatsotendeseki kuti zviriko. Nhamburo yangu kana ndichifamba musango ndeyamadzimudzangara.
nhambwe 	D- 	9 	z 		nhambwe D- z 9 . Nhambwe inguva yokubva pane imwe kuenda pane imwe. Panhambwe yandakupai munofanira kupedza kunyora basa randakupai. nharu 9 . Nhambwe mufambo mupfupi unofambika zviri nyore. Nhambwe inzvimbo iri pakati pegumbo rakatsika pasi, nepanozotsika rinenge rasumudzwa kana munhu achifamba.
nhamura 	DDK 	9 	z 		nhamura DDK z 9 . Nhamura imhodzi dzemuti wemu nhamura dzinodyiwa kana dzaoma.
nhanda 	D- 	9 	z 		nhanda D- z 9 . Nhanda kuneta kwemuviri nokuda kokuchembera, kana kuti kana munhu ambenge achirwara.
nhanda 	DK 	9 	z 		nhanda DK z 9 . Nhanda kamuti kanokura kachitandira nokumonera mimwe miti mikuru.
nhanda 	K- 	9 	z 		nhanda K- z 9 . hweva 9 .
nhandanda 	K- 	9 	z 		nhandanda K- z 9 . nhandare 9 .
nhando 	DK 	9 	z 		nhando DK z 9 . Nhando chinhu chisingakoshi kana kuti chisingapi mubairo. Ndaroverwa nhando nomudzidzisi, paandiona ndichiseka akafunga kuti ndanga ndichiseka iye.
nhangatanga 	DDKK 	9 	z 		nhangatanga DDKK z 9 . budzi 5 .
nhangemutange 	DKKDD 	9 	z 		nhangemutange DKKDD z 9 . Uku kukwikwidzana pakumhanya kana kuita chimwe chinhu, muchida kuona kuti anotanga kusvika kana kupedza ndiani.
nhanho 	D- 	9 	z 		nhanho nhano D- z 9 . Nhanho chinhambwe chinenge chiri pakati pepanenge pakatsika rimwe gumbo, kusvika panenge pachizotsika gumbo rechipiri kana munhu achifamba. munhasvu 3, .
nhapitapi 	KDKD 	9 	z 		nhapitapi KDKD z 9 . Uku kudya kunonaka zvikuru. Urwu rumbo kana kuti nyaya inonakidza.
nharara 	D- 	9 	z 		nharara D- z 9 . Nharara tumbuyu tunowanikwa mumuti wemutarara, tunoita weti inonhuhwa asi tuchidyiwa. nhara 9 .
nharidzano 	D- 	9 	z 		nharidzano D- z 9 . Iyi inzvimbo yekusanganirana inenge yakabvumiranwa.
nharirire 	DKDD 	9 	z 		nharirire DKDD z 9 . Uyu munhu kana mhuka inogara iri panzvimbo pakakwirira, yakatarisa vavengi. Makudo anenge aine nharirire pose paanenge ari, inoti ikaona muvengi yohomura kuudza mamwe kuti kwaipa.
nhata 	KD 	9 	z 		nhata KD z 9 . Nhata rudzi rwekapuka katema kanofamba kachisvetuka-svetuka, kanorarama nekunwa ropa rehuku kana dzimwewo mhuka dzinochengetwa pamba.
nhau 	DK 	9 	z 		nhau DK z 9 . Nhau inyaya yezvaitika, zvakaitika kana zvichaitika.
nhavani 	D- 	9 	z 		nhavani D- z 9 . bazi 5 .
nhedzi 	D- 	9 	z 		nhedzi D- z 9 . Nhedzi rudzi rwehohwa huchena, hunonaka zvikuru.
nheketero 	KKKD 	9 	z 		nheketero teketero KKKD z 9 . Uku kuwirirana kunoita mazwi kokupedzisira kwemutsara munhetembo.
nhemba 	D- 	9 	z 		nhemba D- z 9 . Nhemba mudziyo unokamirwa mukaka.
nhemba 	DK 	9 	z 		nhemba DK z 9 . demhe 5 .
nhemba 	KD 	9 	z 		nhemba KD z 9 . Nhemba kugona kana kuva nounyanzvi hokunanga ipo chaipo pauri kuda kupfura, kungava kupfura nepfuti kana kupotsera dombo nemaoko.
nhembayemwana 	DKKDK 	9 	z 		nhembayemwana DKKDK z 9 . Ichi chigunwe chinotevera kasiyanwa.
nhembedzerwa 	DKKD 	9 	z 		nhembedzerwa DKKD z 9 . Aka kamudziyo kaunobata neruoko wakarembedza, kaine mvura kana chimwewo chinhu mukati.
nheme 	DK 	9 	z 		nheme DK z 9 . Nheme kadimbu kedende kana tsanga, kanoiswa pachirauro kuti karatidze kana hove ichinge yabatwa. chituba 7 .
nhemera 	KKD 	9 	z 		nhemera KKD z 9 . Nhemera munda wanga usati wamborimwa, uri kutangisa kurimwa.
nhemurwa 	KDK 	9 	z 		nhemurwa KDK z 9 . nhemwa 9 .
nhenda 	K- 	9 	z 		nhenda denda K- z 9 . chirwere 7 .
nhendamurandu 	DDDKD 	9 	z 		nhendamurandu DDDKD z 9 . Uyu muripo unobhadharwa kudare nomunhu anenge abatwa nemhosva, achiratidza kuti abvuma mhosva yake.
nhendeshure 	DKDD 	9 	z 		nhendeshure DKDD z 9 . madudu 6 .
nhendesure 	DKDD 	9 	z 		nhendesure DKDD z 9 . madudu 6 .
nhengenyn'a 	D- 	9 	z 		nhengenyn'a nhengenya D- z 9 . Nhengenyn'a pamusorosoro pemuti.
nhengo 	D- 	9 	z 		nhengo D- z 9 . Nhengo chimwe chezvidimbu zvinovaka muviri wemunhu kana wemhuka. Musoro inhengo yemuviri. Nhengo ndemumwe wevanhu vari mubato kana sangano kana chita chimwe.
nhengwana 	DKK 	9 	z 		nhengwana DKK z 9 . Nhengwana rudzi rwetswanda diki pane dengu, asi yakakura kudarika dzimwe tswanda dzese.
nhepfutepfu 	KDKD 	9 	z 		nhepfutepfu KDKD z 9 . Apa panhu pakaita sepamubhedha, pakanyorovera kugara kana kurara.
nheputepu 	KKKD 	9 	z 		nheputepu KKKD z 9 . Uku kufamba kwekuenda kumativi, kana kuti kuzeya zeya. Apa panzvimbo panotepfenyurirwa mashoko anozobuda mumaredhiyo kana mumaterevhizhoni.
nheredzo 	D- 	9 	z 		nheredzo D- z 9 . Ichi chinwiwa kana nhapitapi inozotevera kudya, muchiseredzera zvamunenge madya.
nhesva 	D- 	9 	z 		nhesva D- z 9 . Nhesva kunzwa kusada kuenda kunhu kana kuita chinhu. Hwandiri kuita ubenzi chaihwo nokuti ndanga ndichifanirwa kuenda kubasa, asi ndaita nhesva.
nhetembo 	KKD 	9 	z 		nhetembo KKD z 9 . Nhetembo kutaura kunenge kuimba, kunoita munhu kana achitenda kana kukudza munhu anenge aita zvakanaka.
nhetembwa 	KDK 	9 	z 		nhetembwa KDK z 9 . Nhetembwa inhetembo dzokurumbidza.
nheterero 	KKKD 	9 	z 		nheterero KKKD z 9 . Ichi chichemo chinenge chiri chechokwadi, zvokuti anenge achiunza anenge achinyatsotsvaga rubatsiro.
nhetsameso 	K- 	9 	z 		nhetsameso K- z 9 . Uyu munhu, kunyanya mwana mudiki, anenge achiramba akatarisa munhu mukuru, asi kutarisa uku kusina ruremekedzo mukati.
nhetserwa 	KDK 	9 	z 		nhetserwa KDK z 9 . Nhetserwa kumuka mangwanani-ngwanani munhu achiita basa kana kuti achifamba rwendo. Ndichafumorova nhetserwa ndichienda kuchigayo.
nhetsutetsu 	KDKD 	9 	z 		nhetsutetsu KDKD z 9 . Uku kubuda kwezvinhu zvizhinji panguva imwe chete. Vana vechikoro vakati nhetsunhetsu kubuda mudzimba dzavanodzidzira, zvavainge vapedza zvidzidzo. Uku kuwanda kwemidziyo iri kututirwa kana kudzakiswa mumotokari, kana kuti inenge yakatakurwa. Uku kuwanda kwemichero pamuti umwe chete.
nhetswa 	KD 	9 	z 		nhetswa KD z 9 . Nhetswa kugerwa kwevhudzi rokupedzisira, riri muhuro kuzasi kwegotsi, kusvikira pasara pasisina vhudzi zvachose.
nheve 	D- 	9 	z 		nheve D- z 9 . nhanga 9 .
nhevedzano 	D- 	9 	z 		nhevedzano D- z 9 . Uku kutevedzana kwezviitiko.
nhevedzo 	D- 	9 	z 		nhevedzo D- z 9 . Nhevedzo imombe inourayiwa parufu rwemunhu mukuru.
nhika 	DK 	9 	z 		nhika DK z 9 . Nhika inzvimbo inowanikwa pakati pemakomo. dambo 5 .
nhikwi 	KD 	9 	z 		nhikwi KD z 9 . munhikwi 3 .
nhimburamitimwi 	KKKDKD 	9 	z 		nhimburamitimwi KKKDKD z 9 . Iyi inyaya kana chiitiko chinotyisa. zimi 5 .
nhimbwitimbwi 	DKDD 	9 	z 		nhimbwitimbwi DKDD z 9 . Ichi chikafu chinenge chakaita mvuramvura.
nhimura 	KKD 	9 	z 		nhimura KKD z 9 . Nhimura kutorwa kana kukamurwa kunoitwa zvipfuyo kuti zvinosara zviwane ufuro hwakakwana. Munyika ino makaita nhimura yakarwadza vanhu vatema vaiva nemombe dzakawanda, kubva mugore ra1951.
nhimuramuswe 	KKKDK 	9 	z 		nhimuramuswe KKKDK z 9 . Iyi yaiva nzira yaishandiswa nevarungu kuti vatapudze zvipfuyo zvevanhu vatema, apo vaidimbura miswe yedzimwe mombe kuti vagoziva kuti dzavachasiya padanga rimwe nerimwe ndedzipi.
nhimuramwaka 	KKKDK 	9 	z 		nhimuramwaka KKKDK z 9 . Iyi imvura inonaya pakupera kwechirimo.
nhindivadzi 	D- 	9 	z 		nhindivadzi D- z 9 . Uyu mushonga unozorwa unonyaradza marwadzo enyama yomuviri inenge ichirwadza.
nhingudzi 	KKD 	9 	z 		nhingudzi KKD z 9 . Nhingudzi idhiramhu diki.
nhiridziro 	D- 	9 	z 		nhiridziro D- z 9 . Iyi ihari yedoro yamunopuwa kwekutanga kuti mumwe dzimwe dzichizotevera.
