chaamai 	KDKD 	7 	z 		chaamai KDKD z 7 . Iri izwi rinoshandiswa kutaura kuti amai vomumwe vakaita, kana kuti vakaitirwa, zvinonyadzisa.
chiendero 	DDKK 	7 	z 		chiendero DDKK z 7 . Uku kureba kwenguva kubva pakaenda munhu. Chiendero chakaita baba kubasa havasati vadzoka.
chienzaniso 	D- 	7 	z 		chienzaniso D- z 7 . chiero 7 .
chiereso 	D- 	7 	z 		chiereso D- z 7 . chipimo 7 .
chiero 	D- 	7 	z 		chiero D- z 7 . Ichi chinhu chekupimisa nacho uwandu neuremu hwezvimwe zvinhu. chikero 7 .
chifafaidzo 	D- 	7 	z 		chifafaidzo D- z 7 . Uyu mudziyo une muromo une tumaburi tudiki twakawanda, unosevenzeswa kumwaya mvura kana mushonga yakaita semvura.
chifakawi 	DKKK 	7 	z 		chifakawi DKKK z 7 . Urwu rudzi rwechikwenzi chine mapazi akawanda, chisina hunde hombe. chinama 7, chitunguru 7 .
chifambiramo 	DKKKK 	7 	z 		chifambiramo DKKKK z 7 . Kuita zvinhu zvausina ruzivo nazvo rwakakwana. mafambiramo 6 .
chifanachembudzi 	DKDKDD 	7 	z 		chifanachembudzi DKDKDD z 7 . Urwu rudzi rwebundo rinomera nguva yemvura, rinovava kana ukarigunzva. mufanawembudzi 3 .
chifefe 	D- 	7 	z 		chifefe D- z 7 . Chifefe rudzi rwepfuti inobuda bara rimwe chete panguva.
chifemba 	DKK 	7 	z 		chifemba DKK z 7 . Chifemba idoro rinotanga kupiwa vanhu, kazhinji pahumwe. chikumura 7 .
chifemedza 	DKKD 	7 	z 		chifemedza DKKD z 7 . Uyu muti unotanda uchimonera pane umwe muti. Unogona kushandisa chifemedza kusungisa kana pasina makavi. muridza 3 .
chifemo 	D- 	7 	z 		chifemo D- z 7 . Chifemo kufema uchikasira zvinowanzoitwa neaneta.
chifendu 	DDK 	7 	z 		chifendu DDK z 7 . Chifendu upfu kana tukwande tudiki tunobva pahuni yatemwa. chitsetsu 7 .
chifengu 	DKD 	7 	z 		chifengu DKD z 7 . Chifengu ibadza guru.
chifeturo 	D- 	7 	z 		chifeturo D- z 7 . Aka kamudziyo kakabhafarara kane zvinenge zvitanda zvakareba zvinoshandiswa kupetura bvudzi. kamu 9 .
chifeturo 	DKKD 	7 	z 		chifeturo DKKD z 7 . Uyu mudziyo unoshandisira kukwenenzvera zvinoumbwa nevhu.
chifetya 	D- 	7 	z 		chifetya D- z 7 . Chifetya rudzi rwegonye rakaita sedora.
chifeve 	D- 	7 	z 		chifeve D- z 7 . Chifeve munhukadzi anorara navarume kuti apuwe mubhadharo. Ukarara nechifebe unogona kubata mukondombera. pfambi 9 .
chifidu 	DKD 	7 	z 		chifidu DKD z 7 . Chifidu munhu akanyarara asingatani kushatirwa.
chififa 	DKD 	7 	z 		chififa DKD z 7 . churu 7 .
chififiro 	DKKD 	7 	z 		chififiro DKKD z 7 . Umu ndimo munogayiwa chikafu chinenge chadyiwa nehuku. chihururu 7, chikanganwahama 7 .
chifingu 	DKD 	7 	z 		chifingu DKD z 7 . chifengu 7 .
chifinhwa 	DKD 	7 	z 		chifinhwa DKD z 7 . Chifinhwa itsika yokunyarara nokungoshatirwa pasina mhaka. chirudu 7 .
chifo 	DK 	7 	z 		chifo DK z 7 . Chifo kuita kwekurava pasina icho unonzwa.
chifofororo 	D- 	7 	z 		chifofororo D- z 7 . Ichi chimunhu chipfupi chikobvu chakasimba. Ukarohwa nechifofororo chemurume haumuki. chivhindikiti 7 .
chifokombo 	DDDK 	7 	z 		chifokombo DDDK z 7 . Iyi indiro yakakombera inowanzoisirwa muto.
chifombo 	DDK 	7 	z 		chifombo DDK z 7 . Chifombo munhu ane muturu mukuru, aine huma huru.
chiforimbo 	DDKD 	7 	z 		chiforimbo DDKD z 7 . Uku kunyengedza pakutenga kana kutengesera. Ukajairira kuita chiforimbo rimwe zuva uchasungwa.
chifudu 	DKD 	7 	z 		chifudu DKD z 7 . Chifudu munhu asingatani kupara mhosva.
chifufunurwa 	DKKDK 	7 	z 		chifufunurwa DKKDK z 7 . Ichi ndechinokwatuka, pangava paganda kana pamadziro akapendwa. fufunurwa 5 .
chifufuro 	D- 	7 	z 		chifufuro D- z 7 . Iyi ivharamuromo yaunopiwa nomunhu kuti usazomuchera pane zviri kunze kwemutemo zvaachazoita. chiwokomuhomwe 7 .
chifugiridzo 	DKKKD 	7 	z 		chifugiridzo DKKKD z 7 . Ichi ndechekupfeka chinosungirirwa muhuro asi chisina maoko. Nesi vakapfeka chifugiridzo manheru.
chifugo 	DKK 	7 	z 		chifugo DKK z 7 . Chifugo ndechekuvharidzira muviri, kunyanya pakuvata manheru.
chifukuwu 	DKKD 	7 	z 		chifukuwu DKKD z 7 . chifakawi 7 .
chifumba 	D- 	7 	z 		chifumba D- z 7 . Chifumba kukama mombe mhuru isingatendedzwi kunwa. Mombe dzamabhunu dzinokamwa chifumba. chivhumba 7 .
chifumbata 	D- 	7 	z 		chifumbata D- z 7 . Iyi imhunga inoita shanga diki dzakabatana.
chifume 	DKK 	7 	z 		chifume DKK z 7 . Chifume ibasa rinoshevedzerwa vamwe kuti riitwe mangwanani. Nhasi kumba kwanga kune chifume chokutema huni.
chifumi 	DKK 	7 	z 		chifumi DKK z 7 . Chifumi mangwanani-ngwanani zuva roda kubuda, pazuva rinenge richizotevera. Chifumi izuva rinenge richizotevera rimwe racho rinenge riri kutaurwa nezvaro.
chifumuro 	DKKD 	7 	z 		chifumuro DKKD z 7 . Uyu mushonga unodyiwa nomunhu kuitira kuti mishonga yakashata yevavengi isashanda paari.
chifundi 	DDK 	7 	z 		chifundi DDK z 7 . Chifundi imvura inobuda mumuviri kana munhu anyanya kupiswa kana kuti asevenzesa muviri wake zvine simba. dikita 5 .
chifundira 	DDDK 	7 	z 		chifundira DDDK z 7 . chifundi 7 .
chifundiso 	DKKD 	7 	z 		chifundiso DKKD z 7 . chidzidzo 7 .
chifundo 	DKD 	7 	z 		chifundo DKD z 7 . chidzidzo 7 .
chifundo 	DKK 	7 	z 		chifundo DKK z 7 . Chifundo chibundu chinoitika patambo nhete kana waisunga.
chifupidarikwa 	D- 	7 	z 		chifupidarikwa D- z 7 . Uyu munhu ane mhumhu mudiki. chipfupimuzera 7 .
chifureya 	DDKD 	7 	z 		chifureya DDKD z 7 . Iyi isiketi yakafara kuzasi kwayo.
chifurira 	DDKD 	7 	z 		chifurira DDKD z 7 . Aka kapuka kadiki, kane musoro mukuru, muswe murefu netumakumbo tune tupfupa, kasina mvere asi kaine tumapande, kakafanana nedzvinyu, kachinyanya kuoneka mumadziro emba.
chifurofuro 	DKKKK 	7 	z 		chifurofuro DKKKK z 7 . Iyi imhando yemurivo unoshandiswa sesipo, mushonga nekuuraya hove. Ukaisa chifurofuro mumvura hove dzinofa. chamutupatupa .
chifururo 	D- 	7 	z 		chifururo D- z 7 . Uyu munhu anonyanya kudisa kudya. berenzvere 5, mutare 3 .
chifutu 	D- 	7 	z 		chifutu D- z 7 . butwa 5 .
chifuva 	DKK 	7 	z 		chifuva DKK z 7 . Chifuva inhengo yemuviri iri pakati pedumbu nemutsipa iri mberi kwemuviri. diti 5, chipfuva 7 .
chifuzho 	DKK 	7 	z 		chifuzho DKK z 7 . Chifuzho idoro rinopiwa vanobvisa chibarwe pachinenge chakafanochengeterwa kuti chigoiswa mudura. Vanhu vanwa chifuzho vakadhakwa.
chiga 	D- 	7 	z 		chiga D- z 7 . Chiga chinhu chaunoita kuti chizokufungisa kuita izvo unofanirwa kuita panguva inotevera. chicherechedzeso 7 .
chigadairwa 	DKKDK 	7 	z 		chigadairwa DKKDK z 7 . Uyu munhu akasimba ari mupfupi, kazhinji ari musikana. chigagairwa 7 .
chigadzamapfihwa 	DDDDKD 	7 	z 		chigadzamapfihwa chigaramapfihwa DDDDKD z 7 . Iyi itsika yokupa mukuwasha mumwe mukadzi mushure mokunge mukadzi wake afa. Mwana wehanzvanzi kana munin'ina ndiye anogona kupiwa sechimutsamapfihwa. Uyu mukadzi wenhaka.
chigadzanhaka 	D- 	7 	z 		chigadzanhaka D- z 7 . Uyu munhu anenge achitungamirira panenge pachigarwa nhaka. Muzukuru mukuru ndiye anga ari chigadzanhaka.
chigadziko 	D- 	7 	z 		chigadziko D- z 7 . Apa pasi pehari pakasandara. Hari isina chigadziko inonetsa kusenga.
chigadzo 	D- 	7 	z 		chigadzo D- z 7 . Chigadzo chinzvimbo chinovakirwa mumba, chinoiswa zvikomba pamusoro zvokugadzika hari kuti dzisadonha. chigadziko 7 .
chigaga 	DKK 	7 	z 		chigaga DKK z 7 . chigadairwa 7 .
chigagai 	DKKD 	7 	z 		chigagai DKKD z 7 . Uyu munhu mupfupi, mukobvu, akasimba.
chigagairwa 	DKKKD 	7 	z 		chigagairwa DKKKD z 7 . chigadairwa .
chigakata 	DDDK 	7 	z 		chigakata DDDK z 7 . Aka kapuka katema kane makumbo matanhatu, kane mapapiro kanoruma neseri kwemusoro wako. dandaruma 5, rumanegotsi 5, chinengendere 7 .
chigama 	D- 	7 	z 		chigama D- z 7 . Chigama munhu anopindira nyaya dzisiri dzake, kana dzisina chekuita naye, uye idzo anonga asina kusumwa. chigamirapadenga 7 .
chigamba 	D- 	7 	z 		chigamba D- z 7 . Chigamba chijira chinosonerwa kuvhara panenge pabvaruka pahembe.
chigamha 	DDK 	7 	z 		chigamha DDK z 7 . gamha 5 .
chigamhi 	DDK 	7 	z 		chigamhi DDK z 7 . Chigamhi kusunga n'ombe munyanga nomugumbo kuitira kuti isakwanisa kufambisa, kunyanya kana iri njeni.
chigamhiso 	D- 	7 	z 		chigamhiso D- z 7 . Ichi ndechinoshandiswa kubata zvinhu kuti zvisadonha kana kutsvedza. Isa chigamhiso kuti majanga asadonha pamutanhu.
chigamirapadenga 	DDDDKD 	7 	z 		chigamirapadenga DDDDKD z 7 . chigama 7 .
chigan'a 	D- 	7 	z 		chigan'a D- z 7 . Chigan'a mashoko anotsamwisa. Ukataura chin'a uri pedo neni ndinokurova.
chiganga 	DKD 	7 	z 		chiganga DKD z 7 . Chiganga kuva nemwoyo wakaoomarara. Usaita chiganga samambo Ndyire.
chiganhira 	DKDK 	7 	z 		chiganhira DKDK z 7 . chidavirira 7 .
chigapu 	DDK 	7 	z 		chigapu DDK z 7 . Chigapu chihari chidiki chinobikiswa usavi. hadyana 9 .
chigaramajaha 	DDDDDK 	7 	z 		chigaramajaha DDDDDK z 7 . chigaravakwati 7 .
chigaraminhenga 	DDDDDK 	7 	z 		chigaraminhenga DDDDDK z 7 . Ichi chinyama chekupedzisira pamuviri wehuku, pari ipo panomera manhenga ebesu rehuku.
chigaramumba 	DDDDK 	7 	z 		chigaramumba DDDDK z 7 . Uyu munhu asingadi kubuda panze uye munhu asingadi zvekuita basa. nyope 9, shomvu 9 .
chigaramunhembe 	DDDDDK 	7 	z 		chigaramunhembe DDDDDK z 7 . Uyu munhu ane maitire anenge omunhukadzi.
chigaravakwati 	D- 	7 	z 		chigaravakwati D- z 7 . Iyi inzvimbo yakaumbwa nevhu kana nesemende mumba yokubikirwa, panogarwa kunyanya navanhurume.
chigare 	DDK 	7 	z 		chigare DDK z 7 . Chigare itsika yokupandukira vari padyo newe, vangaita vabereki, vaunoshandira, kana vamwewo.
chigarira 	DDKD 	7 	z 		chigarira DDKD z 7 . Aya maitiro okudzorera asi zvisina chimuko, kana warwiswa. Aya maitiro okurwisa zvine ugwara, usingadi kunatsonangana nemuvengi.
chigariro 	DDKK 	7 	z 		chigariro DDKK z 7 . Uku kuva nemaitiro anozikanwa kuti ndiwo agara ari ako kwenguva refu. Chigariro chake kugara achibatsira vanotambudzika.
chigaro 	D- 	7 	z 		chigaro D- z 7 . Chigaro mudziyo une makumbo nepekuzendama musana, iwe munhu wakazvigadzika pamusoro pawo. Chigaro chinzvimbo chaunenge unacho pabasa rimwewo sangano.
chigaugau 	DKDKD 	7 	z 		chigaugau DKDKD z 7 . Uyu munhu anonyanya kutaura asinganyarari.
chigayo 	D- 	7 	z 		chigayo D- z 7 . Chigayo muchini unoshandiswa kukuya mbesa kuita upfu.
chigebenga 	DDKD 	7 	z 		chigebenga DDKD z 7 . chigeven'a 7 .
chigero 	D- 	7 	z 		chigero D- z 7 . Chigero mudziyo une mapanga maviri anopesana unoshandiswa kudimburira vhudzi kana kucheka zvimwe zvinhu.
chigeven'a 	DDKD 	7 	z 		chigeven'a DDKD z 7 . Iyi imbwa inenge yapindwa nechirwere chinoonekwa yava kupengereka, uye chainokwanisa kupomera chero imwe mhuka yaingaruma. Chigeven'a munhu akaipa mwoyo zvokuti hazvimunetsi kuuraya kana kuita zvinhu zvoutsinye. chigebenga 7 .
chigezamusoronebwe 	DDDDKKDK 	7 	z 		chigezamusoronebwe DDDDKKDK z 7 . Uyu musikana anenge achionekwa seasingazivi zvokuzvishambidza zvinoenderana nenguva yacho. chitiburahuruva 7, chigezanemugovera 7, chigeza 7 .
chigidirigidiri 	D- 	7 	z 		chigidirigidiri D- z 7 . chidigidigi 7 .
chigiya 	D- 	7 	z 		chigiya D- z 7 . Chigiya ishasha yokutamba shangara.
chigodho 	D- 	7 	z 		chigodho D- z 7 . Chigodho ishamhu yakakora zvikuru.
chigodo 	DKK 	7 	z 		chigodo DKK z 7 . Chigodo ndezvakamandana kuita chitombo chakaomarara. Chigodo chidimbu chesipo.
chigodora 	D- 	7 	z 		chigodora D- z 7 . Chigodora chirwere chinobata mombe.
chigogodza 	DKKD 	7 	z 		chigogodza DKKD z 7 . hohodza 9 .
chigokan'anga 	D- 	7 	z 		chigokan'anga D- z 7 . Ichi chibhachi chinovharidzira chando zvikuru.
chigon'a 	DKD 	7 	z 		chigon'a DKD z 7 . Chigon'a mudziyo unenge usingapinzi.
chigon'o 	DKD 	7 	z 		chigon'o DKD z 7 . chigon'a 7 .
chigonamubhawa 	DDDDKD 	7 	z 		chigonamubhawa DDDDKD z 7 . Uyu munhu anofarira doro zvakapindiridza.
chigondero 	DKKD 	7 	z 		chigondero DKKD z 7 . Uyu munhu anoonekwa navanhu saiye mupari wemhosva nguva dzose.
chiguba 	D- 	7 	z 		chiguba D- z 7 . nhekwe 9 .
chigubhu 	DKD 	7 	z 		chigubhu DKD z 7 . Chigubhu mudziyo wakaita dende wakagadzirwa nepurasitiki.
chigudu 	DKD 	7 	z 		chigudu DKD z 7 . Chigudu chimedu chinenge chagurika kubva pane chimwe.
chigufe 	DDK 	7 	z 		chigufe DDK z 7 . Chigufe idamba rakabviswa mhodzi, riine mwena mudiki unofuridzwa,richirira sepembe.
chigumamandere 	D- 	7 	z 		chigumamandere D- z 7 . Uyu munhu anenge asina kunyatsa kungwara.
chigumaura 	DKKKD 	7 	z 		chigumaura DKKKD z 7 . rugotwe 11 .
chigumbu 	DDK 	7 	z 		chigumbu DDK z 7 . Chigumbu kuva nenyaya yakakutsamwisa, iyo inokurwadza, uye yausati waregerera akaiita. Ndine chigumbu nemukuwasha anogarorova mwana wangu.
chigumbukumbu 	DKKKK 	7 	z 		chigumbukumbu DKKKK z 7 . Uhwu hwowa hudiki hunenge husati hwapapa. humbukumbu 9 .
chigumegume 	DKDKD 	7 	z 		chigumegume DKDKD z 7 . Ichi chinhu chinoitwa chichibva chakasika kupera.
chigumura 	D- 	7 	z 		chigumura D- z 7 . Uku kubudiswa basa kwavashandi pakambani, zvichitevera kushaya mari kwayo kana kuti zvimwe zvinhu zvisisafambi. Nokusatengwa kwerudzi rwezvicherwa zvedu, pamugodhi pachaitwa chigumura.
chigumwe 	D- 	7 	z 		chigumwe D- z 7 . chigunwe 7 .
chigunwe 	D- 	7 	z 		chigunwe D- z 7 . Chigunwe chimwe chete chezvipatsanurwa zvishanu zviri kumberi kwetsoka kwakapatsanuka.
chigurameno 	DKKDK 	7 	z 		chigurameno DKKDK z 7 . Ichi chirwere chinoita kuti meno abude urwa kana ropa nechokumatadza, zvinozokonzera kuti adonhe.
chiguraura 	DKKKD 	7 	z 		chiguraura DKKKD z 7 . Ichi chana choutunga chinenge chakaita segonye, chinogara mumvura.
chigurawasakura 	DKDKDKD 	7 	z 		chigurawasakura DKDKDKD z 7 . Iri izita rorumwe rudzi rwenjiva ine vara dema muhuro.
chigure 	D- 	7 	z 		chigure D- z 7 . Chigure mutambo unotambwa navanhu vekuMalawi kana vokuZambia, kunyanya wavanotamba vakapfeka madhumbu uye vakazvivhara kumeso.
chiguro 	DKK 	7 	z 		chiguro DKK z 7 . Chiguro mutongo unopiwa munhu panopera kutongwa mhosva.
chigurufifa 	DDDKD 	7 	z 		chigurufifa DDDKD z 7 . Aka kachuru kadiki kanoitwa nemujuru, kazhinji mumapani.
chigurunhando 	DDKDK 	7 	z 		chigurunhando DDKDK z 7 . Iri izita rorumwe rudzi rwomuti une mashizha anobikwa kuita derere, iwo uchiwanzomera muvhu rine mabwe panguva dzezhizha.
chigurwa 	DKD 	7 	z 		chigurwa DKD z 7 . chimedu 7 .
chigusvani 	DDKD 	7 	z 		chigusvani DDKD z 7 . Ichi chidimbu chinosara kwanga kuchirumwa nako fodya kana munhu apedza kuputa mudzanga wefodya.
chigutsa 	DDK 	7 	z 		chigutsa DDK z 7 . Chigutsa chidzitsi chomuti chinosara pasi iwo watemwa. chitsiga 7 .
chiguvare 	D- 	7 	z 		chiguvare D- z 7 . Ichi chipuranga chinoiswa chakachinjika nechokumusoro panogadzirwa gonhi.
chiguyakuya 	DDDKK 	7 	z 		chiguyakuya DDDKK z 7 . chidhambakura 7 .
chigwadara 	D- 	7 	z 		chigwadara D- z 7 . Kana n'ombe yabatwa ne chigwadara inorwara zvakasimbisisa munguva pfupi ichibva yafa.
chigwagwagwa 	D- 	7 	z 		chigwagwagwa D- z 7 . Iyi ipfuti inoita mabara okurutsa achibuda akawanda achitevedzana nokukasika.
chigwangwandiro 	DDDKD 	7 	z 		chigwangwandiro DDDKD z 7 . Iyi indiro inenge yasakara.
chigware 	D- 	7 	z 		chigware D- z 7 . chikumbaridzo 7 .
chigwaukwau 	DKDKD/D- 	7 	z 		chigwaukwau DKDKD/D- z 7 . chidhambakura 7 .
chigwayambanje 	DDKDK 	7 	z 		chigwayambanje DDKDK z 7 . chikwayambanje 7 .
chigwe 	DK 	7 	z 		chigwe DK z 7 . Chigwe chimunhu chakura, chipfupi, chine nyama dzakaomarara.
chigwedu 	DKD 	7 	z 		chigwedu DKD z 7 . Chigwedu chidimbu chinenge chabviswa pane chimwe.
chigwedugwedu 	DKDKD 	7 	z 		chigwedugwedu DKDKD z 7 . chigwegwedu 7 .
chigwegwedu 	DKKD 	7 	z 		chigwegwedu DKKD z 7 . Uyu muchero wakaoma unosara mushure mokudyiwa neshiri.
chigwende 	D- 	7 	z 		chigwende D- z 7 . Chigwende mutevedzeri womumwe pabasa.
chigwenhure 	DDKD 	7 	z 		chigwenhure DDKD z 7 . gwenhure 5 .
chigwenjere 	DKDK 	7 	z 		chigwenjere DKDK z 7 . Aya matambiro okuti munhu anenge achigiya pasi nechitsitsinho.
chigweru 	DKD 	7 	z 		chigweru DKD z 7 . Chigweru izita rinoshandiswa kureva chero chokudya chakaomeswa, sezvakaita nyama yechimukuyu.
chigwesha 	DKD 	7 	z 		chigwesha DKD z 7 . Chigwesha munhu akaremara makumbo, anofamba achizvizvuva.
chigweve 	DKD 	7 	z 		chigweve DKD z 7 . chigwesha 7 .
chigweyakweya 	D- 	7 	z 		chigweyakweya D- z 7 . Izvi zvinhu zvinouya zvakatevedzana.
chigwimbu 	DKD 	7 	z 		chigwimbu DKD z 7 . chidimbu 7 .
chigwindiri 	DKKK 	7 	z 		chigwindiri DKKK z 7 . Uyu munhu ane muviri wakasimba.
chigwiri 	D- 	7 	z 		chigwiri D- z 7 . Chigwiri munhu ane mari zhinji kana kuti akapfuma. gwiri 5, njonda 9, huzvu 9 .
chihambakwe 	DKKD 	7 	z 		chihambakwe DKKD z 7 . Iri idutu ramatombo anoiswa panzvimbo imwe chete navaenzi vanouya munzvimbo, senzira yokuzivisa ueni hwavo kumidzimu yenzvimbo iyoyo.
chihara 	DDK 	7 	z 		chihara DDK z 7 . Chihara mwana wechibage anenge asati anyanya kukura.
chihekiheki 	DKDKD 	7 	z 		chihekiheki DKDKD z 7 . Uku kubatsirana kuita basa makawanda nokukasika.
chihepu 	DKD 	7 	z 		chihepu DKD z 7 . chihwepu 7 .
chihesvuro 	DKKD 	7 	z 		chihesvuro DKKD z 7 . Iyi imvumo inopuwa munhu kuti arege kubhadhara mutero.
chihodyo 	D- 	7 	z 		chihodyo D- z 7 . Chihodyo chitara chinovakirwa kuchengetera manhanga.
chihombiro 	DDKD 	7 	z 		chihombiro DDKD z 7 . Iri izita rorumwe rudzi rwehohwa.
chihomuhomu 	DKDKD 	7 	z 		chihomuhomu DKDKD z 7 . chipatapata 7 .
chihori 	DKD 	7 	z 		chihori DKD z 7 . chihuri 7 .
chihuduri 	DKKK 	7 	z 		chihuduri DKKK z 7 . Uyu munhu mupfupi mukobvu.
chihungunyemba 	DKKKD 	7 	z 		chihungunyemba DKKKD z 7 . Urwu rudzi rwenyemba inobereka vana vane mavaramavara.
chihuri 	DKD 	7 	z 		chihuri DKD z 7 . Chihuri chisimbi kana chimuti chinopfekera nechomukati kuti gonhi risazarurwa nokunze.
chihurududu 	D- 	7 	z 		chihurududu D- z 7 . Kana wakaita chihurududu unenge wakarukutika nokuda kwekusuwa.
chihururu 	D- 	7 	z 		chihururu D- z 7 . Umu ndomunogayiwa chikafu chinenge chadyiwa neshiri.
chihuta 	D- 	7 	z 		chihuta D- z 7 . Chihuta chishiri chidiki chinowanzoonekwa munguva dzezhizha, chisingagoni kubhururuka kuenda kure asi chichigona kumanya nomumauswa.
chihuyane 	D- 	7 	z 		chihuyane D- z 7 . Kuita chihuyane kunge munhu aine basa raari kunyatsoita zvinyoronyoro.
chihwai 	D- 	7 	z 		chihwai D- z 7 . Chihwai rudzi rwemhunga ine ruvara rwakajeka.
chihwanaudiki 	DDKDKD 	7 	z 		chihwanaudiki DDKDKD z 7 . Aya maiitire anoitwa zvinhu navana vadiki.
chihwandehwande 	DKDKD 	7 	z 		chihwandehwande DKDKD z 7 . Uyu mutambo wokuti mumwe munhu anohwanda vamwe vozotsvaka kuti ahwanda kupi.
chihwe 	D- 	7 	z 		chihwe D- z 7 . chishwe 7 .
chihwehwe 	DDK 	7 	z 		chihwehwe DDK z 7 . chihwenga 7 .
chihwenga 	DDK 	7 	z 		chihwenga DDK z 7 . Chihwenga rumwe rudzi rweshiri ine muromo wakakombama kumusoro, inokandirira mumhango nokudya michero nemhodzi, uye inobhuruka ichiita zvokuchimbidza. chihwehwe 7 .
chihwepu 	DKD 	7 	z 		chihwepu DKD z 7 . Chihwepu ishamhu ine kumberi kwakatetepa nokumubato kukobvu. shamhu 9 .
chihwepura 	DKDD 	7 	z 		chihwepura DKDD z 7 . chipunu 7 .
chihwerure 	DKDD 	7 	z 		chihwerure DKDD z 7 . Ichi chitemhe chakachekererwa, choboorwa maburi maviri anoiswa tambo nomukati, dzinozodhonzewa kunze mativi ose, wambomonya uchitambisa kuti vhiriri vhiriri. chivhiriri 7, chihoriro 7 . Iri ijee kana kuti musara kana kutsvinyirana kunoita vanhurume padoro, zvikurukuru pajakwara. Chihwerure hachiendi kumba.
chihwindikwindi 	D- 	7 	z 		chihwindikwindi D- z 7 . chivhindikiti 7 .
chihwitsi 	DKD 	7 	z 		chihwitsi DKD z 7 . Chihwitsi kagodo kezvimwe zvakasanganiswa neshuga kanowanzodyiwa munhu achiita zvokumunyungira.
chiitirwa 	DDKD 	7 	z 		chiitirwa DDKD z 7 . Iri izita rinodoma nyakuitirwa zvinenge zvichirehwa nechiito mumutsetse. Muchirevo chinoti,"Mwana arohwa neshamhu," izwi rokuti mwana ndiro chiitirwa.
chiito 	D- 	7 	z 		chiito D- z 7 . Chiito izita rorudzi rwemazwi anoshandiswa kuratidza chinhu chinoitwa kana kuti chinoitika.
chijakajiriri 	DDDKKK 	7 	z 		chijakajiriri DDDKKK z 7 . Uku kumira kungaitwa navanhu vakawanda vachiona chinhu chimwe. Vana vechikoro vakaita chijakajiriri vachiona bhora.
chijana 	D- 	7 	z 		chijana chijanha D- z 7 . Chijana inguva inombopuwa munhu kuti amboitawo vamwe vachizoteverawo, sezvakaita pakubatsirana basa. Nhasi chava chijana chakowo chokubika sadza nokuti ini ndakabika nezuro. dzoro 5 .
chijikitikwa 	DDKKD 	7 	z 		chijikitikwa DDKKD z 7 . Uyu musikana mudiki ari kuyaruka, ane utano hwakanaka.
chijonga 	D- 	7 	z 		chijonga D- z 7 . Chijonga rumwe rudzi rwederere rinowanzorimwa, mbesa yacho ichiita midzi inozokuyiwa yobikwa, iyo ichibereka vana vane tuminzwa twakakombama.
chijongwe 	DDK 	7 	z 		chijongwe DDK z 7 . Chijongwe ishiri hono yakati kurei.
chijumba 	D- 	7 	z 		chijumba D- z 7 . chiputwa 7 .
chikachikiro 	DKKKD 	7 	z 		chikachikiro DKKKD z 7 . chikirimbani 7 .
chikadaya 	D- 	7 	z 		chikadaya D- z 7 . Uyu mudziyo unoshandiswa kupimisa doro rinenge richitengeswa.
chikadyana 	DKDK 	7 	z 		chikadyana DKDK z 7 . hadyana 9 .
chikadzi 	DKK 	7 	z 		chikadzi DKK z 7 . Chikadzi maitiro evanhukadzi, kana kuti zvimwewo zvinhu zvinoshandiswa nevanhukadzi, sezvakaita midziyo. Nhai vamutengesi, bhegi iri nderechikadzi here?
chikadzimaha 	DKKDK 	7 	z 		chikadzimaha DKKDK z 7 . Urwu rudzi rwehwowa.
chikadzimhaka 	DKKKK 	7 	z 		chikadzimhaka DKKKK z 7 . chikadzimaha 7 .
chikafu 	DKD 	7 	z 		chikafu DKD z 7 . Chikafu ndezvose zvinodyiwa nevanhu kana nezvipfuyo.
chikafu mudhodha 	DKD DDD 	7 	z 		chikafu mudhodha DKD DDD z 7 . Iyi itsika yokuti munhu anozvitakurira chikafu achienda kubasa, sezvo pasina chokugoverwa.
chikahadziso 	D- 	7 	z 		chikahadziso D- z 7 . Ichi chinhu chinenge chichishamisa munhu wese.
chikahanwa 	DDDK 	7 	z 		chikahanwa DDDK z 7 . muchaiwa 3 .
chikahara 	D- 	7 	z 		chikahara D- z 7 . nhova 9 .
chikaka 	D- 	7 	z 		chikaka D- z 7 . Chikaka mukaka wakagwamba sounowanikwa mudumbu remhuka ichiri kuyamwa.
chikakarara 	D- 	7 	z 		chikakarara D- z 7 . Uyu munhu akasimba, anokwanisa kuita zvinhu zvinorema.
chikakaumbe 	D- 	7 	z 		chikakaumbe D- z 7 . chigwa 7 .
chikakera 	DKDD 	7 	z 		chikakera DKDD z 7 . Uku kubata chinhu zvakasimba zvokuti hachitsudunuki. Iyi isimbi inoshandiswa kukakisa waya kana dzimwe simbi. Tinokakisa waya nechikakera.
chiKalanga 	DDKD 	7 	z 		chiKalanga DDKD z 7 . Iri izita nemutauro werudzi rwevanhu vanogara kumatunhu okumavirira kwakadziya kuchamhembe kwaanaMberengwa, vanonzi makarekare vaimbova rumwe rwemarudzi evaShona.
chikamu 	DKD 	7 	z 		chikamu DKD z 7 . Chikamu kanzvimbo kana kuti kabande kanenge katsaurwa.
chikamuriso 	DKKKD 	7 	z 		chikamuriso DKKKD z 7 . Ichi chimudziyo chinoshandiswa kupangura zvinhu.
chikandira 	DDDK 	7 	z 		chikandira DDDK z 7 . Urwu rumwe rudzi rweduwo rinonyikwa mumvura kuteya hove.
chikandirwa 	DDKD 	7 	z 		chikandirwa DDKD z 7 . Uyu mushonga unouraya, unoshandiswa navaroyi kuteya vamwe. Akatsika chikandirwa, gumbo rake rikazvimba.
