chiuno 	DKK 	3 	z 		chiuno DKK z 3 . Chiuno inzvimbo yomuviri womunhu yakadzvinyingikira mukati, panobatana hudyu, dumbu nemusana. Chiuno chinobatsira kuti kana munhu apfeka bhurugwa risadonha. Chiuno itsika yomunhurume anenge achinyanya kuda kurara nevakadzi. Iwe shamwari, uchasiya watiparira mhosva, nechiuno chako ichocho.
mupembere 	DDDK 	3 	z 		mupembere DDDK z 3 . Uyu muti unoita mashizha akapfava, nekutanga kuita maruva usati waita mashizha aya. mugodo 3, mupakamabwe 3 .
mupendero 	D- 	3 	z 		mupendero D- z 3 . Uku kumucheto kwehembe kunenge kwakapfunyirwa mukati. mukombero 3 .
mupengo 	DKK 	3 	z 		mupengo DKK z 3 . Mupengo munhu anenge achirwara nechirwere chepfungwa. benzi 5 .
mupeni 	D- 	3 	z 		mupeni D- z 3 . Mupeni ibanga risingakoperwi, rinogara rakavhurika.
mupeta 	D- 	3 	z 		mupeta D- z 3 . Mupeta idoro rinobikwa kumusha.
mupeya 	DKD 	3 	z 		mupeya DKD z 3 . Mupeya muti unobereka michero inonzi mapeya.
mupfekerwa 	DDKD 	3 	z 		mupfekerwa DDKD z 3 . Mupfekerwa chibhakera chakasimba, chinoita zvekukwidzwa uchindorova munhu munyasi meshaya. Mutambo wetsiva wakazopera pakapuwa mumwe wacho chibhakera chemupfekerwa ndokuwira pasi, kwava kumbozorora akadaro.
mupfudze 	DKD 	3 	z 		mupfudze mufudze DKD z 3 . Mupfudze manyowa emombe anobva mundove yacho. mupfumbwe 3 .
mupfuhwira 	D- 	3 	z 		mupfuhwira mufuhwira D- z 3 . Uyu mushonga unonzi unoshandiswa nevadikanwi kukuchidzira rudo, kazhinji vanhukadzi vachiisira varume vavo muzvekudya kuti vavade zvikuru, vasazombotarisa vamwe vakadzi.
mupfukwa 	DDK 	3 	z 		mupfukwa DDK z 3 . Mupfukwa mushonga unonwiwa nemunhu, kuitira kuti kana akaurayiwa agomukira anenge amuuraya.
mupfumbo 	D- 	3 	z 		mupfumbo D- z 3 . Mupfumbo mushonga unoshandiswa nevaroyi kuti vakwanise kupinda mumba, muridzi wemba akakotsira.
mupfumbwe 	DKD 	3 	z 		mupfumbwe DKD z 3 . mupfudze 3 .
mupfumvumvu 	D- 	3 	z 		mupfumvumvu D- z 3 . Uku kuzarisa kunoita tswanda kana mugomo neupfu, kana chibage, kana zvimwewo.
mupfundo 	DKK 	3 	z 		mupfundo DKK z 3 . mararo 6 .
mupfunga 	DDK 	3 	z 		mupfunga DDK z 3 . Mupfunga ndezvingawire pasi zvakaita sezviyo kana mhunga kana chinhu chinenge chichiisirwa chazarisa. Madzimai akatora mupfunga paakatenga chibage.
mupfura 	DKD 	3 	z 		mupfura DKD z 3 . Mupfura muti unobereka mapfura unokura munzvimbo dzinopisa uye unovezwa ndiro, maturi nengoma.
mupfuta 	DKK 	3 	z 		mupfuta DKK z 3 . Mupfuta muti unomera wega kana kudyarwa, uchibereka vana vanonzi pfuta, vane mafuta anoshandiswa kuzorwa kana kurapisa. mufute 3 .
mupfuti 	D- 	3 	z 		mupfuti D- z 3 . Mupfuti muti unopfumvudza kana mvura yava kuda kunaya, unowanzosvuurwa makavi anosungiswa dzimba pakuvaka, kana kugadzirisa tambo.
mupichisi 	DKDD 	3 	z 		mupichisi DKDD z 3 . Uyu muti unobereka vana vanonzi mapichisi, vanodyiwa kana kugadziriswa jemhu. mupirichisi 3, mupirikisi 3 .
mupimbira 	DKKD 	3 	z 		mupimbira mupimbiri, mupambare DKKD z 3 . Apa pamberi pegumbo kubvira pabvi zvichidzika kutsoka.
mupimo 	D- 	3 	z 		mupimo D- z 3 . Mupimo chigaba kana chimwewo chinoshandiswa kuratidza kuwanda kwezvinhu. Pataitenga chibage, taishandisa mupimo wegogogo.
mupinyi 	DKK 	3 	z 		mupinyi mupinyu, mupini DKK z 3 . Mupinyi mubato webadza kana demo. Mbezo yangu yaenda kupi ndiveze mupinyi webadza raRimai.
mupira 	D- 	3 	z 		mupira D- z 3 . Mupira chidimbu chetayi chinoshandiswa kugadzirisa manyatera.
mupiro 	DKK 	3 	z 		mupiro DKK z 3 . Uyu munamato unopirwa kuna Mwari.
mupon'oro 	DKDD 	3 	z 		mupon'oro DKDD z 3 . Ichi chivakwa chitete chakarebenuka, chakaita semudhuri mutete ungavakwa uchikwira mudenga. Uyu mubato wepoto wakarebesa. Aka kumuromo kepfuti kunobuda namabara.
mupono 	D- 	3 	z 		mupono muponi D- z 3 . Mupono kamutsetse kanoitwa pabhurukwe rechirume, kana maoko ehembe, mushure mekunge zvaainwa.
mupopo 	DKD 	3 	z 		mupopo DKD z 3 . Mupopo muti unobereka michero mihombe inonzi mapopo, anoti kana aibva anenge ari eyero.
muposo 	D- 	3 	z 		muposo D- z 3 . Uyu mushonga unoteyeswa munhu nemuvengi, kuti kana asvika obva atanga kurwadziwa.
mupunga 	D- 	3 	z 		mupunga D- z 3 . Mupunga kudya kunorimwa mudimbwa, kunotswiwa muduri kusati kwabikwa kuti kuzodyiwa nemuriwo.
mupuno 	D- 	3 	z 		mupuno D- z 3 . Mupuno kamuti kanorimwa mubundo, kanoita vana vanoti kana vaibva vanenge vakatsvukirira, vanokangiswa muriwo. mudomasi 3, mutomati 3 .
mupuranga 	DDKD 	3 	z 		mupuranga DDKD z 3 . Uyu muti unoreba chaizvo wakarurama, unosimwa nevanhu kuti ugoshandiswa pamabasa akaita sekuvaka.
mupuro 	DKK 	3 	z 		mupuro DKK z 3 . Mupuro rwumuti rwunoshandiswa pakupura zviyo.
mupururu 	DKKK 	3 	z 		mupururu DKKK z 3 . Iyi imhere yekufara inoridzwa nemadzimai vachiratidza rufaro, ruremekedzo kana rutendo. mhururu 9 .
mupurwa 	DKD 	3 	z 		mupurwa DKD z 3 . Mupurwa rudzi rwezibuka rinenge zidzvinyu ziguru, rinogara pedyo nemvura, kazhinji. burwa 5, tsamba 9 .
murabaraba 	D- 	3 	z 		murabaraba murambaramba D- z 3 . Murabaraba chinhu chakareba chaizvo.
muradzwa 	DKD 	3 	z 		muradzwa DKD z 3 . munya 3 .
muraini 	DKDD 	3 	z 		muraini DKDD z 3 . Uku kurongeka kunenge kwakaita zvinhu zvichitevedzana. Chibage chakadyarwa chakaita muraini. mudungwe 3, mutsetse 3 . Umu munzvimbo munenge makagara vanhu vamwe. Muraini mekwaChimuti mune mbavha dzarura chaizvo.
murakatira 	D- 	3 	z 		murakatira D- z 3 . Uku kurara kana kudonha kunoita vanhu, kana chii zvacho, zvakawanda panguva imwe chete. Ndawana vana vakaita murakatira kurara kumba nenzara yanga yaruma.
murakwani 	D- 	3 	z 		murakwani murakani D- z 3 . Uyu mupfudze unoita kana mashizha emuti aora.
muramba 	DKK 	3 	z 		muramba DKK z 3 . Iyi ihove ine ganda rinotsvedzerera nemusoro mukuru wakapamhamhamha, inowanzogara mumadhaka kana nzvimbo ine mvura isina kudzika. ramba 5, mhatye 9, muhono 3 .
murambamhuru 	DKKDK 	3 	z 		murambamhuru mutambamhuru DKKDK z 3 . Uku kumhanya kunoita mombe yakasimudza muswe mudenga.
murandu 	DDK 	3 	z 		murandu DDK z 3 . Murandu imhosva kana zvikanganiso zvemunhu, kana zvaanonzi anokanganisa. mhaka 9 .
muranjisi 	DKDD 	3 	z 		muranjisi DKDD z 3 . Uyu muti unodyarwa, unogara uine mashizha manyoro mazuva ese, nekuita vana vakaurungana vanonzi maranjisi, vanogadziriswa zvinwiwa kana jemhu. muraranji 3 .
murapatira 	D- 	3 	z 		murapatira D- z 3 . Uku kumhanya kune mutinhimira mukuru unoenderana.
murara 	D- 	3 	z 		murara D- z 3 . Murara rudzi rwemuti une mashizha anorukiswa heti, kana tswanda nezvekuwaridza mumba.
murara 	DKD 	3 	z 		murara DKD z 3 . Murara uswa hunooma hworamba hwakangomira, rimwe bundo idzva diki richikura mukati maro. Murara itsenza dzinochengetwa kuti dzigoitwa mbeu panguva yekurimwa kwadzo inozotevera. Murara mutsetse kana gwapa jena rinenge riri paganda remhuka.
murarabungu 	DDDKK 	3 	z 		murarabungu DDDKK z 3 . Iri zibhandi rine mavara akawanda, rinotanda mudenga kana kuchipfunha.
murarama 	D- 	3 	z 		murarama D- z 3 . Uyu muti unoshandiswa kubata varoyi.
muraraunga 	DDDKK 	3 	z 		muraraunga DDDKK z 3 . murarabungu 3 .
murari 	DDK 	3 	z 		murari DDK z 3 . Murari zvinhu zvaunenge uchireva asi usingadi kubuda pachena. muzvambarara 3 .
muratu 	DKD 	3 	z 		muratu DKD z 3 . Muratu izambuko rinobatwa netambo dzesimbi dzinenge dzichibva mhiri nemhiri kwerwizi. mudhefudhefu 3 .
murau 	D- 	3 	z 		murau murao D- z 3 . mutemo 3 .
muravidzo 	D- 	3 	z 		muravidzo D- z 3 . Ichi ndechokudya kana chekunwa chishomanana chaunopiwa, kana uchida kunzwa kunaka kwazvingazoita zvawanda. Vanhu vazhinji vanoda kutanga vapiwa svidoro svomuravidzo, vasati vatenga doro racho. nzwisa 9 .
murayiro 	D- 	3 	z 		murayiro D- z 3 . Aya maitiro anotarwa anofanira kuchengetedzwa. mutemo 3, chirevo 7 .
murazvo 	DKD 	3 	z 		murazvo murazvu DKD z 3 . Murazvo moto unobvira uchikwira mudenga uchinge unotamba-tamba.
murehwa 	DKK 	3 	z 		murehwa murehwo DKK z 3 . Murehwa inhengo yenzou inotangira pahuma yakareba, inoshandiswa nenzou pakufema kana kuisa chekudya mumuromo mayo. musinga 3 .
muremani 	DKDD 	3 	z 		muremani DKDD z 3 . mundimu 3 .
muremberembe 	D- 	3 	z 		muremberembe D- z 3 . Uyu muti une vana vanorembera vari varefurefu. murumanyama 3, musatanyoko 3 .
muremwaremwa 	DKKKD 	3 	z 		muremwaremwa chiremwaremwa DKKKD z 3 . Aka kapuka kanokwanisa kubhururuka seshiri asi iko kaine mapapiro eganda, uye kaine muviri wakada kuita sekambeva.
murenda 	D- 	3 	z 		murenda D- z 3 . Murenda ishiri nhema inodya hwiza netumwe tumbuyu.
murengarenga 	D- 	3 	z 		murengarenga D- z 3 . Umu ndemuchadenga zvichikwira kuenda kumusorosoro.
murenje 	D- 	3 	z 		murenje D- z 3 . Murenje inhengo yetsoka inoshandiswa kutsika pasi. Murenje wangu wairwadza zvokuti ndikatsika pasi waibaya-baya. mukumbo 18 .
mureveso 	DKKD 	3 	z 		mureveso DKKD z 3 . Iri idoro rinopiwa baba vepamusha nemudzimai wavo, semucherechedzo wekuti doro ramirira kuti richinwiwa.
mureza 	DKD 	3 	z 		mureza DKD z 3 . Mureza ijira rinomirira nyika kana kambani kana zvimwewo, rinosungirirwa pabango kuratidzira nyika iyoyo kana kambani iyoyo. Wanga uchiziva here kuti ruvara rutsvuku rwuri pamureza weZimbabwe runomirira ropa remagamba rakadeuka munguva yehondo yerusununguko?
murezu murezu 	DKD+ 	3 	z 		murezu murezu DKD+ z 3 . Idzi inhumbi kana zvimwewo zvinenge zvisina kumira zvakanaka zvakarembera kana kupfumvunyuka.
muridzo 	DKD 	3 	z 		muridzo murudzi DKD z 3 . Muridzo kurira kunobuda nemumuromo kana munhu achifuridza mweya.
murikitira 	D- 	3 	z 		murikitira D- z 3 . Urwu ruzha runoitwa nezvinomhanya zvakaita semombe, kana sekuwa kunoita muchero waibva.
murimo 	D- 	3 	z 		murimo D- z 3 . Murimo mubairo wemabasa akaipa anenge achiitwa nemunhu. Ambuya vakagara vayambira kazukuru kavo kuti kutsva ndomurimo wemisikanzwa yekutamba nemoto. Murimo mabasa emaoko anoitwa senzira yekuzvivaraidza nayo, zvakafanana nekuruka tswanda.
murindi 	DDK 	3 	z 		murindi DDK z 3 . Murindi igomba guru rinochengeterwa mbambaira kana dzakohwewa. pfimbi 9 .
muringanyama 	DKKKD 	3 	z 		muringanyama DKKKD z 3 . Ichi chirwere chinobata mombe, chadzinozadzana.
muripo 	D- 	3 	z 		muripo D- z 3 . Iyi imari, kana chimwewo chinobviswa nemunhu, kutsiva mhosva yaanenge apara. Muripo imari kana chimwewo chingangobviswa nemunhu achitenga, mungave muchitoro kanawo paimwe nzvimbo.
murirakamwe 	DDDKK 	3 	z 		murirakamwe DDDKK z 3 . Iyi inguva inorira huku kekutanga usiku hwega hwega.
muriranyenze 	DDDKK 	3 	z 		muriranyenze muriranyenje DDDKK z 3 . Uyu muti unoita mashizha akaita denderedzwa, akanotsvukuruka pamativi, une midzi inogona kushandiswa kugadzira chitubwa dzepazviredzo. mubunguti 3 .
muriwo 	DKK 	3 	z 		muriwo DKK z 3 . Muriwo mashizha anodyiswa sadza kana zvimwewo, anorimwa nevanhu kana kumera ega. Muriwo kudya kwese kwakaita senyama, hove kana mashizha kunogona kudyiswa sadza.
muromo 	D- 	3 	z 		muromo D- z 3 . Muromo inhengo yemuviri inopinda nayo chikafu, uye ine mazino nerurimi mukati. Muromo wegejo kana badza ndiwo unotanga kupinda muvhu kana richirima. Kana munhu achinzi ane muromo anenge achidenha zvikuru.
muromodungo 	DDDKK 	3 	z 		muromodungo DDDKK z 3 . Uku kuzvimbisa muromo nehasha nenharo. Ukagoita muromodungo kudaro kunge une mwana wako waunogona kuranga, pano iwe mwana wazuro zvake.
muromopote 	DDDKD 	3 	z 		muromopote DDDKD z 3 . Iyi ihove inorema zvikuru.
muromoromo 	D- 	3 	z 		muromoromo D- z 3 . Uku ndekwekutanga-tanga kwechinhu.
muronga 	DDK 	3 	z 		muronga DDK z 3 . Muronga chikamu chemvura yerwizi inotsauka nekuerera payo yega. Muronga mabwe anoiswa murwizi akatevedzana, panotsikwa nevanhu vachiyambuka napo.
murongomuna 	D- 	3 	z 		murongomuna D- z 3 . Izvi zvinhu zvinenge zviri zvina. Uhwu urongwa hwezvinhu zviri mumapoka mana.
muroporopo 	D- 	3 	z 		muroporopo D- z 3 . Ichi chinhu chisisina kusimba, chaita mvura-mvura nekuti chaibvisa kana kuti chaora.
murori 	DDK 	3 	z 		murori DDK z 3 . Murori muromo wepfuti.
muroro 	DKD 	3 	z 		muroro DKD z 3 . Muroro kamuti kanowanzomera mumapani, kasingarebi, kanobereka maroro.
muroromera 	D- 	3 	z 		muroromera D- z 3 . Urwu ruzha runonzwikwa pazvinhu zvakawanda zvakabatana, sematiroko echitima. murororo 3 . Urwu ruzha runonzwikwa panenge pachivirima rimi guru remoto. murororo 3 .
murororo 	D- 	3 	z 		murororo D- z 3 . muroromera 3 .
murota 	D- 	3 	z 		murota D- z 3 . sipo 9 .
murotso 	DKK 	3 	z 		murotso DKK z 3 . Murotso mushonga unopiwa munhu kuti akwanise kurota zvinhu zvinomubatsira pane zvaanoda. Murotso mushonga unopiwa munhu kuti ataure akarara zvaasingadi kubudisa pachena akasvinura.
murove 	DDK 	3 	z 		murove DDK z 3 . Murove kuwandisa kwemvura inonaya, kunoita kuti minda izare nemvura inyudze, uye dzimba dzinyorove pasi nemadziro.
muruguru 	DKDK 	3 	z 		muruguru DKDK z 3 . Aka kamuti kane mashizha akasvibira, kane minzwa mipfupi, kanobereka vana vanobuda mukaka kana vari vambishi, vanozoibva vachiita vatema. mudzambara 3, mumbambara 3 .
muruka 	DDK 	3 	z 		muruka DDK z 3 . Muruka rudzi rwemuti unowanzowanikwa pedyo nenzizi, une midzi inoshandiswa kuruka tswanda. murarahumba 3 .
murundu 	DKK 	3 	z 		murundu DKK z 3 . Murundu iganda rinovhara mberi kwechinoitiswa weti nevanhurume. Murundu kuchecheudzwa nekubiswa kunoitwa ganda rinovhara mberi kwechinoitisa weti chemunhurume. Murundu inzvimbo inombogarwa nevachangoyaruka pavanenge vachichecheudzwa. Murundu inzvimbo diki inogona kuitirwa mitambo nevana vadiki.
murunganyama 	D- 	3 	z 		murunganyama D- z 3 . Uyu muti unogona kugadziriswa munyu kubva mauri. mugugudu 3, mushangizha 3 .
murururu 	DKKK 	3 	z 		murururu DKKK z 3 . Uyu mudungwe wezvinhu zvinenge zvakatsinhana, sechibage mumitsetse. mutototo 3 .
murwiti 	DKK 	3 	z 		murwiti DKK z 3 . Murwiti muti une minzwa, unokura munzvimbo dzinonaya mvura yakawanda. munhohwe 3, mumhingwe 3 .
musaka 	DKK 	3 	z 		musaka DKK z 3 . saka 5 .
musakasa 	D- 	3 	z 		musakasa D- z 3 . Iyi inzvimbo yekuhwanda zuva kana mvura inenge yakavakwa, kazhinji neuswa.
musakasaka 	D- 	3 	z 		musakasaka D- z 3 . Iyi imvura inonaya zvinyoronyoro.
musakazo 	D- 	3 	z 		musakazo D- z 3 . Uyu mumhanzi zienda nakuenda, rinongorira asi pasina kuimba.
musaku 	DKK 	3 	z 		musaku DKK z 3 . Musaku zvinhu zvakasiyana-siyana. Pane misaku nemisaku yevanhu pano pasi. rudzi 5, mhando 9 .
musambara 	DKKK 	3 	z 		musambara DKKK z 3 . Uku kureba kwakaita mhuka kubva pamhanza kusvika panoperera muswe wayo.
musambasi 	DDKK 	3 	z 		musambasi DDKK z 3 . mutsambatsi 3 .
musambo 	D- 	3 	z 		musambo D- z 3 . Musambo ibutwa rakaputirwa neuswa kana nemashizha. mushunje 3 . Musambo maitiro emumwe munhu, kazhinji anenge asina kunaka. Musambo wako wekufamba usiku, uchakupinza muna taisireva. magariro 6 . Musambo rudzi rwemhanzi. Zvino chiregai timbokuridzirai musambo werumba.
musana 	DKK 	3 	z 		musana DKK z 3 . Musana kuseri kwemuviri wemunhu kunobvira pakagumira huro kusvika panotangira magaro. mushapato 3 .
musananguro 	D- 	3 	z 		musananguro D- z 3 . Uku kuratidza divi rawakarerekera pamaonero nepamaitiro ezvinhu.
musandizeze 	DKKKD 	3 	z 		musandizeze DKKKD z 3 . Iyi ihembe yechikadzi pfupi, kana kuti inonjenjemera ichiratidza zviri mukati mayo.
musandusandu 	D- 	3 	z 		musandusandu D- z 3 . Uku kupinduka kwezvinhu iwe usingazvifungiri. Musandusandu yegore rino yandikonesa kunyatsoronga zvinhu zvangu zvakanaka.
musanga 	DKK 	3 	z 		musanga DKK z 3 . muchochororo 3 .
musangano 	D- 	3 	z 		musangano D- z 3 . Uku kuungana kunoita vanhu kana pane zvavanenge vachida kukurukura kana kuita. Iri iboka revanhu vanotova nhengo dzine urongwa nechisungo.
musara 	D- 	3 	z 		musara D- z 3 . Musara kutamba muchiita zvekutukana kana kutsvinyirana. jee 5, muyembe 3, muchohwe 3 .
musarasara 	D- 	3 	z 		musarasara D- z 3 . Urwu rudzi rwematombo akada kuita machena kana kutsvukuruka, anopenya iwo akaomarara. Aka kasaisai kadiki kanoonekwa mumvura.
musari 	DKD 	3 	z 		musari DKD z 3 . Musari zvinyamanyama zvinotsvedzerera, zvinobudirana pamwe nemhuru ichangozvarwa. bvuo 5, musana 3, mushapato 3 .
musaridzwa 	DKDK 	3 	z 		musaridzwa musariridzwa DKDK z 3 . Iri ibasa kana mari yemubhadharo inosaririra zvimwe zvose zvaitwa.
musarinya 	DDKD 	3 	z 		musarinya DDKD z 3 . Aya maitiro ane undururani mukati.
musaru 	DDK 	3 	z 		musaru DDK z 3 . mupani 3 .
musasa 	D- 	3 	z 		musasa D- z 3 . Musasa inzvimbo yekumbofanorara imba isati yapera kuvakwa. Musasa inzvimbo, yekugara kwenguva shoma, inovakwa nemasanzu kunze kwemusha.
musasa 	DDK 	3 	z 		musasa DDK z 3 . Musasa muti wakada kufanana nemunhondo, unosvuurwa makavi ekugadzirisa tambo, kana kuvakisa dzimba nekuvezwa mipinyi.
musavara 	DKKD 	3 	z 		musavara DKKD z 3 . Iri igunguwo rine pahuro pachena, rinowanzofamba riri mumapoka richitsvaga nyama nemazai. savara 9 .
musekesa 	DDKD 	3 	z 		musekesa DDKD z 3 . mutukutu 3 .
musemi 	DKK 	3 	z 		musemi DKK z 3 . mhandu 9 .
musemwasemwa 	DKDKD 	3 	z 		musemwasemwa DKDKD z 3 . Uyu muriwo unowanzomera pamunhuruka chete, une tumhodzi tutema twakada kuita setwetsunga. mujakari 3 .
musengwa 	DDK 	3 	z 		musengwa DDK z 3 . Musengwa zvinhu zvaunenge wakatakura zvichikuremera. mutoro 3 . Musengwa zvinhu zvinokuremera kuita kana kufunga nezvazvo. mutoro 3 .
museredzero 	D- 	3 	z 		museredzero D- z 3 . Utwu twunwiwa kana twudyiwa twunodyiwa mushure mekudya kukuru kwenguva iyoyo. Mazuva ese tapedza kudya sadza remanheru, amai vangu vanototi vabike tii yemuseredzero.
musero 	D- 	3 	z 		musero D- z 3 . rusero 11 .
museso 	D- 	3 	z 		museso D- z 3 . feso 5 .
museurwa 	DDKD 	3 	z 		museurwa DDKD z 3 . Museurwa munda mutsva uchangobva mukuparurwa nemapadza.
museve 	D- 	3 	z 		museve D- z 3 . Museve chombo chakareba nokutesvera mberi chinoti chikakandwa neuta chinogona kubaya chachinenge chichikandirwa, ingava mhuka kana munhu. Miseve ndezvese zvakareba zviri zvitete, semiseve yezuva kana yenungu. Museve munhu anenge achimhanya zvekushura mare. bara 5 .
musevenzo 	DKKD 	3 	z 		musevenzo DKKD z 3 . Iri ibasa raunogona kuita pamba, kana kuti uchishandira mumwe munhu. mushando 3, basa 5 .
musha 	DK 	3 	z 		musha DK z 3 . Musha inzvimbo ine dzimba dzinogara vanhu vemhuri imwe. Musha wedu uri kuMhondoro. Musha inzvimbo ine dzimba dzakawanda nevanhu vakasiyana-siyana. Harare musha mukuru.
mushaba 	D- 	3 	z 		mushaba D- z 3 . mudhombo 3 .
mushakata 	D- 	3 	z 		mushakata muchakata D- z 3 . muhacha 3 .
mushamba 	D- 	3 	z 		mushamba D- z 3 . mugan'acha 3 .
mushamba 	DDK 	3 	z 		mushamba DDK z 3 . Mushamba munhanga unorimwa uchiita manhanga anobikiswa nhopi, kana kupihwa nguruve dzinochengetwa mumusha kuti dzidye.
mushambaropa 	D- 	3 	z 		mushambaropa D- z 3 . mubvamaropa 3 .
mushambira 	DDDK 	3 	z 		mushambira DDDK z 3 . mutyaira 3 .
mushambwe 	D- 	3 	z 		mushambwe D- z 3 . chishambwe 7 .
mushamhu 	DDK 	3 	z 		mushamhu DDK z 3 . Iyi imari inobhadharwa neanenge amhan'ara padare kuti chichemo chake chinzwikwe. shamhu 9 .
mushana 	DDK 	3 	z 		mushana DDK z 3 . Mushana kazuva kanodziyirira munguva dzechando, kanenge kakazambirwa nevanhu.
mushandirapamwe 	DKKKKK 	3 	z 		mushandirapamwe DKKKKK z 3 . Uyu mubatanidzwa wevanhu vane chinangwa chimwe chavanoda kuzadzikisa, nekubatsirana pamabasa avo. Mushure mekuwana kwezvitonga, mishandirapamwe yekurima, kupfuya zvipfuyo, kuveza nezvimwewo yaikurudzirwa nehurumende zvikuru.
mushando 	DKK 	3 	z 		mushando DKK z 3 . basa 5 .
mushanu 	DKD 	3 	z 		mushanu DKD z 3 . Mushanu kumhoresana muchibvunzana upenyu nezvimwe zvose.
mushapato 	DKKK 	3 	z 		mushapato DKKK z 3 . Izvi zvinyamanyama nezviroparopa zvinobuda panosunungukwa mwana. musana 3 .
mushapeshape 	D- 	3 	z 		mushapeshape D- z 3 . Uku kunwa mvura kana doro nechimbichimbi.
mushapiro 	DKKK 	3 	z 		mushapiro DKKK z 3 . Iyi inzira yekunwa nayo zvinwiwa, asi zvine makaro mukati.
musharapanzi 	DKKKD 	3 	z 		musharapanzi DKKKD z 3 . Iri ibasa rakareruka kuita. Ichi chinhu chaunowana usina kuchishandira iwe pachako.
mushate 	D- 	3 	z 		mushate D- z 3 . Mushate ibota dete dete rinodyiwa risina shuga kana munyu.
mushava 	DKK 	3 	z 		mushava DKK z 3 . Uyu muti wakatsvukuruka usingadziyiwi nevanhu. murasha 3, muvara 3, mubaravashava 3 .
musheche 	DKD 	3 	z 		musheche mushuche DKD z 3 . Musheche ivhu rine mabandi makuru, rinowanikwa rakawanda munzizi. jecha 5 .
mushenjere 	D- 	3 	z 		mushenjere D- z 3 . Urwu rudzi rweuswa hunoreba nekuita mapazi semuti, hwakasimba zvekuti, unoitiswa nhungo, uye hunoshandiswa kurukisa mabhasikiti nezvimwewo. musengere 3 .
musheshe 	DKK 	3 	z 		musheshe DKK z 3 . musvo 3 .
mushinda 	D- 	3 	z 		mushinda D- z 3 . Mushinda kamuti kadiki kanorimwa, kanopa vana vachena vanogadziriswa shinda. mutonje 3, mudonje 3 .
mushini 	DKD 	3 	z 		mushini DKD z 3 . muchini 3 .
mushiya 	DKD 	3 	z 		mushiya mashiya DKD z 3 . Mushiya iropa remhuka rinochingidzirwa richibva nepahuro, kuti ridyiwe rakadaro kana kubikwa. musiya 3 .
mushonga 	DDK 	3 	z 		mushonga DDK z 3 . Mushonga ndechinoshandiswa kuti zvinhu zvakaita semumba kana bhutsu zvikwidzime.
mushonga 	DDK\D- 	3 	z 		mushonga DDK\D- z 3 . Mushonga mapiritsi, midzi kana zvimwewo zvinoshandiswa kurapisa, kurwarisa kana kuurayisa zvipuka. muti 3 .
mushonjowa 	DDDK 	3 	z 		mushonjowa mushozhowa DDDK z 3 . mutsonzowa 3 .
mushu 	DK 	3 	z 		mushu DK z 3 . musvo 3 .
mushuku 	D- 	3 	z 		mushuku D- z 3 . muzhanje 3 .
mushumbo 	DKK 	3 	z 		mushumbo DKK z 3 . Mushumbo kudokwairira kunoita munhu kurara nemumwe waanenge achiva. ruziso 11 .
mushumha 	DKD 	3 	z 		mushumha mushuma, musuma DKD z 3 . Mushumha muti unobereka shuma, unowanzokura pazvuru.
mushuna 	D- 	3 	z 		mushuna D- z 3 . munyepfu 3 .
mushunasiri 	DDKDK 	3 	z 		mushunasiri DDKDK z 3 . munyepfu 3 .
mushunje 	D- 	3 	z 		mushunje D- z 3 . Mushunje ibutwa rine zvinhu mukati, rinogadzirwa neuswa kana mashizha. Mushunje ihari yedoro inosiyiwa mushure mekutsvaira nekugadziridza guva ranyakufa.
mushutu 	D- 	3 	z 		mushutu D- z 3 . musvo 3 .
mushwapu 	DDK 	3 	z 		mushwapu DDK z 3 . shamhu 9 .
musi 	DK 	3 	z 		musi DK z 3 . Musi inguva inobvira mangwanini vanhu vachimuka kusvika vanhu vachienda kunorara usiku. Musi weSvondo takaswera kubhora. zuva 5 .
musika 	D- 	3 	z 		musika D- z 3 . Musika inzvimbo inotengeserwa zvinhu zvakasiyana-siyana.
musika 	DDK 	3 	z 		musika DDK z 3 . Musika kamuti katete, kane tuwaya twakarukirwa kumberi kwacho kuti kagokwanisa kushandiswa kupunza mapundu, kuti sadza risapundire.
musikanyimo 	D- 	3 	z 		musikanyimo D- z 3 . Uyu muti unokuniwa urimbo. mutowa 3 .
musikanzwa 	DKDK 	3 	z 		musikanzwa DKDK z 3 . Uku kuramba kutevedzera zvakanaka zvaunofanirwa kuita, kana kuti zvaunonzi nevakuru uite.
musikavakadzi 	DDDDKK 	3 	z 		musikavakadzi DDDDKK z 3 . Iyi mishonga inoita kuti vasingazvare vakwanise kuzvara.
musikisa 	DKKD 	3 	z 		musikisa DKKD z 3 . mubato 3 .
musimbiro 	DDKK 	3 	z 		musimbiro DDKK z 3 . Musimbiro wemunhu kuwanda kwenyama dzemuviri wake. Musimbiro wemunhu kukwanisa kwake kuita zvinorema asi asingakasiri kuneta. Musimbiro wechinhu kugona kugara kwenguva refu kwacho chisati chaparara.
musimboti 	D- 	3 	z 		musimboti D- z 3 . Iri ibango rinodzimikirwa pakati pemba painenge ichiturikirwa denga. mbiru 9 . Ichi chinhu chinomisa upenyu hwemunhu kuti hufambe zvakanaka. Mari ndiyo musimboti weupenyu hwamazuva ano.
musimbwa 	DDK 	3 	z 		musimbwa DDK z 3 . Musimbwa kunonoka kuita zvawataurirwa, uchitoita sokunge haudi kuzviita. musindimari 3 .
