mabadu 	D 	6 	z 		mabadu D z 6 . Mabadu chiitikwa chinofadza, chakanaka. Kumutambo kwaFadzi kwakanga kuri kumabadu. madambu 6, makuwerere 6 .
matotoutare 	DKKDKD 	6 	z 		matotoutare DKKDKD z 6 . Iyi imhangura nyoro inenge yakadonha pasi.
matsakadzwa 	DDKD 	6 	z 		matsakadzwa DDKD z 6 . musakanzwa 3 .
matsenganzungu 	DKKDK 	6 	z 		matsenganzungu DKKDK z 6 . Apa ndepanosangana shaya yepamusoro neyepazasi.
matsetsemwa 	D- 	6 	z 		matsetsemwa D- z 6 . Ichi chikafu chisina kugayiwa, chinowanikwa mudumbu remombe kana yaurayiwa. manzvinzvi 6 .
matsewe 	DKK 	6 	z 		matsewe DKK z 6 . Iri ibindu rinorimwa muchirimo. doro 5 .
matsive 	DDK 	6 	z 		matsive DDK z 6 . Kuita matsive kuda kudzorera zvinhu zvakaipa zvaunenge waitirwa.
matsotso 	DKK 	6 	z 		matsotso madzotso DKK z 6 . Matsotso mazihuni akangozara-zara asina neshumo yese. Matsotso inzvimbo yakahwanda uye iri kure.
matsunetsune 	D- 	6 	z 		matsunetsune D- z 6 . Uku kuita chinhu uchiziva kuti zvinozoitika ndezvipi. Uku kudonha nemusoro.
matukano 	DKKD 	6 	z 		matukano DKKD z 6 . Uku kuudzana mashoko akaipa kana zviya vanhu vamutsana.
matuku matuku 	D- 	6 	z 		matuku matuku matukutuku D- z 6 . Izvi zvinhu zvakawanda zvikuru.
matumba 	D- 	6 	z 		matumba D- z 6 . mahumbwe 6 .
matumbu 	D- 	6 	z 		matumbu D- z 6 . Matumbu ura hwemhuka. Matumbu emombe anonaka chaizvo kana akazanganiswa neguru nemuriwo. dumbu 5 .
matumburira 	D- 	6 	z 		matumburira D- z 6 . Ichi chikamu chedumbu chiri pasi peguvhu. Uku kuburitsa hove mumvura yakabayiwa nepadumbu nechiredzo, kana zviya muchiraura.
matunduru 	D- 	6 	z 		matunduru madunduru D- z 6 . Aya maitiro ekugara mumwe pachipfuva kana muchirwa.
maturo 	DKK 	6 	z 		maturo DKK z 6 . Zvinhu zvine maturo zvinenge zvakanaka, kana kuti zvichiyemurika, kana kuti zvichibatsira. Zvawakaita, zvekusiya vana vari vega iwe uchienda kumafaro, ndizvo zvinonzi zvisina maturo chaizvo.
matyira 	DKD 	6 	z 		matyira DKD z 6 . Munhu ane matyira munhu ane rukudzo, anoziva zvaanokwanisa kuita nezvaasingakwanise kuita, uye nevanhu vaanozviitira.
matyo 	DK 	6 	z 		matyo DK z 6 . Matyo kuratidza ugwara. Jona ane matyo ukafamba naye usiku. umbwende 14 .
maundo 	DKK 	6 	z 		maundo DKK z 6 . Maundo kurimwa kunoitwa minda muchirimo, vanhu vachigadzirira kuzorimazve minda iyoyo muzhizha.
maune 	DKD 	6 	z 		maune maone, mambune DKD z 6 . Maune kuita kwemunhu chinhu chaanoziva kuti chakaipa.
maungira 	DKDK 	6 	z 		maungira DKDK z 6 . Uku kunzwika kunoita kurira kwemhepo kana mota. Ndadaidzira ndiri mugomo, pakabuda maungira.
mauro 	DDK 	6 	z 		mauro DDK z 6 . manheru 6 .
mauta 	DKD 	6 	z 		mauta DKD z 6 . Mauta kukura kunoita dumbu remhuka hadzi kana yoda kuzobereka. matsoko 6 .
mavambo 	D- 	6 	z 		mavambo D- z 6 . Apa ndepanotangira zvinhu. ANTONYMS magumo 6.
mavato 	DKK 	6 	z 		mavato DKK z 6 . mararo 6 .
mavhu nemarara 	DK KKDD 	6 	z 		mavhu nemarara DK KKDD z 6 . Kana zvinhu zvakaita mavhu nemarara zvinenge zvakawanda zvakanyanyisa. fararira 9 .
maviri 	DDK 	6 	z 		maviri DDK z 6 . mapatya 6 .
mavirira 	DKKD 	6 	z 		mavirira DKKD z 6 . Uku ndekunonyura nako zuva. madokero 6 .
mawara 	D- 	6 	z 		mawara D- z 6 . Kana munhu achinzi ane mawara anenge achiita zvinhu zvekupaparika achionererwa. manyemwe 6, dzungu 5 .
mawere 	DKD 	6 	z 		mawere DKD z 6 . Mawere ndekunodzikira kwegomo kana mukwidza.
mawiramombe 	D- 	6 	z 		mawiramombe D- z 6 . Uku kudonha kwevanhu pamwe, sekuti kana vanhu vachirwa.
mawiraunga 	DDDDK 	6 	z 		mawiraunga DDDDK z 6 . Kana ukaita mukadzi mawiraunga unenge waita zvokumukurumidzira kumuisa, iye asati ava kuda.
mawire 	D- 	6 	z 		mawire D- z 6 . Mawire itsika yekumbundikirana pakumhoresana.
mawirirano 	D- 	6 	z 		mawirirano D- z 6 . Uku kupindirana kana kunzwanana kunoita vanhu. Pane mawirirano pakati pemukomana nemusikana.
mazangwa 	DKD 	6 	z 		mazangwa DKD z 6 . Iri idende rinotaura, seriya rinoshandiswa nen'anga.
mazarirwa 	DKDD 	6 	z 		mazarirwa mazaridzwa DKDD z 6 . Kana munhu ane mazarirwa anenge ane chirwere chekutadza kunyatsofema, achifemera pamusoro dzimwe nguva.
mazauone 	DKDDD 	6 	z 		mazauone DKDDD z 6 . Uyu mutambo kana zvinhu zvinofadza kuona. Muchato wangu waiva mazauone matindigoma kunakidza. mahuyauone 6 .
mazaya 	DDK 	6 	z 		mazaya DDK z 6 . Mazaya chando chakagwamba. Mubani mafuma mune mazaya echando.
mazembera 	D- 	6 	z 		mazembera D- z 6 . Uku kutaura nezwi gobvu kunonzwika nemunhu ari kune imwe nzvimbo. Ndanzwa mazembera mumba, ndikaziva kuti baba vauya. maziriri 6 . Mazembera mashoko ekuzvirumbidza kana kutyisidzira, anotaurwa muchisika nyimo. nzvipurira 10 .
mazeva 	D- 	6 	z 		mazeva D- z 6 . matadza 6 .
mazheke 	DDK 	6 	z 		mazheke DDK z 6 . Mazheke kuwanda kwezvokudya zvakabikwa. Pamutambo paiva namazheke enyama.
mazisoenyoka 	DKKKDD 	6 	z 		mazisoenyoka mesoenyoka DKKKDD z 6 . Utwu tubage tudikidiki tusati twakora.
mazitye 	DKD 	6 	z 		mazitye DKD z 6 . mukambo 3 .
mazorodze 	DKDK 	6 	z 		mazorodze DKDK z 6 . Ichi chinhu chinounza runyararo mushure mematambudziko.
mazuruzuru 	D- 	6 	z 		mazuruzuru D- z 6 . Uku kutya kunoita munhu anoziva kuti akapara mhosva.
mazvimbiswa 	DKDK 	6 	z 		mazvimbiswa DKDK z 6 . Uku kukasira kana kunyanya kufutunuka kwepakuvara kana kurumwa. Arumwa ziso neigo rikavharika nokuda kwemazvimbiswa.
mazvirokwazvo 	DDDKD 	6 	z 		mazvirokwazvo DDDKD z 6 . Zve mazvirokwazvo ndezvazviri chaizvo, pasina kunyepa. Mai vauya zvemazvirokwazvo. chokwadi 7, zvomene 8 .
mazvizvi 	D- 	6 	z 		mazvizvi D- z 6 . manzvinzvi 6 .
mazvokuda 	DDKD 	6 	z 		mazvokuda DDKD z 6 . madiro 6 .
mechisi 	D- 	6 	z 		mechisi mechisa, muchisa D- z 6 . Mechisi tutanda tune misoro mitsvuku tunogadzirwa kuti twugoshandiswa kukwenywa kuti tubvirise moto.
mesomeso 	KDDK 	6 	z 		mesomeso KDDK z 6 . Kuita mesomeso kuchiva vakadzi vakawanda kunoita varume, nekuchiva varume vakawanda kunoita vakadzi. ruchiva 11 .
mutsakwani 	D- 	6 	z 		mutsakwani matsakwani D- z 6 . Uyu mupfudze wemasora nemashizha, zvinenge zvakadonhera zvega pasi. murakani 3 . Aya mauswa kana mashizha akaorera, anoiswa pazvirimwa semanyowa. murakani 3, hwakwani 9 .
