apo 	D- 		bat 		apo D- bat . Izwi iri rinoshandiswa kuratidza nguva yakaitika chinhu mushure mokunge chimwezve chinhu chaitika. Vana vose vakafara apo vakazomuona mukuru wechikoro.
chingwadzo 	D- 	7 	z 		chingwadzo D- z 7 . Chingwadzo kuchenjerera zvingangokuwira kana zvingangoitika. chenjedzo 7 .
chihombiro 	DDKD 	7 	z 		chihombiro DDKD z 7 . Iri izita rorumwe rudzi rwehohwa.
chibvenyuriso 	D- 	7 	z 		chibvenyuriso D- z 7 . chikwengo 7 .
chibviriro 	DDKK 	7 	z 		chibviriro DDKK z 7 . Kana munhu achiti chibviriro anoreva nguva inenge yapfuura kubva pamavambo pechimwe chinhu.
chibviro 	DDK 	7 	z 		chibviro DDK z 7 . chibviriro 7 .
chibvito 	D- 	7 	z 		chibvito D- z 7 . chikwizo 7 .
chibvokodzo 	DKKD 	7 	z 		chibvokodzo DKKD z 7 . huyo 9 .
chibvumo 	D- 	7 	z 		chibvumo D- z 7 . Chibvumo kutenda komunhu kuti ane mhosva.
chibwanyiso 	D- 	7 	z 		chibwanyiso D- z 7 . Uyu mudziyo unoshandiswa kubandura matombo kuaita matokotoko.
cheno 	D- 	9 	z 		cheno D- z 9 . Cheno itsika yokufarira kupfeka nhumbi dzakachena. Mwana uyu anozoda cheno chose.
chenuro 	D- 	9>10 	z 		chenuro D- z 9>10 . chenura 9 .
chikachikiro 	DKKKD 	7 	z 		chikachikiro DKKKD z 7 . chikirimbani 7 .
chikahadziso 	D- 	7 	z 		chikahadziso D- z 7 . Ichi chinhu chinenge chichishamisa munhu wese.
chichemo 	DKK 	7 	z 		chichemo DKK z 7 . Chichemo chikumbiro kana nyaya inoda kuti igadziriswe. nhunha 9 .
chidao 	DKK 	7 	z 		chidao DKK z 7 . Chidao izita rinozikanwa vanhu vomutupo mumwe naro. Vaera Mbizi chidao chavo iTembo.
chidavado 	D- 	7 	z 		chidavado D- z 7 . Chidavado inzira yokuita chinhu nayo, ine unyanzvi. Shasha yebhora yakaita zvidavado zvayo ikanzvenga vanhu vose.
cheo 	D- 	7 	z 		cheo D- z 7 . Cheo kukuvara kunoita mombe painenge yakasungwa makumbo kuti ikamwe. Mombe inopenga pakukamwa inoita cheo.
chikanukiso 	DKKKD 	7 	z 		chikanukiso DKKKD z 7 . Ichi chiitiko chinokarudza hana nokunakidza kana kutyisa kwacho. Chakava chikanukiso chenyika baba nomwana kuroorana. chikanutso 7, chikatyamadzo 7 .
chikaro 	D- 	7 	z 		chikaro D- z 7 . Chikaro ndopanogara munhu achichovha bhasikoro.
chidhamburo 	DKKD 	7 	z 		chidhamburo DKKD z 7 . Uyu munhu anosvika pakuperevedza pane zvaanoita.
chidhiraivho 	D- 	7 	z 		chidhiraivho D- z 7 . Ichi ndechakaita dendenedzu chinoshandiswa kururamisa motokari mumugwagwa.
chero 	D- 		bat 		chero D- bat . Iri izwi rinoshandiswa kubatanidza zvirevo. Handingarambe murume wangu ndichiti akashata chero kuremara. Ita chero zvawafunga.
chero 	D- 		kanu 		chero D- kanu . Kana munhu achiti anoda chero chinhu anenge asina basa nekuti chaanopihwa chakadii sezvo chese chese chinenge chichingoita. Pazvanzi toenda nei kumusha, angoti, "chero".
chikero 	DKD 	7 	z 		chikero DKD z 7 . Chikero mudziyo wokuyeresa kana kupima uremu. Tinopima nyama pachikero kana tichitengesa.
chiketo 	D- 	7 	z 		chiketo D- z 7 . Chiketo itsika inoshandiswa kusarudza vanhu pabasa, kuchidzingwa vasina zvavanobatsira. Baba vangu vakapererwa nebasa pachiketo chomuna Zvita. chigumuro 9 . Chiketo yaiva tsika yaiitwa navarungu kuvatema, yokusarudza n'ombe dzavaida kuti munhu asare nadzo, dzimwe dzoiswa rupawo kuratidza kuti muridzi wadzo anofanira kudziuraya.
chiko 	DK 		bat- 		chiko DK bat- . Iri izwi rinoshandiswa sechibatanidzo, richiratidza nguva inenge yatanga chinhu kana kuti kwabvira zvinhu. chinguri, kubvira .
chikodoboro 	DKKKD 	7 	z 		chikodoboro DKKKD z 7 . Uyu munhu anenge achigona kuita zvinhu negwara razvo chairo.
chikodzero 	D- 	7 	z 		chikodzero D- z 7 . Ichi chinhu chinenge chiri icho chakanaka kana kuti chakafanira kuitwa. Kubikira vaenzi chikodzero.
chikoforo 	DKDD 	7 	z 		chikoforo chikovhoro DKDD z 7 . Uyu mudziyo unodhonzwa nen'ombe, wokutimbira kana kusakura nawo mumunda makadzvarwa mbeu. karuvheti 9 .
chikomo 	D- 	7 	z 		chikomo D- z 7 . Chikomo igomo diki kana kuti risina kunyanya kukura.
chidiriso 	D- 	7 	z 		chidiriso D- z 7 . Uyu mudziyo unosevenzeswa kuisa zvinwiwa mune umwe mudziyo.
chido 	DK 	7 	z 		chido DK z 7 . Chido kunzwa kufarira kwaunoita mumwe munhu. Mbuya vane chido nemuzukuru wavo. Chido kuva nemwoyo nepfungwa dzokuita chinhu nemazvo.
chidodo 	D- 	7 	z 		chidodo D- z 7 . Chidodo indiro yevhu inoisirwa zvinhu zvinotapudziranwa panguva yokudya. Mushure mokunwa putugadzike nechingwa, takazodya mazai aiva muchidodo. honza 9 .
chezero 	D- 	9>10 	z 		chezero D- z 9>10 . Chezero isimbi ine divi rakapinza inoshandiswa pakuveza mapuranga. Akakwatsura mapuranga achishandisa chezero. chiziri 9 .
chibaduro 	DKKD 	7 	z 		chibaduro DKKD z 7 . Uyu munhu anozivikanwa kuti anogona kurwa. Jokonya chibaduro chaicho nokuti akarova Peresu akabuda ropa.
chibako 	DKK 	7 	z 		chibako DKK z 7 . Chibako kamudziyo kanochengeterwa fodya yomumhino. Mbuya vakagwengura fodya muchibako. nhekwe 9 .
chikonzero 	DKKD 	7 	z 		chikonzero DKKD z 7 . Ichi chinhu chinosakisa kuti chimwe chinhu. Chikonzero chakaita kuti asiire chikoro panzira kushayirwa mari.
chikoro 	DKD 	7 	z 		chikoro DKD z 7 . Chikoro inzvimbo kana kuti imba yokudzidzira, kana kuti nzvimbo ine dzimba dzokudzidzira. Kana munhu achinzi ane chikoro anenge akadzidza chaizvo.
chikosoro 	DKKD 	7 	z 		chikosoro DKKD z 7 . Ichi chirwere chepahuro, chinoita kuti paome kana kukarakasha zvokuti unoda kugara, uchingokosora. gosorwa 5 .
chikotamo 	D- 	7 	z 		chikotamo D- z 7 . Iyi inzvimbo iri nechepanze pemba, paya panenge denga rakaderera zvokuti paunopinda kana kubuda haugoni kufamba wakati twasa.
chiduumidzo 	DKKKD 	7 	z 		chiduumidzo DKKKD z 7 . Ichi ndechokuvharisa kuti zviri mukati zvisaonekwa. chivharo 7, chidzivo 7, chikwidibiro 7 .
chidyaro 	DKK 	7 	z 		chidyaro DKK z 7 . Chidyaro mutambo wekufembera ruoko rwakafumbata chinhu. chipakirwa 7 .
chidyaroro 	DKKD 	7 	z 		chidyaroro DKKD z 7 . Uyu muti una mashizha ane mvere, akapfava, ane ganda gobvu unowanzowanikwa munzvimbo dzina mabwe. mutsvedzambira 3, chiwirowiro 7, mutedza 3 .
chidyiro 	DKK 	7 	z 		chidyiro DKK z 7 . Chidyiro mudziyo unoiswa chikafu, kunyanya chezvipfuyo.
chidyo 	DK 	7 	z 		chidyo DK z 7 . Chidyo chinhu chinoiswa mukanwa chichitsengwa kana kutangarirwa chichimedzwa. chinwiwa 7 .
chidzaturo 	DKKD 	7 	z 		chidzaturo DKKD z 7 . Uyu munhu anogona kuita chimwe chinhu kupinda vanhu vose. Nyasha chidzaturo chechikoro.
chidzidzo 	DKK 	7 	z 		chidzidzo DKK z 7 . Chidzidzo chinhu chinofundwa kuti chiziikanwe nezvacho. Shona chidzidzo muchikoro.
chibato 	DKK 	7 	z 		chibato DKK z 7 . Chibato ndepakagadzirirwa kubata kana munhu achisimudza kana kushandisa mudziyo. Musikana abata chibato chepoto kuti abike zvakanaka. mubato 3, mupakato 3 .
chibayiro 	D- 	7 	z 		chibayiro D- z 7 . Ichi chipfuyo chinourayiwa pakupira Mwari. Vanhu vakawanda vomuBhaibheri vaishandisa makwai sezvibairo. Iyi inzvimbo inoshandiswa kuurayira mhuka, zvakaita sen'ombe. Tinoda varume vakasimba kuchibayiro nokuti tinouraya bhuru. siraha 9 .
chikungunyo 	DKKD 	7 	z 		chikungunyo DKKD z 7 . Apa panzvimbo iri nechekuzasi kwemusana panonyatsofonyoka kana uchiita basa. Chikungunyo changu chiri kurwadza nebasa randaita.
chikunhamidziyo 	DDDDKK 	7 	z 		chikunhamidziyo DDDDKK z 7 . Uyu munhu asinganyatsogona zvinoitwa navamwe. Somunhu aiva chikunhamudziyo, kubatira geja kwakandinetsa.
chaso 	D- 	7 	z 		chaso D- z 7 . chaoo 7 .
chibereko 	D- 	7 	z 		chibereko D- z 7 . Chibereko ndiyo nzvimbo iri mudumbu inokurira mwana akamirira kuzvarwa. nyoka 9 .
chibhabhauro 	DKKKD 	7 	z 		chibhabhauro DKKKD z 7 . Uyu munhu anoshanda nesimba achipedza basa zvakanaka. Baba vakaita chibhabhauro pavakachera tsime.
chibhako 	D- 	7 	z 		chibhako D- z 7 . Chibhako mudziyo unoshandiswa mumba kukwenenzvera sadza rapakurwa.
chibhariso 	D- 	7 	z 		chibhariso D- z 7 . chinyoreso 7 .
chibharo 	DKK 	7 	z 		chibharo DKK z 7 . Chibharo kumanikidza munhu kurara newe semurume nemukadzi pasina kutenderana. Chibharo ibasa risina muripo raiitiswa vatema vachimanikidzwa navarungu. Varume vaisiya misha yavo vachienda kumapurazi nokuda kwechibharo.
bipito 	KKD 	5 	z 		bipito KKD z 5 . Bipito inhengo yemuviri iri pakati pehuro nepanotangira musoro. pfudzi 5 .
bemberero 	KKKD 	5>10 	z 		bemberero KKKD z 5>10 . Uyu mutambo wekufarira chinhu chitsva kana chimwe chinhu chaitika chakanaka. Kumba kwasahwira wake kune bemberero remotokari. Iyi inzvimbo inoitirwa mutambo wakaita semuchato.
bemheno 	DKD 	5 	z 		bemheno DKD z 5 . Bemheno kutema nekubvisa tusanzu padanda raunenge uchida kuzoshandisa.
birimo 	D- 	5 	z 		birimo D- z 5 . Birimo kumahombekombe kwerwizi kwakakwirira uye kune matombo. Birimo ihari hombe, inotakurika, inoisirwa hwahwa. mhirimo 9 .
biso 	K- 	5 	z 		biso K- z 5 . Biso ihari huru inopisirwa doro. gate 5 .
bvaro 	K- 	5 	z 		bvaro K- z 5 . Bvaro inguo yekupfeka. chipfeko 7 .
benyumundiro 	DKDDD 	5 	z 		benyumundiro DKDDD z 5 . Uyu munhu anoratidza kurwara kana usimbe pabasa asi wozopangidza kumuka nekugwinya kana yava nguwa yekudya.
bepo 	KD 	5 	z 		bepo KD z 5 . Bepo izwi rinopihwa kumhepo yakawanda uye yakasimba. Mhepo yacho rakanga riri bepo chairo, zvekuti yakasiya yatyoranisa miti.
bereko 	D- 	5 	z 		bereko D- z 5 . Bereko mutambo unoitirwa musikana nevabereki vake paanenge ava kuroorwa kufarira kuzondozvara vana kwaanenge ava kuzoita.
biyo 	K- 	5 	z 		biyo K- z 5 . Biyo idanda rinochinjikwa pagonhi kana pagedhe kuti risavhurika. mutandariko 3 .
bo 	K 		ny 		bo K ny . Kuti bo kurova pamuromo. Kuti bo kuvhara muromo uzere nezvokudya mukati. Kuti bo kukanda zvekudya mumuromo. bochi . Kuti bo kubwaira maziso sezvinoita munhu ari kutyisidzirwa. bochi . Kuti bo kutyora chinhu chisina kusimba nepakati. tyo .
bobo 	D- 	5 	z 		bobo D- z 5 . Bobo inzungu ichiri diki isati yakora. Ipa vana mabobo ayo vadye. Hatina zvatingaita nawo. bwati 5, rwezo 5 .
bwo 	D 		ny 		bwo D ny . Kuti bwo kuvhunika nyore kwebazi remuti uchangotunga. podo, bhodo .
besano 	D- 	5 	z 		besano D- z 5 . Besano kutadza kuwirirana kana kubvumirana.
beto 	D- 	5 	z 		beto D- z 5 . mutero 3 .
beto 	K- 	5 	z 		beto beta K- z 5 . Beto imvura inofuma iri pauswa kana pamashizha mangwanani. dova 5 .
betsero 	KKD 	9 	z 		betsero batsiro KKD z 9 . Betsero ruyamuro runopihwa munhu nevamwe pane dambudziko rinenge ramuwira. Pakafa mukadzi wake akapiwa betsero yemari nevadikanwi.
bodo 	D- 		ny 		bodo D- ny . Kuti bodo kuibvisa kwechinhu chabikwa.
bofo 	DK 	5 	z 		bofo DK z 5 . Bofo chinhu chakatefeteka chokuti ukatsimbirira chinopinda mukati sezvinoita matiresi.
boko 	KD 		ny 		boko KD ny . Kuti boko kudongorera mukati kana kunze. Iti boko panze uone kana vava kudzoka. Kuti boko kurutsa pamusaka pokusvotwa. Mukadzi uyo ane pamuviri paangonzwa munhuhwi wenyama abva angonoti boko panze.
bvengo 	K- 	5 	z 		bvengo K- z 5 . Bvengo muzanganiswa wemhando dzakawanda dzezvekudya.
bhaisikopo 	KKDDD 	5 	z 		bhaisikopo KKDDD z 5 . Iyi mifananidzo inotorwa nemishini yozobuda ichiratidza zvose zvaiitika.
bombo 	D- 	5 	z 		bombo D- z 5 . Bombo rudzi rwekamhashu kadiki kasingadyiwi. chitota 7, mhipi 9 .
bomo 	KD 		ny 		bomo KD ny . Kuti bomo kurova muromo. Mai vakati muromo wemwana aichema bomo kuti anyarare. Kuti bomo kutaura zvisiri izvo chaizvo zvimwe zvichisiyirirwa zvimwe zvichiwedzerwa.
bvo-o 	D- 		ny 		bvo-o D- ny . Kuti bvo-o kupfonyera chitsiga chemoto kana chimwewo chinobvira pane chimwe chinhu. Akati bvo-o chitsiga chemoto mumvura chichibva chadzima.
bvodyo 	DK 		ny 		bvodyo DK ny . Kuti bvodyo kuita buri nekukasika. Bere rakati bvodyo kupinda muchirugu richibva radya mbudzi mbiri.
bvokocho 	D- 	5 	z 		bvokocho D- z 5 . Bvokocho inzvimbo ine miti neuswa uzhinji, isingapindiki.
bvongo 	KD 	5 	z 		bvongo KD z 5 . matakanana 6 .
bhasa madembo 	KD DDD 	1a 	z 		bhasa madembo KD DDD z 1a . Uyu munhu anenge achizviidza munhu ane mari iye asina.
bhasikoro 	KDDD 	5 	z 		bhasikoro KDDD z 5 . Uyu mudziyo wekufamba munhu akatasva, une mavhiri maviri, rimwe mberi rimwe shure. bhizautare 5 .
bondero 	D- 	5 	z 		bondero D- z 5 . Bondero inzvimbo inopurirwa mbesa dzakaita semhunga nezviyo. buroro 5 . Bondero inzvimbo inourayirwa munhu abatwa nemhosva inokodzera kuti afe. Mhondi iya yaendeswa kubondero nemutongi wemhosva.
bongomo 	KKD 		ny 		bongomo KKD ny . Kana munhu achiti bongomo anenge achisheedzera nezwi riri pamusoro ari mukutambudzika.
bvopfopfo 	DKD 	5 	z 		bvopfopfo DKD z 5 . Uku kumhanya kwevanhu vakawanda zvisina chinangwa.
bvovho 	DK 	5 	z 		bvovho DK z 5 . Bhovho rudzi rwembeva ine mutsetse pamuviri payo. bvoro 5 .
bvovo 	DK 	5 	z 		bvovo DK z 5 . Kuti bvovo kuita buri pane chimwe chinhu. Sekuru vakati muururo unopisa bvovo pamupinyi uchibva waboora¯duri.
chahwo 	D- 	7 	z 		chahwo D- z 7 . chahwa 7 .
bongozozo 	D- 	5 	z 		bongozozo D- z 5 . Uku kurwisana kwevanhu vanenge vasinganzwanani pazvimwe zvinhu. hohoho 9 . Iyi imheremhere inoitwa nevanhu vakaungana pamwe chete. Uyu munhu kana mhuka isinganyatsooni. Uyu muriwo unenge wakanyatsobikwa zvakanaka.
boo 	D- 		ny 		boo D- ny . Mombe inoti boo kana ichichema sekunge zviya yatungwa neimwe.
bopopo 	D- 	5 	z 		bopopo D- z 5 . Bopopo kunaya kwemvura yakawanda.
bopoto 	KKD 	5 	z 		bopoto KKD z 5 . Bopoto inharo kana mazwi okutukana anotaurwa nevanhu vashatirisana.
boshoposho 	D- 	5 	z 		boshoposho D- z 5 . Uku kubuda kunoita chinhu chakaita setsvina yemombe nekukasika isingamire.
botero 	KKD 	5 	z 		botero KKD z 5 . Botero inzvimbo yekugara inotsvagwa neanenge atiza kumusha kwake nezvikonzero zvakasiyana.
chakweshadombo 	DKKKK 	7 	z 		chakweshadombo DKKKK z 7 . Uyu munhu akura chaizvo zvokupfuura vose vari munzvimbo maanogara. Sekuru vangu ndichakweshadombo chaiye. Hapachina wezera ravo mupenyu.
botso 	D- 	5 	z 		botso D- z 5 . Kana munhu achitanda botso anenge achifamba achikumbira vanhu chikafu chakaita sezviyo kuti abike doro rekukumbira ruregerero kune mubereki, kunyanya amai, akafa kana mupenyu, waanenge akatadzira.
bvumbo 	D- 	9>10 	z 		bvumbo D- z 9>10 . Bvumbo unyanzwi hwekufembera kana un'anga hunokatyamadza. mabvumbo 6 .
bvumirano 	D 	9 	z 		bvumirano D z 9 . Uku kuita tsidzirano kwavanhu. Takaita bvumirano yekuti aizondivakira imba yangu ini ndichimupa chiuru chemadhora.
chamoto 	DKD 	7 	z 		chamoto DKD z 7 . Chamoto chimwiwa chinodhaka chaizvo chinobikwa pachisanganiswa zvinhu zvakawanda. chikokiyana 7 .
bho 	K 		ny 		bho K ny . Kuti bho kurova chinhu kamwe chete. Kuti bho kurovera pane chimwe chinhu. Pandakacheuka kuti ndione aindidaidza, ndakabva ndangoti bho pamuti wanga uri padivi penzira.
bhodho bhodho 	D- 		ny 		bhodho bhodho D- ny . Kuti bhodho bhodho kufamba zvishoma nezvishoma kwemunhu anozvida.
bhodyo 	DK 		ny 		bhodyo DK ny . Kuti bhodyo kuboora chinhu nekukasika.
bvundo 	K- 	5>6 	z 		bvundo K- z 5>6 . Bvundo rinoita panosungana tambo kana shinda. pfundo 5 . Bvundo idutu remvura yerwizi rwakazara runokwanisa kueredza vanhu nemiti.
bvungo 	D- 	5 	z 		bvungo D- z 5 . Bvungo imhuka yomusango yakaenzana nekiti asi ichinge hovo, iine mavara machena mematema. jachacha 5 .
chamugo 	DKD 	7 	z 		chamugo DKD z 7 . Chamugo kuisa zvinhu zvinowedzera runako kumeso kana mumusoro kunowanzoitwa nevanhukadzi.
bhofo 	DK 		ny 		bhofo DK ny . Kuti bhofo kuboora chinhu chakanyorovera.
bhogo 	DK 		ny 		bhogo DK ny . Kuti bhogo kubika zvinhu zvakawanda nguva imwe, sechibage kana manhanga akawanda. Kuti bhogo kuvhuna ipwa kana nzimbe.
bhoto bhoto 	D- 		ny 		bhoto bhoto D- ny . Kuti bhoto bhoto kufamba mumadhaka kana kuti panzvimbo ichangorimwa. kubvu kubvu .
bhovho 	DK 		ny 		bhovho DK ny . Kuti bhovho kuboora chinhu chakatefeteka. Kuti bhovho kuchema misodzi ichibuda pamusaka pokurwadziwa.
bukuro 	KKD 	5 	z 		bukuro KKD z 5 . Bukuro| ndezvinenge zvadyiwa nemombe, zvinodzoka kubva mudumbu ichizvizeya.
bumbiro 	KKD 	5 	z 		bumbiro KKD z 5 . Bumbiro izita rezvinhu zvinenge zvakaungana pamwe chete, zvakaita senyuchi. bumha 5 . Bumbiro izita rinoshandiswa kureva chisungo chezvinhu, zvakaita semitemo.
bvuo 	D- 	5 	z 		bvuo D- z 5 . musana 3 .
changadzo 	D- 	7 	z 		changadzo D- z 7 . Changadzo itambo inosungirirwa muhuro membwa inoshandiswa pakuikweva kuti irege kuenda kure.
bhovo 	DK 		ny 		bhovo DK ny . Kuti bhovo chinhu kuchiita zvekupedzeredza. Pataibika mangai takati moto bhovo pahari kuti ikwate nekukurumidza. Kuti bhovo kuboora buri rinobudikira kune rimwe divi.
bhugujo 	D- 	5 	z 		bhugujo bvugujo D- z 5 . Bhugujo idziva rinodhigidha vanhu. dhidho 5, duhwino 5 .
bundo 	D- 	5 	z 		bundo D- z 5 . uswa 14 .
apo 	D- 		rk 		apo D- rk . Tinoshandisa apo tichitaura nezve nzvimbo iri kure.
apuro 	KDD 	5 	z 		apuro epuro KDD z 5 . Apuro rudzi rwemuchero unoberekwa nemuapuro.
bhurasho 	DKD 	5 	z 		bhurasho bhuracho DKD z 5 . Bhurasho kamudziyo kakapfirirwa netupfari kanoshandiswa kuita mabasa akasiyana, akaita sekuisa mushonga pabhutsu nekukamisa vhudzi.
bungumuridzo 	KKDKD 	5 	z 		bungumuridzo KKDKD z 5 . Urwu rudzi rwenyoka nhema, ine ukasha chaizvo, inofamba ichishinyira. mhunguridzo 9 .
bwambo 	D- 	14 	z 		bwambo D- z 14 . Bwambo chinhu chinoshandiswa kukwezva chimwe sezvakaita sehonye inoiswa pachirauro.
burikiro 	KKKD 	5 	z 		burikiro KKKD z 5 . -budiriro 5 .
buriro 	KKD 	5 	z 		buriro KKD z 5 . mhuriro 9 .
bakayawo 	DDKD 	5 	z 		bakayawo DDKD z 5 . Iyi ihove hombe yakaomeswa yatsemurwa nepakati yoiswa munyu wakawanda kwazvo kuti isaore.
bakuro 	KKD 	5>6 	z 		bakuro KKD z 5>6 . Bakuro chipo chemombe chinopiwa amai vomudzimai nomukuwasha kuvatenda nokurera mwanasikana aakaroora.
bikiro 	D- 	5 	z 		bikiro D- z 5 . Bikiro ihari yevhu inoisirwa doro kuti rivire. gate 5 . Bikiro inzvimbo inobikirwa hwahwa hwakawanda uye hwendudzi dzakasiyana. bhurure 5 . Bikiro mupiro wefodya inopiwa tezvara uchibva kumukwasha.
biko 	D- 	5 	z 		biko D- z 5 . Biko ndezvinotenderanwa nekuyereswa navanhu vomutupo mumwe. Vakapana biko rokuti havaizodya nyama yenguruve neyetsuro.
buruko 	D- 	5 	z 		buruko D- z 5 . Buruko inzira yekuburuka nayo panenge paine mawere.
bwe moto 	D DK 	5 	z 		bwe moto D DK z 5 . gwenya 5 .
bandiko 	D- 	5 	z 		bandiko D- z 5 . Bandiko inyama inogoverwa munhu woga woga anenge abatsira pakuuraya n'ombe kana imwewo mhuka.
buso 	K- 	5 	z 		buso K- z 5 . Buso kudya kwakawanda. Buso inzira yokudya nayo munhu achikasira.
butiro 	D- 	5 	z 		butiro D- z 5 . Butiro mukasaga munenge makaputirwa mwana paanenge achiri muchibereko chaamai munozoputika paanozvarwa. Butiro kaganda kanowanikwa mukati megekenya rezai. Butiro imari inobviswa pakuripa kana munhu akange ashinhwa nemukadzi wemumwe.
bwendedzo 	D- 	14 	z 		bwendedzo D- z 14 . Bwendedzo igwara rinonanga kune chimwe chinhu. Mwena une bwendedzo unosvika kuna majuru. hwendedzo 14 . Bwendedzo kuita chinhu zvekungoda kufadza asi usingarevesi. uminimini 14 .
bwerengedzo 	KKKD 	5 	z 		bwerengedzo hwerengedzo KKKD z 5 . Uhwu uwandu hwezvinhu zvinenge zvaunganidzwa pamwe chete.
fundo 	K- 	5 	z 		fundo K- z 5 . Fundo ibundu rinoumbika paunenge wasunga tambo kana kuti jira.
goto 	DK 	5 	z 		goto DK z 5 . hoto 9 . Goto igoronga guru rinotoerera mvura munguva yezhizha, asi risati rasvika panhanho yokunzi rwizi.
gotyo 	KD 	5 	z 		gotyo KD z 5 . Gotyo rudzi rwedzvinyu runofarira kupoterera nemadziro emba. dzvinyu 5, chipotanemadziro 7 .
govo 	DK 	5 	z 		govo DK z 5 . kovo 1a .
govoyo 	K- 	5 	z 		govoyo K- z 5 . Govoyo ndepakapinda mukati sepemombe yashanda, ine zhara. Mombe iri kubudisa govoyo haina kuguta.
gozho 	D- 	5 	z 		gozho D- z 5 . gonzo 5 .
dzororo 	K- 		ny 		dzororo K- ny . Kana munhu akati dzororo kumira anenge akamira asingazunguziki. sipiti .
dzoto 	K- 	5>6 	z 		dzoto K- z 5>6 . Dzoto ijira rakabvaruka-bvaruka rinenge risisina basa. mvemve 5, dzudzura 5, dhende 5 .
femo 	D- 	5 	z 		femo D- z 5 . Femo mweya unopinzwa kana kuburitswa mumuviri. Femo mweya waunobudisa kamwe chete wakati wandei, kana zviya waneta kana kusuwa kana kuti zvanga zvichikunetsa zvapera. Kana uchitura ma femo unenge wava kuzorora, wambosevenza kana kufamba kwechinguva. Rwendo rurefu runoda kuti mupote muchimbomira munzira muchitura mafemo.
gudo 	D- 	5>6mak 	z 		gudo D- z 5>6mak . Gudo imhuka ine mahobi, yakada kufanana netsoko asi iyo iri hombe, uyezve inobira vanhu chibage. dede 5, diro 5 .
dzudzo 	D- 	5 	z 		dzudzo D- z 5 . Dzudzo kushushikana mupfungwa pamusana pezvinenge zvichiitika kwauri. dambudzo 5 .
gango 	K- 	5 	z 		gango K- z 5 . Gango chidimbu chehari kana simbi chinoshandiswa pakukanga zvirimwa zvakaita senzungu kana chibage. zenga 5, rwenga 5, rwainga 5 . Gango inhengo yemotokari inoshandiswa pakufambisa mota kuti inyatsonanga kunenge kuchidiwa nemuchairi. chidhiraivho 7 .
ganhuro 	KKD 	5 	z 		ganhuro KKD z 5 . Ganhuro chikamu chebhuku. chitsauko 7 .
gano 	K- 	5 	z 		gano K- z 5 . Gano rudzi rwedemo rinoshandiswa pakuvhima nekupira midzimu. humbura 5 .
fungiro 	KKD 	9 	z 		fungiro KKD z 9 . Fungiro iganda rinovhara ziso, rinomera tsiye uye rinofamba-famba kana uchibwaira.
garahuro 	D- 	5 	z 		garahuro D- z 5 . gurokuro 5 .
funhiro 	KKD 	9 	z 		funhiro KKD z 9 . chikwidibiro 7 .
dzvikiro 	D- 	5>6 	z 		dzvikiro D- z 5>6 . Dzvikiro munhu anoti anobudirwa asi iye achireva nhema zvake.
gararirimo 	DKKDK 	1a 	z 		gararirimo DKKDK z 1a . Uyu munhu anomwa doro chaizvo zvekuti anowanzogara akadhakwa. musiyadzasukwa 1 .
garudzo 	D- 	5 	z 		garudzo D- z 5 . Zvinhu zvine garudzo zvinhu zvine rutyiso.
furanondo 	D- 	9 	z 		furanondo D- z 9 . Urwu rudzi rwemashizha anobikwa semuriwo. fetete 5 . furamera 5 .
dzvonyo 	DK 		ny 		dzvonyo DK ny . Kuti dzvonyo kubva ganda rinoputira mberi kwechombo chomurume.
dzvootsvoo 	D- 	5 	z 		dzvootsvoo dzvootsvootsvoo D- z 5 . Dzvootsvoo kunaya kwemvura yakawandisa.
dzvororo 	D- 	5 	z 		dzvororo D- z 5 . chidzvororo 7 .
gasho 	D- 	5 	z 		gasho D- z 5 . Gasho itambo yakagadzirwa neganda.
gato 	D- 	5 	z 		gato D- z 5 . Gato muti une minzwa, unokura uchiita zvokutandira kunge mbambaira. rukato 11 .
furo 	K- 	5>6 	z 		furo furu K- z 5>6 . Furo ndiro rinopupira panotutuma kana kuvhaidzwa zvinwiwa, kana kuti panokwizirwa sipo mumvura. Musi uyu mombe dzakaswera dzichirimiswa muswere wose, dzikatozosunungurwa dzava kupupira furo nomumukanwa. furofuro 5 .
finyamo 	D- 	5 	z 		finyamo D- z 5 . Finyamo muchinjiziri unoita pahuma, kana zviya wasunga kumeso nokuzvida, kana kuti kuzvikudza kana kukwesa. nanda 5 .
firo 	K- 	9>10 	z 		firo K- z 9>10 . Firo inzira inenge yafa nayo munhu.
gazvo 	DK 	5 	z 		gazvo DK z 5 . Gazvo ndicho chinoshandiswa pakutyaira bhazi kana mota kana kuti isabude mumugwagwa kuti itsauke. Gazvo raruza mota ikarovera pamuti. chidhiraivho 7, mudhiraivho 3 .
ekisero 	KDDD 	9>10 	z 		ekisero ekisari KDDD z 9>10 . Iyi isimbi iri pakati pevhiri, inova ndiyo inobatsira kuti vhiri ritenderere zvakanaka.
fo 	D 		ny 		fo D ny . Kuti fo kuibva kunenge kuchangoita zvirimwa, senge chibage mumunda.
fo 	K 		ny 		fo K ny . Kuti fo kutswinya munhu zvine simba. Kuti fo kutsimbidzira kana kudzvanyidzira mukati moruoko rwomumwe negunwe rako guru. Kana mhepo ichipfuura napamusoro pegaba rine muromo mudiki, iro rakashama, inorira kuti fo . fe-e . Kuti fo kutyora muzura.
