Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
getsi 	KD 	5 	z 		getsi KD z 5 . Getsi isimba rinofamba nemuwaya rinoshandiswa pakufambisa michina, kubikisa, kudziyisa miviri uye kuvheneka. Magetsi akadzima upenyu hwemutaundi hunonetsa.
gi gi gi 	D- 		ny 		gi gi gi D- ny . Kuti gi gi gi kuseka zvine ruzha nezwi riri pamusoro. ge ge ge .
gidhi-i 	D- 		ny 		gidhi-i D- ny . Kuti gidhi-i kuita ruzha rukuru kwazvo rwakafanana nekuputika kwebhambo. Pakarira pfuti kuti gidhi-i, vanhu vose vakabva vatiza.
gidi 	D- 	5 	z 		gidi D- z 5 . Gidi rudzi rwepfuti inoiswa bara rimwe chete panguva imwe.
futseki 	KDD 		kanu 		futseki futseke KDD kanu . Iri izwi rinoshandiswa kutuka munhu, kana kudzingira imbwa kure, kana kuiita kuti irege kuramba ichihukura. pfutseki .
ewoni 	K 		kanu 		ewoni ewonyi K kanu . Tinoshandisa ewoni kubvuma zvinenge zvavhunzwa, kana kukumbirwa asi uchiratidza rukudzo. eyanyi, eyai .
foi foi 	DK+ 		ny 		foi foi DK+ ny . Kana munhu achiti foi foi anenge achifambisa, achiratidza kuti hembe dzake dziri kumanidzira.
giraundi 	DKDD 	5 	z 		giraundi DKDD z 5 . nhandare 9 .
girazi 	DKD 	5 	z 		girazi DKD z 5 . Ma girazi ndiwo anoiswa pafafitera kana kuti pahwindo kuti mhepo isapinde, asi chiedza chichikwanisa kupinda, uye vari mukati vachikwanisa kuona zviri kunze. Girazi mudziyo unoita kuti munhu akwanise kuona chiso chake kana kushambidzika kwemuviri. Girazi kamudziyo kanonjenjemera, kanoshandiswa kumwira mvura, doro nezvimwe zvinwiwa.
girepi 	DKD 	5 	z 		girepi DKD z 5 . Girepi muchero unoshandiswa kugadzira waini, unoberekwa nemuti unotanda.
giridhi 	DKD 	5 	z 		giridhi DKD z 5 . Giridhi mitsetse yakarurama inenge yakavakwa nesimende, yakachinjika mumugwagwa, iine mwena pakati payo, kuti mhuka dzisapfuure.
girisi 	DKD 	5 	z 		girisi girizi DKD z 5 . Girisi mafuta anoshanda pamichina, pamotokari nezvimwewo zvinhu, kuitira kuti simbi dzisakwizana uye dzisaita ngura.
godi 	KD 		ny 		godi KD ny . Kana chinhu chati godi chinenge chapinda pamwe panhu.
godi godi 	KD+ 		ny 		godi godi KD+ ny . Kuti godi godi kukwira danho kana chimwe chinhu nokukasika. kata kata .
gabidi gabidi 	DDK+ 		ny 		gabidi gabidi DDK+ ny . Kuti gabidi gabidi kunwa kunonzwika ruzha pahuro. Mombe padzakapedza kudya upfu, dzakabva dzati gabidi gabidi kunwa mvura yakanga iri mumigomo.
gachichi 	DKK 	5 	z 		gachichi DKK z 5 . Gachichi chibikwa chinonhuhwira zvinonaka, kana kuti chinotapira parurimi.
faiti 	KDD 	9 	z 		faiti KDD z 9 . chibhakera 7 . Faiti kurwa kana kurwisana kunoita vanhu. Pamba apo paita faiti yakaoma chaizvo nhasi mangwanani.
gadhi 	DK 	5>6 	z 		gadhi DK z 5>6 . Gadhi inzvimbo inenge yakati tundu mudenga asi iyo iri panhu panenge pakati tsepete. Vanhu vakarima munda uyu vakamanza chaizvo tarisai muone magadhi arimo. Gadhi ivhu rinonamira pabadza uye rinotedza kana kwanaya.
gadzi 	K- 	5>6 	z 		gadzi K- z 5>6 . Gadzi munhukadzi kana mhuka hadzi ine mutumbu mukuru chose.
fudzi 	KD 	5>6 	z 		fudzi pfudzi KD z 5>6 . Pa fudzi ndipo panomera ruoko, rwuchirembera kubva kumusoro kudundundu. Takura danda iri pafudzi tiende.
goma remwabvi 	KD KDK 	5 	z 		goma remwabvi KD KDK z 5 . Uku kutsvaga munhu akapara mhosva nekupa vose vanofungidzirwa mushonga unoita kuti zvibude pachena. muteyo 9, machihundu 6 .
gagadi gagadi 	DDK+ 		ny 		gagadi gagadi DDK+ ny . Kuti gagadi gagadi kumhanya kunoita bhiza riri pamujaho.
gagami gagami 	DDK+ 		ny 		gagami gagami DDK+ ny . Kana munhu achiti gagami gagami anenge achifamba achiteedzera gumbo rinorwadza kana kuti rinenge riri pfupi. Akati gagami gagami achienda kumba, sezvo munzva wakanga watyokera mugumbo wakanga wakakura chaizvo.
gonhi 	KD 	5 	z 		gonhi KD z 5 . Gonhi ndiro rinovhariswa musuo wemba kana zvimwe zvivakwa. sasa 5 .
fashoni 	KDD 	9 	z 		fashoni KDD z 9 . Fashoni inhumbi dzokupfeka dzinenge dziine mukurumbira mazuva iwawo. Sarudzai anongoramba achipfeka bhareta, asi rakabuda mufashoni kare kare.
fasikoti 	KDDD 	9>10 	z 		fasikoti KDDD z 9>10 . epuroni 9 .
gonzvi 	DK 	5 	z 		gonzvi DK z 5 . Gonzvi munhu anenge ari nyanzvi pakurwa. gamba 5 .
dzitsi 	K- 	5 	z 		dzitsi K- z 5 . Dzitsi chitsiga chinosara chakamira muvhu musure mokunge muti wose watemwa. Munda mutsva unoonekwa nokuwanda kwamadzitsi kana wanga uri pane sango.
faundesheni 	DDKDD 	9>10 	z 		faundesheni fandesheni DDKDD z 9>10 . Aya mabwe, semende, nezvimwe zvinoiswa pamigero panenge pambocherwa, kuti zvisimbise imba inenge ichizovakwa pamusoro pazvo.
gori 	DK 				gori DK . gedhebhoi 1a .
gorokodzi 	KKDK 	5 	z 		gorokodzi KKDK z 5 . nyanzvi 9 .
gorosi 	D- 	5 	z 		gorosi D- z 5 . Gorosi imbeu inorimwa, inokuyiwa upfu hwokubikisa chingwa. Gayisa gorosi tigobika chingwa.
dovi 	DK 	5 	z 		dovi DK z 5 . Dovi kudya kwakatsetseka kunogadzirwa nenzungu dzinotanga dzakangwa dzozokuyiwa.
chizi 	KD 	9 	z 		chizi KD z 9 . Chizi kudya kunogadzirwa neruomba rwemukaka. Chizi inonakira vana nokuti inovatondedza mukaka.
chizizimbori 	DDDDK 	7 	z 		chizizimbori DDDDK z 7 . chizizimutondo 7 .
deteni 	KKD 	5>6 	z 		deteni KKD z 5>6 . Deteni rudzi rwegavhu rinooma kunze richigona kuboorwa nokushandiswa somudziyo wokucheresa mvura.
deveramvumi 	D- 	5 	z 		deveramvumi D- z 5 . Aka kamuti katete kanomonera zvitanda kana imwe miti kuti kakwanise kukwira mudenga.
dzikiti 	D- 		ny 		dzikiti D- ny . Kuti dzikiti kudzika pasi uchibva pakakwirira uchisvikomira wakanatsa kutsiga. jiti .
Chipiri 	DDK 	7 	z 		Chipiri DDK z 7 . Chipiri izuva revhiki riri pakati peMuvhuro neChitatu.
chipokisi 	DKDD 	7 	z 		chipokisi DKDD z 7 . Iyi isimbi nhete iri pabhasikoro inobata rimhu nehabha. sipokisi 5 .
chizvizvi 	D- 	7 	z 		chizvizvi D- z 7 . Chizvizvi chikafu chinenge chiri muguru remombe yavhiyiwa. Mombe yatavhiya yanga ine chizvizvi chine majecha mukati. mazvizvi 6 .
chogurwei 	DKDK 	7 	z 		chogurwei DKDK z 7 . Uyu munhu asina zvaanobatsira muupenyu. Murume waakaroorwa naye ndichogurwei chaiye, asina kana negumbezi.
dhaimani 	DKDD 	5 	z 		dhaimani DKDD z 5 . Uyu muchina unoshandiswa kuchera zvibhorani, unogona kuboora mabwe. Iri itsime rakadzika rinowanzocherwa nemuchina, risingapwi mvura nhando. chibhorani 7 .
dzingidzi 	DKD 	5 	z 		dzingidzi zingizi DKD z 5 . Dzingidzi kambuyu kanobhururuka, katema, kakada kuita sego, kanovaka imba yako nemadhaka.
chipopi 	DDK 	7 	z 		chipopi DDK z 7 . Chipopi rudzi rwembwa ine makumbo mapfupi uye nekamuviri kadiki. Tinovhima mbira nezvipopi nokuti zvinokwana mumapako maduku.
chipuripuri 	DDKDD 	7 	z 		chipuripuri DDKDD z 7 . Uku kurwa kusina pfungwa kwokungokanda zvibhakera zvisina kunangiswa. Kurwa kwavakadzi chipuripuri.
dhangi 	KD 		kanu 		dhangi dhangiyo, dhange KD kanu . Kana ukapa munhu chimwe chinhu, akati dhangi anenge akutenda. Ndakatsvakira maiguru huni, bva kana kumbonditiwo dhangi. tatenda, mazvita, mashuma .
dharakishoni 	DDKDD 	9 	z 		dharakishoni DDKDD z 9 . Uyu mutsetse weushasha unogadzirwa mumusoro nekuparadzanisa vhudzi. Baba vangu vaivhura dharakishoni mangwanani oga oga vasati vaenda kubasa. dharara 9 .
chipwati 	DKD 	7 	z 		chipwati DKD z 7 . Chipwati kuseka zvine ruzha mukati, kazhinji pamafaro panenge pakawandwa. Chaingova chipwati pakasangana amai nomwana mushure megore vaparadzana.
chubvi 	DK 		ny 		chubvi DK ny . Kuti chubvu kunyika nhumbi dzokuwacha mumvura. Nhumbi dzangu dzakanzi chubvi mumvura ndikasara ndisisina chokupfeka.
chubwi 	DK 		ny 		chubwi DK ny . Kuti chubwi kuwira mumvura zvine mutsindo, zvinoita kuti mvura yacho ipfachukire. Zidombo rakanzi chubwi, mvura ikapfachukira kumapeto kwedziva.
dhemeti 	KDD 		kanu 		dhemeti dhemete KDD kanu . Iri izwi rinoshandiswa kuratidza kushamiswa kana kushatiriswa nezvimwe zvinhu. Dhemeti inzwi rokutuka ronoshandiswa nomunhu atsamwa.
dhenari 	DKD 	5 	z 		dhenari DKD z 5 . Dhenari rudzi rwemari yaishandiswa kuPalestine, Jesu achiri pasi.
dhenjaraiti 	KDKDD 	5 	z 		dhenjaraiti KDKDD z 5 . Uyu mwenje mutsvuku unotaridza ngozi paunenge uchipfuta kana paunoonekwa. Motokari yose inofanira kuve nedhenjaraiti rinobaka kumashure paunotsika mabhureki.
dheti 	KD 	5 	z 		dheti KD z 5 . Dheti izuva remwedzi rinotaridzwa namanhamba ari pakati pa1 na31. Takawana kuzvitonga dheti richiti 18 Bandwe 1980. Dheti muchero unonaka, unoberekwa nemuchindwi.
chiredhi 	DKD 	7 	z 		chiredhi DKD z 7 . Chiredhi chifendefa chitema chainyorerwa kare mabhuku achiri mashoma muzvikoro.
chirikadzi 	KDKD 	9>10 	z 		chirikadzi KDKD z 9>10 . Uyu mudzimai akafirwa nemurume. shirikadzi 9 .
churi churi 	DK+ 		ny 		churi churi DK+ ny . Kuti churi churi kumhanya kunoita munhu apererwa nezano, asinganyatsi kufunga nezvekwaari kuenda. Takaswerera kuti churi churi musango tichitsvaga n'ombe dzakanga dzava kumba nechekare. puka puka .
chuti 	DK 	9>10 	z 		chuti DK z 9>10 . Chuti mutambo wokutemana nebhora, vamwe vanenge vari pakati vachinzvenga.
dhi 	K 		ny 		dhi K ny . Kuti dhi kurova zvine simba zvokuti panonzwika mutinhiro. Akamuti dhi pachifuva nechibhakera.
dhi-i 	D 		ny 		dhi-i D ny . Kuti dhi-i kutinhira kune ruzha rukuru rwakasimba runonzwika kure chose. Makomuredhi akaridza bhazuka kukanzwika kuti dhi-i munharaunda yose.
dhigi 	DK 		ny 		dhigi DK ny . Kuti dhigi kusvika panzvimbo zvine mutsindo wetsoka.
dhikishinari 	DDKDD 	5 	z 		dhikishinari dhikishenari DDKDD z 5 . Iri ibhuku rine urongwa hwamazwi anowanikwa mumutauro nedudziro dzawo. Kana usingazivi zvinoreva izwi, unofanira kuzvitsvaka mudhikishinari. duramazwi 5 .
dungambizi 	KKDK 	5 	z 		dungambizi KKDK z 5 . Urwu rudzi rwouswa rwakati tsvukurukei, rwunotanda rwune mhonzvora dzinorukiswa shambo. mbizi 5 .
dunzi 	KD 	5>6 	z 		dunzi KD z 5>6 . Dunzi inhunzi huru inoonekwa paurawa mhuka kana panonhuhwa.
dai 	K- 		bat 		dai ai, dei K- bat it . Kana munhu achiti dai anenge achishuvira kuti zvimwe zvinhu zviitwe kana kuti zviitike. Dai mvura yanaya tachirima. deno, ene .
dhindindi 	DKK 	5 	z 		dhindindi DKK z 5 . Dhindindi mumhanzi une mutinhimira mukuru. mafaro 6 .
dhindiziri 	K- 		ny 		dhindiziri dhindizhiri, dhindishiri K- ny . Kuti dhindiziri kuwira pasi nokusvikotomukira mudenga zvishoma kwechinhu chinorema.
dhipeti 	DKD 	5 	z 		dhipeti DKD z 5 . Dhipeti inhaurirano ine kukakavadzana mukati kwamapoka maviri zviri mukati momusoro wenhaurirano uripo. Musoro wedhipeti wokuti, "Zviri nani kudzidzisa mukomana pano musikana", unoitisa nharo huru pakati pavakomana navasikana. dhibheti 5 .
dhiri 	DK 		ny 		dhiri DK ny . Kuti dhiri ruzha runobva pakuondomoka kwemudhuri kana zvimwewo. Kuti dhiri kuungana kwavanhu vakawanda panzvimbo imwe chete.
duramazwi 	DDDK 	5 	z 		duramazwi DDDK z 5 . Iri ibhuku rinopa tsananguro yamanzwi anowanikwa mumutauro. Duramazwi rakaita serino ndiro rokutanga kuitwa mumutauro wedu. dhikishinari 5 .
chirudzi 	D- 	7 	z 		chirudzi D- z 7 . Chirudzi mutauro wevanhu wakasiyana nowenyu, unoshandiswa nevanhu vakatama kubva kune dzimwe nyika.
chirumanegotsi 	DKKDKD 	7 	z 		chirumanegotsi DKKDKD z 7 . Ichi chipukanana chine makwati akaomarara, chinoruma nepanosangana mutsipa nomusana.
chiruvi 	DDK 	7 	z 		chiruvi chiruvu DDK z 7 . Chiruvi ndepanosangana uswa pamusoro pedenga pahunosungwa kuita chidhongo. chitsuyi 7 .
dhiri-i 	DK 		kanu 		dhiri-i DK kanu . Unoti dhiri-i kana uchiganyira n'ombe dzakasungwa kuti dzidzokere sure zvishoma.
dhiriri 	D- 		ny 		dhiriri D- ny . Kuti dhiriri musindo mukuru unonzwikwa panowondomoka imba kana kuti panotinhira mvura.
dhishi 	KD 	5 	z 		dhishi KD z 5 . Dhishi mudziyo wakakombwera unoiswa mvura yokugeza kana kuitiswa zvimwewo.
Dhiyabhori 	KDDD 	1a 	z 		Dhiyabhori dhiyabhore KDDD z 1a . Uyu mweya wakaisvoipa, wakadzingwa kudenga nokuda kounyengeri nokusateerera kwawo. Dhiyabhorosi 1a, Satani 1a, Bukanana 1a, Gara 1a, Munyengeri 1 .
dhodhibhokisi 	DDKDD 	5 	z 		dhodhibhokisi DDKDD z 5 . Iyi inzvimbo kana mudziyo unoshandiswa kurasira marara.
dandadzi 	D- 	5 	z 		dandadzi D- z 5 . Dandadzi chirukwa chinogadzirwa nedandemutande kuteyesa zvipururu zvarinobata richidya. Nhunzi mbiri dzabatwa nedandadzi. dandemutande 5 .
dhoiri 	KDD 	5 	z 		dhoiri KDD z 5 . Dhoiri chirukwa chine zvidavado zvakawanda, chinoitwa nekiroshi.
dhongi 	DK 	5 	z 		dhongi DK z 5 . Dhongi imhuka isina nyanga, isingadyiwi nyama, inopfuyirwa kurima, nekuita mamwe mabasa.
dywiitywii 	KDKD 	5 	z 		dywiitywii KDKD z 5 . Urwu ruzha runoitwa nembeva kana vanhu vakawanda.
chisi 	DK 	7 	z 		chisi DK z 7 . Chisi izuva rimwe chete pasvondo rinoereswa nemidzimu yenzvimbo, zvokuti vanhu havabati basa guru rakaita sokurima kana kuvaka.
chisipiti 	DKKK 	7 	z 		chisipiti DKKK z 7 . Apa panzvimbo panenge pachibuda mvura kubva muvhu, uye isingaperi. chitubu 7 .
dandaudzi 	D- 	5 	z 		dandaudzi D- z 5 . dandemutande 5 .
dhuhwai 	DDK 	5 	z 		dhuhwai DDK z 5 . Dhuhwai ishiri yakakura inowanzogara pasina kunyanyovharidzirwa, inoita zvokutanga yamhanya isati yabhururuka. mukwasi 3, hwata 9 .
dapanyuchi 	KDKK 	5 	z 		dapanyuchi KDKK z 5 . Iri igwenzi rinomera richikwira nemiti uye riine mashiza anonamira. munyembasanga 3, mushambavazvere 3 .
dapatsikidzi 	KKDKD 	5 	z 		dapatsikidzi KKDKD z 5 . Urwu rudzi rwegwenzi rinoshandiswa kudzinga tsikidzi nokungoriisa pasi porukukwe chete.
dapitapi 	KDKD 	5 	z 		dapitapi KDKD z 5 . Uku kudya kunotapira zvakanyanya, sezvakaita uchi. dapurahunanzva . Uku kugona kutaura zvinofadza, zvokuti waunotaura naye anotobvuma chete zvaunenge uchida. Murume wokutaura dapitapi aiitisa vanhu basa raaifanira kuita iye.
dari 	DK 	5 	z 		dari DK z 5 . Dari kambuyu kadiki kanobatira pamhuka pakanomwa ropa rayo. Tinogarodhibhisa mombe dzedu kuti dzisaite madari.
di-i 	K 		ny 		di-i K ny . Kana panzvimbo pakanzi di-i panenge pane runyararo rukuru chose.
chitikinyani 	DDKDD 	7 	z 		chitikinyani DDKDD z 7 . Iri igwaro raifanopiwa vakomana vasati vasvika pazera rokutora zvitupa.
datawindi 	D- 	5 	z 		datawindi D- z 5 . datanana 5. .
dikwindi 	KKD 	5 	z 		dikwindi KKD z 5 . Dikwindi munda une vhu dema rakaorera.
dindiri 	K- 		ny 		dindiri K- ny . Kuti dindiri kuzadza chinhu kusvika pekupedzisira. Kuti dindiri kusunga chinhu zvakasimba zvokuti chinenge chisisazununguki.
chitokisi 	DKDD 	7 	z 		chitokisi DKDD z 7 . Iyi imba yepakamba yemapurisa inopfigirwa musungwa kana achangobatwa asi asati atongwa.
chitsaki 	DKD 	7 	z 		chitsaki DKD z 7 . Chitsaki inzvimbo inovakwa neshiri kuti igokandira nokuvatira mazai ayo.
davitavi 	D- 	5>6 	z 		davitavi D- z 5>6 . Iri idara rakavakwa rakakwirira, kuti mushandire makakwira pamusoro paro, asi richizobviswa zvaro kana mapedza zvamunenge muchida kuita zvacho.
dini 	K- 		bvunz 		dini K- bvunz . Dini izwi rioshandiswa nemunhu achida kuziva mafambiro ezvinhu.
diti 	D- 	5>6 	z 		diti D- z 5>6 . Diti inhengo yomuviri iri pakati pehuro nedumbu. chifuva 7, dundundu 5 .
chinyai 	D- 		dc 		chinyai D- dc . Ichi chidudzirachiito chinoreva zvinhu zvaitwa pasina mheremhere. Gomba rakapinda mumba chinyai.
chinyamadari 	DDDDK 	7 	z 		chinyamadari DDDDK z 7 . Aka kapukanana kanosveta ropa remhuka. chinyamunhari 7 .
chitsitsi 	DKK 	7 	z 		chitsitsi DKK z 7 . Chitsitsi chidimbu chinosara chakamira panenge patemwa muti. chitsiga 4 .
chitswiti 	DKK 	7 	z 		chitswiti DKK z 7 . Chitswiti kakomba kanoita padama kana pamatama evamwe vanhu kana vachiseka kana kutaura. bindi 5, sekerero 9 .
divisi 	KKD 	5>6 	z 		divisi KKD z 5>6 . Divisi mushonga unoshandiswa kutora simba rembeu dzavamwe mumunda.
chinzvi 	DK 	7 	z 		chinzvi chizvi DK z 7 . Chinzvi munyama wokusaroora kana kusaroorwa, unonzi dzimwe nguva unenge uchikonzerwa neshavi rinenge riri pamunhu.
chioko chebveni 	DKK DKD 	7 	z 		chioko chebveni DKK DKD z 7 . Iyi itsika yokugara uchirova vamwe nembama nguva dzose. chioko chegudo 7 .
chitunzi 	DKK 	7 	z 		chitunzi DKK z 7 . Chitunzi inhunzi huru inowanzouya paurayiwa n'ombe kana imwe mhuka. gunura 5 .
chitutamatuzvi 	DKKKDK 	7 	Z 		chitutamatuzvi DKKKDK Z 7 . Aka kapukanana kanonanaira, kanotora ndove kana neyomunhu, kachiiumbiridza kuita tumabhora, kachindoiisa mumwena kuti kagozokandirira mazai akomo.
chiuni 	DDK 	7 	z 		chiuni DDK z 7 . Chiuni ihuni dzinotemwa dziri nyoro, dzounganidzwa kuti dziome dzigozoshandiswa.
chipani 	DKD 	7 	z 		chipani DKD z 7 . Chipani imombe dzinenge dzakasungwa pamwe chete dzichirimiswa. Vane mombe dzavo zvavo vanotorima nezvipani zviviri zviviri panguva imwe chete.
chivakamberi 	DKKDK 	7 	z 		chivakamberi DKKDK z 7 . Ichi chivakiso chinoiswa kunoperera izwi, chichiwedzera zvarinoreva. Izwi rokuti kuvata rakaiswa chivakamberi rikava kuvatira.
chivhindikiti 	D- 	7 	z 		chivhindikiti D- z 7 . Uyu munhu anenge aine muviri mukuru, wakasimba.
donganyuchi 	DDKK 	5 	z 		donganyuchi DDKK z 5 . Urwu rukono rwenyuchi runokandirisa mazai zimai racho.
chipari 	DKD 	7 	z 		chipari DKD z 7 . Chipari mutambo wavaduku wokuti, vari kune rimwe divi vanotaura zvirevo, vamwe vachipa dudziro yazvo. chirahwe 7 . barika 5 .
chipeneti 	DKDD 	7 	z 		chipeneti chipenheti, chipereti DKDD z 7 . Ichi chisimbi chine kokupedzisira kunobaya, chinobatiswa pazvipfeko nemitambo yavana.
chiwanzausavi 	DDDDKK 	7 	z 		chiwanzausavi DDDDKK z 7 . Iri izita rinoshandiswa kureva chero chese chinodyiwa. Ishwa namajuru zviwanzausavi panguva yokunaya kwemvura.
dorambudzi 	K- 	5 	z 		dorambudzi K- z 5 . Iri igondo guru kudarika mamwe ose, rinogona kubata kana tsuro. chinyamudzura 7 .
dori dori 	KD+ 		ny 		dori dori KD+ ny . Kuti dori dori kumanya kunoita munhu nenhanho pfupi. Kuti dori dori kutomuka kunoita matacha kana zvitota zvisingagoni kubhururuka.
kofi 	KD 	9 	z 		kofi KD z 9 . Kofi imbesa kana kuti tsanga dzinoti dzaomeswa dzinosvipirira, dzokuyiwa dzichiita upfu hunoiswa mumvura inofashaira kugadzira chinwiwa chinopisa. Kofi chinwiwa chinopisa chinobikwa noupfu hwemhodzi dzechirimwa chinonzizve kofi. Kana zviya ndichida kuverenga usiku, ndinonwa kofi kuti ndisakurumidza kubatwa nehope.
kokisi 	KDD 	5 	z 		kokisi KDD z 5 . Ma kokisi tudyiwa tunonaka, tunoita zvokubhekwa nefurau neshuga.
kokonati 	KDDD 	5 	z 		kokonati KDDD z 5 . Kokonati muchero une ganda rakaoma zvikuru, rine tumveremvere nemukati makachena semukaka. Makokonati anowanikwa kunzvimbo dziri padyo nenyanza.
kwasvai kwasvai 	KKD+ 				kwasvai kwasvai KKD+ . Kuti kwasvai kwasvai kufamba zvishoma zvishoma pamusana pekuti uri kunzwa nzara zvakanyanya, kana kuti pamusana pekunyara kana kusvoda.
kwati 	KD 		ny 		kwati KD ny . Kuti kwati kuenda pedo pedo nechimwe chinhu. Kuti kwati kuisa chinhu pachinonyatsokwana.
mbandi 	KD 		ny 		mbandi KD ny . Kuti mbandi kubata zvakasimba, kazhinji neminwe. Mai vakati mbandi mupakato wepoto.
mai 	D- 	1a 	z 		mai amai D- z 1a . Mai mukadzi akakubereka. Mai izwi rekukudza rinoshandiswa kusheedza mukadzi wese wechikuru kana mukadzi wese akaroorwa. Mai mukoma kana munin'ina wamai vakakubereka. Mai izwi rinoshandiswa kureva vanhu vese vekumhuri kwakazvarwa mai vakakubereka.
mainini 	KDKD 	1a 	z 		mainini amainini KDKD z 1a . Mainini munin'ina wamai. Mainini mukadzi achangoroorwa asina mwana anonzi mainini nehanzvadzi dzemurume nevamwewo vese vechikuru. Mainini mukadzi wemunin'ina. Mainini mukadzi wemunin'ina wemurume wako. Mainini munin'ina wemukadzi wako. Mainini munin'inasikana. Mainini mukadzi mudiki pabarika.
majeni 	KDD 	9>6 	z 		majeni majini KDD z 9>6 . Majeni ndekunoperera bepa kana chimwewo. Kana uchitaipa unofanira kuona kuti majini dzako dzese, kuti yekumusoro, yekuzasi, yekuruboshwe neyekurudyi zvakanyatsoenderana.
mberi 	DK 	17a 	z 		mberi DK z 17a . Mberi inzvimbo iri kwakatariswa kana kunoendwa nemunhu. Diridza maruva ari mberi kwemba. ANTONYMS shure 17a.
kapfarivari 	DKDKD 	12 	z 		kapfarivari DKDKD z 12 . chimvari 7 .
kapi kapi 	KD+ 		ny 		kapi kapi KD+ ny . Kuti kapi kapi kunwa mvura uchiita zvokuiteka namaoko uchikasika. Akamboti kapi kapi mvura mumufuku asati ayambuka rukova.
komboni 	KDD 	9>10/6 	z 		komboni KDD z 9>10/6 . Komboni inzvimbo ine dzimba zhinji dzakamanikanidzana, dzinenge dzakavakirwa vashandi kuti vagare pedyo nepabasa pavo, sezvakaita papurazi kana pamugodhi.
komiti 	KDD 	9>10/6 	z 		komiti KDD z 9>10/6 . Komiti chikwata chevanhu vanenge vakasarudzwa kutungamirira sangano.
makandinzwanani 	DKDKDK 	9 	z 		makandinzwanani wakandinzwanani DKDKDK z 9 . Iyi imari inobvisiswa vakuwasha natezvara, apo vanenge vachibvunza vakuwasha kuti akakutaurirai kuti ndine mwana akanaka pano ndiani.
makasi 	D- 	6 	z 		makasi D- z 6 . Makasi makadhi ekutambisa mutambo wenjuga. Makasi mutambo wenjuga. Makasi mamiriro ezvinhu asingazivikanwi maperero awo. Amai vangu vaigara vachititaurira kuti upenyu makasa, saka tinofanira kugara takagadzirira nekuti hatizivi zvinoitika mangwana.
makei 	DKD 	6 	z 		makei DKD z 6 . Makei igore rakapera kana kuti gore rinouya. Makei izwi rinoshandiswa nevechidiki kureva kuti munhu akura kana kuti ava mudhara.
makorosibhandi 	D- 	6 	z 		makorosibhandi makurusibhandi D- z 6 . Iyi micheka inopfuura nepamapipito, inobata masiketi kana mabhurukwa asingasungwe nebhandi kuti asadonha.
kaputeni 	KDDD 	1a>6 	z 		kaputeni KDDD z 1a>6 . Uyu munhu anenge ari mutungamiriri muboka rake. Kaputeni wetimu ndiye anogamuchidzwa mukombe kana timu yahwinha.
konji 	D- 	9 	z 		konji D- z 9 . Konji ishinda iya inowanikwa kana munhu achinge apura chimwoyo chemufaibha kana mushayamhanda.
makumbi 	DDK 	1a 	z 		makumbi DDK z 1a . Makumbi munhu, kazhinji wechikadzi, anobatsira n'anga nekuturikira zvainenge yataura kuvarapwi.
makwati 	DDK 	6 	z 		makwati DDK z 6 . Makwati makanda anowanikwa pamiti. Makwati makanda akaomarara chaizvo, anodzivirira tupuka tune makanda matete twakaita sekamba. mari 9 . Makwati ndeimwe yemari inobviswa nemunhu kana achida kuroora nenzira yekukumbira.
kari 	KD 	5 	z 		kari KD z 5 . Kari upfu hunomwayiwa munyama kana mumuriwo kuti uvavirire, asi kwete kuzovava chaiko semhiripiri.
karikiriki 	DKDKD 	12 	z 		karikiriki DKDKD z 12 . Karikiriki mushando unoitwa navanhu vakawanda vachikurumidza. Kana mvura yaturuka, vanhu vanenge voita karikiriki kurima nokukavira mbeu. kakirikiri 12 .
konzi 	KD 	9>10 	z 		konzi KD z 9>10 . Konzi chipundu chinorwadza chichipisa zvekuti dhu, chinoita pachigunwe chidiki, chinowanzokonzerwa nekupfeka bhutsu dzinobata. Nhasi ndatsikwa konzi pabhazi ndikaita kunge ndichafenda nokurwadziwa.
maminimini 	D- 	6 	z 		maminimini D- z 6 . Ichi chiititiko chinoshamisa chaizvo. Pakauya vachena muZimbabwe, ziteteguru revaShona, Chaminuka, rinonzi rakaita maminimini risingafi pavaiedza kuriuraya.
mamutindi 	KDKK 	5 	z 		mamutindi KDKK z 5 . Mamutindi igudo gadzi. mboi 9, gonyo 5 .
mandiriri 	DKKK 	6 	z 		mandiriri DKKK z 6 . Uku kuita chimwe chinhu zvakanyanya chaizvo, kusvika kwekupedzisira. Pamuchato vanhu vakanga vakachena zvemandiriri.
kwesheni 	KDD 	9>10/6 	z 		kwesheni KDD z 9>10/6 . mubvunzo 3 .
karukuni 	DKDD 	9 	z 		karukuni DKDD z 9 . garikuni 5 .
kosi 	KD 	9>10/6 	z 		kosi KD z 9>10/6 . Kosi chirongwa chezvidzidzo zvepamusoro zvinoitwa muchikoro, kana kuti paunenge uchidzidzira basa.
mangai 	DKD 	6 	z 		mangai DKD z 6 . Mangai chibage chakaoma chakatokonorwa chikabikwa. mungai 3, manjewere 6 .
mangwanani 	D- 	6 	z 		mangwanani D- z 6 . Idzi inguva dzekutanga kwezuva kusvika panozotangawo masikati. Izwi rinoshandiswa kumhoresa vanhu munguva dzekunze kuchangoedza.
