ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
tutururu 	D- 		ny 		tutururu D- ny . Kuti tutururu kungoerekana wasvika panzvimbo, usingatarisirwi. vhu, bvendu . Kana munhu akangoti tutururu anenge akashurikirwa. hurududu .
tuzu 	D- 		ny 		tuzu D- ny . tumbi .
twa 	D 		ny 		twa D ny . Kuti twa kupfura kunoita pfuti kana ndandi.
twi 	K 		ny 		twi K ny . twe .
twiri twiri 	DK+ 		ny 		twiri twiri DK+ ny . Kuti twiri twiri kuseka kuno kusvotesa mukati.
tyaka tyaka 	D- 		ny 		tyaka tyaka D- ny . Kuti tyaka tyaka kurira kunoita mumabvi memunhu, achifamba zvishoma-zvishoma zvine usimbe mukati.
tye 	K 		ny 		tye K ny . Kuti tye kutsemura kamuti, sezvinoita munhu anenge achigadzira maruka etswanda.
u-uwi 	DDK 		ny 		u-uwi DDK ny . Kuti u-uwi izwi rinoreva kudanidzira kunoita munhu achichema kurwadziwa nokutsvaka kubatsirwa.
undumu 	KKD 		ny 		undumu KKD ny . Kuti undumu kuwira pasi kunoita chinhu chinorema, chichibva pakakwirira.
undundu 	D- 		ny 		undundu D- ny . Kuti undundu kutaridzika usina simba, uye usinganzwi zvakanaka.
unga unga 	D- 		ny 		unga unga unge unge D- ny . Kuti unga unga kuuya pamwe chete kwezvinenge zvakaparadzana.
uno 	KD 		nan' 		uno KD nan' . Uno chinan'anuri chinomirira mazita emipanda 1a, 1 ne3. Mukore uno hapachina munhukadzi achabvuma zvokumbunyikidzwa.
uru 	D- 		ny 		uru D- ny . Kuti uru kusvetuka napamusoro pechinhu. Mukomana ati uru pamusoro pegoronga.
uta uta 	KD+ 		ny 		uta uta KD+ ny . Kana munhu akati uta uta anenge achifamba achiratidza kupusa.
uya 	KD 		nan' 		uya KD nan' . Ichi chinan'anuri chemupanda 1a, 1 ne3.
vadu 	KD 		ny 		vadu KD ny . Kuti vadu kuzadza mugomo kana chii zvacho kusvika pamuromo.
vafa 	D- 		ny 		vafa D- ny . Kuti vafa kuvata pasi nedumbu, musoro uri pasi.
vai 	D- 		ny 		vai D- ny . Kana kwati vai kunenge kwaonekwa chiedza chichibva chadzima pakarepo, sezvinoita mheni.
vaku 	D- 		ny 		vaku D- ny . vhai .
vamba 	KD 		ny 		vamba KD ny it . Kuti vamba kufamba kungaita mhuka ine dumbu rakarembera nokuda kwekuguta. N'ombe yaguta uswa inoti vamba.
vambara 	D- 		ny 		vambara D- ny . Kuti vambara kurara pasi neuso hwakatarisa pasi.
vambu 	D- 		ny 		vambu D- ny . Kuti vambu kubva mhiri kwerwizi, uchienda kune rimwe divi racho. yambu .
vandanu 	D- 		ny 		vandanu D- ny . Kuti vandanu kubudisa pachena zvanga zvakavigwa. vandanyu .
vandanyu 	D- 		ny 		vandanyu D- ny . vandanu .
vano 	KD 		nan' 		vano KD nan' . Vano chinan'anuri chinoreva kuti vari kutaurwa nezvavo vari pedo. Uri kureva sekuru vapiko? Vano vari apa avo.
varavara 	D- 		ny 		varavara D- ny . Kuti varavara kufambisa chinhu nokukasika zvikuru.
vata 	D- 		ny 		vata D- ny . Kana zvinhu zvakati vata , zvinenge zvakaenzana zvose. Chibage mumunda chakati vata.
vavava 	D- 		ny 		vavava D- ny . Kuti vavava kugara wakamirira chimwe chinhu, icho chisingazoitiki.
vazvu 	KD 		ny 		vazvu KD ny . Kuti vazvu kumira uchiratidza kupererwa nemazano pamusoro pezvaitika. Imbwa yakasara yakati vazvu, tsuro yapinda mumwena.
vh 	D 		nzv 		vh D nzv . Iyi inzvanyira inodaidzwa ichinzi vhi , inowanikwa pakati pa vi na wu mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
vhinyu 	KD 		ny 		vhinyu KD ny . Kuti vhinyu kuzvongonyoka nokukasika kungaitwa nomunhu kana aerekana ajungwa pambabvu asingafungire, kana kuitwa zvimwewo zvinovhundutsa.
vhurumu 	KKD 		ny 		vhurumu KKD ny . Kuti vhurumu kungokaruka munhu ongotaura zvisinganzwisisiki.
virikiti 	D- 		ny 		virikiti D- ny . Kana munhu akati virikiti anenge achibva pakavanda, ongokaruka ava pamhene.
w 	D 		nzv 		w D nzv . Iyi inyanzvira inodaidzwa ichinzi wu , inowanikwa pakati pa vhi na wayi mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
wanyu 	DK 		ny 		wanyu DK ny . Kuti wanyu kukakata chinhu kuti chitasanuke. Iti nhovo iyo wanyu, tione kugara tose.
warakata 	D- 		ny 		warakata D- ny . Kuti warakata kudonha pasi kwetunhu twakawanda tuchirira.
waranyu 	D- 		ny 		waranyu waranu D- ny . Kuti waranyu kubvisa jira kana chimwewo chambenge chakawaridzwa kana kufukidzwa pamusoro.
warara 	D- 		ny 		warara D- ny . Kuti warara tsanga dzechibage kudzikanda pasi dzichiwira uko nekokoko. Mapepa akanzi warara nechinanze. -bvururu .
warawara 	D- 		ny 		warawara D- ny . Kuti warawara kudonha zvinyoronyoro zvisina ruzha, sezvinoita mvura yeguti.
ware 	D- 		ny 		ware D- ny . Kuti ware kutiza pakare pakarepo.
waru 	DK 		ny 		waru DK ny . Kuti waru kubvisa gumbeze kana chimwewo changa chakatambanudzwa.
washuwashu 	D- 		ny 		washuwashu D- ny . Kuti washuwashu kufamba zvine ruzha runokonzerwa nemashizha emiti akaoma, kana bhutsu dzinenge dziri nyoro mukati. Ndaifamba ndichiti washuwashu pasi pemikute.
waya 	D- 		ny 		waya D- ny . Kuti waya kurira kunoita mari yemasirivha ikange yadonhedzwa. Kuti waya kumwaya mbeu kana tsanga pasi mumunda. -kusha .
wayawaya 	D- 		ny 		wayawaya D- ny . Kuti wayawaya kuzarisa kunoita zvinhu mumudyiyo.
weshuweshu 	D- 		ny 		weshuweshu D- ny . Kuti weshu weshu kufamba zvisina hanya uye zvine ruzha.
wewenu 	KKD 		ny 		wewenu KKD ny . Kuti wewenu kuburitsa chinhu kubva muhomwe.
wewerere 	K- 		ny 		wewerere K- ny . Kuti wewerere kuvhomora zibanga kana chimwe chinhu chakareba.
wi 	D 		ny 		wi D ny . Kuti wi kupinza chinhu mukati mechimwe zvine chimbichimbi.
wire-e 	D- 		ny 		wire-e D- ny . Kuti wire-e kumbundirana kunoita vanhu kana vasangana vachimhoresana. Mai nomwana vakati wire-e kumbundirana nomufaro.
wobvodo 	D- 		ny 		wobvodo D- ny . Kuti wobvodo kubika zvekuibvisisa zvinhu. Nyemba dzaibvisa dzinowobvodoka pakudya.
wovo 	D- 		ny 		wovo D- ny . Kuti wovo kutiza panzvimbo nenzira inoenda nomukati medenhere. Chikomba chakati wovo neseri kwemba, kutiza muridzi womukadzi.
wudyu 	KD 		ny 		wudyu KD ny . Kuti wudyu kutarisa chinhu kwenguva huru, maziso asingabwairi.
yangaru 	D- 		ny 		yangaru D- ny . Kuti yangaru kupapamara pamusoro pemvura. yangarara .
yaru 	D- 		ny 		yaru D- ny . Kuti yaru kusvika pazera reumhandara rekutanga kubumba mazamu, kana reujaya rekutanga kukodza izwi.
yemu 	DK 		ny 		yemu DK ny . Kuti yemu kuchochora chinhu chakanaka.
yengerere 	D- 		ny 		yengerere D- ny . yangarara .
yerere 	D- 		ny 		yerere D- ny . Kuti yerere kufamba kunoita mvura ichidzika nerwizi.
zananda 	K- 		ny 		zananda K- ny . Kuti zananda kuzvimba dumbu mushure mekudya zvakanyanya. Twana twakasara matumbu asiti zananda kuzara nemutakura wenyemba. tananda .
zaru 	DK 		ny 		zaru DK ny . Kuti zaru kuvhura chakavharwa.
zavhu 	KD 		ny 		zavhu KD ny . Kuti zavhu kurova munhu nechibhakera zvinorwadza. Akachinzi zavhu chamatsenganzungu, akaona nyenyedzi. Kuti zavhu kusairira munhu kwakadaro.
zete 	D- 		ny 		zete D- ny . Kuti zete kutema kwekuti chauri kutemesa chacho chinodzika kana kunyura zvakanyanya.
zivha 	D- 		ny 		zivha D- ny . Kana munhu achinzi akati zivha , anenge akagara zviya zvounungo. Usarambe wakati zivha apo, isu tichifanira kudzokera kumunda.
chati 	KD 		ny 		chati KD ny . Kuti chati kusimudza mvura mudenga kunoitwa nechinhu chinenge chakandwa mudziva.
chawa 	D- 		ny 		chawa D- ny . Kuti chawa kuwira mumvura kwechinhu zvine simba zvokuti mvura inopfachuka ichikwira mudenga.
chibidi 	K_ 		ny 		chibidi K_ ny . Kuti chibidi mafuta kuawanza mumuviri kana mune zvekudya.
che-e 	D- 		ny 		che-e D- ny . Kuti che-e kutambanudza rupasa kana chimwe chokuwaridza kuti vanhu vagare vakanyatsokwana. Ukaona vanhukadzi vakati rupasa che-e, wobva waziva kuti vari kuita makuhwa. Kuti che-e kucheka nokukasira nebanga rinopinza chaizvo. Ndakamuti che-e padama ndikasiya achijuja ropa.
chechema 	KKD 		ny 		chechema KKD ny . Kuti chechema kuvhiringika mupfungwa zvokubva watadza kuziva zvokuita. Pandakanzwa nezvokubiwa kwemombe yangu, ndakati chechema ndashaya romuromo. tuzu .
chechenga 	KKD 		ny 		chechenga KKD ny . Kuti chechenga kusangana kana kuungana pamwe chete kwevanhu vane ukama kana vane chimwe chinhu chavanoita vose. Pazororo regore idzva vazukuru vanenge vakati chechenga pamba pambuya vachipembera.
chechetere 	D- 		ny 		chechetere D- ny . Kuti chechetere kuenzanirana kwezvinhu paurefu hwazvo. Misoro yavanhu yakati chechetere mubhazi.
chedzu 	KD 		ny 		chedzu KD ny . Kuti chedzu kuvako kwechiedza chikuru kwenguva duku sezvinoita mvura inopenya.
cheenene 	KDDD 		ny 		cheenene KDDD ny . Kuti cheenene kutarisa shure kwawakafuratira nokukasira, uye uchitaridza kuvhunduka. cheu . Kuti cheenene kurangarira chawambenge wakanganwa.
cheke 	DK 		ny 		cheke DK ny . Kuti cheke kurira-rira kwechinhu chinenge chazununguswa zvokuti chinenge chava kugumhira pane chiri pedo nacho.
chekuche 	D- 		ny 		chekuche D- ny . Kuti chekuche kuedza kwekunze. Kunze kwati chekuche takangosvinura.
chinga 	D- 		ny 		chinga D- ny . Kana shiri dzikati chinga panhu, dzinenge dzamhara dzose dzakawanda. Shiri dzati chinga mumunda wegorosi.
chengu 	D- 		ny 		chengu D- ny . Kana munhu ati chengu anenge atarisa neziso rekubiridzira. Muramu akanditi chengu neziso apo ndakamuti ndaimuda.
chenyu 	D- 		ny 		chenyu D- ny . Kuti chenyu kucheka zvakadzika kana kutsemuka kweganda. Ndanzi chenyu nebanga apo ndanga ndichivedzenga nyama.
chesu 	KD 		ny 		chesu KD ny . Kuti chesu kuoma kunenge kwakaita muromo nokuda kwenzara kana kuti nyota. Aswera muromo wangoti chesu vamwe vachinwa zvavo doro.
cheu 	KD 		ny 		cheu KD ny . Kuti cheu kutarisa kumashure nokukurumidza. Ndati cheu pandanzwa mutsindo kumashure kwangu.
chidigu 	KKD 		ny 		chidigu KKD ny . Kana chinhu chati chidigu chinenge chafa pasina nguva yakareba. -didinya .
chapwa 	KD 		ny 		chapwa KD ny . Kuti chapwa kusimuka mudenga uye kuita ruzha kwemvura inenge yakandirwa chinhu chakaita sedombo guru.
chari 	KD 		ny 		chari KD ny . Kuti chari kupfuura nepamusoro pechinhu uchiita zvokuuruka. jari .
charu 	KD 		ny 		charu KD ny . chari .
bwibwima 	D- 		ny 		bwibwima D- ny . Kuti bwibwima kutaridza kusuwa pameso. Ndakaona akati bwibwima pameso, ndikabva ndaziva kuti pane chakaipa chakange chaitika kwaari.
bwichi 	D- 		ny 		bwichi D- ny . Kuti bwichi kuwa kwechinhu kubva pakakwirira kuenda pakadzakira, zvisina ruzha.
bwiti 	KD 		ny 		bwiti KD ny . Kana chinhu chichiti bwiti chinenge chichinyura mumvura. Chitubatuba pachakati bwiti kunyura mumvura, ndakaziva kuti ndakange ndabata hove. pwiti, nya-a .
bwititi 	D- 		ny 		bwititi D- ny . Kuti bwititi kutibuka kunoita huruva kana hutsi.
barabada 	D- 		ny 		barabada D- ny . Kuti barabada kusimuka kana kumuka kwemunhu kana mhuka yanga yakarara zvichiita sekuvhunduka.
biribidi 	D- 		ny 		biribidi D- ny . Kuti biribidi kudonha zvine simba kwemunhu apingwa. Ndakamupinga ndare achibva ati biribidi muvhu. Kuti biribidi kutsika-tsika pasi kwemunhu ari kurwisana neumwe. bhibhiri .
bvabvanyu 	KKD 		ny 		bvabvanyu KKD ny . Kuti bvabvanyu kudambura kunoita munhu nyama nemazino.
bvanganyu 	KKD 		ny 		bvanganyu KKD ny . Kuti bvanganyu kupararira kwezvinhu zvanga zvakabatana kana kuti zvakarongwa pamwe. bvanyangu .
changinja 	DKD 		ny 		changinja DKD ny . Kuti changinja kutorera munhu chaakabata, zvikuru chombo nechisimba.
chanja 	KD 		ny 		chanja KD ny . Kuti chanja kurambisisa kuita chimwe chinhu. chava, kan'a .
chanjama 	KKD 		ny 		chanjama KKD ny . Kuti chanjama kunyanya kukwirira kana kurebesa kupfuura zvinofanirwa. Kuti chanjama kuramba kuita zvaunenge wanzi uite.
chanya 	K- 		ny 		chanya K- ny . chanyau .
bvangara 	D- 		ny 		bvangara D- ny . Ku bvangara kuchera ivhu uchiriparadza-paradza.
bvatu 	KD 		ny 		bvatu KD ny . Kuti bvatu kutanga chinhu nepakuru. Akabva ati ziimba rake bvatu. Kuti bvatu kusimuka kunoita munhu nekukasika. kwaku .
chapu 	KD 		ny 		chapu KD ny . Kana munhu achinzi ati chapu anenge asimudza chimwe chinhu nokukasika. chachapu .
bepe 	D- 		ny 		bepe D- ny . Kuti bepe kunyatsowaridzwa kwezvakaita rukukwe kana gumbeze.
bera 	D- 		ny 		bera D- ny . Kana munhu akati bera anenge agara panzvimbo yaasingatarisirwi kunge achigara. Ko zvawati bera pachituru chababa, uri kuda kuzviita baba vepano here?
bo 	K 		ny 		bo K ny . Kuti bo kurova pamuromo. Kuti bo kuvhara muromo uzere nezvokudya mukati. Kuti bo kukanda zvekudya mumuromo. bochi . Kuti bo kubwaira maziso sezvinoita munhu ari kutyisidzirwa. bochi . Kuti bo kutyora chinhu chisina kusimba nepakati. tyo .
bochi 	KD 		ny 		bochi KD ny . Kuti bochi kupotsera zvekudya mumukanwa. Akanga achiti bochi kudya mazhanje.
bodi 	DK 		ny 		bodi DK ny . Kuti bodi kuvhara maziso, kazhinji zviine kushora mukati kumunhu waunaye. Kuti bodi kuvhara maziso. tsinzinzi .
bvau 	D- 		ny 		bvau D- ny . Kuti bvau marovero anoita hana kana munhu avhundutswa.
bve 	D 		ny 		bve D ny . Kuti bve kupfuta kunoita moto wakajeka. nyeku nyeku .
bve bve bve 	K- 		ny 		bve bve bve K- ny . Kuti bve bve bve ruzha runoitika kana munhu achikuya.
bwo 	D 		ny 		bwo D ny . Kuti bwo kuvhunika nyore kwebazi remuti uchangotunga. podo, bhodo .
ch 	D 		nzv 		ch D nzv . Iyi inzvanyira inodaidzwa ichinzi chi inowanikwa pakati pa bhi na di mubumbiro remavara anoshandiswa pakunyora rurimi rweChiShona.
bh 	D 		nzv 		bh D nzv . Iyi inyanzvira inodaidzwa ichinzi bhi inowanikwa pakati pa bi na chi mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
bha bha bha 	K- 		ny 		bha bha bha K- ny . Kuti bha bha bha kurira kunoita mapapiro eshiri kana ichibhururuka.
bha-a 	D 		ny 		bha-a bva-a D ny . Kuti bha-a kujeka nekuda kwechiedza. Ndaona pachivanzi kuti bha- a magetsi emota, ndinofunga kuti sekuru vadzoka. Kuti bha-a kubuda kunoita zuva munguva dzemangwanani.
bodo 	D- 		ny 		bodo D- ny . Kuti bodo kuibvisa kwechinhu chabikwa.
boi 	DK 		ny 		boi DK ny . Kuti boi kuchema kweshiri dzichiita ruzha ruri pamusoro. Kuti boi kupopotedzana nemazwi ari pamusoro.
boko 	KD 		ny 		boko KD ny . Kuti boko kudongorera mukati kana kunze. Iti boko panze uone kana vava kudzoka. Kuti boko kurutsa pamusaka pokusvotwa. Mukadzi uyo ane pamuviri paangonzwa munhuhwi wenyama abva angonoti boko panze.
bveru 	DK 		ny 		bveru DK ny . Kuti bveru kumara zvishomanana. kweru, tsvaru .
bveveve 	D 		ny 		bveveve D ny . Kuti bveveve kugara panzvimbo isingatarisirwi kuti munhu angagara. Akasvikoti bveveve paive pazere marara.
chabwi 	DK 		ny 		chabwi DK ny . Kuti chabwi kupinda mumvura uchifamba zvokuti imwe mvura shoma inosimuka mudenga. Takasvika kumba ichingova chabwi chabwi mumadhaka emvura yakanga yabva mukunaya. churi .
chachama 	KKD 		ny 		chachama KKD ny . Kana munhu achinzi ati chachama anenge aramba kusandura mafungire ake nokuda kokuti anenge achiti zvaanofunga ndicho chokwadi. Tezvara vakati chachama neshoko ravo rokuti roora vanorida rose nguva iyoyo. chacharara .
bhabhanu 	D- 		ny 		bhabhanu D- ny . Kuti bhabhanu kupetenuka kunoita sezvakaita jira kana bepa rakapetwa.
bhagu 	KD 		ny 		bhagu KD ny . Kuti bhagu kurova chinhu zvakasimba uye zvine mutsindo. Ndakamuti bhagu achibva adonha pasi.
bhagu bhagu 	D- 		ny 		bhagu bhagu D- ny . Kuti bhagu bhagu kurira kunoita mvura kana ichisabvurwa nemunhu anenge achishambira.
bomo 	KD 		ny 		bomo KD ny . Kuti bomo kurova muromo. Mai vakati muromo wemwana aichema bomo kuti anyarare. Kuti bomo kutaura zvisiri izvo chaizvo zvimwe zvichisiyirirwa zvimwe zvichiwedzerwa.
bvo-o 	D- 		ny 		bvo-o D- ny . Kuti bvo-o kupfonyera chitsiga chemoto kana chimwewo chinobvira pane chimwe chinhu. Akati bvo-o chitsiga chemoto mumvura chichibva chadzima.
bvodyo 	DK 		ny 		bvodyo DK ny . Kuti bvodyo kuita buri nekukasika. Bere rakati bvodyo kupinda muchirugu richibva radya mbudzi mbiri.
chachanu 	D- 		ny 		chachanu D- ny . Kuti chachanu kumera nguva imwe chete kunoita mbeu dzakanyikwa mumvura. Zviyo zvakanyikirwa doro rebira zvakati chachanu mukati memamazuva matatu. Kuti chachanu kubudisa chinhu mumvura uchiita zvokukweva.
chachava 	KKD 		ny 		chachava KKD ny . Kuti chachava kutadza kufamba. Murume mukuru akati chachava makumbo abatwa nechiveve.
chachu 	KD 		ny 		chachu KD ny . Kana ukati chachu unenge watora chinhu chokudya chichiri pamoto sezvinowanzoitwa neanokara. Ndakati chachu nyama mugapu ndaona kuti hapana aindiona.
bharanganda 	D- 		ny 		bharanganda D- ny . Kuti bharanganda kuvaima kunoita kunze kana kuchinaya kuine mupande. Kana munhu achinzi akati bharanganda anenge aine pameso panoratidza kungwara.
bongomo 	KKD 		ny 		bongomo KKD ny . Kana munhu achiti bongomo anenge achisheedzera nezwi riri pamusoro ari mukutambudzika.
chadu 	KD 		ny 		chadu KD ny . Kuti chadu kucheka chinhu chakanyorovera uchishandisa banga rakapinza chaizvo. Aingoita matomatisi okuti chadu nezibanga rake raipinza semare.
bhe 	D 		ny 		bhe D ny . Kana zvinhu zvichinzi zvaitwa zvokuti bhe zvinenge Øzvanyatsoitwa nemazvo.
boo 	D- 		ny 		boo D- ny . Mombe inoti boo kana ichichema sekunge zviya yatungwa neimwe.
bvu 	D 		ny 		bvu D ny . Kuti bvu kuseka kwevanhu vakawanda nguva imwe. Paakadonha nebhasikoro, vanhu vose vakabva vati bvu kuseka. Kuti bvu kupfeka hembe refu inovharidzira kwese kwese. Ambuya vangu vanofarira kuti ndivatengere hembe dzinoti bvu. Kana chinhu chakanzi bvu chinenge chakawaridzwa. Kuti bvu kuparadzira zvinhu zvakawanda. Nhumbi dzaJojo dzaive dzakati bvu paruware. Kana munhu akati bvu anenge akaneta zvikuru.
bvubvuma 	KKD 		ny 		bvubvuma KKD ny . Kuti bvubvuma kugara wakakondomara musana zvichiratidza usimbe.
bvuju 	D- 		ny 		bvuju D- ny . Kuti bvuju kupinda mudziva rine mvura uchijakukira. Akati bvuju mumvura achibva atanga kudhidha. bvuva .
chaka chaka 	DK+ 		ny 		chaka chaka DK+ ny . Kuti chaka chaka kurira kunoita mvura kana munhu achitsika pasina kudzika. Kuti chaka chaka kurira kunoita zvipfekwa, kazhinji zvomumakumbo kana ndarira. Matende akasungirirwa mumakumbo anorira achiti chaka chaka.
chakachaka 	D- 		ny 		chakachaka D- ny . Kuti chakachaka kuva nemiromo yakazara mafuta mushure mokudya zvine mafuta akawanda. Vana vakaswera miromo yakati chakachaka nemafuta kuti vamwe vazoona kuti vaive vadya nenyama yehuku. tapa tapa . Kuti chakachaka kunyorova kwenzvimbo hembe kana machira. Machira akafuma akati chakachaka neweti yakaitwa navana usiku. tapa tapa .
bherengende 	K- 		ny 		bherengende K- ny . Kuti bherengende kuvhura musuo nokupinda munhu asina kumbomira.
bheu 	D- 		ny 		bheu D- ny . Kana musuo wakati bheu unenge wakavhurika. Ndawana musuo wanzi bheu nemhepo.
bvujunu 	D- 		ny 		bvujunu D- ny . Kuti bvujunu kukanganisa mamiriro ezvinhu zvanga zvakamira zvakanaka.
bvuku 	KD 		ny 		bvuku KD ny . Kuti bvuku kuzunza chimwe chinhu.
chakwa chakwa 	DK+ 		ny 		chakwa chakwa DK+ ny . Kuti chakwa chakwa kufamba nemumvura isina kudzika kana nemumadhaka. Mombe dzaiti chakwa chakwa mumachakwi dzichitsvaka mvura yokunwa.
chakwata 	D- 		ny 		chakwata D- ny . Kuti chakwata kunyanya kunyorova kwenhumbi mushure mokunge wanayiwa wakadzipfeka. Nhumbi dzakati chakwata kunyorova pasina nguva mvura yatanga kunaya. torododo .
bhidha bhidha 	KD+ 		ny 		bhidha bhidha KD+ ny . Kana munhu achiti bhidha bhidha anenge achitsika pasi nesimba zvekuratidza kuti akashatirwa. Ndasiya baba vachiti bhida bhida kufamba nechivanze vakamirira vakomana vadyisa munda wavo nemombe.
bhigi 	DK 		ny 		bhigi DK ny . Kuti bhigi kutsika pasi zvine mutsindo sezvinoita mombe kana bhiza.
bhikiriri 	D- 		ny 		bhikiriri D- ny . Kuti bhikiriri kufamba zvishomashoma zvichiratidza kuti munhu ari kunzwa usimbe.
bhimhi 	KD 		ny 		bhimhi KD ny . Kuti bhimhi kurova munhu kamwe chete nechibhakera kumusana, pachipfuva kana kuti mudumbu. Usati mwana bhimhi mudumbu, unozomukuvadza.
bhinyi 	D- 		ny 		bhinyi D- ny . Kana munhu achiti bhinyi anenge achifamba zvekuratidza kuti ane hasha panguva idzodzo.
bu 	D 		ny 		bu D ny . Chinhu chinonzi chati bu kana chikadonhera pasi zvine mutsindo. Kuti bu kuombera maoko kamwe chete.
bu 	K 		ny 		bu K ny . Kuti bu kurova zvine ruzha. Munhu anonzi ati bu kana akabudisa maziso kuratidza kuvhunduka kwaanenge aita. Munhu anogona kunzi ati bu kana akavhara muromo pasina zvaari kutaura.
bubudu 	KKD 		ny 		bubudu KKD ny . Kana munhu achiti bubudu anenge achitsenga zvinhu zvakaomarara.
bho 	K 		ny 		bho K ny . Kuti bho kurova chinhu kamwe chete. Kuti bho kurovera pane chimwe chinhu. Pandakacheuka kuti ndione aindidaidza, ndakabva ndangoti bho pamuti wanga uri padivi penzira.
bhodho bhodho 	D- 		ny 		bhodho bhodho D- ny . Kuti bhodho bhodho kufamba zvishoma nezvishoma kwemunhu anozvida.
bhodyo 	DK 		ny 		bhodyo DK ny . Kuti bhodyo kuboora chinhu nekukasika.
bubunyu 	DDK 		ny 		bubunyu DDK ny . Kuti bubunyu kutsenga zvinhu zvakaita senyimo dzakakangwa.
budu 	KD 		ny 		budu KD ny . Kuti budu kutyoka kwechinhu chakapfava.
bvungunju 	KKD 		ny 		bvungunju KKD ny . Kuti bvungunju kurova chinhu kuti chitswanyike-tswanyike.
bhofo 	DK 		ny 		bhofo DK ny . Kuti bhofo kuboora chinhu chakanyorovera.
bhogo 	DK 		ny 		bhogo DK ny . Kuti bhogo kubika zvinhu zvakawanda nguva imwe, sechibage kana manhanga akawanda. Kuti bhogo kuvhuna ipwa kana nzimbe.
bhoto bhoto 	D- 		ny 		bhoto bhoto D- ny . Kuti bhoto bhoto kufamba mumadhaka kana kuti panzvimbo ichangorimwa. kubvu kubvu .
bhovho 	DK 		ny 		bhovho DK ny . Kuti bhovho kuboora chinhu chakatefeteka. Kuti bhovho kuchema misodzi ichibuda pamusaka pokurwadziwa.
bumau 	KKD 		ny 		bumau KKD ny . Kuti bumau kusairira musoro wemunhu zvekuda kumudenha.
bvure bvure 	D- 		ny 		bvure bvure D- ny . Kuti bvure bvure kurara kunoita mhuka kana zvipfuyo zvakawanda zvabva kumafuro. Kuti bvure bvure kutaridza kuva nehope dzakasimba zvikuru. Akarara kupungwe, ndosaka maziso ake akati bvure bvure nehope.
bvurukutu 	D- 		ny 		bvurukutu D- ny . Kuti bvurukutu kukaruka wawira pasi.
bhovo 	DK 		ny 		bhovo DK ny . Kuti bhovo chinhu kuchiita zvekupedzeredza. Pataibika mangai takati moto bhovo pahari kuti ikwate nekukurumidza. Kuti bhovo kuboora buri rinobudikira kune rimwe divi.
bhu bhu bhu 	D- 		ny 		bhu bhu bhu D- ny . Kuti bhu bhu bhu ruzha runoitwa nemapapiro eshiri kana ichibhururuka kuenda mudenga. Kuti bhu bhu bhu kupura mbesa dzakaita semhunga nezviyo. Kuti bhu bhu bhu kurova-rova chinhu kuti guruva riri pachiri ribve. Enda unoti bhu bhu bhu saga iri panze tizogara.
bhubhunu 	DDK 		ny 		bhubhunu bubunu DDK ny . Kuti bhubhunu kutsenga zvinhu zvakaoma zvakaita semabhonzo.
bhucha 	KD 		ny 		bhucha KD ny . Kuti bhucha kudonha kwechinhu chichipfachura zvinhu zviri pachinowira.
bhudhi 	DK 		ny 		bhudhi DK ny . Kuti bhudhi kurwa, kazhinji kuri kwemachongwe ehuku.
bunga 	D- 		ny 		bunga D- ny . Kuti bunga kupeta kunoita munhu maoko.
bvuu 	D- 		ny 		bvuu D- ny . Kuti bvuu kuzunguza chimwe chinhu kuti chibve tsvina. Iti bvuu bhachi rangu ribve huruva.
bvuve 	D- 		ny 		bvuve D- ny . Kuti bvuve kunyika chimwe chinhu kwenguva refu mumvura. Kuti bvuve kurova neshamhu.
bwa 	D 		ny 		bwa D ny . Kuti bwa kubaya nebanga zvakasimba uye zvakadzika.
ambu 	D- 		ny 		ambu D- ny . yambu .
bhugumu 	KKD 		ny 		bhugumu KKD ny . Kuti bhugumu kugumha chinhu chine zvinhu mukati chobva chaputsika. Ndakati bhugumu bhotoro remafuta ekubikisa achibva azara nemba yese.
bhuku 	D- 		ny 		bhuku D- ny . Kuti bhuku kufamba munhu achiita ruzha nemakumbo sezvinoita munhu akapfeka majombo.
bhurukutu 	D- 		ny 		bhurukutu D- ny . Kuti bhurukutu kuwira kana kugara pasi munhu achizvikanda nekuda kwekuneta. Paakabva kubasa akangosvikoti bhurukutu pasi nekuneta. mvorokosho .
bhururu 	D- 		ny 		bhururu D- ny . Kuti bhururu kusimuka kwezvipuka zvine mapapiro zvichienda mudenga. Gondo rakati bhururu ndokunoti mha pabazi romuti.
bwa bwa 	K- 		ny 		bwa bwa K- ny . Kuti bwa bwa kufonyora makumbo kuti ugare wakafunya.
bwadabwada 	D- 		ny 		bwadabwada D- ny . Kuti bwadabwada kunyorovera nekuda kwekuva nemvura yakawanda. Manhanga aya akawandisa mvura zvekuti paabikwa aita bwadabwada. Kana chinhu chikati bwadabwada chinenge chaibvisa kana kuti chava kutoora, sezvinota michero.
bwai 	KD 		ny 		bwai KD ny . Kuti bwai kuvhura maziso nekuavhara.
