aini 	KDD 	9>10 	z 		aini KDD z 9>10 . Aini isimbi yokuchisisa mbatya inodziyiswa uchishandisa maratya kana magetsi. Hembe dzinoita mupono kana ukadzichisa neaini.
mhondoro 	D- 	9>10 	z 		mhondoro D- z 9>10 . Mhondoro imhuka yemusango yakada kufanana nembada, inotyiwa nedzimwe mhuka. shumba 9 . Mhondoro mudzimu unochengeta vanhu vedunhu. gombwe 5 .
mhondwa 	DK 	9>10 	z 		mhondwa DK z 9>10 . Mhondwa imhuka inenge yafa yega. Mhondwa mukadzi aiwanzoerekana auya ega munyika, kazhinji ozopiwa mambo.
mhongora 	DDK 	9>10 	z 		mhongora DDK z 9>10 . Mhongora imhuka hadzi inotangwa kuberekwa namai vayo. Ranjisi yakazoita mhongora nezamu rechitatu.
mhoni 	D- 	9>10 	z 		mhoni D- z 9>10 . Mhoni kapundu kanenge kane mvura, kanorwadza, kanoita muruoko kana munhu aita basa rinorwadza, rakaita sekusakura kana mutsoka kana munhu afamba zvikuru.
mhonjeka 	D- 	9>10 	z 		mhonjeka mbonjeka D- z 9>10 . mhonya 9 .
mhonya 	DK 	9>10 	z 		mhonya DK z 9>10 . Mhonya chimuti chinopotserwa kune chinhu chinenge chichida kurohwa. bonza 5 .
mhopoto 	KKD 	9>10 	z 		mhopoto KKD z 9>10 . bopoto 5 .
mhosho 	D- 	9>10 	z 		mhosho D- z 9>10 . Mhosho kutadza kuita chinhu nemazvo kana kuti kukanganisa. mhotswa 9 . Kuita mhosho kutadza kunanga zvakanaka chinhu chawanga uchida kurova. mhotswa 9 .
mhosva 	KD 	9>10 	z 		mhosva KD z 9>10 . Mhosva chikanganiso chinoita nemunhu chinogona kumusungisa kana kumusvitsa kudare. Mhosva yake yokuba yamupinzisa mujere kwemakore maviri. mhaka 9 .
mhotanomusha 	K- 	9>10 	z 		mhotanomusha K- z 9>10 . Iyi imhashu inowanikwa pedyo nedzimba.
mhotsi 	KD 	9>10 	z 		mhotsi KD z 9>10 . Mhotsi ivhudzi rakamonyana-monyana, turi tupfupi pfupi. Mhotsi ivhudzi rakapeturwa ndokutsindirwa rakati tsvete nemusoro, kazhinji ramboswatudzwa nekurigeza neruredzo.
mhou 	KD 	9>10 	z 		mhou KD z 9>10 . Mhou imombe hadzi yakambobereka. mhowani 9 . Mhou ishiri huru kudarika dzimwe dzose, isingagoni kubhururuka asi ichimhanya zvikuru, uye ine nyama inonaka seyemombe. mhowani 9 .
mhuka 	DK 	9>10 	z 		mhuka DK z 9>10 . Mhuka chisikwa chine makumbo mana chinogara musango kana kupfuyiwa nevanhu. Mhuka chirwere chinokonzera kuti ropa ribude nomumhuno, kazhinji kana munhu achipiswa. mututu 3, muhotwe 3 . Mhuka imota risingawanzorapika.
mhumbu 	D- 	9>10 	z 		mhumbu D- z 9>10 . Mhumbu rudzi rwehove inowanikwa pasi pasi pemvura, ine musoro wakatarisa pasi, yakarebenuka.
mhumhi 	DK 	9>10 	z 		mhumhi bumhi DK z 9>10 . Mhumhi imhuka yemusango yakafanana nembwa, inoruma dzimwe mhuka, ine muswe une mvere dzakawanda.
mhuna 	KD 	9>10 	z 		mhuna KD z 9>10 . Mhuna kapuka kanofamba usiku kanosvetuka-svetuka nemiti uye kanodya michero notumwe tupuka. chinharira 7, gwee 5 .
mhundu 	K- 	9>10 	z 		mhundu K- z 9>10 . Mhundu mukosi wekugadzirisa rukukwe. Mhundu idendere rembuzvambuzva rinovakwa nevhu. nhende 9, nhindi 9, nhundu 9 .
mhungu 	K- 	9>10 	z 		mhungu K- z 9>10 . Mhungu inyoka huru nhema inowanzogara muzvuru, ine uturu hunouraya.
mhunzamatura 	K- 	9>10 	z 		mhunzamatura K- z 9>10 . Urwu rudzi rwemakonzo anodya zvirimwa kana mbesa zvekutsvaira chaizvo.
mhunzamusha 	KKDK 	9>10 	z 		mhunzamusha KKDK z 9>10 . Uyu munhu anonyengedza vamwe uye ane mazano asingavaki. Urwu rudzi rwenyoka inonzi inoshura kana ikaonekwa ichifamba pamusha. ndara 9 .
mhupupu 	K- 	9>10 	z 		mhupupu K- z 9>10 . Iyi ishiri ine zhumu pamusoro wayo, yakada kuenzana nenjiva, inoita matendere ayo mumwena kana mumhango, uye inodya makonye notupuka tudiki. tuvo 9 . mhupurira 9 .
mhupuri 	KKD 	9>10 	z 		mhupuri KKD z 9>10 . Mhupuri munhu anopa umboo hwezvakaitika. mupupuri 3 .
mhupurira 	D- 	9>10 	z 		mhupurira D- z 9>10 . Iyi ihuku ichiri kukura, isati yasvika pazera rekudyiwa. kapupu 13, mhupupu 9 .
mhuri 	D- 	9>10 	z 		mhuri D- z 9>10 . Mhuri yakaumbwa nevanhu vemba imwe vanoti amai, baba nevana vavo. Mhuri inoumbwa nevanhu vemusha mumwe chete vane mutupo mumwe chete.
mhuro 	K- 	9>10 	z 		mhuro K- z 9>10 . Mhuro ishamhu inoshandiswa pakupura zviyo kana chibage. mupuro 3 .
mhuru 	DK 	9>10 	z 		mhuru DK z 9>10 . Mhuru mwana wemhuka dzakaita semombe, nzou, mhofu nedzimwewo dzakadaro.
mhururu 	K- 	9>10 	z 		mhururu K- z 9>10 . Mhururu imhere yemufaro, inowanzoitwa nemadzimai achirova-rova miromo nemaoko. mupururu 3 .
mhutirwa 	DKD 	9>10 	z 		mhutirwa DKD z 9>10 . Mhutirwa mukwende unenge wakafukidzwa kana kusungirirwa mukati memumwe.
mhutwa 	DK 	9>10 	z 		mhutwa DK z 9>10 . Mhutwa tunzungu tusina kunyatsosvika tudikidiki twunyoro kana twakaoma. magwezu 6 .
mimba 	K- 	9>10 	z 		mimba K- z 9>10 . Mimba idumbu remukadzi ari kutarisira kusununguka mwana kana vana. Mukadzi waFani ane mimba yemwedzi mishanu yaakanzi achasununguka mapatya. nhumbu 9, pamuviri 16 .
misa 	KD 	9>10 	z 		misa KD z 9>10 . Misa muteuro wekuyeuka kufa kwaJesu nekumuka kwake, apo vanhu vanonwa waini nekudya chingwa muchirairo.
mochari 	KDD 	9>10 	z 		mochari KDD z 9>10 . Mochari imba inochengeterwa zvitunha zvevanhu zvisati zvavigwa.
mombe 	D- 	9>10 	z 		mombe D- z 9>10 . Mombe chipfuyo chinodyiwa nyama, kukamwa mukaka kana iri hadzi nekushandiswa pamabasa akaita sekurima. n'ombe 9 . Mombe rudzi rweuswa hwakafanana nezviyo.
mombo 	K- 	9>10 	z 		mombo K- z 9>10 . Mombo igudo gono, hombe.
monga 	D- 	9>10 	z 		monga D- z 9>10 . Monga inyuchi diki isingarumi, inowanzogara mumwena pachuru.
mosikito 	DDKD 	9>10 	z 		mosikito DDKD z 9>10 . umhutu 14 .
motokari 	KDDD 	9>10 	z 		motokari KDDD z 9>10 . mota 9 .
mowa 	KD 	9>10 	z 		mowa KD z 9>10 . Mowa mushini wekuchekesa uswa, unoita zvekusairirwa.
muru 	KD 	9>10 	z 		muru KD z 9>10 . bhaudhi 5 .
mvana 	DK 	9>10 	z 		mvana DK z 9>10 . Mvana munhukadzi akabereka asi asati aguma ura. mumvana 1 .
mvinga 	D- 	9>10 	z 		mvinga vhinga D- z 9>10 . Mvinga ivhu rinotimbwa nebadza kana gejo pakurima. nhiva 9 .
mvumba 	D- 	9>10 	z 		mvumba D- z 9>10 . Mvumba imhuka yemusango yakaita pfumbu muruvara, inogara iine dzimwe dzayo kana kugara yakasangana nedzimwe dzakaita sechengu. Mvumba rudzi rwehove hombe yakada kuita semuramba, inowanikwa munzizi huru.
mvungurungu 	DKDD 	9>10 	z 		mvungurungu DKDD z 9>10 . Uyu murume murefu anotyisa, anoita ukasha kana adenhwa.
mvura 	K- 	9>10 	z 		mvura K- z 9>10 . Mvura ndeinonaya kubva kumakore, ichizonyura pasi kana kuyererera munzizi kana kuungana munyanza, uye inosvetwa kana kunwiwa nezvisikwa nezvinomera zvose ichizviraramisa.
mvuto 	D- 	9>10 	z 		mvuto D- z 9>10 . Mvuto mudziyo wakagadzirwa nedehwe, unoshandiswa pakufuridza moto kuti upfute zvine simba panoitwa mabasa akaita sekunyungudisa kana kupfavisa mhangura.
mvuu 	DK 	9>10 	z 		mvuu DK z 9>10 . Mvuu imhuka hombe inogara mumvura, inodya uswa nemashizha.
mvuve 	D- 	9>10 	z 		mvuve D- z 9>10 . Mvuve ihari isina huro inoshandiswa kubikira manhanga.
mvuviro 	D- 	9>10 	z 		mvuviro D- z 9>10 . Mvuviro chinhu chakaita semamera chinoshandiswa pakuvidza zvinhu zvakaita sechingwa kana doro.
mvuwe 	DK 	9>10 	z 		mvuwe DK z 9>10 . Mvuwe mupunga wakanyikwa mumvura unodyiwa usina kubikwa.
mvuwerere 	KKDK 	9>10 	z 		mvuwerere KKDK z 9>10 . Aka kagonye kakaita senyongorosi, kanotyirwa nevanhu kuti kanogona kupinda mumuviri nekuzasi vachigeza, sezvo iko kachigara pasi pemvura.
n'ai 	KD 	9>10 	z 		n'ai KD z 9>10 . N'ai kushama kunoita munhu muromo, achizamura kuratidza hope kana kuneta. nyai 10 .
n'anga 	D- 	9>10 	z 		n'anga D- z 9>10 . N'anga munhu anoita zvekurapa, kana kukuvadza vamwe nemishonga, uye anogona kushopera.
n'angaure 	DDKD 	9>10 	z 		n'angaure nyangaure DDKD z 9>10 . Aka kapuka kane ganda rakaita serechitutamangoro, kanodya maonde kana tsamvi, kachionekwa nguva yezhizha. Pataifudza mombe taitamba nezvin'angaure takazvibaya kumashure, izvo zvichirira zvakati mapapiro pararara sezviri kubhururuka. nyangariro 9 .
n'angaureure 	DDKKKD 	9>10 	z 		n'angaureure DDKKKD z 9>10 . n'angaure 9 .
n'onono 	D- 	9>10 	z 		n'onono D- z 9>10 . ngonono 9 .
namo 	D- 	9>10 	z 		namo namu D- z 9>10 . Namo zvinhu zvinobuda pamimwe miti kana kuti zvinogadzirwa nenyuchi zvinoshandiswa pakubatanidza zvinhu pamwe. mora 9, mondo 9, ndamo 9 .
nango 	D- 	9>10 	z 		nango D- z 9>10 . Nango munhu kana chinhu chinenge chakanaka pamoyo kana pakutarisa.
nariti 	KDD 	9>10 	z 		nariti KDD z 9>10 . tsono 9 .
nda 	K 	9>10 	z 		nda K z 9>10 . inda 9 .
ndamba 	D- 	9>10 	z 		ndamba D- z 9>10 . ndambakuudzwa 9 . Ndamba mutemo wekuti tsoro inenge yabatwa ngaitotambwa.
ndambakurayirwa 	D- 	9>10 	z 		ndambakurayirwa D- z 9>10 . ndambakuudzwa 9 .
ndambakuudzwa 	D- 	9>10 	z 		ndambakuudzwa D- z 9>10 . Uyu munhu anoramba achiita chinhu chaanogaroudzwa kuti chakaipa.
ndambarukuse 	DDDKD 	9>10 	z 		ndambarukuse DDDKD z 9>10 . Ichi chipuka chisina makushe.
ndambirire 	D- 	9>10 	z 		ndambirire ndambirira D- z 9>10 . Kuita ndambirire kuramba uchingoti nanga nanga nenyaya, isingaperi pamusana penharo.
ndandi 	DK 	9>10 	z 		ndandi ndande DK z 9>10 . Ndandi ichubhu inovedzengwa, inozoshandiswa pakusungisa zvinhu kana kupfura zvinhu zvakaita seshiri. rekeni 9 .
ndangariro 	D- 	9>10 	z 		ndangariro D- z 9>10 . Idzi ipfungwa dzezvinenge zvakaitika kare.
ndanyairwa 	KKDK 	9>10 	z 		ndanyairwa KKDK z 9>10 . Uyu munhu mukuru akasimba, uye anozvida.
ndara 	D- 	9>10 	z 		ndara D- z 9>10 . Ndara inyoka hombe ine musoro wakapashamara nemuswe mupfupi inouraya, nokumonera sezvo isina uturu. mhunzamusha 9 . Ndara ibundo regore rapera rinenge riri pamwe chete nebundo idzva regore idzva. chirara 7 .
ndarama 	DDK 	9>10 	z 		ndarama DDK z 9>10 . Ndarama chicherwa chinokosha. goridhe 5 . Ndarama imari inogadzirwa nezvicherwa zvegoridhe nesirivha.
ndarira 	DKD 	9>10 	z 		ndarira DKD z 9>10 . Ndarira iwaya yakatenderera, inopfekwa mugumbo kana muruoko sechishongo.
ndarumanegotsi 	DKKDKD 	9>10 	z 		ndarumanegotsi DKKDKD z 9>10 . Iyi imhando yemhashu inodyiwa.
ndava 	D- 	9>10 	z 		ndava D- z 9>10 . Ichi chiitiko chiri kunze komurau. mhosva 9 .
ndaza 	D- 	9>10 	z 		ndaza D- z 9>10 . Ndaza mucheka kana shinda inosungwa yakapoteredza musoro kana chiuno.
ndebvu 	D- 	9>10 	z 		ndebvu D- z 9>10 . Ndebvu imvere dzakaita sevhudzi dzinomera pachirebvu chemunhu.
ndege 	KD 	9>10 	z 		ndege KD z 9>10 . Ndege muchina unobhururuka, unotakura vanhu, mhuka nezvimwewo. furaimachini 9 .
ndekede 	KDK 	9>10 	z 		ndekede KDK z 9>10 . Ndekede muchero unowanikwa mumhenderekedzo dzenzizi.
ndeve 	K- 	9>10 	z 		ndeve K- z 9>10 . Ndeve mushonga wemaraki unenge wakaputirwa mumucheka.
ndimbo 	D- 	9>10 	z 		ndimbo D- z 9>10 . Ndimbo imwe yenhengo mbiri dziri kuseri kwerurimi, dzinombozvimba kana dzaindwa neutachiona.
ndingiriro 	KKKD 	9>10 	z 		ndingiriro KKKD z 9>10 . chiringiriro 7 .
ndirendire 	DKDD 	9>10 	z 		ndirendire DKDD z 9>10 . Urwu rwumwe rudzi rweshiri diki inodya mbeu mumunda. tindiri 1a .
ndiro 	K- 	9>10 	z 		ndiro K- z 9>10 . Ndiro mudziyo unopakurirwa zvekudya zvichidyirwa mauri.
ndodzi 	DK 	9>10 	z 		ndodzi DK z 9>10 . Ndodzi imbeu inenge nyemba, inobereka vana vanoita mhodzi dzakawanda, dzinodyiwa dzakabikwa.
ndoma 	KD 	9>10 	z 		ndoma KD z 9>10 . Ndoma kabhora kadiki kakagadzirwa nemuti. homa 9 .
ndomundomu 	D- 	9>10 	z 		ndomundomu D- z 9>10 . Aka kapfuti ketsanga kanoiswa mvura kuti karire. kamuchatichati 12 .
ndonda 	D- 	9>10 	z 		ndonda D- z 9>10 . Ndonda munhu kana kamhuka kanongorwara-rwara, kasina muviri wakasimba.
ndondo 	K- 	9>10 	z 		ndondo K- z 9>10 . Ndondo idambudziko rinoonekwa nemunhu muupenyu. nhamo 9 .
ndondodza 	KKD 	9>10 	z 		ndondodza ndondoza KKD z 9>10 . Ndondodza ishiri diki inowanzoonekwa pedyo nemvura, inodya zvitota netumwewo tupuka tudiki.
ndonga 	D- 	9>10 	z 		ndonga D- z 9>10 . Ndonga chitsvimbo chine musoro wakatenderera. nduni 9 .
ndongo 	D- 	9>10 	z 		ndongo D- z 9>10 . Ndongo ingoma inoridzwa kana kwaitika rufu rwemunhu mukurukuru, sezvakaita mambo.
ndongwe 	KD 	9>10 	z 		ndongwe KD z 9>10 . Ndongwe tupuka tunobhururuka, tunowanzofamba twakawanda, tunodya mbeu uye twunodyiwa nevanhu. hwiza 9 .
ndoni 	DK 	9>10 	z 		ndoni DK z 9>10 . shondo 9 .
ndoro 	D- 	9>10 	z 		ndoro D- z 9>10 . Ndoro tunhu twakatenderera tunosonerwa mberi kana kumashure kwehembe, tunokonoperwa kuitira kuti ivharike. bhatanisi 5, ngopero 5 .
ndowa 	KD 	9>10 	z 		ndowa KD z 9>10 . Ndowa tupuka tunodyiwa, tunowanikwa mumuti wemutohwe.
ndugu 	D- 	9>10 	z 		ndugu D- z 9>10 . nduni 9 .
nduma 	KD 	9>10 	z 		nduma KD z 9>10 . Nduma inhumbi dzinopananwa nemusikana nemukomana kuratidza rudo rwavo.
ndumaruma 	KDKD 	9>10 	z 		ndumaruma KDKD z 9>10 . Aka kambuyu kakaita katema kanowanza kuonekwa kana mvura yanaya. chinyamukohoho 7 .
ndumiko 	KKD 	9>10 	z 		ndumiko KKD z 9>10 . Ndumiko ndechinoshandiswa nen'anga kusveta ropa mumuviri wemunhu anorwara kuti chirwere chibude. murumiko 3 .
ndumure 	K- 	9>10 	z 		ndumure K- z 9>10 . Ndumure mwana mudiki achangoregeswa kunwa mukaka.
ndumurwa 	KDK 	9>10 	z 		ndumurwa KDK z 9>10 . ndumure 9 .
ndunda 	D- 	9>10 	z 		ndunda D- z 9>10 . Ndunda chisikwa chine muviri muhombe. Ndakarohwa nechibhakera nendunda yerume, ndikawira pasi.
ndundu 	D- 	9>10 	z 		ndundu D- z 9>10 . Ndundu ifodya yemudzanga kana kuti yechikwepa, inoputwa munhu achikweva hutsi.
ndundu 	DK 	9>10 	z 		ndundu DK z 9>10 . Ndundu imhuka inoda kuenzana nemhembwe, inowanzofura mashizha nemaruva emuti.
ndunduma 	D- 	9>10 	z 		ndunduma D- z 9>10 . Ndunduma munhu kana mhuka hombe. mukweshwa 3 .
ndungurira 	D- 	9>10 	z 		ndungurira D- z 9>10 . Uku kuvengana kwavanhu kusingaonekwi asi kusingaperi.
ndunguza 	D- 	9>10 	z 		ndunguza D- z 9>10 . Ndunguza imhuka yomusango inofamba nedzimwe dzerudzi rwayo, inowanzowanikwa padyo nemvura. chengu 9 .
nduni 	D- 	9>10 	z 		nduni D- z 9>10 . ndonga 9 .
ndunje 	KD 	9>10 	z 		ndunje KD z 9>10 . Ndunje idoro rakasimba uye rinodhaka zvikuru. Vanoti ndakanwa ndunje ndikadhakwa zvokukanganwa zita rangu. fondohwe 9, chibhabhabha 7 .
nduru 	K- 	9>10 	z 		nduru K- z 9>10 . Kahomwe kane mvura yakasvibira inovava, kanowanikwa pachiropa chemhuka kana chemunhu. chanduru 7 .
ndurunduru 	D- 	9>10 	z 		ndurunduru D- z 9>10 . Iyi ipfuti hombe. Iri igamba kana kuti uto rakasimba.
ndururani 	DKDD 	9>10 	z 		ndururani DKDD z 9>10 . Uyu munhu anoita zveutsotsi asi achinyepera kuva munhu kwaye.
nduta 	D- 	9>10 	z 		nduta D- z 9>10 . Nduta imombe hono inenge yakakura uye isina kuchekwa. bhuru 5 .
ndwise 	DK 	9>10 	z 		ndwise DK z 9>10 . Ndwise munhu ane unhubu hwekufarira kurwisanisa vanhu.
ndyanga 	DK 	9>10 	z 		ndyanga DK z 9>10 . bonga 5 .
ndyari 	K- 	9>10 	z 		ndyari K- z 9>10 . Ndyari munhu anoita basa rekunyengedzera vanhu, achishandisa ungwaru hwake. nhavatava 9 .
ndyaringo 	D- 	9>10 	z 		ndyaringo D- z 9>10 . Ndyaringo inyaya kana mashoko anotaurwa anosekesa vanhu. Ndyaringo rudzi rwenhetembo dzinosekesa, asi dziine dzidziso mukati.
ndyire 	KD 	9>10 	z 		ndyire KD z 9>10 . Ndyire munhu asingavimbiki, anoita zvekutorera vanhu zvinhu zvavo nenzira dzekuvanyengedzera. nhavatava 9, ngarara 9 .
neka 	KD 	9>10 	z 		neka KD z 9>10 . Neka igaba rinonwirwa zvinhu zvakaita semvura nemahewu.
nembo 	K- 	9>10 	z 		nembo K- z 9>10 . Nembo inyora dzinoiswa pamunhu, dzisingadzimiki nhando. Vanhu vakare vaifarira kuiswa nembo pamatama. Nembo zvidavado zvenyora zvinoiswa pahari, kuri kuishongedza.
nesari 	KDD 	9>10 	z 		nesari KDD z 9>10 . Nesari inhondo dzemiti, michero kana muriwo dzamirira kusimwa. Nesari chikoro chinopinda vana vachiri vadikidiki, uko vanochengetwa nokudzidziswa zvakawandawanda zvinovabatsira pakukura kwavo.
ngangu 	D- 	9>10 	z 		ngangu D- z 9>10 . Ngangu munhu ane muviri wakasimba, anoshanda chaizvo.
ngano 	D- 	9>10 	z 		ngano D- z 9>10 . Ngano inyaya inorondedzera zvakaitika kare, zvingave zvechokwadi kana zvisingakwanisi kuitika. rungano 11 . Ngano inyaya isingabvumwi nemunhu anenge achiiudzwa.
nganunu 	DKD 	9>10 	z 		nganunu DKD z 9>10 . Nganunu ipfuti hombe ine mavhiri.
ngarakata 	D- 	9>10 	z 		ngarakata D- z 9>10 . Uyu munhu kana mhuka yakasimba, ine mutumbi mukuru.
ngarara 	D- 	9>10 	z 		ngarara D- z 9>10 . Ngarara munhu asina chakaipa chaanotya kana chaanozeza, kunyanya nyaya dzemishonga idzi. Ngarara itsotsi rekupedzisira chairo. Nyembesi ingarara yemunhu chaiyo isingadzosere vamwe zvikwereti.
ngarava 	DDK 	9>10 	z 		ngarava DDK z 9>10 . Ngarava chikepe chikuru chinotakura vanhu nezvimwewo zvinhu zvakasiyana-siyana mumvura.
ngetani 	KDD 	9>10 	z 		ngetani KDD z 9>10 . Ngetani isimbi dzakakochekerana, dzinoshandiswa kudhonzesa kana kusungisa zvinhu zvikuru zvinorema sematanda. ketani 9 .
ngirozi 	DKD 	9>10 	z 		ngirozi DKD z 9>10 . Ngirozi vatumwa vaMwari.
ngoko 	D- 	9>10 	z 		ngoko D- z 9>10 . Ngoko kapuka kanobhururuka, kanokungurutsa ndove koisa mumwena mako. nyamututa 1a, chituta 7 .
ngoma 	D- 	9>10 	z 		ngoma D- z 9>10 . Ngoma idehwe rakakakwa pamuti wakavezwa, une buri pakati, uye kazhinji inoridzwa pamitambo nepamwe panoungana vanhu. Ngoma michero inenge yakaita dutu kana kuti yakawanda. sumbu 9 .
ngomwa 	DK 	9>10 	z 		ngomwa DK z 9>10 . Ngomwa munhu asingabereki.
ngonjorodzi 	KKKD 	9>10 	z 		ngonjorodzi KKKD z 9>10 . Iri ideze kana deko diki.
ngonono 	D- 	9>10 	z 		ngonono D- z 9>10 . magwiriri 6 .
ngoro 	DK 	9>10 	z 		ngoro DK z 9>10 . Ngoro mudziyo une mavhiri unogadzirwa nesimbi kana nemapuranga unokwevewa nemombe, madhongi kana tarakita, unoshandiswa kutakurisa zvinhu zvinorema. chikochikari 7 .
ngorositina 	DDDKD 	9>10 	z 		ngorositina korositina DDDKD z 9>10 . Ichi chinhu chinoridzwa chakarembedzwa muhuro kana kuti chiri pachipfuva, chinoita zvekudhonzwa nekudzvanyidzirwa nemaoko.
ngorovhani 	DKDD 	9>10 	z 		ngorovhani DKDD z 9>10 . Aka kangoro kadiki.
ngosi 	K- 	9>10 	z 		ngosi K- z 9>10 . Ngosi munhu anotungamirira nezvamagariro evanhu mudunhu. mudzviti 1 .
ngositina 	KKKD 	9>10 	z 		ngositina KKKD z 9>10 . ngorositina 9 .
ngovo 	D- 	9>10 	z 		ngovo D- z 9>10 . Ngovo chinhu chakakombama kumuromo, chinoshandiswa kuturunurisa zvinhu. chikokoono 7 .
ngozi 	D- 	9>10 	z 		ngozi D- z 9>10 . Ngozi mweya wemunhu akafa unodzoka kuzotambudza avo vakamutadzira asati afa. Ngozi chiitiko chese chinokonzera kukuvara kana kufa kana zvimwe zvisingafadzi. njodzi 9 .
ngundu 	D- 	9>10 	z 		ngundu ngudu D- z 9>10 . Ngundu inguwani ine manhenga, inopfekwa namambo kana nesvikiro kana vamwewo vane zvinzvimbo zvikuru.
ngunzi 	KD 	9>10 	z 		ngunzi kunzi KD z 9>10 . Ngunzi imombe hono isina kuchekwa. handira 9, mukono 3, bhuru 5 .
ngunzvura 	D- 	9>10 	z 		ngunzvura D- z 9>10 . Ngunzvura munhu kana mhuka inongofamba pesepese, kunyangwe nepasingabvumirwi.
nguo 	D- 	9>10 	z 		nguo D- z 9>10 . Nguo ihembe kana kuti chipfeko.
ngururu 	DKD 	9>10 	z 		ngururu DKD z 9>10 . Ngururu imhuka yomusango inogara mumakomo, yakada kufanana nemhembwe asi iine ruvara rwakada kuita sedota.
nguruve 	D- 	9>10 	z 		nguruve D- z 9>10 . Nguruve imhuka inopfuyiwa, ine muromo murefu wakapwashamara, nomuviri wakazara mafuta. hochi 9, humba 9 .
ngurwana 	DDK 	9>10 	z 		ngurwana DDK z 9>10 . Ngurwana mwana wenguruve.
ngurwe 	D- 	9>10 	z 		ngurwe D- z 9>10 . nguruve 9 .
nguva 	K- 	9>10 	z 		nguva K- z 9>10 . Nguva inhambo ingava ipapo, maawa, mazuva, mwedzi kana makore.
nguwani 	DKK 	9>10 	z 		nguwani ngowani DKK z 9>10 . Nguwani chipfeko, chakarukwa kana chakasonwa, chemumusoro. heti 9 .
ngwangwa 	K- 	9>10 	z 		ngwangwa K- z 9>10 . Ngwangwa isanhu rine kumuromo kwakafara.
ngwaniwani 	D- 	9>10 	z 		ngwaniwani D- z 9>10 . njodzi 9 .
ngwarati 	D- 	9>10 	z 		ngwarati D- z 9>10 . Ngwarati imhuka yemusango ine nyanga refu, yakaenzana nemombe kukura, ichiwanzowanikwa mumapani mune mvura. mharapara 9 .
ngwavaira 	D- 	9>10 	z 		ngwavaira D- z 9>10 . Iri idambudziko guru rinenge rawira munhu. nhamo 9 . Kana munhu akanzi ane ngwavaira anenge achitambura, asina chokudya kana pokugara. nhamo 9 .
ngwazi 	KD 	9>10 	z 		ngwazi KD z 9>10 . Ngwazi munhu akachenjera anoziva zvinhu zvakawanda.
ngwe 	D- 	9>10 	z 		ngwe D- z 9>10 . ingwe 9 .
ngwena 	D- 	9>10 	z 		ngwena D- z 9>10 . garwe 5 .
ngwenya 	D- 	9>10 	z 		ngwenya D- z 9>10 . Ngwenya mushini unogaya matombo. garwe 5 .
ngwere 	D- 	9>10 	z 		ngwere D- z 9>10 . Ngwere imhuka ine nyanga dzisina kusimba, kana kuti dzisina kumira zvakanaka.
ngwere 	DK 	9>10 	z 		ngwere DK z 9>10 . Kana munhu akanzi ane ngwere anenge achinetsa nekushaisa vamwe vanhu mufaro.
ngwesha 	D- 	9>10 	z 		ngwesha ngweshe D- z 9>10 . Ngwesha munhu anoshanda zvikuru kwazvo nemoyo wake wose, kana kuti anokunda vamwe vose pakushanda. mbiriri 9 .
ngwindi 	DK 	9>10 	z 		ngwindi DK z 9>10 . mvuu 9 .
nhahwamaringa 	DKKDK 	9>10 	z 		nhahwamaringa nhabwamaringa DKKDK z 9>10 . Ichi chipfeko chaivako makarekare, chaivhara pamberi kubva muchiuno kusvika pamabvi. dhumbu 5 . ANTONYMS shashiko.
nhaka 	D- 	9>10 	z 		nhaka D- z 9>10 . Nhaka upfumi kana zvimwewo zvinotorwa nehama dzemunhu anenge afa. Pfuma yenhaka inoparaadza ukama. Nhaka igore iroro. Nhaka handina mbeu, ndototora yakasara gore rapera.
nhamba 	D- 	9>10 	z 		nhamba D- z 9>10 . Nhamba mavara akaita samotsi, piri, tatu zvichingodaro.
nhamba 	DK 	9>10 	z 		nhamba DK z 9>10 . Nhamba igaba kana chimwewo chinoisirwa dovi rakakuyiwa.
nhambo 	D- 	9>10 	z 		nhambo D- z 9>10 . Nhambo inguva yezuva sekuti nguva yegumi. Inhamboiko nhai? Nhambo mukana unenge wapihwa munhu kuti aite zvaanenge achida panguva iyoyo. nhambwe 9 nguva 9 . Nhambo kamufambo kadiki. nhambwe 9 .
nhambutambu 	DKDD 	9>10 	z 		nhambutambu DKDD z 9>10 . Uku kuramba uchiedza kugadzirisa zvinonetsa. Pairwara mwana, takaita nhambutambu kuenda kumadhokotera akawanda tichiti chirwere chipere.
nhamo 	K- 	9>10 	z 		nhamo nhamu K- z 9>10 . Nhamo idambudziko rinowira munhu, ringave rekushaya zvekudya, pekugara kana rufu.
nhamu 	KD 	9>10 	z 		nhamu KD z 9>10 . nhamo 9 .
nhandanyarwa 	KKDK 	9>10 	z 		nhandanyarwa KKDK z 9>10 . Uyu munhu mukuru kana mhuka yakasimba.
nhandanyi 	KKD 	9>10 	z 		nhandanyi KKD z 9>10 . Nhandanyi munhu asingavimbiki.
nhandare 	D- 	9>10 	z 		nhandare D- z 9>10 . Nhandare inzvimbo yakakurwa, yakagadzirwa zvakanaka, yokutambira mitambo yakaita senhabvu. Nhandare inzvimbo inomhara ndege.
