bahwe 	KD 	5 	z 		bahwe KD z 5 . chibage 7 .
chibarwe 	DKD 	7 	z 		chibarwe DKD z 7 . chibage 7 .
chibatebate 	DKKDK 	7 	z 		chibatebate DKKDK z 7 . Uyu munhu anogara achingoita twakawandawanda nguva dzose. Mwana wake chibatebate zvokuti atova nemusha nemotokari munguva pfupi.
chikumbwe 	KD 	7 	z 		chikumbwe KD z 7 . Chikumbwe kapururu kanogara mumwena panzvimbo dzakanyorova.
chikungurubwe 	DKKKD 	7 	z 		chikungurubwe DKKKD z 7 . Iri idombo kana kuti ibwe rakaurungana richitsvedzerera.
chikuwe 	DKD 	7 	z 		chikuwe DKD z 7 . Chikuwe kuseka kunoita vanhukadzi pamwe chete vachidaidzira, zvikuru vasikana. chikwe-e 7 .
chibechibe 	DKKD 	7 	z 		chibechibe DKKD z 7 . Iyi itsika yokuramba munhu achingoba. Ukajairira chibechibe, rimwe gore zvinozokuwana.
chibende 	D- 	7 	z 		chibende D- z 7 . Urwu rudzi rwehove yegwaya ine chipfuva chitsvuku.
chibere 	DDK 	7 	z 		chibere DDK z 7 . chibage 7 .
chanje 	D- 	9 	z 		chanje D- z 9 . shanje .
beche 	K- 	5>6 	z 		beche K- z 5>6 . Beche inhengo yemunhukadzi inobuda nemwana kana achizvarwa uyewo neweti. sikarudzi 9 .
bendekete 	K- 	5>6 	z 		bendekete K- z 5>6 . Iyi inhengo yeruoko kubva pahuro kusvika panotangira ruoko.
bepe 	D- 		ny 		bepe D- ny . Kuti bepe kunyatsowaridzwa kwezvakaita rukukwe kana gumbeze.
bepepe 	D- 	5 	z 		bepepe D- z 5 . Bepepe indebvu dzepachirebvu dzakareba.
bere 	KD 	5>6 	z 		bere KD z 5>6 . Bere imhuka ine tumavara tutema tudiki, ine makumbo emberi akareba kupinda ekumashure uye inofamba usiku nekudya nyama. Ukasavharira mbudzi dzinodyiwa nebere manheru. Kana mombe ichinzi ine bere inenge iine mwana mudumbu ichitarisira kuzobereka. zamu 5 .
berere 	KKD 	5 	z 		berere KKD z 5 . berevere 5 .
bve 	D 		ny 		bve D ny . Kuti bve kupfuta kunoita moto wakajeka. nyeku nyeku .
bve bve bve 	K- 		ny 		bve bve bve K- ny . Kuti bve bve bve ruzha runoitika kana munhu achikuya.
bvebve 	DK 	5 	z 		bvebve DK z 5 . Bvebve chipfeko chakabvaruka chava kunyadzisa kupfeka. mvemve 5 .
bvee 	K- 	5 	z 		bvee K- z 5 . Bvee muchero usingadyiwi nevanhu unoberekwa nemuti unonzi mubvee. mveve 5 .
bvembe 	KD 	5 	z 		bvembe KD z 5 . Bvembe chirimwa chakaita seshamba, chine muto wakawanda mukati unotapira kwazvo. nwiwa 5, vise 5 .
bvenge 	DK 	9>10 	z 		bvenge DK z 9>10 . Bvenge vanhu vakaungana pamwe chete, vari varume nevakadzi, kana kuti vakuru nevadiki.
chabe 	KD 	7 	z 		chabe KD z 7 . Chabe chinhu chisisina basa rachingashandiswa muupenyu.
berevere 	K- 	5 	z 		berevere K- z 5 . Uku ndokunorembera denga reimba richisvika kupfuurira kubva pamudhuri. Jo uyo akagara mumumvuri weberevere remba. berere 5 .
bete 	DK 	5>6 	z 		bete DK z 5>6 . Bete kapukanana kakatsvukuruka kanonetsa mudzimba nekunanaira pese pese kachitsvaga zvekudya.
bvepfepfe 	D- 	5 	z 		bvepfepfe D- z 5 . Bvepfepfe ruzha runobuda kana vanhu vakawanda vachifamba nguva imwe. Bvepfepfe kupfeka-pfeka hembe zhinji panguva imwe chete.
bvere 	D- 	5 	z 		bvere D- z 5 . Bvere ukushe hunowanikwa pamhuka dzakasiyana, dzakaita sembudzi kana hwai. mvere 9 .
bveshefeshe 	D- 	5 	z 		bveshefeshe D- z 5 . Izvi zvinhu zvidiki zvakawanda.
bvevepfeve 	D- 	5 	z 		bvevepfeve D- z 5 . Uku kupararira kunoita vanhu kana mhuka vachienda kunzvimbo dzakasiyana-siyana. Pazororo remagamba vanhu rinova bvevepfeve muZimbabwe.
bveveve 	D 		ny 		bveveve D ny . Kuti bveveve kugara panzvimbo isingatarisirwi kuti munhu angagara. Akasvikoti bveveve paive pazere marara.
bombwe 	D- 	5 	z 		bombwe D- z 5 . Bombwe mukadzi anomiririra kazhinji panoroorana vaviri. Bombwe rukweza rwakasvibira rune tsanga dzakakura. Bombwe chimera chinoita bundu pasi, chinoti chikatswanywa chikaiswa mumvura chinoita muchetura kuhove. chamutupatupa 7 .
bvondwe 	DK 	5 	z 		bvondwe bvundwi DK z 5 . Ma bvondwe imvura yabvongodzwa ikasangana nemadhaka.
bhanhire 	DKD 	5 	z 		bhanhire DKD z 5 . Bhanhire ihomwe dzakawanda dzakasonerwa pamwepo dzinowanzoshandiswa nemasoja.
chahomwe 	KDD 	7 	z 		chahomwe KDD z 7 . Chahomwe idumbu rechina remhuka rainoti kana yadya bundo yozozeya kana yazorora.
bhe 	D 		ny 		bhe D ny . Kana zvinhu zvichinzi zvaitwa zvokuti bhe zvinenge Øzvanyatsoitwa nemazvo.
bhende 	D 	5 	z 		bhende D z 5 . Bhende mutauro wokupesedzera kuitira kuti asingafaniri kuziva zviri kutaurwa nezvazvo asazvinzwisisa. chibhende 7 .
bonore 	D- 	5 	z 		bonore D- z 5 . Bonore chibage chavhuniwa kubva padzinde racho. muguri 3, bere 5 .
bvubvurumbwe 	DKDD 	5 	z 		bvubvurumbwe DKDD z 5 . Urwu rudzi rwedombo rakapfava rinofufunyuka.
bvuchebvuche 	D- 	5 	z 		bvuchebvuche D- z 5 . Uyu munhu asingakodzeri kuvimbwa naye nekuda kwezviito zvake zvakaipa.
bvudze 	D- 	5 	z 		bvudze D- z 5 . Ma bvudze imhuka dzinenge dzakawanda zvikuru.
chakamwe 	DKK 	7 	z 		chakamwe DKK z 7 . Chakamwe chinhu chinoitwa kamwe chichibva chapera. chinyakamwe 7 .
bherengende 	K- 		ny 		bherengende K- ny . Kuti bherengende kuvhura musuo nokupinda munhu asina kumbomira.
borongwe 	DDK 	5 	z 		borongwe DDK z 5 . Borongwe munhu anoruta anozvipa zvakawanda vamwe achipa zvishoma.
bote 	D- 	5 	z 		bote D- z 5 . Bote itambo yakarukwa inoshandiswa pane zvakawanda zvakaita sekusunga mombe.
chakuvhe 	DKD 	7 	z 		chakuvhe DKD z 7 . Chakuvhe rukoko runomera pachikafu kana chava kuora.
chamakuwende 	K- 	1a 	z 		chamakuwende K- z 1a . Uyu munhu anozivikanwa zvikuru pamusana pezvakanaka zvaakaita kana zvaanoita. Jairosi Jiri ndichamakuwende akatangisa basa rokuchengeta zvirema nokuzvidzidzisa mabasa anobatsira muZimbabwe.
bhindepinde 	DKDD 	5 	z 		bhindepinde bindepinde DKDD z 5 . Iyi itambo hobvu yakarukwa tutambo twacho tudiki tuchipesana-pesana. Uyu mutambo wevana wekuuruka tambo hobvu. Iyi inzvimbo inogona kupindwa nemunhu wose.
bvumbe 	D- 	5 	z 		bvumbe D- z 5 . Bvumbe rudzi rwetsenza runa mashizha akareruka kwazvo. mhokora 9 .
chamhungwe 	DKD 	7 	z 		chamhungwe DKD z 7 . Chamhungwe imhepo inovhuvhuta nokutenderera zvine simba. Chamhungwe chinowaranyura matenga edzimba pachinodarika napo. chamupupuri 7 .
bvunde 	K- 	5 	z 		bvunde K- z 5 . Bvunde rudzi rwembeu, inokwanisa kurarama pasina mvura yakawanda, inoita vana pamichekechera semhunga.
chamunhube 	KDKD 	7 	z 		chamunhube KDKD z 7 . Uku kudhidha muviri wose wakanyura mumvura. chamunyurududu 7 .
bvupfuwere 	KDDD 	5 	z 		bvupfuwere KDDD z 5 . Iri igurumwandira ravanhu kana mhuka. gurusvusvu 5 .
bvure bvure 	D- 		ny 		bvure bvure D- ny . Kuti bvure bvure kurara kunoita mhuka kana zvipfuyo zvakawanda zvabva kumafuro. Kuti bvure bvure kutaridza kuva nehope dzakasimba zvikuru. Akarara kupungwe, ndosaka maziso ake akati bvure bvure nehope.
chamutsvare-mutsvare 	KKDKKDD 	7 	z 		chamutsvare-mutsvare KKDKKDD z 7 . Uyu mutambo wokuti munhu anonzvenzvera mumwe noruoko obva atiza, uye anzvenzverwa odzingirira umwe kuti aite zvimwe chetezvo. chitsvambe 7, chitsvare 7, chisvehu 7 .
chamuvande-muvande 	KDKDDKD 	7 	z 		chamuvande-muvande chamuvandwa-muvandwa KDKDDKD z 7 . Uyu mutambo wokuti mumwe anovanda vamwe ivo vagomutsvaga kusvika vamuwana.
changamire 	D- 	1a>2b 	z 		changamire D- z 1a>2b . Inzwi rokuremekedza zvikuru mambo kana ishe wechirume. mhanduwe 1a .
bumhe 	DK 	5 	z 		bumhe DK z 5 . Bumhe chinwiwa chinogadzirwa kubva pamasvusvu anoviriswa nekuiswa mupumho. biti 5 . Bumhe idova kana kuti tumvura tunofuma turi pauswa munguva dzemangwanani.
bvuve 	D- 		ny 		bvuve D- ny . Kuti bvuve kunyika chimwe chinhu kwenguva refu mumvura. Kuti bvuve kurova neshamhu.
ambuyamuderere 	DKDDDDK 	9>2a 	z 		ambuyamuderere DKDDDDK z 9>2a . Ichi chibhururukwa chine makumbo marefu, chinobata tumwe tubhururukwa tudiki chichidya. mbuyamuderere 9, kambuyambuya 12, kachemberekede 12 .
bhunyepfunye 	DKDD 	5 	z 		bhunyepfunye bvunyupunyu DKDD z 5 . Uyu mutambo wevana unotambwa vachipa mhosva kumunhu anenge aburitsa mweya.
bungumupe-e 	KKDK 	5 	z 		bungumupe-e KKDK z 5 . Uyu munhu asina zvaanoyamura. bungumupinyi 5 .
bunje 	KD 	5 	z 		bunje KD z 5 . Bunje vanhu kana mhuka dzinenge dzakaungana. banje 5 .
atare 	KDD 	9>10 	z 		atare aritari KDD z 9>10 . Atare itebhuru inoshandiswa muchechi kupira muteuro kuna Mwari.
burepure 	DKKD 	5 	z 		burepure DKKD z 5 . Uku kurova zvibhakera zvakawanda zvichitevedzana.
buretete 	KDDD 	5 	z 		buretete KDDD z 5 . Uku kuunganirwa kunoitwa munhu mumwe nevanhu vakawanda vachimurova.
bwe 	D 	5 	z 		bwe D z 5 . ibwe 5 .
bwebwe 	K- 		ny 		bwebwe K- ny . Kuti bwebwe kutaura zvinogumbura mumwe.
bande 	DK 	5 	z 		bande DK z 5 . Bande idivi rimwe rezvakaita senzungu kana nyimo zvakatsemurwa nepakati.
Bandwe 	DK 	1a 	z 		Bandwe DK z 1a . Bandwe mwedzi wechishanu mugore. Kana uchitaura neChishona iti Bandwe, usati May.
bute 	DK 	5 	z 		bute DK z 5 . Bute ifodya yakaita upfu, inoputwa munhu achiita yekufemba mumhuno. Bute zvinhu zvinenge zviri kubhururuka zvakawanda, sehwiza kana nyuchi.
buwe 	D- 	5>6 	z 		buwe buve D- z 5>6 . Buwe idombo hombe.
bwenje 	DK 	14 	z 		bwenje DK z 14 . Bwenje idziva rinonyudza. hwenje 14 .
bwerebwete 	D- 	5 	z 		bwerebwete D- z 5 . Iyi itsvina yomunhu inenge iri nhetenhete.
bwerekeshe 	D- 		ny 		bwerekeshe D- ny . Kuti bwerekeshe kugara pasi munhu achiratidza kupererwa nesimba kana mazano. Apinda mumba ndokuti bwerekeshe, asina kumbotaura nemunhu nekuda kwenzara.
bwerere 	DKD 	14 	z 		bwerere DKD z 14 . Bwerere ivhudzi remwana achangozvarwa kana remunhu anenge aine ropa shoma mumuviri.
bweve 	DK 	14 	z 		bweve DK z 14 . Bweve inyama inosara yakanamira padehwe remhuka yavhiiwa. pfendu 9, ururu 14 .
feferere 	D- 	5 	z 		feferere D- z 5 . Feferere chinhu chisingaremi.
fekeshe fekeshe 	D- 				fekeshe fekeshe D- . Kana uchifamba nomudondo mune mashizha nouswa unoita ruzha rwunoti fekeshe fekeshe . pfokocho .
govere 	D- 	5 	z 		govere D- z 5 . Govere mutungamiriri wevaimbi kana vatambi.
dzokonoke 	DKKD 				dzokonoke DKKD . dzoke .
fende 	DK 	9 	z 		fende fendu DK z 9 . Fende munhu anoita zvinhu zveutsvina, zvisina utsanana. chapa .
gangautare 	KKDKD 	5 	z 		gangautare KKDKD z 5 . Ichi chipfeko chesimbi chinoitirwa kuzvidzivirira kana kuti kutyisidzira pwere.
gangemukange 	DDDKK 	5 	z 		gangemukange samukange DDDKK z 5 . Iri isvosve dema guru rinonhuhwa, rinoruma zvinorwadza chaizvo kana ukaritsikirira. nyarufurira 5 .
dzuwe 	K 	5 	z 		dzuwe K z 5 . Dzuwe chinhu chokutambisa chine pokugara, chinoti chikasundwa chinoenda mberi nekudzoka shure. mudzuwe 3, muzerere 3 .
dzvemete 	D- 	5 	z 		dzvemete dzvemetere D- z 5 . Dzvemete kusasiyana kana kuti kuva pamwe nguva dzose kwavanhu vanowirirana. Mukomana anogara akaita dzvemete nomusikana wake.
dzvene 	DK 	5 	z 		dzvene DK z 5 . Kutsvaka dzvene kuda kuzviidza iwe wakanaka pakati pavaipi, kuti uitirwe zvakanaka.
fere 	D- 	5 	z 		fere D- z 5 . shamba 5 . Fere rumwe rudzi rwenhanga rakati chechetere nechepamusoro paro. dindimanga 5 .
ferendende 	K- 		ny 		ferendende K- ny . Kuti ferendende kubatikana nezvinhu zvaunenge uchiita zvinenge zvakuwandira. Kuti ferendende kupararira kwevanhu kana mhuka kunzvimbo dzakasiyana-siyana.
garaiparukukwe 	DKKDDKD 	9 	z 		garaiparukukwe DKKDDKD z 9 . Iyi imari inobiswa nevakuwasha kuti vabvumirwe kugara mumba mavanotanga kupinda kwavatezvara.
dzvetetsvete 	D- 	5 	z 		dzvetetsvete D- z 5 . Izvi zvinhu zvinosakisa kuti maziso ako asaona zvakanaka.
fetete 	K- 	5 	z 		fetete K- z 5 . furanondo 9 .
garwe 	KD 	5 	z 		garwe KD z 5 . Garwe imhuka inogara mumvura ine muviri une man'an'a, iine chimiro chedzvinyu, asi iyo iri hombe chaizvo zvekuti inokwanisa kubata vanhu, mombe kana dzimwe mhuka. gako 5, ngwena 9, nyakoko 9 .
furete 	DKK 	9>10 	z 		furete DKK z 9>10 . Furete kamudziyo kemhanzi kanoridzwa nomuromo, uchiita zvokufuridza mweya.
dzvukudende 	DKKD 	5 	z 		dzvukudende DKKD z 5 . Iri izita rokutsvinyira munhu ane ganda rine ushava hwakanyanyisa.
gasekase 	D- 	5 	z 		gasekase D- z 5 . Uyu mweya unonhuwa zvakasimba unokurumidza kupararira panzvimbo.
-e 	K/D 		vm 		-e K/D vm . -e ivaramwana rekupedzisira rinotevera madzitsi ezviito akasiyana-siyana. Ngaaende kumba nhasi.
e-e 	K- 		kanu 		e-e K- kanu . Tinoshandisa e-e kana tichida kuratidza kusvora kana kuzvidza kunoita mumwe munhu pamaitiro ake. Tinoshandisa e-e kana tichishamisika nezvinenge zvaitika kana zvataurwa.
e-ezve 	DK 		kanu 		e-ezve DK kanu . Kana munhu achiti e-ezve anenge achiratidza kushamisika nezvinenge zvichiitika kana zvinenge zvataurwa. Kana munhu achiti e-ezve anenge achibvumira zvinenge zvichitaurwa nemunhu waanenge achifunga kuti ari kurambobvunza zvaanoziva kana zviri pachena.
ehede 	DKD 		kanu 		ehede DKD kanu . Kana munhu achiti ehede anenge achisekerera kufarira zvinenge zvichitaurwa, kana kuti anenge achisekera godo.
gavhumende 	KDDD 	9 	z 		gavhumende KDDD z 9 . Ichi chikwata chavanhu chinotungamirira nyika. Gavhumende ichatorera vachena minda, yopiwa vatema. hurumende 9 .
ge ge ge 	K- 		ny 		ge ge ge K- ny . Kuti ge ge ge kucheka zvakadzika nechinhu chakarodzeka, kuti panhu pashame. Kuti ge ge ge kuseka kwenguva refu, kazhinji zviri zvounzenza. Ndasvika patsime ndikanzwa kuti ge ge ge.
fuse 	D- 		ny 		fuse D- ny . Kuti fuse kuvharidzira chimwe chinhu nokuisa ivhu pamusuwo pacho. fushi . Kuti fuse kuzvimba kunoita nhengo yomuviri inenge yakuvara.
-genge 	D 				-genge -zenge D . Ichi chiitomwana chinoshandiswa kuratidza kuti zvazoitika zvanga zvisingafaniri kuitika. Wakagenge wobikireizve nyama yose?
-gere 	K 				-gere K itik . Kana chinhu chichinzi chi gere chinenge chisati chaitika kana kuitwa. Mudzidzisi agere kumaka mabhuku.
fofoorwe 	D- 	9 	z 		fofoorwe D- z 9 . fofoongwe 9 .
fombwe 	D- 	9 	z 		fombwe D- z 9 . Fombwe chinhu chakagadzirwa chakaita zvokucherwa mukati macho, sezvakaita ndiro.
gitare 	DKD 	5 	z 		gitare gatare DKD z 5 . Gitare mudziyo une danda newaya dzakapadzirwa kuti dzirire, uyo unoshandiswa pakuridza mhanzi.
fove 	D- 		ny 		fove D- ny . Kana chinhu chati fove chinenge chawira mukati. Kuti fove kumedza zvokudya zvose panguva imwe.
gombarume 	D- 	5 	z 		gombarume D- z 5 . Uyu murume anotora mukadzi womunhu. gomba 5 .
gombe 	KD 		ny 		gombe KD ny . Kuti gombe kupera simba, kazhinji mumabvi.
gombwe 	K- 	5 	z 		gombwe K- z 5 . svikiro 5 .
gonamombe 	D- 	5 	z 		gonamombe D- z 5 . Iyi inyanga yemhuka huru inoshandiswa kuchengetera kana kusvutisa chimonera.
gonde 	D- 	5 	z 		gonde D- z 5 . mukonde 3. .
gakanje 	D- 	5 	z 		gakanje D- z 5 . Gakanje chipukanana chinogara mumvura, chine makumbo gumi nedemhe rakaomarara muviri wose, uye chinofamba norutivi. gambamukoikoi 5, gambamukoyokoyo 5 .
gake 	KD 	5 	z 		gake gaka KD z 5 . gaka 5 .
gone 	DK 	1a 	z 		gone DK z 1a . Gone imhuka kana munhu ane tsika yokukuruka vamwe. Gone ana gone wakewo.
gonje 	KD 	5 	z 		gonje KD z 5 . Gonje chishanga chechibage, zviyo, mapfunde kana mhunga.
gambe 	KD 	5 	z 		gambe KD z 5 . Gambe ihari yevhu yakakura, inoshandiswa kubikisa zvinhu zvakawanda, zvakaita sedoro kana chikafu chepamitambo. Gambe mwana anozvarwa akafa.
gambwe 	D- 	5>6mak 	z 		gambwe D- z 5>6mak . Gambwe inhengo yegumbo iri paseri peibvi, inoti kana ikasungwa kana kugumhwa zvakasimba inorwadza chaizvo. Kana uchida kuti n'ombe isatiza unoisunga makambwe.
fe fe 	K- 		ny 		fe fe K- ny . Kana uchiridza furete kana bhosvo, unenge uchifuridza mweya uchiti fe fe .
fe-e 	D 		ny 		fe-e D ny . Kuti fe-e kufura dzihwa zvine simba. Kuti fe - e kufuridza kunoita kamhepo kanenge kachitonhorera. Kuti fe-e kubuda kunoita mweya muvhiri.
fumandiwe 	KKDD 		kanu 		fumandiwe KKDD kanu . Iri izwi rinoshandiswa pamunenge muchitengeserana, kana uchireva kuti nyakutenga wacho wanyanya kumurerutsira zvokuti iwe ndiwe waruza. Ndakazongomutengesera tsiru racho nemari yaaiva nayo iyoyo, ndikati, "Fumandiwe. ". pfumandiwe .
fume 	KD 		z 		fume KD z . Iri izwi rinoshandiswa kuratidza nguva yemangwanani pazuva rinotevera. Vakarara pano apa, fume vosimudzira rwendo rwavo, voenda zvavo.
goridhe 	DKD 	5/9 	z 		goridhe goridhi DKD z 5/9 . Goridhe rudzi rwedombo rinokosha rinocherwa mumugodi richigadziriswa mari nezvimwe zvishongo. gorodhi 5 .
dube 	D- 	5 	z 		dube D- z 5 . Dube munhu anonyepera kupusa achiitira kuvanza mashiripiti ake.
duche 	DK 	5 	z 		duche DK z 5 . Duche munhu akapusa. dununu 5 .
chiyambwe 	D- 	7 	z 		chiyambwe D- z 7 . Chiyambwe rudzi rwehwowa hwakada kuita sedifi, asi ihwo huchidyiwa huri unyoro. Vakomana vadya sadza nechiyambwe.
chizeyezeye 	DKDKD 	7 	z 		chizeyezeye DKDKD z 7 . Ichi chirwere chehuku chinouraya nenguva diki, uye chinopararira nokukasira. chibhubhubhu 7, chibububu 7 . Uyu munhu ane tsika dzakaora.
dzimbabwe 	D- 	5 	z 		dzimbabwe dzimbahwe D- z 5 . Dzimbabwe muzinda mukuru wamadzimambo akare waivakwa nematombo akavezwa sezvakaita Masvingo eZimbabwe. Dzimbabwe ramambo Mutota rinonzi rakanga riri kuDande.
chombe 	D- 	7 	z 		chombe D- z 7 . Chombe munhu anofarira kumhan'arira vamwe kumuvengi, kazhinji kana muri mune zvematongerwo enyika. Kana anoziva kuti ndichombe ngaasauya kumusangano. mutengesi .
choupombwe 	DKDD 	7 	z 		choupombwe DKDD z 7 . Uku kurara nomukadzi kana murume asiri wako. Mutemo wechinomwe womuBhaibheri unoti usaita choupombwe. cheopombwe 7 .
chiraramhene 	DKKDK 	7 	z 		chiraramhene DKKDK z 7 . Uhwu uswa hwakaita utsvuku, hunomera mumapani, hunopfuririswa dzimba.
dhe 	K 		ny 		dhe K ny . Kuti dhe kumuka mangwanani-ngwanani uchifamba rwendo. Muvhimi akafumoti dhe kuenda kunovhima musango. nhe . Kuti dhe kurova zvinokuvadza kana kuuraya chimwe chinhu. Kuti dhe kutarisa chinhu wakabudisa maziso zvakanyanya.
dhende 	DK 	5 	z 		dhende DK z 5 . mudhende 3 .
dumbuzenene 	DDKKK 	5>6 	z 		dumbuzenene DDKKK z 5>6 . Ichi chinanana chine zidumbu, napakati pomusoro nedumbu pakaomarara, chakada kuita segurwe. shuwishuwi 5, tutwa 1a, tagutapadare 5 .
chireshe 	DKK 	7 	z 		chireshe DKK z 7 . chipukupuku 7 .
dungwe 	KD 	5 	z 		dungwe KD z 5 . mudungwe 3 .
dungwerungwe 	KKKD 	5 	z 		dungwerungwe KKKD z 5 . Aya makomo anenge akawanda akabatana. Makomo eNyanga idungwerungwe chairo kureba.
chirombowe 	DDKD 		kanu 		chirombowe DDKD kanu . Iri izwi raunoshandisa kana kana uchidavira munhu, kuratidza kuti unomuremekedzwa.
chirume 	DKK 	7 	z 		chirume DKK z 7 . Chirume maitiro evanhurume. Chirume kuita zvinhu wakashinga sezvinotarisirwa vanhurume. Chirume munhu anonyenga vasikana chaizvo.
chirwere 	DKK 	7 	z 		chirwere DKK z 7 . Chirwere ihosha inokonzera kurwadza komuviri. denda 5 . Chirwere itsika yomunhu yakaipa inenge ichimukunda. Meneja uyu ane chirwere chokuda vakadzi.
dambanepwere 	KKKDD 	1a 	z 		dambanepwere KKKDD z 1a . dambanavana .
dambe 	KD 	5 	z 		dambe KD z 5 . Dambe maitiro kana matauriro anoitwa pakufara, asi anozviita achiita seanotorevesa. Ukanzwa harahwa ichiti inoda kupinda mumakwikwi okumanya nemajaya unogona kuzvitora sedambe.
dambiramurove 	KKKKDK 	5 	z 		dambiramurove KKKKDK z 5 . Iyi ishiri inowanzouya munyika ino panguva dzokunaya kwemvura, ine muromo murefu neminhenga mitema nemichena. shohwari 5, shoreramurove 5, shohori 5 .
dwe 	K 		ny 		dwe K ny . Kuti dwe kudonhedza donhwe rimwe chete. Mishonga yakawanda inongoita zvokunzi dwe kadonhwe kamwe.
dyore dyore 	D- 		ny 		dyore dyore D- ny . Kuti dyore dyore kuunganidza zvinhu. Mukomana akati tutsotso dyore dyore ndokuvesa moto.
dywechwe 	K- 	5 	z 		dywechwe K- z 5 . Dywechwe ruzha runoitwa neshiri dzakawanda kana vana vadiki vachichemedzana.
chishwe 	D- 	7 	z 		chishwe D- z 7 . Chishwe inzira yokusunga nayo uchiita pfundo risingazosungunuki.
dandemutande 	D- 	5 	z 		dandemutande D- z 5 . Ichi chipuka chinogadzira matandadzi, chine makumbo marefu masere. Mambure edandemutande anobata zvakaita senyuchi kana nzunzi.
chisve-esve-e 	DKK 	7 	z 		chisve-esve-e DKK z 7 . Uku kuseka nokutsvinya kunogumbura kunenge kuchiitwa nevanhu vakawanda.
dare 	D- 	5>6 	z 		dare D- z 5>6 . Dare inzvimbo inotongerwa nyaya pamuzinda waMambo kana mutongi. Dare vanhu vanenge vachitonga nyaya vachitungamirirwa namambo kana sadunhu. Dare harina kugutsikana neumboo hwakapiwa nechapupu.
dzawe 	DK 	5 	z 		dzawe DK z 5 . Dzawe munda womunhurume anenge aine barika.
dzedzerere 	D- 		ny 		dzedzerere D- ny . Kuti dzedzerere kufamba munhu achiita seachaputsika.
dindingwe 	D- 	5 	z 		dindingwe D- z 5 . Dindingwe imhuka inomhanya kusiya dzimwe mhuka dzose yakada kufanana nembada.
dzete 	DK 	9 	z 		dzete DK z 9 . Dzete inzvimbo inenge yaenda munhu isingazivikanwi uye munhu wacho asingadzoki. jete 5, mazivandadzoka 17a .
de 	D 		ny 		de D ny . Kuti de kuregedzeka nokurereka, sekwemuti watemwa unenge wave kuda kuwa. dhe . Kuti de kusimuka uchitanga rwendo rungwanangwana. dhe, nhe .
de de de 	D- 		ny 		de de de te te te D- ny . Munhu anoti de de de kuhuta nokutya kana kutonhorwa.
dede 	DK 	5 	z 		dede DK z 5 . gudo 5 .
chinyakare 	D- 	7 	z 		chinyakare D- z 7 . Idzi itsika nemagariro aiita madziteteguru edu makarekare. pasichigare 16 .
chinyamugwenhure 	DDDDKD 	7 	z 		chinyamugwenhure DDDDKD z 7 . gwenhure 5 .
chinyaride 	DDKD 	7 	z 		chinyaride DDKD z 7 . chinyanyavada 7 .
chitsokandibereke 	DDDKDKD 	7 	z 		chitsokandibereke DDDKDKD z 7 . Uku kupukunyuka panenge pashata nyaya nokutiza.
chitsvambe 	DDK 	7 	z 		chitsvambe DDK z 7 . Uku kutamba kokuti, kana vanhu voonekana, mumwe anotsvara mumwe zvokuti kana akasadzorera anoenda nechibodzwa. chitsveru 7 .
dehwe 	D- 	5>6 	z 		dehwe debwe, nhehwe D- z 5>6 . Dehwe iganda remhuka rakavhiyiwa rikaomeswa.
dekeshe 	D- 	5>6 	z 		dekeshe derekeshe D- z 5>6 . Dekeshe uwandu hwezvinhu, mhuka kana vanhu husingaverengeki.
dobwe 	KD 	5 	z 		dobwe KD z 5 . dohwe 5 .
chinyururahove 	DKKDKK 	7 	z 		chinyururahove DKKDKK z 7 . Urwu rudzi rweshiri inogara pane mvura uye inogona kubata hove iri mumvura.
chioko muhomwe 	DKK DKK 	7 	z 		chioko muhomwe DKK DKK z 7 . Iyi imari inopiwa munhu zvisiri pamutemo, kuti agadzirire kana kuronga nerweseri zvinenge zvichidiwa nanyakubhadhara.
chiomandikupfeke 	DKKKKDK 	7 	z 		chiomandikupfeke DKKKKDK z 7 . Iyi itsika yokuwacha hembe, womirira kuti dziome ugopfekazve dzimwe chete idzodzo, kazhinji zvichibva pakuti uri munhu anoshaya. gezandinamure 5 .
chitundumutseremutsere 	DKKDDDDDD 	7 	z 		chitundumutseremutsere chitundumuseremusere DKKDDDDDD z 7 . Urwu rudzi rwendege inokwanisa kubhururuka yakananga mudenga chaimo, uye inokwanisa kundosvika kana kumwedzi chaiko. roketi 9 .
dembe 	D- 		ny 		dembe D- ny . Tambo yakati dembe inenge yakadzikira nechepakati payo nokuda kokuti inenge isina kukakatwa.
dembe 	DK 	5>6 	z 		dembe DK z 5>6 . Dembe ibenga renhumbi rinobvaruka roramba rakarembera pasi. Ndakabatirwa hembe newaya ikasara rangova dembe. Dembe kufara kunoita vanhu, vachitamba ngoma vachimwa doro.
dembwetembwe 	D- 	5 	z 		dembwetembwe D- z 5 . Ichi chinhu chinenge chakaregedzeka pamamiriro acho, chisina kusimba. Kana sadza rakaita dembwetembwe rinenge risina kubatana zvakakwana. Sekuru vangu havadi sadza dembwetembwe. Vanoda rakajinya.
dohwe 	KD 	5>6 	z 		dohwe KD z 5>6 . Dohwe muchero unotsemuka mbadzi dzakaenzana kana waibva. Ndakadya dohwe rakanga rakanuna ndikanzwa gotsi kuoma nokutapira kwaro.
dombe 	D- 		ny 		dombe D- ny . Kuti dombe kupfavisa zvakaita semakavi nokuanyika mumvura.
