a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
-fekesheka 	D 				-fekesheka D itik . Ku fekesheka kufamba mujecha uchiita musindo unonzwika. Kana uchi fekesheka unenge uchifamba nomudondo mune uswa nemashizha akaoma, uchiita ruzha runonzwika. Ku fekesheka kufamba zvishoma zvishoma uchidadadzika, senge uri kumanikidzwa.
-fumira 	K 				-fumira K it/ik . Kana mukafumira kuita basa munenge mamuka rungwanangwana kuti mukurumidze kuritanga.
-fumuka 	K 				-fumuka K itik . Kana munhu achinzi aka fumuka anenge asinganyari zvakaipa kana kuti zvakareruka zvaanoita. Kana mushonga wa fumuka unenge usisina basa nokuti unenge wava kutozikanwa nezvawo.
-fumura 	K 				-fumura K it . Ku fumura munhu kumunyadzisa pane vamwe, nokubudisa pachena zvimwe zvakaipa zvanga zvisingazikanwi pamusoro pake. Kana muka fumura mushonga munenge maushayisa basa nokuubudisa pachena usati wakukuvadzai. Ku fumura chinhu kusiya wachishatisa. Ukaramba uchikwatisa muriwo, unoufumura.
-funda 	K 				-funda K it . Ku funda chokunwa kana kuti chokudya mumukanwa kuchichengetamo usingamedzi kana kutsenga. Hazvigoneki kuti munhu utaure wakafunda zimusuva resadza. -pfunda . -dzidza . Ku funda kusunga tambo kana gavi kana jira, kuriita chishwe kana chibundu.
-fundikira 	K 				-fundikira K it . Ku fundikira kutsauka munzira kuti mumwe apfuure.
-fundira 	D 				-fundira D itik . Kana munhu achi fundira anenge achichengeta chinhu chisati chaibva pakavandika kuti chiibve. pfimbika .
-funditsira 	K 				-funditsira K it . -fundisira .
-funduka 	D 				-funduka D itik . Ku funduka kuzvimba kana kubudikira kunze kwechinhu chinenge chisina kuti tseremete nezvimwe zvacho, sezvingaita chidhina kumadziro.
gotakota 	D- 	5 	z 		gotakota D- z 5 . Gotakota kukotama kwevanhu vazhinji vanenge vachiita basa. Rakanga riri gotakota kusakura mumunda mashe.
gotora 	KKD 	5>6mak 	z 		gotora KKD z 5>6mak . Gotora imbudzi hono inenge isina kuchekwa. mbocho 9, gotokoto 5 .
-gova 	K 				-gova K it . Kana munhu achi gova zvinhu anenge achikamura, achipa vanhu achiti mumwe zvake, mumwe zvake. Mushure menhamo, dzake dzakagova nhumbi dzake.
-gowesa 	K 				-gowesa K it . Ku gowesa kupinza bhora mugedhi pamutambo webhora. -nwisa .
-dzoka 	D 				-dzoka D itik . Kana ukanzi wa dzoka unenge wauya zvakare kwawambobva. -petuka . Kana hembe ikanzi ya dzoka inenge yava duku pane zvayaimbova pakutanga isati yagezwa.
-dzokerera 	D 				-dzokerera D it . -dzokorora .
-dzokesa 	D 				-dzokesa D it . Ku dzokesa kuunza chinhu chaunenge wambotora. -dzora, -dzorera .
dzoma 	DK 	5 	z 		dzoma DK z 5 . tsoma 9 .
-dzomotoka 	K 				-dzomotoka K it . Ku dzomotoka kutaura manyepo kana kutaura twakawanda tusina musoro.
-dzongodza 	K 				-dzongodza K it . Ku dzongodza kufambisa mugoti kana musika muusvusvu hwesadza kuti mapundu aputsike. Kana uchi dzongodza unenge uchitsvaka chinhu pose pose. -bvongodza . Ku dzongodza kukanganisa munhu ari kuzviitira zvinhu zvake. -kangaidza, -bvoronga, -dzongonya .
-dzonyera 	DKK 				-dzonyera DKK it . Ku dzonyera chinhu kuchizadzisa zvisiri pamwero, uchiita zvokumanikidzira. Mai vaidzonyera hura dzezviyo musaga. -tsonyera, -ndonyera, -tsokera .
-dzora 	D 				-dzora D it . Ku dzora chinhu kuchiendesa kwachakabva. Ku dzora mombe kana mbudzi kudzitinha kana kudzigarira nechemberi, kuti dzibve divi radzisingadiwi kuti dziende. Ku dzora chipfeko kuchipendera patsva kuti chiite chidiki pane zvachanga chiri pakutanga.
-fekudza 	D 				-fekudza D it . Ku fekudza kukonzera kuti chinhu chizvimbe kana kupararira. Kana wa fekudza zvirimwa unenge waita kuti zvimere panguva imwe chete zvakawanda.
-fekura 	D 				-fekura D it . Ku fekura kuzvimbisa muviri. Ku fekura kuita kuti zvadzvarwa zvimere panguva imwe.
-fema 	D 				-fema D it/ik . Kana uchi fema unenge uchikweva mweya nomumhino kana mukanwa, kumbouendesa kumapapu, wozoubudisazve kunze. Kana munhu achiri kufema chete zvinotoreva kuti achiri mupenyu. Mhuka zhinji dzinongofemawo nomumhino zvinoita vanhu. Kana munhu akabudisa mweya wakaipa tinogona kutaura nedimikira tichiti a fema . -sura .
-fembera 	K 				-fembera K it . Munhu ano fembera anokwanisa kuziva nokutaura zvinhu zvichazoitika kana kuti zvakaitika iye asipo. Sei pasina kana muporofita mumwe chete akagara afembera kuti kuchauya mukondombera?
-femedzeka 	D 				-femedzeka D it . Kana uchi femedzeka unenge uchikasika kupinza nokubudisa mweya mumapapu ako, uchiukweva zvakasimba. Ko uri kufemedzeka kudaro asi wauya uchimhanyasu? -femereka .
-femha 	K 				-femha K it . -femba . Kana n'anga ichiku femha inege ichikuruma kana kuti kurumika, ichizobudisa chimwe chinhu muganda mako.
-femura 	D 				-femura D it . Ku femura kubvisa hwada inenge iri pamusoro, sezvakaita yesadza.
-fundumara 	D 				-fundumara D itik . -fundumwara .
gan'a 	D- 	5>6mak 	z 		gan'a D- z 5>6mak . Gan'a inzvimbo ine unyoro, inorimwa mupunga, isingakuri miti yakawanda asi ichiita uswa hupfupi. bani 5 .
gan'ara 	K- 		ny 		gan'ara K- ny . Kana pasi pakati gan'ara panenge pakaoma zvakanyanya. Anoda kuti titimbe gadheni ipo pasi pakaoma kuti gan'ara kudaro, asi anorwara!
ganan'ana 	KDDD 		ny 		ganan'ana KDDD ny . Kuti ganan'ana kuchena kwepane imwe nzvimbo.
ganda 	K- 	5 	z 		ganda K- z 5 . Ganda inhengo yakaputira muviri wemunhu, mhuka kana miti.
-gandaira 	K 				-gandaira K itik . Ku gandaira kufambisa kwemunhu anenge ashatirwa.
gandiwa 	DKD 	5>6mak 	z 		gandiwa DKD z 5>6mak . Gandiwa muhomba unenge wembambaira, unocherwa wakachinjika munda, kuitira kuti ivhu risakukurwa nemvura.
ganga 	D- 	5 	z 		ganga D- z 5 . gan'a 5 .
ganga 	K- 	5 	z 		ganga K- z 5 . Ganga muchero unenge usati waibva. Vapwere vakushumura mazhanje achiri maganga chaiwo nokuti vari kuda ekufimbika.
ganganga 	K- 	5 	z 		ganganga K- z 5 . Ganganga rudzi rwemagaka anokura musango.
gangara 	D- 	5 	z 		gangara D- z 5 . Gangara kanhu kachena kanomera pamusoro pemboni yeziso zvichikonzera kuti ziso risaone zvakanaka. shanga 9, tsanga 9 .
-gangaradza 	D 				-gangaradza D it . Ku gangaradza kuvheyesa-vheyesa maziso kunoita munhu atsamwa. Kugangaradza kuburitsa chinhu pamhene pachinonyatsoonekwa.
-guchanira 	K 				-guchanira K it . Ku guchanira munhu kubatsirana kumurwisa. -zinganira .
-guda-guda 	K 				-guda-guda K itik . -gweda-gweda. .
-gudaira 	K 				-gudaira K itik . Ku gudaira kufamba kunoratidza kuti munhu haana simba mumakumbo.
-gudhudza 	D 				-gudhudza D it . Ku gudhudza kuita kuti chinhu chitinhire. Ku gudhudza kuibvisa zvekudya zvakaita semanhanga.
-gudhuka 	D 				-gudhuka D itik . Ku gudhuka kutinhira kwemheni. -ngunduma . Ku gudhuka kufazha kunoita zhinhu zviri pamoto. -ngunduma .
-dzudzura 	K 				-dzudzura K it . Kana uchi dzudzura imba kana pasi unenge uchizora madhaka kuti mumba munake. Mai vangu vanogarodzudzura mumba medu nendove. -dzudzunga .
-dzumbunuka 	D 				-dzumbunuka D itik . Kana chinhu chika dzumbunuka chinenge changokaruka chavapo chichibva nechapasi. Garwe rakadzumbunuka pedyo nepatairedza hove, tikatiza tichisiya zviredzo zvedu.
-dzumburudza 	K 				-dzumburudza K it . Kana uchi dzumburudza zvagezwa unenge wava kuzvigeza kechipiri uchishandisa imwe mvura yakachena. -sukurudza .
dzunga dzunga 	KD+ 		ny 		dzunga dzunga KD+ ny . Kuti dzunga dzunga kufamba-famba zvisina chinangwa.
-dzungira 	K 				-dzungira K it . Kana munhu a dzungira anenge azvisungirira.
-dzungudza 	K 				-dzungudza K itik . Ku dzungudza kuzunza musoro uchiratidza kusada kana kusawirirana nechimwe chinhu. Paakabvunzwa kuti aimuziva here, akangodzungudza musoro bedzi.
-fena 	D 				-fena D it . -fenda . Kana uchi fena chikwenga unenge uchichikwiza kana kuchipara kuti ugosara wava nemakushe chete. -kuruza .
fendefa 	KKD 	5>6 	z 		fendefa KKD z 5>6 . Fendefa zidombo rakati pamhama, kana kuti chimwewo chokusika pasi chinenge chakatoforomwa nesemende. ANTONYMS famvariva 5.
-fenduka 	D 				-fenduka D itik . Kana zvirimwa zvo fenduka zvinenge zvava kutanga kubuda panguva imwe chete. Iyo nguva ino iyi ndiyo inofenduka maruva ose, zvokuti kunze kunobva kwayevedza kutarisa. Kana chinhu chichi fenduka chinenge chichikwanisika kuti chichekererwe mativi acho kuti chigova chidiki.
fenenga 	KKD 		ny 		fenenga KKD ny . Kuti fenenga kugara panzvimbo yakakwirira. Kuti fenenga kumira wakadzorera dumbu mukati.
-fenengara 	K 				-fenengara K itik . Ku fenengara kumira wakadzorera dumbu mukati, mushure mokufema uchiburitsa mweya muzhinji unenge uri mumuviri nomumhino. -fetengara . Kana waka fenengara unenge wakagara panzvimbo yakakwirira. -fedemara .
-fenga 	K 				-fenga K it . Kana uchi fenga hari unenge uchishandisa chimwe chinhu kuti uiumbiridze, uye kuikudza kuti igokwanisa kutakura zvinhu zvakawanda. Kana nzara yaku fenga inenge yakurwadza, dumbu radzokera mukati nokuti munenge musisina chirimo. Ku fenga kudzorera dumbu mukati mushure mokufema uchiburitsa mweya unenge uri mumuviri.
-fengura 	K 				-fengura K it . Kana uchi fengura mhino dzako unenge uchidzisimudzira, kuti dzikure dzive dzakafara.
-fenya 	K 				-fenya K it . Kana mwana achi fenya mashizha echibage anenge achiatsemura kuti aone kana chaibva. -funyungura .
-gangaridza 	K 				-gangaridza -kangaidza K it . Ku gangaridza kukanganisa munhu nekuita ruzha kuitira kuti zvaanotaura zvisanzwike zvakanaka. Murume aimbova mumiriri wedunhu redu muparamende akada kuti ataurewo, asi vanhu vakabva vamugangiridza nekuti vakanga vasisamudi.
-gangavatidza 	K 				-gangavatidza K it . Ku gagavatidza chinhu kuchiisa pachena pachinooneka.
fundumwa 	KKD 		ny 		fundumwa funduma KKD ny . Kana wakati fundumwa kumeso kwako kunenge kuchiratidza kushatirwa kana kugumbuka.
fundumwarwa 	DKDK 	9 	z 		fundumwarwa fundumarwa DKDK z 9 . Fundumwarwa munhu anongogara akatsamwa kana kuti achiratidza kugumbuka.
-fundunduka 	D 				-fundunduka D itik . Ku fundunduka kusimudza musana kana nyundwa, sezvinoita mhuka inenge yashatirwa.
-fundundura 	D 				-fundundura D it . Ku fundundura musana kuusimudza, sezvinoita kiti kana kuti mangoi ashatirwa.
-fundunura 	K 				-fundunura -pfundunura K it . -sunungura .
-fundura 	D 				-fundura D it . Kana uka fundura mudziyo unenge waukombamisa kana kuufovedza nokuurova. Kana uka fundura mudziyo unenge wauswatudza panga pakafovera.
-funga 	D 				-funga D it/ik . Kana uchi funga chimwe chinhu unenge uchichiongorora mundangariro dzako. Ko, wanyarara kudaro uri kufungeiko? Ku funga kuona kuti iwe pachako zvinhu zvauri kuda ndezvipi, kana kuti pawakamira iwe ndapapi, kana kuti nyaya iripo unoionawo sei. Shamwari, ini ndafunga zvokubuda basa ndindogara hangu nemhuri yangu kumusha.
-fungidzira 	D 				-fungidzira D itik . Kana uchi fungidzira zvinhu, zvinenge zviri mumusoro mako ndizvo zvaunoona senge chokwadi chiripo kana kuti chakaitika.
-fungira 	D 				-fungira D it . Kana paine zvauno fungira mumwe munhu mundangariro mako, unenge uchitoona senge ndicho chokwadi kuti ndizvo zvaari kana kuti zvaakaita. Pandakabirwa kumba kwangu, ndakataurira mapurisa kuti ndaifungira Toro uye aimbotishandira.
dzunzwa 	D- 	5 	z 		dzunzwa D- z 5 . Dzunzwa uswa uzhinji huri pachivhinga kana kuti hwakamera panzvimbo imwe chete.
-dzura 	D 				-dzura D it . Ku dzura uswa kana muti kana chimwewo chinomera muvhu kuchikweva, uchichibudisa muvhu zvose nemidzi yacho. -dzipura, -dzupura .
-dzurudzuta 	K 				-dzurudzuta K it . Kana uchi dzurudzuta unenge uchizora madhaka kana zvimwewo zvisingapi kutaridzika kwakanaka. Vana vakarangwa vaonekwa vachidzurudzuta madziro nendove.
-dzva 	K 				-dzva K itik . Ku dzva kuita mhosho kana kukanganisa mutemo womutambo. Kana ukakanganisira vamwe vakati wa dzva , zvinoreva kuti havachazokubatsiri futi.
-dzvamuka 	D 				-dzvamuka D itik . Ku dzvamuka kusimuka nokupararira kunoita shiri dzakawanda, kana kuti vanhu vakawanda panguva imwe chete.
-dzvara 	K 				-dzvara -dyara K it . Ku dzvara mbeu kana mhodzi kudziisa muvhu kuti dzigomera. Ku dzvara ruvengo kuita zvinhu zvinosakisa kuti vanhu vasafarirana.
-dzvatsa 	K 				-dzvatsa K it . Ku dzvatsa kurova mumwe munhu zvinyoronyoro nechanza, kutaridza kuti unomufarira.
-dzvatsva 	DK 				-dzvatsva DK it . Ku dzvatsva kufamba nzvimbo dzakwannda panguva pfupi.
fenya fenya 	KD+ 		ny 		fenya fenya KD+ ny . Kuti fenya fenya kuva nemhino kana shaya dzakareba. Kuti fenya fenya kuratidza kushaya rukudzo kune mumwe munhu, uchitofinyamisa kumeso kwako.
-fenza 	K 				-fenza K it . Ku fenza nzvimbo kuikomberedza noruzhowa rwewaya. Kana makafenza purazi renyu, hamuchina nhamo yokufudza n'ombe.
-fera 	D 				-fera D itik . Ku fera kufuta kana kuti kuzvimba sezvinoita mbambaira muvhu.
-ferefeta 	K 				-ferefeta K it . -feya . Ku ferefeta kukurukura nezvemhaka yakaparwa muri muchivande muchida kupana mazano. Ku ferefeta kudya kuya kokun'un'una pamusoro chete, sezvinoita bete.
-ferenuka 	D 				-ferenuka D itik . Kana uchi ferenuka muviri wako unenge uchizvimba kana kukura, zvokuti kana wanga uri mutete unoita mukobvu. Ku ferenuka kukwatanuka kunoita ganda sezvinoita munhu atsva nemoto kana nemvura.
-fereredza 	K 				-fereredza K it . Ku fereredza kuridza pembe kana furete uchiita zvokufuridza mweya.
-feruka 	D 				-feruka D itik . Ku feruka kufuta kana kuti kuita muviri mukobvu. Ku feruka kuzvimba kana kuti kufuta muviri wose. -pupira .
ganyiwa 	DKD 	5 	z 		ganyiwa DKD z 5 . Ganyiwa masanganiswa eupfu kana furawa nemvura, zvinoshandiswa kubikisa chingwa.
-ganyura 	K 				-ganyura K it . Kana munhu achi ganyura mumwe anenge achipindura mazwi anorwadza chaizvo. Ndakada kuti ndinyatsomutsanangurira zvakanaka, achibva andiganyura.
gapakapa 	D- 	5 	z 		gapakapa D- z 5 . Ichi chinhu chikuru chakaita senzeve dzenzou. Uku kudzungudza musoro uchiratidza kusawirirana nezvinotaurwa.
gapwa 	DK 	5 	z 		gapwa DK z 5 . hapwa 9 .
gapwa 	KD 	5 	z 		gapwa japwa KD z 5 . Gapwa kadziva kemvura kanosara kaine mvura kana rwizi rwaoma.
-gara 	D 				-gara D itik . Kana waka gara magaro ako ndiwo anenge akagunzva pasi uye ndiwo anenge akatakura uremu hwako hwose. Ku gara kupedza nguva huru munhu uri panzvimbo imwe. Pamusha pavo vagara makore anodarika makumi mashanu. Ku gara panzvimbo kuita nzvimbo iyoyo musha wako. Tava kugara kwaGutu. Kana chinhu chichinzi cha gara chinenge chapedza nguva huru chisina kubvaruka kana kusakara. Hembe yake iyi yagara chaizvo nokuti ane makore mashanu achiipfeka.
garagada 	KDKD 		ny 		garagada KDKD ny . Kuti garagada kuputsika sekunoita mombe inenge ichiurayiwa, painenge yatemwa nedemo. Paakarohwa chibhakera chakasimba, akabva ati pasi garagada.
-funhaidza 	K 				-funhaidza K it . -fukidza .
-funhidza 	K 				-funhidza K it . -kwidibidza . -fembedza . -nhuhwidza .
-funhura 	K 				-funhura K it . -kudubura . ANTONYMS -kudubura.
-funura 	D 				-funura D it . Ku funura kumenya kana kubvisa ganda. Vamwe vanoti, kana vabika mbambaira, vongodya dzakadaro vasingafunuri makanda. Kana muka funura manhanga munenge mava kubvisa mashizha anga akaavharira muhari pamanga muchiri kuabika. -vhunura .
-funya 	K 				-funya K it . Kana uchi funya makumbo unenge uchiapeta kuadzorera kumashure. Varume zvinenge zvinovanetsa kufunya chisero sezvinoita vakadzi. Ku funya kudzorera nzwara mumbama sezvinoita katsi. Kana uka funya hembe unenge waipeta maoko ayo uchikwidza kumusoro.
-funza 	K 				-funza K it/ik . -todza . -dzvokora . -runzira .
-funzura 	K 				-funzura K it . -wudyura .
fupa 	K- 	5 	z 		fupa K- z 5 . pfupa 5 .
-fupika 	K 		pr 		-fupika K pr . -pfupika .
-fura 	K 				-fura K it . Ku fura kufuridza kunoita mweya kana mhepo zvinyoronyoro. Kana kuchitonhora vamwe vanhu vanhu vanogara vachingofura madzihwa. Nhasi kuri kufura kamhepo. -pfura .
dzvetsva 	KD 	5 	z 		dzvetsva KD z 5 . Dzvetsva kunyengana kana kupfimbana kwavakomana navasikana. nyengo 9 .
-dzvinya 	K 				-dzvinya K it . Ku dzvinya kudzipa kana kubata munhu pahuro zvakasimba.
-dzvinyinga 	K 				-dzvinyinga K it . Ku dzvinyinga kurova simbi nesando, sezvinoita mhizha, kusvikira yaita zvaunoda. Ku dzvinyinga kuumba chinhu chokanyorovera uchishandisa maoko. Kana vanhu vachidya sadza vanoridzvinyinga vachiita misuva. -svinyanga .
-dzvita 	D 				-dzvita D itik . Kana mukomana a dzvita anenge asvika pazera rokuitisa mukadzi pamuviri. -putudza, -pundudza, -dzvitura . Ku dzvita kushandisa masimba uchifuvisa vamwe, nokuti vaterere nokuita zvaunoda.
-dzvomhora 	D 				-dzvomhora D it . Ku dzvomhora kutora chimwe chinhu chinyararire usingaonekwi, sezvinoita mbavha. -dzvobora .
-dzvongama 	K 				-dzvongama -nzvongama K itik . Chinhu chinonzi chaka dzvongama chinenge chakareba asi chisina kururama kuti twasa. -kombama .
-dzvonyn'ora 	D 				-dzvonyn'ora D it . -dzvonyora. .
fesha 	D- 		ny 		fesha D- ny . Kana munhu akati fesha panguva yebasa, anenge atozorora zvake ambokanganwa nezvebasa racho. pe-e .
-feta 	D 				-feta D itik . Kana chinhu chaka feta chinege chakabudikira kunze, sedumbu remunhu ane mari. Ku feta kubuda kana kuerera kwechinhu chichibva machinenge chiri. Ku feta kukudza chinhu kudarika zvachinenge chichimbova nokuchiumbiridza, sezvinoitwa hari.
fetiraiza 	KDKDD 	9 	z 		fetiraiza feteraiza KDKDD z 9 . Uhu upfu kana tsanga dzomupfudze unoita zvokugadzirwa kufekitari uchizoshandiswa kukudza zvirimwa.
-fetura 	K 				-fetura K it . Ku fetura kushandisa kamu kugadzira vhudzi ranga rakamborukwa. Ku fetura kuita kuti munhu kana kuti chimwe chinhu chiuruke. Kana uchi fetura hari unenge uchiikudza paunenge uchiiumba.
-fetyaira 	K 				-fetyaira K itik . Ku fetyaira kugara kana kumira wakakombamisa musana. -fetuka . Ku fetyaira kufamba kokuzvida, munhu wakakotamira mberi nokurembedza maoko.
-feva 	D 				-feva D itik . Ku feva kuita choupombwe, kana kuti kurara nomunhu wausina kuroorana naye. -pombora . Ku feva kuita tsika yokugara uchidanana nevanhu vakawanda. -hura .
-feya 	K 				-feya K it . Kana munhu achi feya nyaya anenge achitsvaka umboo hwezvakaitika, asingazviratidzi kuti ndizvo zvaari kuita.
-garana 	D 				-garana D itik . Ku garana kudzika pasi kwetsvina iri mumvura yambenge yabvongodzwa. -gadzikana . Kana zvinhu zvakagarana zvinenge zvakati chimwe pamusoro chimwe pazasi. Mabhokisi aya haafaniri kugarana nokuti ane matomati anozopwanyika.
garanyanya 	D- 	5 	z 		garanyanya D- z 5 . Ichi chinhu chikuru chakaita senyoka, chinoruma zvokuuraya kana kukuvadza.
gararwa 	KDK 	5 	z 		gararwa KDK z 5 . Gararwa mazimate anenge madzihwa anobva pahuro kana munhu achinzwa gosorwa. Gararwa zvinhu zvinotsvedza, zvinomera mumvura yava kuda kupwa, zviine ruvara rwemashizha manyoro. garaundwa 5 .
-garira 	D 				-garira D it . Ku garira kumirira kuti munhu kana chimwe chinhu chisvike. Ku garira kudzivirira kuti chinhu chisatize kana kupfuura nepauri. Ugarire ikoko kuti mhuka isatize neikoko. Ku garira kugara pamusoro pechimwe chinhu. Wagarira gumbo rangu zvino rava kutorwadza.
-furatidza 	K 				-furatidza K it . Ku furatidza kutendeudza kuita kuti chinhu kana munhu atarise sure kwake. Ku furatidza kushandisa mushonga womupfuhwira kuti munhu wauri kuda abve akanganwa vamwe vanhu vose. Mukadzi akapa murume wake mushonga waaifunga kuti ndowokufuratidza mwoyo, asi iyo ichitova chepfu.
furawa 	DKD 	9 	z 		furawa DKD z 9 . Furawa upfu hwegorosi hwakatsetseka chaizvo, hunoshandiswa kubika chingwa kana makeke. furau 9 .
fureza 	DKD 	9 	z 		fureza DKD z 9 . Fureza chirwere chembwa chinoita kuti ikosore. furuwenza 9 .
-furidza 	K 				-furidza K it . Ku furidza kuburitsa mweya wakasimba nomumuromo, senge zviya munhu achibatidza moto, kudzima rambi, kubvisa chinhu chiri muziso remumwe, kana kutonhodza chidyiwa kana chinwiwa chinopisa.
-furira 	K 				-furira K it . Ku furira kupa munhu mazano akashata. Mwana wangu akafurirwa neshamwari dzake dzechitsotsi, akatiza chikoro. -nyengera . Ku furira kumwaya mvura kana kupfira mate, sezvinoita nyoka kana kiti. -svipira .
-furirika 	K 				-furirika K it . Kana munhu achinzi ano furirika haanetsi kunyengera kana kuti kurunzira kuita zvakaipa.
-dzvova 	D 				-dzvova D itik . Ku dzvova kubudisa mweya wakawanda nomukanwa, kunyanya musure mokunge wadya zvakawanda.
-dzvuta 	D 				-dzvuta D it . Ku dzvuta kunwa zvimvura kana zvitii zvishoma panguva yaunosimudza kapu. -svuta .
-dzvutumadza 	D 				-dzvutumadza D it . Ku dzvutumadza kuburitsa maziso uchiratidza kushamisika nezvinenge zvichiitika.
dzwanitsa 	KKD 	5 	z 		dzwanitsa KKD z 5 . dzwana 5 .
-fidigara 	K 				-fidigara K itik . Ku fidigara kufamba kwechimunhu chipfupi chichikanda nhanho. -tashuka .
fifinya 	KKD 		ny 		fifinya KKD ny . Kuti fifinya kutakudza munhu chinhu chinorema. Kuti fifinya kuunyanisa kumeso.
figa 	KD 	9 	z 		figa KD z 9 . Figa chimiro chomunhukadzi. Ukati musikana ane figa yakanaka ndoupi, vamwe vanonongedzera chivhindikiti, vamwewo vachinongedzera tepi. magaro 6 < garo 5 .
-fimbika 	K 				-fimbika K it . Kana uka fimbika mbambaira unenge wakadzicherera mugomba, wodzivhariramo kuti dzichengeteke dzisingaomi kana kuipa. Mimwe michero inogona kufimbikwawo sembambaira, asi iyo ichiri mimbishi, yozoibvira mufimbi makare. -pfimbika .
-findimwara 	K 				-findimwara K itik . -fundumwara . Kana kunze kwaka findimwara kunenge kwakakwidibira makore.
-finha 	K 				-finha K it/ik . Kana chokudya chaku finha unenge waramba uchingodya chorudzi rumwe chete irworwo, zvokuti chinenge chisingachakunakiri, usisadi kuchidya zvakare. Kana mumwe munhu achiita zvinhu zvinoku finha , anenge achiramba achingoita zvausingadi kana kuti zvinokushatirisa. -sembura . Kana wa finhwa nechimwe chinhu unenge waneta nacho, usingachadi kuchiita zvakare. Shamwari, basa iri ndava kurirega nokuti randifinha. Kana uchisekera ku finha munhu unenge uchiseka zviya zvokumusvotesa. -pfida .
-gashidza 	D 				-gashidza D it . Ku gashidza chinhu kuchitambidza kune mumwe munhu. -gachidza .
gasva 	DK 	5 	z 		gasva DK z 5 . Gasva chirwere chevana vadiki chinoita kuti vakosore vachipfira mate kana makararwa makobvu. Gasva chinhu chinenge chisina kuzara. Taida kuti atipe mugoro wakazara asi asi akatipa riri gasva.
gata 	KD 	5 	z 		gata KD z 5 . Gata kumacheto kwemugwagwa kune mugero unoyerera nemvura. Mota yabuda mumungwagwa ikazomira yava mugata. Gata muhorongwa wakagadzirwa nemarata kana purasitiki rinoiswa kunoperera marata kuti urasire mvura divi rimwe. Isa mugomo panopera gata kuti mvura ipinde.
-gaudza 	K 				-gaudza K it . Ku gaudza kusakura pakaomarara.
-gaura 	K 				-gaura K itik . -gwauta . Kana munhu achi gaura anenge achisakura pasi pakaomarara, zvokuti badza rinenge richirira parinotema pasi. Ku gaura kurova munhu kumeso kana musoro nechibhakera, zvakasimba. -bhagura .
gavakava 	D- 	5 	z 		gavakava D- z 5 . Urwu rudzi rwechimuti chakada kufanana nemaruva, chiine minzwa uye chinobuda muto unovava chaizvo. chikohwa 7, rubvati 11 .
-gavha 	D 				-gavha D it . -paka .
-furufusha 	K 				-furufusha K it . Ku furufusha mumwe munhu kuramba uchimuitira zvinhu zvinomusvota kana kumushaisa mufaro.
-furufutika 	D 				-furufutika D itik . Ku furufutika kuzununguka zvishoma kunoita munhu akarara kana ava kupinduka. Ku furufutika kutauta kana kuti kupfaura kunoita mhuka kana shiri yava kuda kufa.
-furuka 	K 				-furuka K itik . Kana chinhu chaka furuka chinenge chisina kunyatsoibva, nokuda kwemoto unenge wadzima kana kuti uri mushoma. -fuva . Kana mumukanwa ma furuka munenge maipiswa nechimwe chinhu, zvokuti unenge usingachanyatsonzwa manakiro anoita zvokudya kana kuti zvokunwa. Kana munhu achitaura zvinhu zvaka furuka zvinenge zvisinganakidzi, kana kuti zvinenge zvisina kufanira.
-furusa 	K 				-furusa -furutsa, -furusha K itik . Ku furusa vanhu kuvakanganisa magariro avo, kana kuti zvavanga vachifunga kana kuti vachida kuita. -pfuvisa .
furuwenza 	DDKD 	9 	z 		furuwenza DDKD z 9 . Ichi chirwere chedzihwa chinotemesa musoro nokuvharisa mhino. bembo 5 .
-fusa 	D 				-fusa D it . Ku fusa mumwe munhu kumuitira shanje dziya dzokuti pasava nechakanaka chinoitika kwaari, asi kuti zvinhu zvingonakira iwewe bedzi. Ukada zvokuroorwa pachipiri, wotoziva kuti vahosi vachagara vachikufusa. -fusha .
-edza 	D 				-edza -idza D it . Ku edza kutora matanho ekuda kuona kuti zvinhu zvaunenge uchida kuti zviitike zvingabudirira here. Ndichaedza kutaura navo mangwana kubasa kwavo kunyangwe zvavo vasingadi zvekuingwa kubasa. Ku edza munhu kutaura zvekuti unzwe kuti anoti chii. Munoda kundiedza here kana muchindikumbira gejo ramunoziva kuti harisi rangu?
-edzesera 	D 				-edzesera D it . Ku edzesera kuitawo chinhu nepako paunokwanisa. Handisi muimbi ane mbiri zvangu, asi kuchechi ndinomboedzeserawo. -tevedzera. . Ku edzesera mumwe munhu kutevedzera maitiro ake. Ndaona achifamba akaisa kamu mumusoro achiteedzera zvaakaona mubhaisikopo.
eeka 	DDK 		kanu 		eeka DDK kanu . Tinoshandisa eeka tichibvuma zvine kushatirwa, kana kuramwa, kana kusvotesa mukati. Eeka, zvavaita ndizvo zvinoitwa. Tinoshandisa eeka kupindura munhu waunenge uchifunga kuti ari kubvunza zviri pachena kana kuti zvawambomuudza kare.
eika 	DKD 		kanu 		eika DKD kanu . aika .
-eka 	K/D 		rebes 		-eka -ika K/D rebes . Ichi chivakamberi chechivanduriro chekwaniso chinoratidza kuti zvinhu zvinogoneka kuitika. Harisi ivhu rose rinogoneka kirimika.
-finhura 	K 				-finhura K it . Kana munhu a finhura anenge ashandura uso, agumbuka.
finya 	KD 		ny 		finya KD ny . Kana munhu ati finya anenge aunyanisa kuuso.
