amaiguru 	DKKKK 	2b 	z 		amaiguru DKKKK z 2b . maiguru 2a .
bvuru 	D- 	5 	z 		bvuru D- z 5 . Ma bvuru zvidimbu zvidimbu zvezvokudya.
bvurukutu 	D- 		ny 		bvurukutu D- ny . Kuti bvurukutu kukaruka wawira pasi.
chanduru 	DKK 	7 	z 		chanduru DKK z 7 . Chanduru kahomwe kanochengeta mvura inovava chaizvo, inobetsera pakugaya zvokudya mudumbu. nduru 9 .
bhu bhu bhu 	D- 		ny 		bhu bhu bhu D- ny . Kuti bhu bhu bhu ruzha runoitwa nemapapiro eshiri kana ichibhururuka kuenda mudenga. Kuti bhu bhu bhu kupura mbesa dzakaita semhunga nezviyo. Kuti bhu bhu bhu kurova-rova chinhu kuti guruva riri pachiri ribve. Enda unoti bhu bhu bhu saga iri panze tizogara.
bhubhunu 	DDK 		ny 		bhubhunu bubunu DDK ny . Kuti bhubhunu kutsenga zvinhu zvakaoma zvakaita semabhonzo.
bumu 	DK 	5 	z 		bumu DK z 5 . Bumu ibvudzi rinosara pakati pemusoro munhu agerwa.
bundu 	K- 	5 	z 		bundu K- z 5 . Bundu kakuzvimba kanoita paganda katanga kega kana kuti mushure mekunge munhu arumwa nechipuka chakaita sesvosve.
bvuu 	D- 		ny 		bvuu D- ny . Kuti bvuu kuzunguza chimwe chinhu kuti chibve tsvina. Iti bvuu bhachi rangu ribve huruva.
aizikirimu 	KDDDDD 	9>10 	z 		aizikirimu aisikirimu KDDDDD z 9>10 . Uku kudya kunogadzirwa nemukaka kana muto wemichero zvakaitwa kugwambiswa nechando.
ambu 	D- 		ny 		ambu D- ny . yambu .
bhugumu 	KKD 		ny 		bhugumu KKD ny . Kuti bhugumu kugumha chinhu chine zvinhu mukati chobva chaputsika. Ndakati bhugumu bhotoro remafuta ekubikisa achibva azara nemba yese.
bhuku 	D- 		ny 		bhuku D- ny . Kuti bhuku kufamba munhu achiita ruzha nemakumbo sezvinoita munhu akapfeka majombo.
bhunu 	DK 	5 	z 		bhunu DK z 5 . Bhunu izita rokutsvinyira rinotumidzwa vachena.
bhuru 	KD 	5 	z 		bhuru KD z 5 . Bhuru imombe nzombe isina kuchekwa.
bhurukutu 	D- 		ny 		bhurukutu D- ny . Kuti bhurukutu kuwira kana kugara pasi munhu achizvikanda nekuda kwekuneta. Paakabva kubasa akangosvikoti bhurukutu pasi nekuneta. mvorokosho .
bhururu 	D- 		ny 		bhururu D- ny . Kuti bhururu kusimuka kwezvipuka zvine mapapiro zvichienda mudenga. Gondo rakati bhururu ndokunoti mha pabazi romuti.
bungu 	DK 	5 	z 		bungu DK z 5 . Bungu ndechinosara panenge pabviswa tsanga dzechibage. guri 5, gurinhwa 5 .
bunumunu 	K- 	5 	z 		bunumunu K- z 5 . Uyu munhu asina kana chii zvacho chaakapfeka. muhwi 3, mupushu 5 .
bunyupunyu 	DKDD 	5 	z 		bunyupunyu DKDD z 5 . Uku kutadza kubata chinhu, chakaita sehove, nekuti chinenge chichitsvedza.
bupununu 	D- 	5 	z 		bupununu D- z 5 . Uyu munhu akapusa. fuza 5 . Uyu munhu ane mesomeso. mufeve 1 .
babamukuru 	DKDKK 	1a 	z 		babamukuru DKDKK z 1a . Uyu mukoma wababa. Uyu murume wavatete. Uyu murume wasisi vako, kana uri mukadzi. Uyu mukoma anenge ava nemhuri anodaidzwa nemunin'ina nemhuri yakewo vachimuti babamukuru.
babandu 	DDK 		ny 		babandu bhabhandu DDK ny . Kuti babandu kugaya-gaya chidyiwa chakaomarara nemazino zvichiita ruzha runonzikwa nevari pauri. Kana pwere dzichidya maputi dzinenge dzichiti babandu babandu kusvikira ava kugona kumedzeka.
bhutau 	DKD 	5 	z 		bhutau DKD z 5 . bhatani 5 .
bhutsu 	KD 	9>10 	z 		bhutsu KD z 9>10 . Bhutsu chipfeko chemutsoka chinogadzirwa nedehwe kana mimwewo micheka.
badu 	KD 		ny 		badu KD ny . Kuti badu kutsemuka kunoita zvakaita nyimo, nzungu kana chimwe chinhu chinoita mapande. Kuti badu kurovera nekumondoka kana kubva pendi kunoita chinhu chakaita sendiro kana poto chikadonhera pasi. Kuti badu kurova munhu nembama sezvakaita padama.
bamu 	D- 		ny 		bamu D- ny . Kuti bamu kutsemuka kwechinhu chichisara chiine mitsemu mitsemu.
bidinu 	D- 		ny 		bidinu D- ny . Kuti bidinu kuvhukunura chinhu chinorema kubva machanga chiri. Kuti bidinu kuburitsa chinhu changa chakavigwa. Mudzidzisi akati bidinu fodya nedoro zvanga zvavigwa nevana vechikoro. Kuti bidinu kubvanganyura zvinhu zvakawanda pakutsvaga chinhu chauri kuda. Kuti bidinu kubuda kwechinhu mumwena, muswe uri iwo unotanga.
buru buru 	D- 		ny 		buru buru D- ny . Kuti buru buru kudzika nekukasika. Kuti buru buru kutsakatika kana kurova kwechinhu.
burumbu 	KKD 		ny 		burumbu KKD ny . Kuti burumbu kutaura zvisinganzwiki.
buruzuzu 	D- 		ny 		buruzuzu D- ny . Kuti buruzuzu kugara seusingazivi zvekuita semunhu akapusa.
bwazhau 	KKD 		ny 		bwazhau KKD ny . Kuti bwazhau kutswanya chinhu chiri nyore kutswanyika.
bwazu 	KD 		ny 		bwazu KD ny . Kuti bwazu kudonhedza chinhu chinenge chiri muruoko rwemumwe.
bandapakukutu 	DDDKKK 	5 	z 		bandapakukutu DDDKKK z 5 . Uhwu hwowa hwunomera pachuru nemvura yokutanga. uzvutwe 14 .
bandupandu 	DKDD 	5 	z 		bandupandu DKDD z 5 . Iyi ishumba inodya vanhu.
banzu 	DK 	5 	z 		banzu DK z 5 . Banzu rumuti runenge rwatsemurwa nepakati.
bapu 	DK 	5>6 	z 		bapu DK z 5>6 . Bapu inhengo yemuviri ine nyama nhete inogara mukati membabvu inoshandiswa nomunhu kana mhuka pakufema ichitora mweya mutsva kubva kunze mumwe washanda uchiburitswa.
bindu 	K- 	5 	z 		bindu K- z 5 . Bindu ibazi remuti rine kumusoro kwakatsaukana. mhonda 9 .
butu 	D- 	5 	z 		butu D- z 5 . Butu rudzi rwehove inowanikwa munzizi hombe. Butu mutoro muhombe unenge wakatakurwa nemunhu.
buu 	KD 		ny 		buu KD ny . Kuti buu kuboora chinhu.
bweshu 	KD 		ny 		bweshu KD ny . Kuti bweshu kumedura chipenga chechimwe chinhu, sezvakaita chingabva pahari yevhu isati yapiswa.
fefenu 	D- 		ny 		fefenu fefemu D- ny . fefemu . Kuti fefenu kubvisa ganda paronda.
feku 	DD 		ny 		feku DD ny . Kuti feku kumera kwembesa dzakawanda panguva imwe chete. Kuti feku kupararira kwechirwere panguva imwe chete.
fembu 	KD 		ny 		fembu KD ny . Kuti fembu kufemera mukati sezvinoita munhu anosvuta fodya yebute kana anoda kunzwa munhuwi. Kuti fembu kunyumwa kana kufungira.
gu 	D 		ny 		gu D ny . Kuti gu kurovera kwechinhu pane chimwe. bvanga, guma . Kuti gu kusangana kwevanhu vanga vasina kuzvironga. Kuti gu kukutura zvinhu uchirova-rova mazvinenge zviri. Iti gu gaba iri, munyu wose ubude.
gubhu 	KD 		ny 		gubhu KD ny . Kuti gubhu kupfachuka kwemvura kubva muchinhu chakaita sedende. Mvura yakati gubhu kubva mumugomo pandakaugumha.
gubu 	KD 		ny 		gubu KD ny . Kuti gubu kurova chinhu wobva wateura zvanga zviri machiri. Akati ndiro gubu, usavi hwose hwukawira muvhu.
guchu 	DK 	5 	z 		guchu DK z 5 . Guchu idemhe rakaoma, rokuisira zvokudya kana munhu uchifamba rwendo. deteni 5, dede 5 .
gudhu 	KD 		kanu 		gudhu KD kanu . Iri izwi rinoshandiswa kumunhu anenge anatsa pane zvaanenge aita.
dzu 	D- 		ny 		dzu D- ny . Kuti dzu kuzara kunenge kwakaita zvinhu zvinenge zvakaiswa mumudziyo. Ndiro yakanga yakati dzu nemanhanga akatsvukira.
dzudzunu 	D- 		ny 		dzudzunu D- ny . Kuti dzudzunu kusvika vanhu vasingafungiri. Murume anopenga akangoti dzudzunu kubva musango. tutururu .
dzungu 	KD 	5 	z 		dzungu KD z 5 . Dzungu kudzimaidzwa pfungwa, uchiona zvinhu zvose zvichiita sezviri kupidiguka-pidiguka. Kana ukaramba uchitenderera, unopedzisira wave kunzwa dzungu. Dzungu kuita zvinhu uchipaparika usina kunyatsofunga. Mukomana wedzungu akarohwa asvikonyenga mukadzi womunhu.
fengu 	KD 		ny 		fengu KD ny . Kuti fengu kukudza mhino.
ganhu 	KD 		ny 		ganhu KD ny . Kuti ganhu kumira kuyerera kana kunaya kunoita mvura. Kuti ganhu kuparadzanisa zvinhu kana nzvimbo. Varume vaviri ava vaive nepurazi rakakura, asi vakazoriti ganhu nepakati, voti mumwe uko mumwe uko.
ganyabvu 	DKD 	5 	z 		ganyabvu DKD z 5 . ganyavhu 5 .
ganyaupfu 	D- 	5 	z 		ganyaupfu D- z 5 . Uku kudya kunogadzirwa nezvinhu zvakakurungirwa pamwe chete zvikakora.
ganyavhu 	DKD 	5 	z 		ganyavhu ganyabvu DKD z 5 . Ganyavhu kuita zvinhu nehasha uye nechisimba. Haana kuda kukumbira zvakanaka asi angotora bhora riya zveganyabvu.
fungu 	DK 	5 	z 		fungu DK z 5 . sundesunde 5 . Ma fungu tumichinjiziri tudiki tunoita pamusoro pemvura painenge ichiyerera.
ferenu 	D- 		ny 		ferenu D- ny . Kuti ferenu kubvisa makanda pachidyiwa chakaita seranjisi kana mbatatisi. fefemu . feferu .
-feru 	DK 		pr 		-feru DK pr . -femu .
gapukapu 	D- 	5 	z 		gapukapu D- z 5 . Uku kunwa chinhu uchishandisa rurimi, sezvinoita imbwa kana ichimwa mvura. Uku kugeza kwekungodira-dira mvura pasina kunyatsochena.
funu 	DK 		ny 		funu DK ny . Kuti funu kumenyeka kunoita ganda, sereranjisi kana kuti rembambaira yakabikwa. fefenu .
dzvinyu 	DK 	5 	z 		dzvinyu DK z 5 . Dzvinyu kapuka kane makumbo mana nemuswe, kanofamba nedumbu, uye kanowanzoonekwa mumusha. dzvombi 5, mukotyo 3, mushori 3 .
fetu 	KD 		ny 		fetu KD ny . Kuti fetu kupinza dumbu mukati mushure mokufema nekuburitsa mweya unenge uri mumuviri. fenenge . Kuti fetu kusvetuka uchidzokera kumashure.
dzvu 	K 		ny 		dzvu K ny . Kuti dzvu kurova chimwe chinhu zvakasimba, nechitanda kana shamhu. Kuti dzvu kudenha munhu uchimusundidzira, kana kumurova zvishoma negokora. Kuti dzvu kukura zvokubva pazera rokuita chihwanaudiki.
dzvururu 	D- 	5 	z 		dzvururu D- z 5 . Dzvururu idzvinyu diki rinogara pamaware, rinenge chigwashadombo.
gashukashu 	D- 	5 	z 		gashukashu D- z 5 . Uku kurara kwevanhu kana mhuka dzakawanda panguva imwechete panzvimbo imwechete. murakatira 3 .
gasu 	KD 		ny 		gasu KD ny . Kuti gasu kupera kunaya kwemvura.
furu 	DK 	9 	z 		furu DK z 9 . Furu rudzi rwehonye chena inowanzowanikwa pachinhu chakaora. honye 9 . Furu ijira dete rakapfava rinenge rakasonererwa nechomukati mechipfeko. Mabhachi ane furu mukati anodhura kupinda asina.
furutu 	DKD 	5 	z 		furutu DKD z 5 . muchero 3 . Furutu mudziyo unoshandiswa pakuridza mhanzi, unenge pombi, uye waunoridza uchiita zvokufuridza sebhosvo.
firimu 	KDD 	9/5>6 	z 		firimu KDD z 9/5>6 . Firimu inyaya inotorwa somufananidzo unozoonekwa sebhaisikopo kana kuti patiivhii. Vana vadiki havafaniri kuona mafirimu ane nyaya dzechikuru. Firimu itepu inonjenjemera inoiswa mukati mekamera pamunotora mifananidzo, mushure yozogezwa kuti mubudise mifananidzo pamakadhi. Firimu dzinogadzirwa kuJapan dzinobudisa mifananidzo yakanaka chaizvo.
gebu 	KD 		ny 		gebu KD ny . Kuti gebu kutunga nenyanga zvakasimba.
gegedu 	KKD 		ny 		gegedu KKD ny . Kuti gegedu kubanda chinhu chakaoma kudya. Ndanzwa kuti gegedu ndikaziva kuti ari kudya bhonzo.
fushu 	KD 		ny 		fushu KD ny . Kuti fushu kubuda kunoita zviyo musaga kana rabvajuka. fuzhu .
emvuropu 	KDDD 	9>10 	z 		emvuropu KDDD z 9>10 . Iyi ihomwe inogadzirwa nepepa, rinopetwa kumativi achinamirwa pamwe chete, yozoshandiswa kuisa tsamba kana kuti magwaro mukati mayo. hamvuropu 9 .
futunu 	D- 		ny 		futunu D- ny . Kuti futunu kuzvimba kana kufuta, sezvinoita bhora kana kuti chubhu yapombwa mweya.
fututu fututu 	D- 		ny 		fututu fututu D- ny . Kuti fututu fututu kufamba kwemunhu akatsamwa.
futyunu 	KKD 		ny 		futyunu KKD ny . Kuti futyunu kubudisa zvinhu zvakawanda panguva imwe chete, usingashandisi simba rakawanda. Kuti futyunu kubudisa maziso panze uchiadzvondora, sezvinoitwa nomunhu ashamiswa kana kuvhunduswa.
evosu 	DKD 		bvunz 		evosu DKD bvunz . Tinoshandisa evosu pakubvunza kuti ndiwo here maitikiro akaita zvinhu.
fomu 	KD 	5/9>6 	z 		fomu KD z 5/9>6 . Fomu igwaro redzidzo yekusekondari. Fomu igwaro rakarongwa riine zvinzvimbo zvakasiyiwa, zvokuti iwe unozonyorawo zvinodiwa uchizadzisa. Shamwari, wati watambira here mafomu ako okutsvaka nzvimbo kuyunivhesiti?
giramu 	DKD 	5 	z 		giramu DKD z 5 . Giramu muraudzo wokutanga-tanga pauremu hwechinhu. Ndinoda nyama inorema magiramu mazana mana.
girovhu 	DKD 	5 	z 		girovhu DKD z 5 . girovhisi 5 .
fuzhu 	KD 		ny 		fuzhu KD ny . Kuti fuzhu kubvajuka kunoita zvinhu zvichibuda mumudziyo wokutakurira. Zviyo zvakati fuzhu, saga rabvaruka. fushu .
fabu 	KD 		ny 		fabu KD ny . Kuti fabu kuzadza mudziyo unokwanisa kutakura mvura nezvimwewo zvakadaro. Nyatsozadza zigubhu iro kuti fabu nepeturo. pa . Kuti fabu kuregedza mweya wanga wakambodzivirirwa kana kudzvanyirirwa. Mwana akacheka chibhora chake nereza, mweya wanga uri mukati ukati fabu. bvujumu .
fadhuku 	KDD 	9>10 	z 		fadhuku KDD z 9>10 . Fadhuku mucheka kana jira rinoshandiswa kubata chimwe chinhu, kunyanya zviya kana chinhu chacho chichinyanya kupisa kana kutonhora.
gobvu 	DK 		pr 		gobvu DK pr . Ichi chipauro chomumupanda 5 chinoreva chinhu chakakura uye chakakora. Rume zigobvu riya rinodya chaizvo.
gabhu 	D- 		ny 		gabhu D- ny . Kuti gabhu kubaka zvine simba, asi zvisina chifungidziro, kunoita uswa kana chinhu chaiswa parafini. Pakauya mhepo sora rakabva rati gabhu. ngandu .
gadu 	KD 		ny 		gadu KD ny . Kuti gadu kurova munhu kana chimwe chinhu zvine simba. ga-a, ja-a . Kuti gadu kutema nesanhu zvine simba. ga-a, ja-a .
fandanu 	KKD 		ny 		fandanu fandanyu KKD ny . Kuti fandanu kuvhurika kana kubuda kwezvinhu zvanga zvakadzvanyirirwa pane imwe nzvimbo. Kuti fandanu kutaura uchibudisa pachena zvinhu zvanga zvakavandika.
fu 	D 		ny 		fu D ny . Kana chinhu chati fu chinenge chapera kana kutsakatika zvekusazoonekwazve. Kuti fu kufema zvine chisimba, sezvinoita handira kana yashatirwa. Kuti fu kufuridza kwaunoita uchibvisa tsvina kana guruva. Kuti fu kunyangarika zvokungoerekana pasisina chamuri kuona, sezvinoita nyoka yapinda mumwena. Kuti fu kupera kunoita chinhu, sezvakaita chokudya. tsvai .
fudugu 	KKD 		ny 		fudugu KKD ny . Kana ukati chinhu fudugu unenge wachivhura kana kuchikudubura kuti uone zviri mukati.
fandu 	KD 		ny 		fandu fandyu KD ny . Kuti fandu kubuda kwezvinhu zvanga zvakamanikidzwa mumudziyo. Kuti fandu kuenda, kuuya kana kubuda kwezvinhu zvakawanda panguva imwe chete.
fufu 	KD 		ny 		fufu KD ny . Kuti fufu kufamba uchizvuva makumbo sezvinoita dhadha. Kana mudziyo wakati fufu unenge wakazara chaizvo zvokutorasikira. Dengu rakati fufu nezviyo.
fufunu 	KKD 		ny 		fufunu fefenu KKD ny . Kuti fufunu kubvisa kaganda kepamusoro pechinhu chakaita sembambata kana chironda. fefenu .
faranu 	KKD 		ny 		faranu KKD ny . Kuti faranu kukura upamhi kwechinhu. Jira iri rakati faranu, zvokuti rinogona kufukwa kana nevanhu vatatu. Kuti faranu kuratidza mufaro mukuru kana wanga wakambosuwa. Mwana akanga aswera akangoti surududu, ndokuzongoti faranu pakauya mai vake.
faru 	KD 				faru KD . Kuti faru kukura kweupamhi hwechinhu, zvikuru kana tichichienzanisa nechimwe chinenge chiri chitete. Kuti faru kubuda kwemhepo kana mweya wanga wakatsikirirwa nepaburi.
fugudu 	KKD 		ny 		fugudu KKD ny . fuku .
gamu 	KD 	5 	z 		gamu KD z 5 . Gamu chidimbu chikuru chechimwe chinhu.
fashanu 	KKD 		ny 		fashanu KKD ny . Kuti fashanu kubuda kwezvinhu zvakawanda panguva imwe chete. Mombe dzakati fashanu kubuda mudanga. fatyu .
fuku 	KD 		ny 		fuku KD ny . Kuti fuku kubvisa nhumbi kana kuti chimwe changa chakafukidza.
fuku fuku 	D- 				fuku fuku D- . Kana uchibvisa ivhu mugomba rauri kuchera, unenge uchiti nemaoko maviri fuku fuku .
fukufuku 	D- 		ny 		fukufuku D- ny . Kana huku ichiti fukufuku mubukuta, inenge ichiumburuka ichiita seiri kutogeza naro.
fukumu 	KKD 		ny 		fukumu KKD ny . Kuti fukumu kukurumidza kumuka mangwanani. karakata . Kuti fukumu kushaya tsika kana mutsigo.
fukunu 	D- 		ny 		fukunu D- ny . Kuti fukunu kubudisa chinhu changa chiri muvhu rakapfava.
fukunyu 	D- 		ny 		fukunyu D- ny . fukunu .
gopfu 	DK 	5 	z 		gopfu DK z 5 . Gopfu ivanga rinoratidza nhengo yomuviri yakamboita ronda. dzvadzi 5 .
fatyanu 	KKD 		ny 		fatyanu KKD ny . fatyu .
fatyu 	KD 		ny 		fatyu KD ny . fashanu .
fukusu 	KKD 		ny 		fukusu KKD ny . Kuti fukusu kupetuka kana kudzoka muchitevedza pamambofamba napo.
gorufu 	KDD 	5 	z 		gorufu gorofu KDD z 5 . Gorufu mutambo unoshandiswa tsvimbo dzokurovesa bhora kuti riwire mumwe memakomba akatenderedza nhandare yacho. Ndiri mutambi anozikanwa negorufu.
dudu 	KD 		ny 		dudu KD ny . Kuti dudu kudzokera kumashure munhu akatarisa mberi. Mbavha yakabva payakapaza ichiti dudu, payakaona vanhu vouya.
chiZezuru 	DDKD 	1a 	z 		chiZezuru DDKD z 1a . Iri nderimwe remazita anonzi ndiwo emarudzi evaShona, vanhu vacho vachigara nechokuHarare nemumatunhu akapoteredza Harare.
chizukuru 	DKKD 	7 	z 		chizukuru DKKD z 7 . Uku kunemerana kunoitika pakati pambuya, mudzimai wehanzvadzi yamai, nomuzukuru wechirume.
chizuvaguru 	DKKDD 	7 	z 		chizuvaguru DKKDD z 7 . Urwu rudzi rweshiri diki, ine huma tsvuku, inovaka dendere rayo pamapazi akaoma, uye inowanzorira kana zuva richibanda. chivangazuva 7 .
detsu 	KD 		ny 		detsu KD ny . Ukanzi detsu nechibhakera unenge warohwa zvakasimba. Mutambi wetsiva akanzi nechibhakera detsu ndokubva awira pasi.
deunheu 	KDKD 	5>6 	z 		deunheu KDKD z 5>6 . mateunheu 6 .
deuteu 	KDKD 	5 	z 		deuteu KDKD z 5 . Deuteu inzvimbo yakadzikira ichibva panzvimbo yakakwira.
dhabhu 	D- 		ny 		dhabhu D- ny . Kuti dhabhu kurovera pasi nokukwira mudenga kungaitwa nechinhu chakaita sebhora. Bhora rakasvikorovera pasi zvine simba, ndokubva rati, dhabhu mudengazve. Kuti dhabhu kukwira nokudzika kunoita mapapiro eshiri huru kana yoda kubururuka.
dhadhanu 	D- 		ny 		dhadhanu dadanu D- ny . Kuti dhadhanu kubvarura kana kubvisa pakasonwa penhumbi. radanu .
dhadhu 	D- 		ny 		dhadhu D- ny . Kuti dhadhu kucheka kana kubvarura chinhu chine mukati mune zvakanyorovera kana kuti zvinogona kuyerera zvichibuda. Tsotsi rakanzi dhadhu nebanga nepadumbu.
dhafu 	KD 	1a 	z 		dhafu KD z 1a . Munhu dhafu anenge ane muviri muhombe chaizvo. Dhafu rerume raikoniwa kunatsofamba nokuda kokufuta.
chipukupuku 	D- 	7 	z 		chipukupuku D- z 7 . Uyu munhu ane pfungwa dzisina kukwana, anomboita seanopenga. Ukaswera nechipukupuku hapana nyaya dzinovaka dzinobudapo.
chipunu 	DKD 	7 	z 		chipunu DKD z 7 . Uyu mudziyo une mubato murefu une kokupedzisira kwakakombwera, wokucheresa zvinhu zvakaita semunyu neshuga. Mwana anodya bota nechipunu. chihwepura 7, chiwepu 7, sipunu 7 .
chiputu 	D- 	7 	z 		chiputu D- z 7 . Chiputu inhumbi shoma dzinenge dzakamonerwa muchihomwe chidiki. Akatakura chiputu chake chenhumbi ndokutiza. chibutwa 7 .
dhamhu 	D- 	5 	z 		dhamhu D- z 5 . Dhamhu inzvimbo inovakirwa navanhu parwizi rukuru kuti ichengete mvura. Dhamhu reChivero iguru zvikuru uye rinoshandiswa neguta guru reHarare rose.
dhau 	KD 		ny 		dhau KD ny . Kuti dhau kupedza zvinhu zvose zvinenge zviripo. N'ombe dzakati dhau chibage chose chakanga chiri mumunda. dhu . Kuti dhau kurova chinhu zvine simba uchishandisa chibhakera.
dukununu 	D- 		ny 		dukununu D- ny . Kuti dukununu kugara munhu akangozvipeta, asina mufaro. Kuti dukununu kuunganira chinhu, sezvinoita pwere pamoto muchando.
chiramu 	DKD 	7 	z 		chiramu DKD z 7 . Chiramu kutamba kwevanhu vachitsvinyirana vachisekana. Taru aitamba chiramu nomunin'ina womukadzi wake.
chu 	D 		ny 		chu D ny . Kuti chu kuzara zvokudarikidza. Musi weKirisimasi kereke inenge yakati chu navanhu vachigamuchira chirairo. tu . Kunzi chu kurohwa neshamhu yakatetepa kumagumo zvichinzikwa kurira. Mudzidzisi akanditi chu neshamhu mumakumbo ndanonoka kuuya kuchikoro. tu .
dhayafuramu 	KDDDD 	5 	z 		dhayafuramu dhayafuremu KDDDD z 5 . Urwu rukanda rutete runokamura dumbu nechipfuva nechomukati, runobatsiridza pakufema. Uyu mudziyo uri mumotokari unobatsira mukufamba kwepeturo kubva mutangi ichipinda muinjini.
dhegemu 	KKD 		ny 		dhegemu KKD ny . Kuti dhegemu kuwira pasi zvine simba kwechinhu chinorema chichitsemuka-tsemuka.
dheru 	KD 		ny 		dheru KD ny . Kuti dheru kuwira pasi nomusana. Kuti dheru kubudisa tsvina nhete zvine ruzha, uchinzwa mudumbu.
dumbu 	D- 	5>6 	z 		dumbu D- z 5>6 . Dumbu chikamu chomuviri munogara ura nokupinda zvatinodya zvose zvichigayiwa. nhumbu 9 . Dumbu itsono hobvu yakasimba, inosoneswa nayo masaga. Murimi asina dumbo rokusonesa masaga anorasikirwa nembeu dzake. dumho 5 .
chirebvu 	D- 	7 	z 		chirebvu D- z 7 . Chirebvu chiri pazasi pemuromo uye ndipo panomera ndebvu kuvarume.
chirevauwandu 	DKKKDD 	7 	z 		chirevauwandu chireveuwandi DKKKDD z 7 . Ichi ndechinotaridza uzhinji kana ushoma hwezvinhu mumutauro. Izwi rokuti ndoga chirevauwandi.
dhimu 	KD 	5 	z 		dhimu KD z 5 . Dhimu kusakwanisa kufunga kana kuona zvakanaka kunokonzerwa nedzungu kana zvimwewo.
dungunu 	KKD 		ny 		dungunu KKD ny . Chokudya chinoti dungunu ndechinonakira mukanwa.
dunhu 	K- 	5>6 	z 		dunhu K- z 5>6 . Dunhu ibandi renyika risina kunyanyokura, rinotongwa nomunhu anenge ari pasi pashe. ruwa 11 .
dadabvu 	KKD 		ny 		dadabvu KKD ny . Kana ukati nyama dadabvu nameno, unenge waikakashura nokuti inenge yakaomarara. kakashu .
dadau 	D 		ny 		dadau D ny . Kuti dadau kunyatsooma kunoita chinhu chakayanikwa, sedehwe. Dehwe rakanga rasiti dadau musure mokunge raswera rakanikwa pazuva. papata, kwakwata .
dadu 	KD 		ny 		dadu KD ny . Kuti dadu kusvetuka kwakaita sekwedacha richinomhara nechemberi.
dhiramu 	DKD 	5 	z 		dhiramu dhiramhu DKD z 5 . Dhiramu mudziyo mukuru kudarika mugomo, unochengeterwa zvinoduruka semvura. Tinocheresa mvura mumadhiramu kana tichivaka dzimba.
durivadzimu 	DKDKK 	5>6 	z 		durivadzimu DKDKK z 5>6 . Iri igomba rakaita dendenedzi rinocherwa nemvura paruware kana pabwe. chiturivadzimu 7 .
duru 	D- 		ny 		duru D- ny . Kuti duru kuerera kwezvinhu zvichiteuka.
durunu 	D- 		ny 		durunu D- ny . Kuti durunu kudira chinhu kuchidzorera machanga chiri.
duruturu 	D- 	5 	z 		duruturu dutururu D- z 5 . Iri zimunhu rakapusa, risina njere dzakakwana. duutuu 5, duzura 5 .
chirudu 	DKD 	7 	z 		chirudu DKD z 7 . Chirudu itsika yokukuramwa zvinhu.
chirugu 	DDK 	7 	z 		chirugu chirugwi DDK z 7 . Chirugu idanga kana kuti imba inorara huku, mbudzi, mhuru kana hwai. zumbu 5 .
chirungu 	D- 	7 	z 		chirungu D- z 7 . Chirungu mutauro nemaitiro evachena. chingezi 7 .
daku daku 	KD+ 		ny 		daku daku KD+ ny . Kuti daku daku mafambiro ekusvetuka anoitwa nemhuka diki dzakaita setsuro. Katsuro kaiti daku daku kachitsvaga zvokudya. dau dau, kwaku kwaku, tomu tomu, waru waru . Kuti daku daku kubarika kunoita tumvari twomoto tuchibva pachitsiga kana pamwewo. Moto waiti daku daku uchibva pamakwande. mvari mvari . Kuti daku daku kutaura munhu achikurumidza asi zvaanotaura zvichinzwikwa.
dutu 	D- 	5>6 	z 		dutu D- z 5>6 . Dutu kusumukira kwepanenge pakaungana zvinhu zvakawanda. Takatanga takanya dutu rezvitinha tisati tavaka imba. Dutu murwi wevhu rinobva mumwena wembeva kana wegurwe.
duumu 	KKD 		ny 		duumu KKD ny . Kuti duumu kuburitsa zvinhu zvose zvinenge zviri mukati momudziyo. Baba pavaitsvaka tsono yomushini vakati duumu rose bhokisi rezvisonwa.
chishanu 	DKD 	7 	z 		chishanu DKD z 7 . Chishanu kukwazisana kunoita vanhu vachibatana kana kurovana maoko. Chishanu imari inoita masendi makumi mashanu, inova ndiyo yaimbove mashereni mashanu kare.
dambu 	KD 		ny 		dambu dimbu, dhambu KD ny . Kuti dambu kudhonza chinhu chakaita setambo kusvikira chaguka, uchibva wasara wave namapandi maviri acho. Kana ukati nepanzvimbo dambu unenge wangopfuura nepo asi usingagarisipo. Pandakaenda kwaHama, ndakati dambu nepaCharandura ndichiona vatete vangu.
danangu 	KKD 		ny 		danangu KKD ny . Kuti danangu kutaura kana kurondedzera zvakaitika nemazvo. Mai vake pavakadzoka, akagara navo pasi, ndokutanga kuti danangu kwavari zvose zvakasara zvoitika.
dhu 	D 		ny 		dhu D ny . Kuti dhu kutinhira kune simba guru. Pfuti yakati dhu tose tikadedera.
dzadzanu 	D- 		ny 		dzadzanu D- ny . Kuti dzadzanu kubuda kwechinhu kubva pachakavanda, sezvakaita mumwena. Ishwa dzakati dzadzanu kubuda mumwena dzaona mwenje.
chisuku 	DKK 	7 	z 		chisuku DKK z 7 . Chisuku itsika yokupa mwana kudya, mai vachishandisa ruoko. Kupa mwana bota chisuku itsika yasarira munzvimbo dziri kure nemaguta. Chisuku marutsi omwana mucheche.
danhazvuru 	D- 	5 	z 		danhazvuru D- z 5 . Iyi imbeva huru inogara mumapani, pane zvuru, iine ruvara rwedota. dapi 5 .
