a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
sasa 	K- 	5 	z 		sasa K- z 5 . musuo 3 .
-sasaika 	D 				-sasaika D itik . Ku sasaika kudonhera kwezvingabva mudenga, zvichiwira panhu zvinyoronyoro. Mvura yakasasaika ichibva mudenga.
-sasamura 	K 				-sasamura K it . Ku sasamura kuzunza marara kana tsvina inenge yakanamira panhu. Akasasamura guruva raiva pabhachi. -shashamura, -kuhumura .
-sasauka 	K 				-sasauka K itik . Ku sasauka kunzwa nzara.
-sasira 	K 				-sasira K it . Ku sasira kudzvinyirira nokushaisha vanhu zvinhu zvavane kodzero nazvo.
sau 	KD 	5 	z 		sau KD z 5 . Sau muchero unovavira, unoberekwa nomuti unonzi musau.
saumba 	KDK 	1a 	z 		saumba KDK z 1a . saimba 1a .
sauti 	KDD 	9 	z 		sauti KDD z 9 . munyu 9 .
save 	DK 		bat 		save DK bat . Save chibatanidzo chinoreva kuti ndizvo zvakonzera.
sawi 	DK 	5 	z 		sawi DK z 5 . shawi 5 .
-sebedza 	D 				-sebedza D it . -swededza .
-sebera 	D 				-sebera D itik . -swedera .
-sededza 	D 				-sededza D it . -swededza .
-sefa 	K 				-sefa K it . Kana uchi sefa upfu unenge uchiparadzanisa mabandi makuru nemabandi madiki, uchishandisa sefa.
sei 	KD 		bvunz 		sei KD bvunz . Sei izwi rinoshandiswa kubvunza mumwe, kuti akutsanangurire mafambiro ezvinhu. Mai vakati sei usina kuzobikira vana sadza?
-sekedzana 	D 				-sekedzana D it . Ku sekedzana kuva pamwepo muchifara mose muchiita nyaya.
-sekenyedza 	D 				-sekenyedza D it . -tekenyedza .
sekera 	D- 	9>10 	z 		sekera sikera D- z 9>10 . Sekera mudziyo wakakombama unoshandiswa kucheka uswa. sikiri 9 .
sekera 	K- 		bat 		sekera K- bat . Sekera izwi rinoreva chikonzero chemamiriro kana mataridzikiro ezvinhu. Mukomana uyu anoruta. Sekera achida kudya oga. ndosaka, saka, sakani, sera .
-sekerera 	DKKK 				-sekerera DKKK it . -seka .
sekunge 	DKK 		bat 		sekunge sokunge DKK bat . Sekunge izwi rinoreva zvinhu zvakada kutoredzerana pamataridzikiro nepamamiriro. Kunotaridzika sekunge gore rino vanhu vachakohwa fani. senge, fanika .
sekuru venjiva 	DKD+ 	1a 	z 		sekuru venjiva DKD+ z 1a . nzembe 9 .
sekwe 	DK 	5 	z 		sekwe DK z 5 . Sekwe idhadha romudondo rinogara murwizi.
-sembura 	K 				-sembura K itik . Kana zvinhu zvichi sembura zvinenge zvichiita kuti usazvifarira.
semu 	D- 		ny 		semu D- ny . Kuti semu kupatsanura bandi kubva pane rimwe. Ndakati semu hwada yesadza, ndokuiiswa kwakadaro.
senda 	KD 		ny 		senda KD ny . Kuti senda kumira wakatsamira pamwe panhu. zenda .
-sendemara 	K 				-sendemara K itik . Ku sendemara kumira wakatsigirwa nechimwe chinhu.
sendenisi 	KDDD 	9>10 	z 		sendenisi setenisi KDDD z 9>10 . Uyu mutsetsa wamashoko une muiti, chiito nemuitirwi. Ichi chirevo chizere.
sendi 	KD 	5 	z 		sendi KD z 5 . Sendi imari duku yokutangisisa.
sendwa 	DK 	5 	z 		sendwa DK z 5 . Sendwa chimedu chakapamhama chinobviswa paorenji kana panhanga rinenge richibviswa makanda okunze. Paivezera baba vangu mipini, pakazara sendwa dzamatanda.
sengende 	K- 	5 	z 		sengende K- z 5 . Sengende idengu rakarukirwa padanda, rinoshandiswa kutakura zvinhu richikwehwa nen'ombe. sandanga 5, sangada 5 .
-sengeya 	K 				-sengeya K it . -zingura .
-sengura 	D 				-sengura D it . Ku sengura kubvisa zvinhu zvako panhu nokundozviisa kumwe.
senzi 	DK 	9>10 	z 		senzi DK z 9>10 . tsenzi 9 .
-sera 	D 				-sera D it . Ku sera kutenderedza rusero kuitira kuti mbeu dziparadzane namarara.
sere 	K- 		pr 		sere K- pr . Sere uwandu hwezvinhu zviri pakati pezvinomwe nezvipfumbamwe.
-serera 	D 				-serera D itik . Kana panga pakazvimba pa serera panenge pasisina kuzvimba. Kana rwizi rwa serera runenge rwava nemvura shoma, irwo rwambenge rwakazara. Kana shungu dza serera dzinenge dzave shoma.
serima 	KKD 	5 	z 		serima KKD z 5 . Serima ibadza rapera basa.
sero 	D- 	9>10 	z 		sero D- z 9>10 . rusero 11 .
-sesa 	D 				-sesa D . Ku sesa kusakura pamusoro, zvinoita munhu kana achisakura pachivanze. -seura .
-sesekedza 	K 				-sesekedza K it . Ku sesekedza kufambisa chinhu zvishoma, kubva pachiri kuenda pamwewo.
sesenu 	D 		ny 		sesenu D ny . Kuti sesenu kubvisa makanda epamusoro emuchero kana zvimwewo.
sesepu 	KKD 		ny 		sesepu KKD ny . Kuti sesepu kupfava kwezvinhu zvinenge zvichitswiwa kana zvichikuyiwa. Ndatswa nzungu muduri kusvika dzati sesepu.
seseu 	KKD 		ny 		seseu KKD ny . Kuti seseu kubvisa divi rechinhu uchicheka. Ndati seseu nhanga.
-setsa 	D 				-setsa D it . Ku setsa kuita kana kutaura zvinhu zvinoita kuti vanhu vaseke.
seu 	DK 		ny 		seu DK ny . Kuti seu kubvisa rukwande kana rukanda rwapamusoro.
-seva 	D 				-seva D it . Kana uchi seva unenge uchinyika musuva wesadza muusavi.
severa 	KKD 		bat 		severa KKD bat . sekera .
-sevha 	K 				-sevha K it . Ku sevha kuchengetedza mari kuti iwande, igozoshandiswa pamazuva anotevera.
sezvinonzi 	KDKD 		bat 		sezvinonzi KDKD bat . Iri izwi rinoreva kuti zvakada kufanana. Haana kungwara, asi anoita sezvinonzi akangwara.
sezvo 	KD 		bat 		sezvo KD bat . Iri inzwi rinotaridza chikonzero chasakisa kuti zvinhu zviitike. Ndakabika sadza ndikadya sezvo ndakanga ndave kunzwa nzara.
-shabura 	K 				-shabura K it . -shadabura .
shadagu 	KKD 		ny 		shadagu KKD ny . Kuti shadagu kurova munhu mbama yakasimba.
shafu 	D- 	9>10 	z 		shafu D- z 9>10 . Shafu inyama yakaungana seri kwegumbo nechepazasi pebvi. tsapfu 9 .
-shama 	K 				-shama K it . Kana mukova waka shama , unenge usina kuvharika. Ku shama kukatyamadzwa nezvaitika, zvataurwa kana zvawaona. Jairosi aimwa waini achisanganisa nemvura, isu vamwe tikashama.
-shamba 	D 				-shamba D it . -geza .
shamba 	DK 	5 	z 		shamba DK z 5 . Shamba chirimwa chakada kuita sevise, chinobikiswa nhopi kana kupiwa zvipfuyo.
shambakodzi 	DDKD 	9>10 	z 		shambakodzi DDKD z 9>10 . Iyi ihari inobikirwa sadza. tsaiya 9, mukate 3 .
shambare 	KKD 	9>10 	z 		shambare KKD z 9>10 . Shambare igonye guru rine ruvara rwemashizha, rinodyiwa semadora. tsambare 9, sinini 5 .
shambawamedza 	DKKDK 				shambawamedza DKKDK . shambarichakwata 1a .
-shambidzika 	D 				-shambidzika D itik . Kana waka shambidzika unenge wakageza, uye wakapfeka hanzu dzakachena.
shambo 	K- 	9>10 	z 		shambo K- z 9>10 . Shambo chishongo chinopfekwa muruoko kana mugumbo, chinogona kurukwa nouswa.
-shamisa 	K 				-shamisa K it . Kana chinhu chichi shamisa chinenge chisinganatsonzwisisika, uye chisiri chinoitika mazuva ose.
shana 	DK 	9>10 	z 		shana DK z 9>10 . Shana imbeva ine mafuta akawanda, inochera mwena unoenda pasi pasi.
-shandika 	K 				-shandika K it . Ku shandika kupfeka hembe dzakapindurwa, kana kuti nedivi risiri iro.
-shanduka 	D 				-shanduka D itik . -pinduka .
-shandukura 	K 				-shandukura K it . Ku shandukura kupindurudza chinhu, kunze kuchipinda mukati, kana kuti kumusoro kuchienda zasi.
-shandura 	D 				-shandura D it . -pindura .
shanga 	K- 	9>10 	z 		shanga K- z 9>10 . Shanga imhonzi yechibage. tsanga 9 . Shanga chivara chichena chinoita muziso, chinoritadzisa kuona zvakanaka. tsanga 9 .
shangara 	K- 	9 	z 		shangara K- z 9 . Shangara mutambo unoitwa vanhu vachiridza ngoma vachidzana.
shangu 	DK 	9>10 	z 		shangu DK z 9>10 . Shangu inhumbi inowanzogadzirwa nedehwe, inopfekwa mugumbo.
shangura 	DDK 	9>10 	z 		shangura DDK z 9>10 . Shangura munhu ane mbiri, anenge ari shasha yokuita chimwe chinhu. Murume uyu ishangura yokuridza ngoma. shasha 9, nyanzwi 9 .
shangwiti 	DKK 	9 	z 		shangwiti DKK z 9 . shasha 9 .
shanhu 	D- 	5 	z 		shanhu D- z 5 . sanhu 5 .
shanje 	D- 	9>10 	z 		shanje D- z 9>10 . Shanje kurwadziwa moyo pamusana pezvinhu zvinenge zvine mumwe munhu, uchikungura kuti dei akasava nazvo. godo 5 .
shanu 	KD 		pr 		shanu KD pr . Zvinhu zvi shanu zvinhu zvine uwandu huri pakati pezvina nezvitanhatu.
-shanya 	K 				-shanya K itik . Kana munhu a shanya , anenge aenda kunoona vanhu kwavanogara.
-shanyura 	K 				-shanyura K it . Ku shanyura kurima mumunda makambodyarwa.
-shapaira 	K 				-shapaira K itik . Ku shapaira kuvhaidza mvura mupoto, zvokuti inosara yava shomashoma. Ku shapira kufamba munhu achizvida achitambisa-tambisa maoko.
-shapura 	D 				-shapura D it . Ku shapura kurova munhu kana mhuka neshamhu. -nyapura .
-shara 	D 				-shara D it . -sarudza .
sharaude 	DKDD 	9 	z 		sharaude DKDD z 9 . saruraude 9 .
sharu 	KD 		pr 		sharu KD pr . Chinhu chi sharu chinhu chakatengwa kare, chisisina utsva. tsaru .
-sharutsa 	K 				-sharutsa K it . Ku sharutsa nhumbi kana mudziyo kuzviita kuti uzvisakare. -sakadza .
-shashamuka 	K 				-shashamuka K itik . Ku shashamuka kubva kunoita mashizha paanenge akabatira, nokuda kokuti aoma kana kuti atsvuka. -kuhumuka .
shashiko 	KKD 	9>10 	z 		shashiko KKD z 9>10 . Shashiko chipfeko chaipfekwa navanhukadzi kare chaisungirwa muchiuno chichivhara mberi.
shati 	KD 	9>10 	z 		shati KD z 9>10 . Shati chipfeko chinotangira pamafudzi chichidzira kuchiuno. hembe 9, sheti 9 .
shato 	K- 	9>10 	z 		shato K- z 9>10 . Shato inyoka ine mavara mavara, yakakura kudarika dzimwe nyoka dzose.
-shava 	D 				-shava D it . Kana munhu achi shava anenge achitsvaka zvinhu zvinomupa kurarama.
shava 	K- 	1a 	z 		shava K- z 1a . Shava chidawo chavanhu vanoera mhofu.
shavi 	DK 	5 	z 		shavi shave DK z 5 . Shavi mweya wakaipa unogara pamunhu.
shavishavi 	D- 	5 	z 		shavishavi D- z 5 . shaveshave 5 .
shawi 	DK 	5 	z 		shawi DK z 5 . Shawi uswa hwakasvibirira, hwakasimba uye hwakada kufanana norukweza, huchiita midzi inodzika pasi chaizvo. sawi 5 .
shaya 	DK 	9>10 	z 		shaya DK z 9>10 . Shaya inhengo yomuviri inotangira pazasi penzeve ichiuya pazasi pechirebvu.
shayisano 	D- 	9 	z 		shayisano D- z 9 . Aya maitiro esvoto, okuti kana ukasawana zvaunoda, haudi kuti umwe munhu ave nazvo. Kana munhu achinzi ane shayisano , anenge asina chinhu, asi asingandi kuti vamwe vanhu vachiite kana kuti vamukunde.
she 	K 	1a 	z 		she K z 1a . She munhu anotonga dunhu rakakura, rinenge rine masadunhu ari pasi pake.
sheche 	D- 	9>10 	z 		sheche D- z 9>10 . Sheche ihuku kana mbudzi hadzi yava kuda kusvika pazera rokubereka.
-shemwa 	D 				-shemwa D itik . -yema .
-shemwedzeka 	D 				-shemwedzeka D itik . Ku shemwedzeka kufamba munhu achizvitutumadza nokudemwedzeka.
-shena-shena 	K 				-shena-shena K itik . -shina-shina .
shengezhu 	DDK 	5 	z 		shengezhu DDK z 5 . Shengezhu uswa ukobvu hwakada kuita seshanga, hunomera pane mvura yakawanda.
sherefu 	KDD 	9 	z 		sherefu KDD z 9 . sherufu 9 .
shereni 	KDD 	5 	z 		shereni KDD z 5 . Shereni imari ine masenzi gumi.
sheri 	DK 	9 	z 		sheri DK z 9 . Sheri musikana waunoda, anenge akachena.
-shesha 	K 				-shesha K itik . Kana munhu achi shesha anenge achisvika nenguva chaiyo inoitwa chinhu chaanotarisira. Vanhu vanokwata vanoshesha nguva dzesadza.
-shevha 	K 				-shevha K it . Ku shevha kucheka ndebvu kana vhudzi nereza kana zvimwewo. -veura .
shezha 	KD 	9>10 	z 		shezha KD z 9>10 . tsenza 9 .
shezhu 	DK 	9>10 	z 		shezhu DK z 9>10 . Shezhu ishiri inodaidzira munhu kune uchi. tsoro 9 .
shi 	D 		ny 		shi D ny . Kuti shi karuzha kanoitwa nenyoka huru, ichifamba kana kuti yashatirwa.
-shibura 	K 				-shibura K it . Kana uchi shibura unenge uchirova zvine simba uchishandisa zijamhu.
-shina-shina 	K 				-shina-shina K . Kana munhu achi shina-shina anenge achimhanya-mhanya achiita basa. -shena-shena .
-shinaira 	K 				-shinaira K itik . -shenaira .
shindi 	K- 	9>10 	z 		shindi K- z 9>10 . Shindi kamhuka kakakura kudarika mbeva, kane zimuswe, kanogara mugomo uye kanofarira kudya matobwe. tsindi 9 .
-shinga 	K 				-shinga K itik . Ku shinga kuramba uchiita zvinhu zvinenge zvakakuomera kuita. Kudzidza haisi nyore, kunotoda kushinga. -shivirira, -vangarara, -tsungirira, -shirira, -tsunga .
-shingirira 	K 				-shingirira K it . Kana munhu achi shingirira chinhu, anenge achingoedza napose paanogona kuti chibudirire, asi zvichigozha.
-shinhwa 	D 				-shinhwa D itik . -shinha .
-shinya 	K 				-shinya K it . Ku shinya kusunga zvakanyanya kana kubata zvinorwadza kwechipfeka. Bhurukwa rangu rinoshinya zvokuti rinotonetsa kupfeka. -banidza .
shiri 	D- 	9>10 	z 		shiri D- z 9>10 . Shiri imhuka ine minhenga nemapapiro, inogona kubhururuka kazhinji kacho.
shiripiti 	D- 	5 	z 		shiripiti D- z 5 . saramusi 5 .
-shisha 	K 				-shisha K itik . Kana zvokudya zvakabikwa zvichinzi zva shisha , zvinenge zvagarisa zvisati zvadyiwa, zvave nekakunamukira.
-shishimwa 	K 				-shishimwa K itik . Ku shishimwa kuzvikudza kana kungonetsa kwakanyanya, kune kuonererwa mukati, sezvingaita mwana aona mai vake. -shishima, -fesherwa .
-shishitara 	K 				-shishitara K itik . Ku shishitara kuita nharo dzakasimba pane imwe nyaya, zvokusambonzwa dzimwe pfungwa. Ku shishitara kuramba munhu akabatirira kune chimwe chinhu.
-shishivara 	K 				-shishivara K itik . Kana munhu achi shishivara nechimwe chinhu, anenge angoti nanga nanga nacho.
shitibhedha 	KDDD 	5 	z 		shitibhedha KDDD z 5 . Uyu mucheka mutete unowaridzwa pakati pamachira.
-shivirira 	D 				-shivirira D itik . -shirira .
shizha 	D- 	5 	z 		shizha D- z 5 . Shizha inhengo yemuti kana gwenzi kana muriwo yakapamhama, iri kumuromoromo kwematavi.
shoche 	D- 		ny 		shoche D- ny . Kuti shoche kupisa munhu kana mhuka nechinhu chinopisa, chakaita sesimbi kana dombo.
-shodoka 	K 				-shodoka K itik . Ku shodoka kupesana kwemabhonzo kunokonzerwa nekutadza kunyatsotsika.
shoka 	D- 	9 	z 		shoka D- z 9 . tsoka 9 .
shoko 	D- 	5 	z 		shoko D- z 5 . Shoko mazwi aunotaura kana pane zvaunoda kuzivisa vamwe.
shokorupani 	DKDKD 	9 	z 		shokorupani DKDKD z 9 . Ichi chinyavada chikuru kudarika zvimwe zvose, chinogara pasi pamabwe.
shokoshoko 	D- 	9 	z 		shokoshoko D- z 9 . Uyu munhu ane mari yakawanda chaizvo. shoroma 9, mbozha 9 .
shomanana 	DDKK 		pr 		shomanana DDKK pr . Zvinhu zvi shomanana zvinenge zvisingatombokwani zvachose. Ndakapuwa mvura shomanana, zvokuti ndakasara ndine nyota. shomanene .
-shomeka 	D 				-shomeka D itik . Kana zvinhu zva shomeka zvinenge zvisina kuwanda kusvika panodiwa. Sadza rakashomeka pamutambo, dzokonoko vanhu votukana.
shomhwe 	DK 	9>10 	z 		shomhwe DK z 9>10 . Shomhwe imhodzi dzechakata kana dzemapfura, dzinodyiwa.
shondya 	DK 	5 	z 		shondya DK z 5 . sondya .
-shongedza 	D 				-shongedza D it . Ku shongedza kugadzira mumba, uchiisa maruva kana zvimwewo kuti munake. Kana kirisimasi yava kusvika, vanhu vanoshongedza dzimba dzavo.
-shonha 	D 				-shonha -shona D itik . Kana munhu achi shonha anenge achinyomba, pamwe chete nokuzvidza. -zvidza, -shoora .
-shonyopodza 	K 				-shonyopodza K it . -shonyombodza .
-shopa 	K 				-shopa K it . Kana uchi shopa unenge uchitenga zvinhu zvakawanda panguva imwe chete. -tenga-tenga .
-shopera 	D 				-shopera D itik . Ku shopera kubvunza kun'anga zvinhu zvausingazivi mafambiro azvo, kana tsananguro yourwere.
shora 	D- 		pr 		shora D- pr . Shora ruvara rwuri pakati porupfumbu norushava.
shorira 	DKD 	9 	z 		shorira DKD z 9 . shondo 9 .
shoroma 	D- 	9>10 	z 		shoroma D- z 9>10 . shokoshoko 9 .
shoropodzo 	KKKD 	9 	z 		shoropodzo KKKD z 9 . Aya mazwi okusvora vamwe.
shosha 	DK 	10 	z 		shosha DK z 10 . Shosha kupinda mukati kunoita vhudzi. mapfeka 6 .
-shoshoma 	D 				-shoshoma D itik . Ku shoshoma kubudisa inzwi rine masasaradzi.
-shoshota 	K 				-shoshota K itik . -shokora .
shoti 	DK 	1a 	z 		shoti DK z 1a . Shoti munhu akapfupika zvakanyanya.
-shova 	K 				-shova K it . -shapa . Ku shova kunzwa manyoka. -shisha .
-shovora 	D 				-shovora D it . -shoora .
shoya 	DK 	9 	z 		shoya DK z 9 itik . choya 7 .
-shozhonora 	K 				-shozhonora K it . Ku shozhonora kuita kuti munhu kana mhuka itarise kwayabva. -tendeudza .
-shudha 	K 				-shudha K it . Ku shudha kubaya mhuka kana munhu nepfuti. -pfura .
shudhu 	KD 	9 	z 		shudhu KD z 9 . Shudhu inzvimbo inodzidzirwa kunyatsopfura nepfuti muchiraramisa zvakanaka.
shuka 	D- 	9 	z 		shuka D- z 9 . shuga 9 .
shuku 	D- 	5 	z 		shuku D- z 5 . Shuku muchero unoberekwa nomushuku unotapira zvikuru.
shukukuviri 	K- 	9>10 	z 		shukukuviri K- z 9>10 . tsukukuviri 9 .
shukutu 	D- 		ny 		shukutu D- ny . Kuti shukutu kutsva kwezvinhu pasina rimi romoto. Kuti shukutu kunzwa usina simba mumuviri. rukutu .
-shumaira 	K 				-shumaira K it . Kana muparidzi achi shumaira anenge achiparidza zvinobaya moyo.
shumba 	KD 	9>10 	z 		shumba KD z 9>10 . Shumba imhuka ine simba inenge zikatsi zihombe rine zenze guru, inorarama nekuvhima dzimwe mhuka ichidya nyama yadzo, uye inodzvova zvine ruzha rukuru.
shumeka 	KDD 	1a 	z 		shumeka KDD z 1a . Shumeka munhu anosona shangu.
shumo 	K- 	9>10 	z 		shumo K- z 9>10 . tsumo 9 .
shungu 	K- 	9>10 	z 		shungu K- z 9>10 . Shungu chido chakadzama zvikuru chokuita chinhu, chingave chakanaka kana chakaipa.
-shunguruka 	K 				-shunguruka K itik . Ku shunguruka kutambudzika kana kuti kunetseka kukuru mupfungwa.
-shupa 	D 				-shupa D it . -tambudza .
shupa 	K- 	9>10 	z 		shupa K- z 9>10 . Shupa zinyama rine mvura, munogara mwana kana ari mudumbu. Shupa izai risingachochonyi, kana kuti risina chikukwana.
-shura 	D 				-shura D it . Kana munhu achi shura anenge achiita zvinhu zvisingatenderwi, zvisati zvamboonekwa.
shura 	K 		ny 		shura K ny . Kuti shura kutswanyika kwezvinhu zvakaita semazai kana mashizha akaoma.
shuramatongo 	D- 	9 	z 		shuramatongo D- z 9 . Iyi ishasha pakuita chimwe chinhu. Mutumwapavi yaive shuramatongo pakurwa. mhare 9, shasha 9 . Ichi chirwere chisingarapiki, chinonyanyokonzerwa nekusangana kwavarume navakadzi. mukondombera 3 .
shuramurove 	DDKKK 	5 	z 		shuramurove DDKKK z 5 . shohori 5 .
shure 	KD 	17a 	z 		shure KD z 17a . sure 17a .
shurikidza 	D 				shurikidza D it . Ku shurikidza kuita kuti umwe munhu anzwe kushaya mufaro.
-shurikira 	K 				-shurikira K it . Kana munhu aka shurikirwa , anenge achishaya wokutamba kana wokutaura naye.
shuro 	D- 	9>10 	z 		shuro D- z 9>10 . tsuro 9 .
shuro danda 	DD KK 	9>10 	z 		shuro danda DD KK z 9>10 . Iyi ishuro huro inogara munzvimbo inenge ine miti mikuru yakawira pasi, munova ndimo mainovanda. shuro n'ombe 9 .
-shururudza 	K 				-shururudza K it . Ku shururudza kugeza maoko zvishoma nezvishoma uchiita zvokudirwa mvura. -chururudza .
-shusha 	D 				-shusha D it . Kana munhu achi shusha , anenge achinetsa nokutambudza mumwe, achida kuitirwa zvaanoda iye. Murume wokushusha uya akazotiziwa nomukadzi wake.
-shuta 	K 				-shuta K it . Ku shuta kunangisa bhora muburi kana kuti magedhe, kuti umwise. -shudha . Ku shuta kurova bhora zvakasimba. -shudha .
shutasi 	KDD 	9>10 	z 		shutasi KDD z 9>10 . Shutasi ishangu dzakagadzirirwa kutambisa bhora nadzo.
shutu 	K- 		dc 		shutu K- dc . -shudhu .
shuwa 	KD 	9 	z 		shuwa KD z 9 . Shuwa zvinhu zvinenge zviri zvamazvirokwazvo. Ishuwa kuti munhu anofanira kudya kuti ararame. chokwadi 7 .
-shuzha 	K 				-shuzha K it . Kana vanhu vachi shuzha vanenge vachitenga zviyo kana zvimwewo, nokuti ivo vanenge vasisina zvokudya. -sunza, -tsunza .
-shwadagura 	K 				-shwadagura K it . Ku shwadagura kurova munhu nembama zvine simba.
shwakata shwakata 	D- 				shwakata shwakata D- . chwakata chwakata .
-shwakatika 	D 				-shwakatika D itik . Ku shwakatika kufamba pane mashizha akaoma.
shwape 	D- 		ny 		shwape D- ny . Kuti shwape kurira kunoita chiwepu kana kuti tyava. tuche .
shwatu 	DK 		ny 		shwatu DK ny . shwape .
-shwatura 	K 				-shwatura K it . -shwapura .
-shwauka 	K 				-shwauka K itik . Ku shwauka kuoma zvakanyanya kwemiti, kana kwezvimwewo zvambenge zvichikura.
-shwenga 	K 				-shwenga K it . Ku shwenga kurova chibhakera chine simba, zvokuti chinowisa munhu achiziya.
-shwetaira 	K 				-shwetaira K itik . Ku shwetaira kufamba munhu usina kupfeka. Kana munhu achi shwetaira anenge achifamba akapfeka nhumbi dzinobata.
-shwetenura 	D 				-shwetenura D it . Ku shwetenura kuita kuti pakasungwa zvikuru paregedzeke zvishoma.
shwindi 	DK 	5 	z 		shwindi DK z 5 . Shwindi munhu anongofunga kuti zvake chete ndizvo, uye ane nharo zvikuru.
-shwinya 	KD 				-shwinya KD itik . -swinya .
-si- 	D 		isw 		-si- D isw . Ichi chiiswa chinotaridza pikiso chinoshanda pamwe chete na ha- . Itai haasiendi kubhora, nhasi zvaita sei?
-si- 	K 		vp 		-si- K vp . Ichi chivakapakati chinoratidza zvinhu zvinogara zvichiitika. Vanosidyira sadza ramasikati pano. -chi- .
sika 	D- 		ny 		sika D- ny . Kuti sika kuiita chinhu nemoyo wose usingadzokeri sure. Kana mukoma vakati sika kuridza gitare, hautsukuduri.
sikanadvuku 	KKKDK 	5 	z 		sikanadvuku KKKDK z 5 . Urwu rudzi rwesvosve dzvuku rinoruma zvinorwadza, rinogona kungonyuka kubva napasi mumba. gadzishava 5 .
sikarudzi 	D- 	5 	z 		sikarudzi D- z 5 . beche 5 . mboro 5 .
sikati 	KKD 	5 	z 		sikati KKD z 5 . masakati 6 .
sikera 	KDD 	9>10 	z 		sikera KDD z 9>10 . Sikera mudziyo unoshandiswa pakucheka uswa, wakakombamira mukati mune tumazino twakachedererwa.
siki 	DK 		ny 		siki DK ny . Kuti siki kuedzesera kuita chimwe chinhu, asi wozorega. Akamuti siki nechibhakera, akadyira.
-sikinya 	K 				-sikinya K itik . Ku sikinya kufamba nhanho yakareba zvikuru netsoka. Rume rakasikinya kubva kwaMutare kusvika kwaOdzi.
sikiri 	K- 	9>10 	z 		sikiri K- z 9>10 . sekera 9 .
sikitira 	D- 	5 	z 		sikitira D- z 5 . Uku kuzvimba kunoita ganda warumwa nego kana nesvosve.
sikonzi 	DKD 	5 	z 		sikonzi DKD z 5 . Sikonzi kudya kunobikwa nefurawu, kunowanzosara kwakanamira furawu kumativi.
sikuruudhiraivha 	DDKDDDDD 	9>10 	z 		sikuruudhiraivha DDKDDDDD z 9>10 . Uyu mudziyo weshimbi yakasimba, une chibato nomuromo zvakagadzirirwa kusunga nokusunungura masikuruu.
sikweya 	DKD 	9 	z 		sikweya DKD z 9 . Sikweya urongwa hwechinhu chine mativi mana akaenzana paurefu.
-sima 	K 				-sima K it . Kana uchi sima chirimwa unenge uchichiisa muvhu kuti chigokura.
simbakaviri 	D 	5 	z 		simbakaviri D z 5 . Kuita simbakaviri kuita basa raunozoitazve. Ukasuka midziyo nemvura isina kunatsochena kuita simbakaviri nokuti uchazoda kudzisukazve. munetakaviri 3 .
simbapamuganhu 	DKKDKD 	5 	z 		simbapamuganhu simbapamuganho DKKDKD z 5 . Kuita simbapamuganhu kushanda basa nomoyo wose, wava kuona kuti rave kupera asi pamwe pose wanga uchimboita usimbe.
-simbarara 	D 				-simbarara D itik . Ku simbarara kushinga kana zvinhu zvaoma.
simbe 	D- 	5 	z 		simbe D- z 5 . Simbe munhu asingadi kushanda, anofarira kungogara chete. Simbe dzinoshuzha kwakanaya. nyope 9, shomvu 9 .
simbi 	DK 	9 	z 		simbi DK z 9 . Simbi chiwanikwa chakaomarara kudarika dombo, asi icho chichibikwa nematombo, chozogadziriswa zvakaita sematemo, mazen'e kana njanji.
-simbo- 	D 		vp 		-simbo- D vp . -simbo- chivakapakati chinoratidza zvinhu zvinoitika nenguva dzakaparadzana. Mukomana wamunoreva anosimbopfuura napano.
simendi 	DKD 	9 	z 		simendi DKD z 9 . Simendi chigadzirwa chakada kuita sedota, chinoshandiswa pakuvaka. samende 9 .
-simika 	K 				-simika K itik . Ku simika kubayira muti muvhu. Ku simika kubvisa mbeu kana miti kubva payakadyarwa uchindoidyara pamwewo.
-simira 	K 				-simira K it . Kana waka simira unenge wakapfeka nhumbi. -pfeka .
-simuka 	K 				-simuka K itik . Ku simuka kubva paunenge wakagara uchiramba wakamirapo kana uchienda kwaunoenda. -sumuka .
-simura 	K 				-simura K it . Ku simura kudzura chinhu chinenge chichikura kubva muvhu kuti undochidzvara pamwe. Takasimura nhondo tichindodzidzvara mugadheni. -sumura .
-sina 	D 				-sina D it . Kana mvura ichi sina inenge ichibuda zvishoma nezvishoma.
sine 	DK 	9>10 	z 		sine DK z 9>10 . tsine 9 .
singa 	D- 	5 	z 		singa D- z 5 . Singa umhizha hwokuita chinhu hunoita zvokutambidzanwa mumhuri. Mafa ane masinga asekuru vake okuredza hove nemaduwo.
singwi 	K- 		cs 		singwi K- cs . Singwi izwi rinomiririra munhu pachake. Mutungamiri wezvedzidzo singwi ndiye akavarura chikoro chino.
sinini 	K- 	5 	z 		sinini K- z 5 . Sinini igonye rinodyiwa, rinogara mumutondo, rine ruvara rwamashizha, uye rinoonekwa panguva dzezhizha.
-sininika 	K 				-sininika K itik . Kana mvura ichi sininika inenge ichibuda zvishoma nezvishoma.
sinyerere 	DKKK 	1a 	z 		sinyerere DKKK z 1a . Uyu munhu asingadi zvokutaura-taura navanhu. zinyerere 9 .
sipedhi 	DKD 	9>10 	z 		sipedhi DKD z 9>10 . Sipedhi ifoshoro yakati pafarara kumberi kwayo.
