grapheme	phoneme
linearizál	l'inɛɒɐ̯izaːl
lineáris	l'inɛaːɐ̯iʃ
lingvicizmus	l'iŋgvitsizmuʃ
lingvisztika	l'iŋgvistikɒ
link	l'iŋk
linkel	l'iŋkɛl
linkóci	l'iŋkoːtsi
linolsav	l'inolʃɒv
linolsavak	l'inolʃɒvɒk
linolénsav	l'inoleːnʃɒv
linolénsavak	l'inoleːnʃɒvɒk
linuxos	l'inuksoʃ
linzer	l'inzɛɐ̯
linzertészta	l'inzɛɐ̯teːstɒ
linó	l'inoː
linóleum	l'inoːlɛum
linóleummetszet	l'inoːlɛummɛtsɛt
linómetszet	l'inoːmɛtsɛt
linószedés	l'inoːsɛdeːʃ
liofil	l'i;ofil
liofób	l'i;ofoːb
lioszféra	l'i;osfeːɐ̯ɒ
lipicai	l'ipitsɒi
lipid	l'ipid
liposzóma	l'iposoːmɒ
liptai	l'iptɒi
liptói	l'iptoːi
lirizál	l'iɐ̯izaːl
lista	l'iʃtɒ
listaár	l'iʃtɒaːɐ̯
listaárak	l'iʃtɒaːɐ̯ɒk
listáz	l'iʃtaːz
listázódik	l'iʃtaːzoːdik
liszt	l'ist
lisztel	l'istɛl
lisztes	l'istɛʃ
lisztesláda	l'istɛʃlaːdɒ
liszteszsák	l'istɛsʃaːk
lisztez	l'istɛz
liszthintő	l'isthintøː
lisztérzékeny	l'isteːɐ̯zeːkɛɲ
liter	l'itɛɐ̯
literatúra	l'itɛɐ̯ɒtuːɐ̯ɒ
literál	l'itɛɐ̯aːl
literális	l'itɛɐ̯aːliʃ
literátor	l'itɛɐ̯aːtoɐ̯
literátus	l'itɛɐ̯aːtuʃ
litografál	l'itogɐ̯ɒfaːl
litográfia	l'itogɐ̯aːfi;ɒ
litográfus	l'itogɐ̯aːfuʃ
litoszféra	l'itosfeːɐ̯ɒ
litotróf	l'itotɐ̯oːf
littylotty	l'iç:loç:
liturgia	l'ituɐ̯gi;ɒ
liturgikus	l'ituɐ̯gikuʃ
litván	l'itvaːn
lityi	l'içi
litánia	l'itaːni;ɒ
livré	l'ivɐ̯eː
lixóz	l'iksoːz
lizergsav	l'izɛɐ̯gʃɒv
lizergsavak	l'izɛɐ̯gʃɒvɒk
lizin	l'izin
lizinka	l'iziŋkɒ
lizozim	l'izozim
lián	l'i;aːn
lob	l'ob
lobban	l'obbɒn
lobbant	l'obbɒnt
lobbantat	l'obbɒntɒt
lobbanékony	l'obbɒneːkoɲ
lobbi	l'obbi
lobbista	l'obbiʃtɒ
lobbizik	l,obb'iz,ik
lobog	l'obog
lobogtat	l'obogtɒt
lobogó	l'obogoː
lobogóz	l'obogoːz
loboncos	l'obontsoʃ
lobos	l'oboʃ
lobélia	l'obeːli;ɒ
loccsan	l'otʃ:ɒn
loccsant	l'otʃ:ɒnt
loccsantat	l'otʃ:ɒntɒt
locsog	l'otʃog
locsol	l'otʃol
locsolgat	l'otʃolgɒt
locsolkodik	l'otʃolkodik
locspocs	l'otʃpotʃ
lodzsa	l'odʒ:ɒ
logaritmikus	l'ogɒɐ̯itmikuʃ
logaritmus	l'ogɒɐ̯itmuʃ
logarléc	l'ogɒɐ̯leːts
logarlőcs	l'ogɒɐ̯løːtʃ
logika	l'ogikɒ
logikai	l'ogikɒi
logikus	l'ogikuʃ
logikátlan	l'ogikaːtlɒn
logisztika	l'ogistikɒ
logisztikus	l'ogistikuʃ
loglinearitás	l'oglinɛɒɐ̯itaːʃ
loglineáris	l'oglinɛaːɐ̯iʃ
lognormális	l'ognoɐ̯_maːliʃ
logopédia	l'ogopeːdi;ɒ
logopédus	l'ogopeːduʃ
logosz	l'ogos
logó	l'ogoː
lohad	l'ohɒd
lohadt	l'ohɒdt
lohaszt	l'ohɒst
lohasztat	l'ohɒstɒt
lohol	l'ohol
lojalitás	l'ojɒlitaːʃ
lojális	l'ojaːliʃ
lokalitás	l'okɒlitaːʃ
lokalizáció	l'okɒlizaːtsi;oː
lokalizál	l'okɒlizaːl
lokalizálódik	l'okɒlizaːloːdik
lokni	l'okni
lokniz	l'okniz
lokomotív	l'okomotiːv
lokál	l'okaːl
lokális	l'okaːliʃ
lokálpatriotizmus	l'okaːlpɒtɐ̯i;otizmuʃ
lokátor	l'okaːtoɐ̯
lom	l'om
lomb	l'omb
lombardhitel	l'ombɒɐ̯dhitɛl
lombardügylet	l'ombɒɐ̯dyɟlɛt
lombfakadás	l'ombfɒkɒdaːʃ
lombfűrész	l'ombfyːɐ̯eːs
lombfűrészmunka	l'ombfyːɐ̯eːsmuŋkɒ
lombhullató	l'ombhullɒtoː
lombhullás	l'ombhullaːʃ
lombik	l'ombik
lombikbébi	l'ombikbeːbi
lombos	l'omboʃ
lombosmoha	l'omboʃmohɒ
lombosodik	l'omboʃodik
lombosodás	l'omboʃodaːʃ
lombozat	l'ombozɒt
lombozódik	l'ombozoːdik
lombtalan	l'ombtɒlɒn
lombtalanodás	l'ombtɒlɒnodaːʃ
lombtalanít	l'ombtɒlɒniːt
lomha	l'omhɒ
lomhul	l'omhul
lompos	l'ompoʃ
lomtalanít	l'omtɒlɒniːt
lomtár	l'omtaːɐ̯
lomtárak	l'omtaːɐ̯ɒk
lonc	l'onts
loncsos	l'ontʃoʃ
londiner	l'ondinɛɐ̯
londoni	l'ondoni
longitudinális	l'oŋgitudinaːliʃ
longobárd	l'oŋgobaːɐ̯d
lop	l'op
lopakodik	l'opɒkodik
lopat	l'opɒt
lopdos	l'opdoʃ
lopkod	l'opkod
lopott	l'opot
lopásbiztos	l'opaːʃbiztoʃ
lopódzik	l'opoːd:zik
lopódzkodik	l'opoːdzkodik
lopótök	l'opoːtøk
lopózik	l'opoːzik
lopózkodik	l'opoːzkodik
lord	l'oɐ̯d
lordkancellár	l'oɐ̯dkɒntsɛllaːɐ̯
lornyett	l'oɐ̯ɲɛt
lornyon	l'oɐ̯ɲon
lottyad	l'oç:ɒd
lottyadt	l'oç:ɒdt
lottyan	l'oç:ɒn
lottyant	l'oç:ɒnt
lottyantat	l'oç:ɒntɒt
lottó	l'otoː
lottózik	l'otoːzik
lotyog	l'oçog
lotyó	l'oçoː
lovacskázik	l'ovɒtʃkaːzik
lovag	l'ovɒg
lovagias	l'ovɒgi;ɒʃ
lovagiaskodik	l'ovɒgi;ɒʃkodik
lovagiatlan	l'ovɒgi;ɒtlɒn
lovagkor	l'ovɒgkoɐ̯
lovaglás	l'ovɒglaːʃ
lovagló	l'ovɒgloː
lovaglóakadály	l'ovɒgloːɒkɒdaːj
lovaglócsizma	l'ovɒgloːtʃizmɒ
lovaglóiskola	l'ovɒgloːiʃkolɒ
lovaglóostor	l'ovɒgloːoʃtoɐ̯
lovaglópálca	l'ovɒgloːpaːltsɒ
lovaglóruha	l'ovɒgloːɐ̯uhɒ
lovaglóösvény	l'ovɒgloːøʃveːɲ
lovagol	l'ovɒgol
lovagság	l'ovɒgʃaːg
lovak	l'ovɒk
loval	l'ovɒl
lovarda	l'ovɒɐ̯dɒ
lovas	l'ovɒʃ
lovasit	l'ovɒʃit
lovasság	l'ovɒʃʃaːg
lovasít	l'ovɒʃiːt
lovi	l'ovi
lovári	l'ovaːɐ̯i
lováribarát	l'ovaːɐ̯ibɒɐ̯aːt
lováriellenes	l'ovaːɐ̯i;ɛllɛnɛʃ
lovárigyűlölő	l'ovaːɐ̯iɟyːløløː
lovász	l'ovaːs
lovászkodik	l'ovaːskodik
lubickol	l'ubitskol
luc	l'uts
lucaszék	l'utsɒseːk
lucerna	l'utsɛɐ̯nɒ
lucidus	l'utsiduʃ
lucskok	l'utʃkok
lucskol	l'utʃkol
lucskos	l'utʃkoʃ
lucsok	l'utʃok
ludak	l'udɒk
ludaskása	l'udɒʃkaːʃɒ
ludáj	l'udaːj
luesz	l'uɛs
lufi	l'ufi
luft	l'uft
luftballon	l'uftbɒllon
lugas	l'ugɒʃ
luggat	l'uggɒt
luk	l'uk
lukacsos	l'ukɒtʃoʃ
lukad	l'ukɒd
lukak	l'ukɒk
lukas	l'ukɒʃ
lukaszt	l'ukɒst
lukasztó	l'ukɒstoː
lukasztói	l'ukɒstoːi
lukasóra	l'ukɒʃoːɐ̯ɒ
lukratív	l'ukɐ̯ɒtiːv
lukulluszi	l'ukullusi
lumbágó	l'umbaːgoː
lumbálpunkció	l'umbaːlpuŋktsi;oː
lumen	l'umɛn
lumineszcencia	l'uminɛstsɛntsi;ɒ
lumineszcens	l'uminɛstsɛnʃ
lumineszkál	l'uminɛskaːl
lump	l'ump
lumpen	l'umpɛn
lumpenproletariátus	l'umpɛnpɐ̯olɛtɒɐ̯i;aːtuʃ
lumpenproletár	l'umpɛnpɐ̯olɛtaːɐ̯
lumpol	l'umpol
lunda	l'undɒ
lunátikus	l'unaːtikuʃ
lupe	l'upɛ
lupé	l'upeː
lurkó	l'uɐ̯koː
lusta	l'uʃtɒ
lustos	l'uʃtoʃ
lustul	l'uʃtul
lustálkodik	l'uʃtaːlkodik
lustít	l'uʃtiːt
lutheranizmus	l'uthɛɐ̯ɒnizmuʃ
lutheri	l'uthɛɐ̯i
lutheránus	l'uthɛɐ̯aːnuʃ
lutri	l'utɐ̯i
lutécium	l'uteːtsi;um
lux	l'uks
luxmérő	l'uksmeːɐ̯øː
luxuriózus	l'uksuɐ̯i;oːzuʃ
luxus	l'uksuʃ
luxuskabin	l'uksuʃkɒbin
lycra	jtsɐ̯'ɒ
lyuggat	j'uggɒt
lyuk	j'uk
lyukacs	j'ukɒtʃ
lyukacsos	j'ukɒtʃoʃ
lyukad	j'ukɒd
lyukadt	j'ukɒdt
lyukak	j'ukɒk
lyukas	j'ukɒʃ
lyukaszt	j'ukɒst
lyukasztat	j'ukɒstɒt
lyukasztó	j'ukɒstoː
lyukasóra	j'ukɒʃoːɐ̯ɒ
lyukbőség	j'ukbøːʃeːg
lyukfűrész	j'ukfyːɐ̯eːs
láb	l'aːb
lábad	l'aːbɒd
lábadozik	l'aːbɒdozik
lábadt	l'aːbɒdt
lábak	l'aːbɒk
lábal	l'aːbɒl
lábas	l'aːbɒʃ
lábatlan	l'aːbɒtlɒn
lábatlankodik	l'aːbɒtlɒŋkodik
lábazat	l'aːbɒzɒt
lábbeli	l'aːbbɛli
lábbilincs	l'aːbbilintʃ
lábdübörgés	l'aːbdybøɐ̯geːʃ
lábfagyás	l'aːbfɒɟaːʃ
lábfej	l'aːbfɛj
lábfájás	l'aːbfaːjaːʃ
lábfájós	l'aːbfaːjoːʃ
lábfék	l'aːbfeːk
lábikra	l'aːbikɐ̯ɒ
lábikó	l'aːbikoː
lábjegyzet	l'aːbjɛɟzɛt
lábkanyarítás	l'aːbkɒɲɒɐ̯iːtaːʃ
lábmosás	l'aːbmoʃaːʃ
lábnyom	l'aːbɲom
lábol	l'aːbol
lábos	l'aːboʃ
lábravaló	l'aːbɐ̯ɒvɒloː
lábszár	l'aːbsaːɐ̯
lábszárak	l'aːbsaːɐ̯ɒk
lábszárcsont	l'aːbsaːɐ̯tʃont
lábszárvédő	l'aːbsaːɐ̯veːdøː
lábszíjaz	l'aːbsiːjɒz
lábsó	l'aːbʃoː
lábtartás	l'aːbtɒɐ̯taːʃ
lábtengó	l'aːbtɛŋgoː
lábtyű	l'aːbçyː
lábtámasz	l'aːbtaːmɒs
lábtörlő	l'aːbtøɐ̯løː
lábtövek	l'aːbtøvɛk
lábtő	l'aːbtøː
lábtőcsont	l'aːbtøːtʃont
lábujj	l'aːbujj
lábujjak	l'aːbujjɒk
lábujjhegy	l'aːbujjhɛɟ
lábujjkörmök	l'aːbujjkøɐ̯_møk
lábujjköröm	l'aːbujjkøɐ̯øm
lábító	l'aːbiːtoː
láda	l'aːdɒ
ládafia	l'aːdɒfi;ɒ
ládakeret	l'aːdɒkɛɐ̯ɛt
ládika	l'aːdikɒ
ládikó	l'aːdikoː
láger	l'aːgɛɐ̯
lágy	l'aːɟ
lágyacél	l'aːɟɒtseːl
lágybogarak	l'aːɟbogɒɐ̯ɒk
lágybogár	l'aːɟbogaːɐ̯
lágyezüstérc	l'aːɟɛzyʃteːɐ̯ts
lágyfekély	l'aːɟfɛkeːj
lágyforrasz	l'aːɟforɒs
lágyforrasztás	l'aːɟforɒstaːʃ
lágylencse	l'aːɟlɛntʃɛ
lágymeleg	l'aːɟmɛlɛg
lágyrajzú	l'aːɟɐ̯ɒjzuː
lágyszárú	l'aːɟssaːɐ̯uː
lágyszívű	l'aːɟssiːvyː
lágyul	l'aːɟul
lágyvas	l'aːɟvɒʃ
lágyvasak	l'aːɟvɒʃɒk
lágyék	l'aːɟeːk
lágyéktáji	l'aːɟeːktaːji
lágyít	l'aːɟiːt
lágyítószer	l'aːɟiːtoːsɛɐ̯
láma	l'aːmɒ
lámpa	l'aːmpɒ
lámpabura	l'aːmpɒbuɐ̯ɒ
lámpaernyő	l'aːmpɒɛɐ̯ɲøː
lámpafény	l'aːmpɒfeːɲ
lámpaláz	l'aːmpɒlaːz
lámpalázak	l'aːmpɒlaːzɒk
lámpaoszlop	l'aːmpɒoslop
lámpaégő	l'aːmpɒeːgøː
lámpácskavirág	l'aːmpaːtʃkɒviɐ̯aːg
lámpás	l'aːmpaːʃ
lámpátlan	l'aːmpaːtlɒn
lámpáz	l'aːmpaːz
lánc	l'aːnts
lánccsörgés	l'aːntʃ:øɐ̯geːʃ
láncfonalak	l'aːntsfonɒlɒk
láncfonál	l'aːntsfonaːl
lánchegység	l'aːntshɛtʃ:eːg
lánchenger	l'aːntshɛŋgɛɐ̯
lánchidak	l'aːntshidɒk
lánchíd	l'aːntshiːd
lánckövetkeztetés	l'aːntskøvɛtkɛztɛteːʃ
láncol	l'aːntsol
láncolat	l'aːntsolɒt
láncolatos	l'aːntsolɒtoʃ
láncolt	l'aːntsolt
láncreakció	l'aːntsɐ̯ɛɒktsi;oː
lánctöltés	l'aːntstølteːʃ
lándzsa	l'aːndʒɒ
lándzsahegy	l'aːndʒɒhɛɟ
lándzsanyelek	l'aːndʒɒɲɛlɛk
lándzsanyél	l'aːndʒɒɲeːl
lándzsás	l'aːndʒaːʃ
láng	l'aːŋg
lángelme	l'aːŋgɛlmɛ
lángol	l'aːŋgol
lángossütő	l'aːŋgoʃʃytøː
lángvörös	l'aːŋgvøɐ̯øʃ
lángész	l'aːŋgeːs
lány	l'aːɲ
lányka	l'aːɲkɒ
lánykori	l'aːɲkoɐ̯i
lányáék	l'aːɲaːeːk
láp	l'aːp
lápa	l'aːpɒ
láperdő	l'aːpɛɐ̯døː
lápibaglyok	l'aːpibɒgjok
lápibagoly	l'aːpibɒgoj
lápisz	l'aːpis
lápos	l'aːpoʃ
láprét	l'aːpɐ̯eːt
lárifári	l'aːɐ̯ifaːɐ̯i
lárma	l'aːɐ̯_mɒ
lármás	l'aːɐ̯_maːʃ
lármáz	l'aːɐ̯_maːz
lármázik	l'aːɐ̯_maːzik
lárva	l'aːɐ̯vɒ
lásd	l'aːʃd
láss	l'aːʃʃ
lássa	l'aːʃʃɒ
lássad	l'aːʃʃɒd
lássak	l'aːʃʃɒk
lássalak	l'aːʃʃɒlɒk
lássam	l'aːʃʃɒm
lássanak	l'aːʃʃɒnɒk
lássatok	l'aːʃʃɒtok
lásson	l'aːʃʃon
lássuk	l'aːʃʃuk
lássunk	l'aːʃʃuŋk
lássák	l'aːʃʃaːk
lássál	l'aːʃʃaːl
lássátok	l'aːʃʃaːtok
lássék	l'aːʃʃeːk
lát	l'aːt
látandó	l'aːtɒndoː
látat	l'aːtɒt
látatlan	l'aːtɒtlɒn
látcsövek	l'aːttʃøvɛk
látcsövez	l'aːttʃøvɛz
látcső	l'aːttʃøː
látencia	l'aːtɛntsi;ɒ
láthat	l'aːthɒt
láthatatlan	l'aːthɒtɒtlɒn
láthatatlanság	l'aːthɒtɒtlɒnʃaːg
láthatár	l'aːthɒtaːɐ̯
láthatás	l'aːthɒtaːʃ
látható	l'aːthɒtoː
láthatólagos	l'aːthɒtoːlɒgoʃ
láthatóság	l'aːthɒtoːʃaːg
látja	l'aːç:ɒ
látjuk	l'aːç:uk
látják	l'aːç:aːk
látjátok	l'aːç:aːtok
látkép	l'aːtkeːp
látkör	l'aːtkøɐ̯
látlak	l'aːtlɒk
látlelet	l'aːtlɛlɛt
látna	l'aːtnɒ
látnak	l'aːtnɒk
látni	l'aːtni
látnia	l'aːtni;ɒ
látniok	l'aːtni;ok
látniuk	l'aːtni;uk
látnivaló	l'aːtnivɒloː
látnod	l'aːtnod
látnok	l'aːtnok
látnoki	l'aːtnoki
látnom	l'aːtnom
látnotok	l'aːtnotok
látnunk	l'aːtnuŋk
látná	l'aːtnaː
látnád	l'aːtnaːd
látnák	l'aːtnaːk
látnál	l'aːtnaːl
látnálak	l'aːtnaːlɒk
látnám	l'aːtnaːm
látnának	l'aːtnaːnɒk
látnánk	l'aːtnaːŋk
látnátok	l'aːtnaːtok
látnék	l'aːtneːk
látnók	l'aːtnoːk
látod	l'aːtod
látogat	l'aːtogɒt
látogatottság	l'aːtogɒtottʃaːg
látogató	l'aːtogɒtoː
látok	l'aːtok
látom	l'aːtom
látomás	l'aːtomaːʃ
látonya	l'aːtoɲɒ
látott	l'aːtot
látsszak	l'aːtssɒk
látsszam	l'aːtssɒm
látsszanak	l'aːtssɒnɒk
látsszatok	l'aːtssɒtok
látsszon	l'aːtsson
látsszunk	l'aːtssuŋk
látsszál	l'aːtssaːl
látsszék	l'aːtsseːk
látsz	l'aːts
látszana	l'aːtsɒnɒ
látszanak	l'aːtsɒnɒk
látszandó	l'aːtsɒndoː
látszani	l'aːtsɒni
látszania	l'aːtsɒni;ɒ
látszaniok	l'aːtsɒni;ok
látszaniuk	l'aːtsɒni;uk
látszanod	l'aːtsɒnod
látszanom	l'aːtsɒnom
látszanotok	l'aːtsɒnotok
látszanunk	l'aːtsɒnuŋk
látszanál	l'aːtsɒnaːl
látszanám	l'aːtsɒnaːm
látszanának	l'aːtsɒnaːnɒk
látszanánk	l'aːtsɒnaːŋk
látszanátok	l'aːtsɒnaːtok
látszanék	l'aːtsɒneːk
látszat	l'aːtsɒt
látszerész	l'aːtsɛɐ̯eːs
látszhat	l'aːtshɒt
látszik	l'aːtsik
látszok	l'aːtsok
látszol	l'aːtsol
látszom	l'aːtsom
látszotok	l'aːtsotok
látszott	l'aːtsot
látszottak	l'aːtsotɒk
látszottam	l'aːtsotɒm
látszottatok	l'aːtsotɒtok
látszottunk	l'aːtsotuŋk
látszottál	l'aːtsotaːl
látszunk	l'aːtsuŋk
látszva	l'aːtsvɒ
látszván	l'aːtsvaːn
látszás	l'aːtsaːʃ
látszó	l'aːtsoː
látszódik	l'aːtsoːdik
látszólagos	l'aːtsoːlɒgoʃ
látta	l'aːtɒ
láttad	l'aːtɒd
láttak	l'aːtɒk
láttalak	l'aːtɒlɒk
láttam	l'aːtɒm
láttamoz	l'aːtɒmoz
láttat	l'aːtɒt
láttatok	l'aːtɒtok
láttodon	l'aːtodon
láttodra	l'aːtodɐ̯ɒ
láttok	l'aːtok
láttomon	l'aːtomon
láttomra	l'aːtomɐ̯ɒ
láttotokon	l'aːtotokon
láttotokra	l'aːtotokɐ̯ɒ
láttuk	l'aːtuk
láttukon	l'aːtukon
láttukra	l'aːtukɐ̯ɒ
láttunk	l'aːtuŋk
láttunkon	l'aːtuŋkon
láttunkra	l'aːtuŋkɐ̯ɒ
látták	l'aːtaːk
láttál	l'aːtaːl
láttán	l'aːtaːn
láttára	l'aːtaːɐ̯ɒ
láttátok	l'aːtaːtok
látunk	l'aːtuŋk
látva	l'aːtvɒ
látván	l'aːtvaːn
látvány	l'aːtvaːɲ
látványos	l'aːtvaːɲoʃ
látá	l'aːtaː
látás	l'aːtaːʃ
látáskárosult	l'aːtaːʃkaːɐ̯oʃult
látássérült	l'aːtaːʃʃeːɐ̯ylt
látásvizsgálat	l'aːtaːʃviʒgaːlɒt
látó	l'aːtoː
látóhatár	l'aːtoːhɒtaːɐ̯
látókör	l'aːtoːkøɐ̯
látószerv	l'aːtoːsɛɐ̯v
látószög	l'aːtoːsøg
látótávolság	l'aːtoːtaːvolʃaːg
láva	l'aːvɒ
lávakövek	l'aːvɒkøvɛk
lávakő	l'aːvɒkøː
láz	l'aːz
lázad	l'aːzɒd
lázadoz	l'aːzɒdoz
lázadozik	l'aːzɒdozik
lázadt	l'aːzɒdt
lázak	l'aːzɒk
lázas	l'aːzɒʃ
lázasodik	l'aːzɒʃodik
lázcsillapító	l'aːztʃillɒpiːtoː
lázit	l'aːzit
lázkiütés	l'aːzki;yteːʃ
lázong	l'aːzoŋg
lázroham	l'aːzɐ̯ohɒm
láztalan	l'aːztɒlɒn
lázít	l'aːziːt
lé	l'eː
lébecol	l'eːbɛtsol
léc	l'eːts
lécel	l'eːtsɛl
lécez	l'eːtsɛz
lécezet	l'eːtsɛzɛt
lécezés	l'eːtsɛzeːʃ
lécvágó	l'eːtsvaːgoː
lédús	l'eːduːʃ
lég	l'eːg
légakna	l'eːgɒknɒ
légbefúvós	l'eːgbɛfuːvoːʃ
légbuborék	l'eːgbuboɐ̯eːk
légcsatorna	l'eːgtʃɒtoɐ̯nɒ
légcsavar	l'eːgtʃɒvɒɐ̯
légcsavaros	l'eːgtʃɒvɒɐ̯oʃ
légcsövek	l'eːgtʃøvɛk
légcsövi	l'eːgtʃøvi
légcső	l'eːgtʃøː
légcsőhurut	l'eːgtʃøːhuɐ̯ut
légelhárító	l'eːgɛlhaːɐ̯iːtoː
légellenállás	l'eːgɛllɛnaːllaːʃ
légfrissítő	l'eːgfɐ̯iʃʃiːtøː
légfék	l'eːgfeːk
légfúvás	l'eːgfuːvaːʃ
légfúvó	l'eːgfuːvoː
légfürdőzik	l'eːgfyɐ̯døːzik
léggömb	l'eːggømb
léghajó	l'eːghɒjoː
léghajós	l'eːghɒjoːʃ
léghajózik	l'eːghɒjoːzik
léghuzam	l'eːghuzɒm
léghuzat	l'eːghuzɒt
léghűtéses	l'eːghyːteːʃɛʃ
légi	l'eːgi
légiakna	l'eːgi;ɒknɒ
légibiztosító	l'eːgibiztoʃiːtoː
légibomba	l'eːgibombɒ
légibázis	l'eːgibaːziʃ
légicsapás	l'eːgitʃɒpaːʃ
légideszant	l'eːgidɛsɒnt
légierő	l'eːgi;ɛɐ̯øː
légies	l'eːgi;ɛʃ
légiesül	l'eːgi;ɛʃyl
légiflotta	l'eːgiflotɒ
légiforgalmi	l'eːgifoɐ̯gɒlmi
légifuvardíj	l'eːgifuvɒɐ̯diːj
légifuvardíjak	l'eːgifuvɒɐ̯diːjɒk
légihidak	l'eːgihidɒk
légihíd	l'eːgihiːd
légijármű	l'eːgijaːɐ̯_myː
légikikötő	l'eːgikikøtøː
légikisasszony	l'eːgikiʃɒssoɲ
légionista	l'eːgi;oniʃtɒ
légiposta	l'eːgipoʃtɒ
légiriadó	l'eːgiɐ̯i;ɒdoː
légiterek	l'eːgitɛɐ̯ɛk
légitorpedó	l'eːgitoɐ̯pɛdoː
légitámadás	l'eːgitaːmɒdaːʃ
légitársaság	l'eːgitaːɐ̯ʃɒʃaːg
légitér	l'eːgiteːɐ̯
légiutas	l'eːgi;utɒʃ
légivadász	l'eːgivɒdaːs
légiveszély	l'eːgivɛseːj
légió	l'eːgi;oː
légiós	l'eːgi;oːʃ
légiósbetegség	l'eːgi;oːʃbɛtɛgʃeːg
légjavítás	l'eːgjɒviːtaːʃ
légkamra	l'eːgkɒmɐ̯ɒ
légkondicionált	l'eːgkonditsi;onaːlt
légkondicionálás	l'eːgkonditsi;onaːlaːʃ
légkör	l'eːgkøɐ̯
légköri	l'eːgkøɐ̯i
léglökés	l'eːgløkeːʃ
légmentes	l'eːgmɛntɛʃ
légmérő	l'eːgmeːɐ̯øː
légnemű	l'eːgnɛmyː
légnyomás	l'eːgɲomaːʃ
légnyomásmérő	l'eːgɲomaːʃmeːɐ̯øː
légpuska	l'eːgpuʃkɒ
légpárna	l'eːgpaːɐ̯nɒ
légpárnás	l'eːgpaːɐ̯naːʃ
légritka	l'eːgɐ̯itkɒ
légritkított	l'eːgɐ̯itkiːtot
légsebesség	l'eːgʃɛbɛʃʃeːg
légszigetelt	l'eːgsigɛtɛlt
légszivattyú	l'eːgsivɒç:uː
légsúlymérő	l'eːgʃuːjmeːɐ̯øː
légsúrlódás	l'eːgʃuːɐ̯loːdaːʃ
légsűrítő	l'eːgʃyːɐ̯iːtøː
légtelenít	l'eːgtɛlɛniːt
légtelenítő	l'eːgtɛlɛniːtøː
légterek	l'eːgtɛɐ̯ɛk
légtornász	l'eːgtoɐ̯naːs
légtér	l'eːgteːɐ̯
légutak	l'eːgutɒk
légvonal	l'eːgvonɒl
légvonalak	l'eːgvonɒlɒk
légvonat	l'eːgvonɒt
légvonatos	l'eːgvonɒtoʃ
légvár	l'eːgvaːɐ̯
légvárak	l'eːgvaːɐ̯ɒk
légvárépítés	l'eːgvaːɐ̯eːpiːteːʃ
légvédelmi	l'eːgveːdɛlmi
légy	l'eːɟ
légybeköpte	l'eːɟbɛkøptɛ
légycsapó	l'eːɟtʃɒpoː
légyfajta	l'eːɟfɒjtɒ
légyfogó	l'eːɟfogoː
légyott	l'eːɟot
légypiszkos	l'eːɟpiskoʃ
légyszíves	l'eːɟssiːvɛʃ
légzed	l'eːgzɛd
légzek	l'eːgzɛk
légzel	l'eːgzɛl
légzem	l'eːgzɛm
légzendő	l'eːgzɛndøː
légzett	l'eːgzɛt
légzi	l'eːgzi
légzik	l'eːgzik
légzitek	l'eːgzitɛk
légzsák	l'eːgʒaːk
légzáró	l'eːgzaːɐ̯oː
légzés	l'eːgzeːʃ
légzésmérő	l'eːgzeːʃmeːɐ̯øː
légzünk	l'eːgzyŋk
légző	l'eːgzøː
légzőgyökerek	l'eːgzøːɟøkɛɐ̯ɛk
légzőgyökér	l'eːgzøːɟøkeːɐ̯
légzőszerv	l'eːgzøːsɛɐ̯v
légó	l'eːgoː
légóz	l'eːgoːz
légút	l'eːguːt
légüres	l'eːgyɐ̯ɛʃ
légűr	l'eːgyːɐ̯
léha	l'eːhɒ
léháskodik	l'eːhaːʃkodik
léhűtő	l'eːhyːtøː
lék	l'eːk
lékel	l'eːkɛl
lélegez	l'eːlɛgɛz
lélegezik	l'eːlɛgɛzik
lélegeztet	l'eːlɛgɛztɛt
lélegezzék	l'eːlɛgɛzzeːk
lélegezés	l'eːlɛgɛzeːʃ
lélegező	l'eːlɛgɛzøː
lélegzet	l'eːlɛgzɛt
lélegzetelállító	l'eːlɛgzɛtɛlaːlliːtoː
lélegzetvétel	l'eːlɛgzɛtveːtɛl
lélegzik	l'eːlɛgzik
lélegzés	l'eːlɛgzeːʃ
lélegző	l'eːlɛgzøː
lélek	l'eːlɛk
lélekelemzés	l'eːlɛkɛlɛmzeːʃ
lélekharang	l'eːlɛkhɒɐ̯ɒŋg
lélekidomár	l'eːlɛkidomaːɐ̯
lélekjelenlét	l'eːlɛkjɛlɛnleːt
lélekkufárság	l'eːlɛk:ufaːɐ̯ʃaːg
lélekszám	l'eːlɛksaːm
lélektan	l'eːlɛktɒn
lélektani	l'eːlɛktɒni
lélektelen	l'eːlɛktɛlɛn
lélekvándorlás	l'eːlɛkvaːndoɐ̯laːʃ
lélekölő	l'eːlɛkøløː
lénia	l'eːni;ɒ
léniáz	l'eːni;aːz
lény	l'eːɲ
lényeg	l'eːɲɛg
lényegbeni	l'eːɲɛgbɛni
lényegbevágó	l'eːɲɛgbɛvaːgoː
lényeges	l'eːɲɛgɛʃ
lényegi	l'eːɲɛgi
lényegiesül	l'eːɲɛgi;ɛʃyl
lényegtelen	l'eːɲɛgtɛlɛn
lényegít	l'eːɲɛgiːt
lényegül	l'eːɲɛgyl
lényegülés	l'eːɲɛgyleːʃ
lép	l'eːp
lépcső	l'eːptʃøː
