g e ʧ	гэж
a ʦ a	Азаа
a t ə ɮ	Адал
a w tʰ ə p ə s ə n t	Автобусанд
a w tʰ ɔ	Авто
a p r ə χ ə m	Абрахам
a p r ə m ə wʲ ə ʧʰ ə ŋ	Абрамовичын
aa r ə ŋ	Аарон
a n ə ʊ	АНЭУ
j ɔɔ ɔ	Ёоо
oo r ʧʰ ɮ ə x ə t	өөрчлөхөд
oo r ʧʰ ɮ ə ɮ tʰ ə n t	өөрчлөлтөнд
oo r ʧʰ ɮ ə g t ə x ə t	өөрчлөгдөхөд
oo r ʧʰ ɮ ə g t ɮ o	өөрчлөгдлөө
oo r ʧʰ ɮ ə g t t ə g g ui	өөрчлөгддөггүй
oo r ʧʰ ə ɮ ə ɮ tʰ	өөрчилөлт
oo r s ə t t o	өөрсөддөө
oo r s tʲ i g	өөрсдийг
oo t r ə g ə r	өөдрөгөөр
o ʧʰ ə g	өчиг
o s ə w	өсөв
o s s o r	өссөөр
o s ɮ o	өслөө
o s g ə x ə t	өсгөхөд
o r o nʲ i x o	өрөөнийхөө
o r o ɮʲ i g	өрөөлийг
o r ə m	өрөм
o r ə g	өрөг
o r ə w t t ə g	өрөвддөг
o r ʃ o ʧ	өршөөж
o r g ə m ʧ ɮ ə g t ə ʧ	өргөмжлөгдөж
o r g ə t ɮʲ i ŋ	өргөдлийн
o n t ə g o	өндөгөө
o n tʲ i g o t	өндийгөөд
o ŋ g ə tʰ ə r	өнгөтөөр
o ŋ g ə r u ɮ ə n	өнгөрүүлнэ
o ŋ g ə r s n ə s	өнгөрснөөс
o ŋ g ə r s nʲ i g	өнгөрснийг
o ŋ g ə n ə s	өнгөнөөс
o ŋ g ə ɮ ə ŋ	өнгөлөн
o m ə r ə x	өмөөрөх
o m s ə xʲ i g	өмсөхийг
o m s ə x g ui	өмсөхгүй
o m s ə ŋ	өмсөн
o m s ə g ʧʰ tʲ i g	өмсөгчдийг
o m s g ə ɮʲ i g	өмсгөлийг
o m s w ə ɮ	өмсвөл
o m n ə x ə s	өмнөхөөс
o ɮ g ə ʧ	өлгөж
o j ə g	өег
o t o x	өдөөх
o t ə s ə ŋ	өдөөсөн
o t o ʧ	өдөөж
o g u ɮ ə m ʧ	өгүүлэмж
o g u ɮ p ə r ə r	өгүүлбэрээр
o g u ɮ p ə r tʰ	өгүүлбэрт
o g ʧʰ ə x w ə ɮ	өгчихвөл
o g s o t	өгсөөд
o g s ə x	өгсөх
o g ʦ ə g	өгзөг
o w o g	өвөөг
o w ə r tʰ ɮ ə ŋ	өвөртлөн
o w ʧʰ ɮ ə x	өвчлөх
o w ʧʰ ɮ ə ɮ	өвчлөл
o w ʧʰ ə nʲ i g	өвчинийг
o w tʰ g ə ʧ	өвтгөж
o w s tʰ	өвст
o w ɮ ə ʧ	өвлөж
o w t ə g nʲ i	өвдөгний
o w ɢ	өвгө
oo x	Өөх
oo r o s	Өөрөөс
oo r o	ӨӨРӨӨ
o ʧʰ ə g t rʲ i ŋ	Өчигдрийн
o tʰ g ə ŋ	Өтгөн
o r s ə ɮ t ə ŋ	Өрсөлдөөн
o r g o nʲ i	Өргөөний
o n o g	Өнөөг
o ŋ g ə r t ə g	Өнгөрдөг
o ɮ s ə ʧ	Өлсөж
o ʦ pʲ ə g	Өзбег
o t ə r ʧ ə ŋ	Өдөржин
o g ə x	Өгөх
o g u ɮ p ə rʲ i ŋ	Өгүүлбэрийн
o m n	ӨМНӨ
uu s g ə ɮ	үүсгэл
uu s w ə rʲ i ŋ	үүсвэрийн
uu r ə x	үүрэх
uu r n e s	үүрнээс
uu rʲ i g	үүрийг
uu r g u tʲ i g	үүргүүдийг
uu ɮʲ i g	үүлийг
uu ɮ g ui	үүлгүй
uu t e	үүдээ
u x e g ui	үхээгүй
u x ə w	үхэв
u x ʧʰ ə x	үхчих
u x w ə ɮ	үхвэл
u s ʧʰ nʲ i	үсчний
u s r ə x	үсрэх
u r e t	үрээд
u r g ə ɮ ʧ ɮ u ɮ s ə r	үргэлжлүүлсээр
u r g ə ɮ ʧ ɮ u ɮ ə n	үргэлжлүүлнэ
u r g ə ɮ ʧ ə t	үргэлжид
u r g ə ʧ	үргэж
u n ə r tʰ ə ŋ	үнэртэн
u n ə n ə s e	үнэнээсээ
u n ə n ə s	үнэнээс
u n ə ŋ x u	үнэнхүү
u n ə m ɮ ə x e	үнэмлэхээ
u n ə m ɮ ə x tʰ e	үнэмлэхтэй
u n ə ɮ ə m ʧ i g	үнэлэмжийг
u n t ə s ɮ ə ɮ e	үндэслэлээ
u n t ə s i g	үндэсийг
u n t s e r e	үндсээрээ
u ɮ ə t ə g	үлээдэг
u ɮ t e x g ui	үлдээхгүй
u ɮ t ə w ə ɮ	үлдээвэл
u ɮ t s ə nʲ i g	үлдсэнийг
u ɮ t s ə ŋ g ui	үлдсэнгүй
ui m e nʲ i g	үймээнийг
ui m e nʲ i	үймээний
ui ɮ ʧʰ ɮ u ɮ ə x	үйлчлүүлэх
ui ɮ ʧʰ ɮ u ɮ ə g ʧʰ ə t	үйлчлүүлэгчид
ui ɮ ʧʰ ə ɮ s ə ŋ	үйлчилсэн
ui ɮ ʧʰ ə ɮ t ə g g ui	үйлчилдэггүй
ui ɮ tʰ	үйлт
ui ɮ t w ə r ɮ ə ɮ ə r	үйлдвэрлэлээр
ui ɮ t w ə r ʧ s ə ŋ	үйлдвэржсэн
u ʦ u ɮ ə ɮ tʰ ə r e	үзүүлэлтээрээ
u ʦ u ɮ ə g ʧʰ	үзүүлэгч
u ʦ u ɮ ɮ e	үзүүллээ
u ʦ ə m ʧ tʰ e	үзэмжтэй
u ʦ ə j	үзэе
u ʦ ə g ʧʰ tʲ i g	үзэгчдийг
u ʦ ə g t ə ʧ	үзэгдэж
u ʦ ə g t ə w	үзэгдэв
u ʦ ʧʰ ə x e t	үзчихээд
u ʦ ʧʰ ə x	үзчих
u ʦ s e r	үзсээр
u ʦ n e	үзнээ
u ʦ g e	үзгээ
u j ə ə t	үеүд
u j ə e	үеээ
u j ə tʰ ə ŋ	үетэн
u j ə r x s ə ŋ	үерхсэн
u j ə ŋ	үен
u j ə i ŋ x tʰ e	үеийнхтэй
u t ə ʃ ɮ ə g tʰ	үдэшлэгт
u g ui tʰ e	үгүйтэй
u g ui ɮ ə g t ə ʧ	үгүйлэгдэж
u g e r e	үгээрээ
u g ɮ e	үглээ
u g ɮ ə ŋ	үглэн
uu nʲ i x e	Үүнийхээ
u x ə r	Үхэр
u s ə g	Үсэг
u ɮ ə m ʧ i ŋ	Үлэмжийн
u ɮ ə m ʧ	Үлэмж
ui m e ŋ	Үймээн
ui ɮ ʧʰ ə ɮ g e	Үйлчилгээ
ui ɮ t ɮʲ i ŋ	Үйлдлийн
u ʦ ə g ʧʰ ə t	Үзэгчид
u w ə r	Үвөр
j ɔ r ɔ ɮ ɔ r	ёроолоор
j a s a r	ясаар
j a rʲ s n ə g	ярьсныг
j a rʲ s ə n ə g	ярьсаныг
j a rʲ ə χ a s	ярихаас
j a rʲ ə ɮ ʦʰ ɮ ə ɢ ə n t a	ярилцлагандаа
j a rʲ ə ɮ ʦʰ ɮ ə ɢ ə t	ярилцлагад
j a rʲ ə ɮ ʦʰ ə ɢ ʧʰ	ярилцагч
j a n ʧʰ a ŋ	янчаан
j a n ʦ ɮ ə ŋ	янзлан
j a m a ɢ a	ямаагаа
j a ɮ ɮ ə ŋ	яллан
j a ɮ ɢ ə χ ə t	ялгахад
j a ɮ ɢ ə r ʊ ɮ ʧ	ялгаруулж
j a ɮ ɢ ə r ə ɮ	ялгарал
j a ɮ ɢ ə ɢ t ə n	ялгагдана
j a ɮ ə χ ə t	ялахад
j a ɮ ə ɮ tʰ ə n t	ялалтанд
j a ɮ ə g t ʧ e	ялагджээ
j a ɮ ə w	ялав
j a t ʧ i x ə t	яджийхад
j a t ə χ a r a	ядахаараа
j a t ə ɮ tʰ	ядалт
j a ɢ a n t ʊ	ягаандуу
j a w ʧʰ ə x ʧ e	явчихжээ
j a w ʦʰ g ui	явцгүй
j a w ʦʰ ɢ a t ə g	явцгаадаг
j a w ʊ ɮ ɢ	явуулга
j a w ʊ ɮ ə χ ə ŋ	явуулахын
j a w ʊ ɮ ə w	явуулав
j a w t ə ɢ a	явдагаа
j a w ə g t ʧ e	явагджээ
j aa χ n ʊ	яахнуу
j aa s ə ŋ	яасын
j aa tʲ i ŋ	яадийн
j aa a j	яаая
j uu g e ŋ	юүгээн
j ʊ mʲ i g	юмийг
ee ɮ ʧ tʰ e	ээлжтэй
ee ʧ i	ээжий
i ʦʰ ə g tʰ	эцэгт
i x ə ɮ s nʲ i	эхэлсний
i x tʰ e g e	эхтэйгээ
i x n ə r u t	эхнэрүүд
i x ɮ ə x t e	эхлэхдээ
i tʰ g e t e s	этгээдээс
i tʰ g e t tʰ e	этгээдтэй
i s x u ɮ	эсхүүл
i r u t ə ŋ	эрүүдэн
i r e t	эрээд
i r ə w ə r	эрээвэр
i r ə ɮ xʲ i ɮ s ə ŋ	эрэлхийлсэн
i r ə ɮ xʲ i ɮ ʧ	эрэлхийлж
i r ʧʰ ə m tʰ	эрчимт
i r x tʰ ə nʲ i g	эрхтэнийг
i r x tʰ e g e r	эрхтэйгээр
i r x tʰ e g	эрхтэйг
i r x tʰ nʲ i g	эрхтнийг
i r x ɮ e t	эрхлээд
i r x ɮ ə ɮ tʰ	эрхлэлт
i r x ɮ ə g ʧʰ i ŋ	эрхлэгчийн
i r xʲ i	эрхи
i r tʰ ɮ ə ŋ	эртлэн
i r s ə ŋ	эрсэн
i r s t ɮ e s	эрсдлээс
i r g u ɮ ə g	эргүүлэг
i r g u ɮ t ə g	эргүүлдэг
i r g e s e	эргээсээ
i r g ə ʦʰ u ɮ ə ŋ	эргэцүүлэн
i r g ə ʦʰ u ɮ	эргэцүүл
i r g ə tʰ ə ɮ	эргэтэл
i r g ə ɮ ʦ t ə g g ui	эргэлздэггүй
i r w e x e ŋ	эрвээхэйн
i n t u r ə ɮ	эндүүрэл
i n t ə xʲ i ŋ	эндэхийн
i ŋ g ə r ə s	энгэрээс
i ŋ g ə r tʰ e	энгэртээ
i ŋ g ə r tʰ e	энгэртэй
i m e t e	эмээдээ
i m e g	эмээг
i m ə g ʧʰ ə n tʰ e	эмэгчинтэй
i m x ə ɮ ʧ	эмхэлж
i m n ə ɮ g u t	эмнэлгүүд
i m ʧ e r tʰ e	эмжээртэй
i m ai ɮ	эмайл
i ɮ ə s ə ŋ	элээсэн
i ɮ ə g ɮ ə ɮ	элэглэл
i ɮ s u ɮ ə ŋ	элсүүлэн
i ɮ s ə ɮ tʰ	элсэлт
i g s pʰ ə r tʰ ə g	экспортыг
i g s pʰ ə r tʰ ɮ ə g ʧʰ	экспортлогч
i g ə s ə s tʰʲ ə mʲ i ŋ	экосистемийн
i g w ə tʰ ə r ə ŋ	экваторын
i ʦ ə m ʃ u ɮ ʧ	эзэмшүүлж
i ʦ ə m ʃ ə g ui	эзэмшээгүй
i ʦ ə m ʃ ə x ə t	эзэмшихэд
i ʦ ə m ʃ ə g ʧʰ tʰ e	эзэмшигчтэй
i ʦ ə ɮ x u nʲ i g	эзэлхүүнийг
i ʦ ə ɮ x u ŋ	эзэлхүүн
i ʦ ə g n ə x	эзэгнэх
i ʦ nʲ i x e	эзнийхээ
i ʦ tʲ i g	эздийг
i j ə r ə g ə r	эерэгээр
i t ə ɮ t ə g	эдэлдэг
i t ɮ u ɮ ə x	эдлүүлэх
i t g ə r s ə ŋ	эдгэрсэн
i t g ə ʧ	эдгэж
i g ʃ ə ŋ	эгшин
i g ʃ ə g ɮ ə x	эгшиглэх
i g ʧʰ i ŋ x	эгчийнх
i g ʧʰ ə t	эгчид
e w ʃ	эвш
i w ɮ ə r ə x	эвлэрэх
i w ɮ ə r ə ɮʲ i ŋ	эвлэрэлийн
i w t ə r xʲ i	эвдэрхий
i w t ʧ e	эвджээ
i w t t ə g	эвддэг
ʃ uu u	шүүү
ʃ uu xʲ i g	шүүхийг
ʃ uu s i g	шүүсийг
ʃ uu n	шүүнэ
ʃ uu g e	шүүгээ
ʃ u tʰ ə w	шүтэв
ʃ u tʰ ə n	шүтнэ
ʃ u r ʃ u r tʰ	шүршүүрт
ʃ u ɮ ə g ʧʰ	шүлэгч
ʃ u t e r e	шүдээрээ
ʃ ʊʊ r ɢ ə tʰ ai	шуургатай
ʃ ʊʊ ɢ a n tʰ ai	шуугиантай
ʃ ʊ r ɢ ʊ	шургуу
ʃ ʊ w ʊ t a s	шувуудаас
ʃ ʊ w tʰ ə ŋ	шувтан
ʃ tʰ ee	штээ
ʃ ɔɔ ʧʰ	шооч
ʃ ɔɔ ɮ ə n	шоолно
ʃ i ʃ	шиш
ʃ i r x gʲ i g	ширхгийг
ʃ i r g ə s ə ŋ	ширгэсэн
ʃ i n ə s	шинэс
ʃ i ŋ g ə s ə ŋ	шингээсэн
ʃ i ŋ g ə n t	шингэнд
ʃ i ŋ g ə ʧ e	шингэжээ
ʃ i ŋ g ə t ə g	шингэдэг
ʃ i m tʰ g ə ɮ	шимтгэл
ʃ i ɮ ʧ u ɮ s n e r	шилжүүлснээр
ʃ i ɮ ʧ ə x ə t	шилжихэд
ʃ i ɮ ʧ ə ɮ tʰʲ i g	шилжилтийг
ʃ ii t e g ui	шийдээгүй
ʃ ii t ə x g ui	шийдэхгүй
ʃ ii t ə g t ə x	шийдэгдэх
ʃ ii t w ə r u tʲ i ŋ	шийдвэрүүдийн
ʃ i ʧ ə r	шижир
ʃ i t e t	шидээд
ʃ i g tʰ g e tʰ e	шигтгээтэй
ʃ e j g	шейк
ʃ a ʃ n ʊ t	шашнууд
ʃ a χ ə n	шахна
ʃ a tʰ ə ɮ tʰ ə ŋ	шаталтын
ʃ a tʰ a n	шатаана
ʃ a r χ ə r ʧʰ	шархирч
ʃ a r ɮ ə ɢ ə ŋ	шарлагын
ʃ a r ɢ	шарга
ʃ a r a t	шараад
ʃ a n s	шанс
ʃ a n ə ɮ ɢ a	шаналгаа
ʃ a ɮ tʰ g a ɮ ə x g ui	шалтгаалахгүй
ʃ a ɮ ə n	шалны
ʃ a ɮ m ə g	шалмаг
ʃ a ɮ ɢ ʊ r ə ŋ	шалгуурын
ʃ a ɮ ɢ ə χ a r	шалгахаар
ʃ a ɮ ɢ ə r ɮ ə ŋ	шалгарлын
ʃ a ɮ ɢ ə r ɮ a	шалгарлаа
ʃ a ɮ ɢ ə r ə χ	шалгарах
ʃ a ɮ ɢ ə ŋ	шалган
ʃ a ɮ ə w χ ə ŋ	шалавхан
ʃ a t	шад
ʃ aa r t ɮ ə ɢ tʰ ai	шаардлагтай
ʃ aa r t ə ŋ	шаардан
ʧʰ o tʰ g ə rʲ i ŋ	чөтгөрийн
ʧʰ o ɮ ə ɮ ə g t ə ŋ	чөлөөлөгдөн
ʧʰ o ɮ ə ɮ ə g t s ə ŋ	чөлөөлөгдсөн
ʧʰ o ɮ o ɮ ə n	чөлөөлнө
ʧʰ ʊ χ ə ɮ ʧʰ ɮ ə ŋ	чухалчлан
ʧʰ ʊ χ ə ɮ ʧʰ ə ɮ t ə g	чухалчилдаг
ʧʰ ʊʊ ɮ ɢ ə n a s	чуулганаас
ʧʰ ʊ ɮ ʊ tʰ ai	чулуутай
ʧʰ ʊ ɮ ʊ n ʊ t ə g	чулуунуудыг
ʧʰ ɔ n ə n t	чононд
ʧʰ i x e r e	чихээрээ
ʧʰ i x ə ŋ	чихэн
ʧʰ i x ʃ ə g	чихшиг
ʧʰ i r s ə ŋ	чирсэн
ʧʰ i m e n e r	чимээнээр
ʧʰ i m	чим
ʧʰ i ɮ e ʧ	чилээж
ʧʰ i g e	чигээ
ʧʰ i g ɮ ə g t ə ʧ	чиглэгдэж
ʧʰ a tʰ ɮ ə ʧ	чатлаж
ʧʰ a ɴ χ	чанх
ʧʰ a ɴ ɢ ə r ʧʰ	чангарч
ʧʰ a ɴ ɢ ə r s ə ŋ	чангарсан
ʧʰ a m ɮ ə ɮ tʰ tʰ ai	чамлалттай
ʧʰ a t n a	чаднаа
ʧʰ a t t ə g ui	чаддагүй
ʧʰ a t ə x a r g ui	чадахааргүй
ʧʰ a t	чад
ʦʰ o ɮʲ i g	цөлийг
ʦʰ ee r ɮ ə t ə g	цээрлэдэг
ʦʰ ee r g ui	цээргүй
ʦʰ ee ɮ	цээл
ʦʰ ee ʧ n e s	цээжнээс
ʦʰ ee ʧ ə ɮ ʧ	цээжилж
ʦʰ i ʦʰ ə r ɮ ə g ə s	цэцэрлэгээс
ʦʰ i ʦʰ ə g s i ŋ	цэцэгсийн
ʦʰ i ʦʰ g e	цэцгээ
ʦʰ i ŋ g ə x	цэнгэх
ʦʰ i g ʦʰ ə ɮ ʧ	цэгцэлж
ʦʰ i w ə r ɮ ə s ə ŋ	цэвэрлэсэн
ʦʰ i w r u	цэврүү
ʦʰ ʊ ʦʰ ɮ ə χ ə g	цуцлахыг
ʦʰ ʊ ʦʰ ɮ ə ɢ t ə ʧ	цуцлагдаж
ʦʰ ʊ χ ʊi ʧ	цухуйж
ʦʰ ʊ tʰ ɢ ʊ ɮ ʧ	цутгуулж
ʦʰ ʊ tʰ ɢ ə ŋ	цутган
ʦʰ ʊ tʰ ɢ ə ʧ	цутгаж
ʦʰ ʊ g ɮ ə r ʧʰ e	цугларчээ
ʦʰ ʊ w r ə ɮ ə g	цувралыг
ʦʰ ʊ w ə ŋ	цуван
ʦʰ ɔ ʧʰ tʰ ə ɮ	цочтол
ʦʰ ɔ ʧʰ ɔ t	цочоод
ʦʰ ɔ χ ʊ t	цохууд
ʦʰ ɔ χ ə χ ə t	цохиход
ʦʰ ɔ χ ʊ r	цохиур
ʦʰ ɔ χ ʊ ɮ s ə ŋ	цохиулсан
ʦʰ ɔ χ ʊ ɮ ʧ	цохиулж
ʦʰ ɔ χ ɔ n	цохионы
ʦʰ ɔ ɴ χ tʰ ɔi	цонхтой
ʦʰ ɔ m χ ə ŋ	цомхон
ʦʰ ɔ ɢ ʦʰ ə ɮ s ə ŋ	цогцолсон
ʦʰ ʦ i	цзи
ʦʰ i n tʰʲ i ŋ	центийн
ʦʰ a ʦʰ ʧ e	цацжээ
ʦʰ a ʦʰ ə r ʧʰ	цацарч
ʦʰ a r ai ɮ ə χ	царайлах
ʦʰ a r ai t	царайд
ʦʰ a m ə ŋ	цамын
ʦʰ a m x gʲ i ŋ	цамхгийн
ʦʰ ai r	цайр
ʦʰ ai n ə χ a	цайныхаа
ʦʰ ai ʦ ə t	цайзад
ʦʰ ai ɢ a r	цайгаар
ʦʰ ai w ə r t ʊ	цайвардуу
ʦʰ a ɢ a n a	цагаанаа
ʦʰ aa ʦ tʰ ai	цаазтай
ʦʰ aa ʦ ɮ ə χ	цаазлах
ʦʰ aa ɢ ʊ r a	цаагуураа
ʦʰ aa	цаа
x oo ʦʰ ə ɮ t ə ŋ	хөөцөлдөн
x oo mʲ i	хөөмий
x o ʃ o n t	хөшөөнд
x o ʃ ə g nʲ i	хөшигний
x o ʃ g o	хөшгөө
x o ʃ gʲ i g	хөшгийг
x o x o	хөхөө
x o x u ɮ ʧ	хөхүүлж
x o tʰ ə ʧʰ i ŋ	хөтөчийн
x o tʰ ə ɮ ə n	хөтөлнө
x o tʰ ɮ ə ʧ	хөтлөж
x o r ʧʰ	хөрч
x o r w u ɮ s ə ŋ	хөрвүүлсэн
x o ŋ g ə ɮ ə x	хөнгөлөх
x o ɮ ə g ɮ ə s ə ŋ	хөлөглөсөн
x o t ə nʲ i x ə ŋ	хөдөөнийхөн
x o t o g u r	хөдөөгүүр
x o t ə ɮ g ə n u t	хөдөлгөөнүүд
x o g ʧ u ɮ ə ŋ	хөгжүүлэн
x o g ʧ u ɮ ə g ʧʰ	хөгжүүлэгч
x o g ʧ u ɮ ʧ e	хөгжүүлжээ
x o g ʧ ə m t ə x	хөгжимдөх
x o w ə r s ə r	хөвөрсөөр
x uu x n u t tʰ e	хүүхнүүдтэй
x uu x t e r e	хүүхдээрээ
x uu g e r	хүүгээр
x u ʧʰ n u tʲ i ŋ	хүчнүүдийн
x u ʧʰ ɮʲ i g	хүчлийг
x u ʧʰ ə r x ə g ʧ s ə ŋ	хүчирхэгжсэн
x u ʧʰ ə ŋ gʲ i ŋ	хүчингийн
x u ʧʰ ə ŋ g	хүчинг
x u ʧʰ i ŋ	хүчийн
x u x rʲ i ŋ	хүхрийн
x u s ə g ʧʰ	хүсэгч
x u s s ə n t e	хүссэндээ
x u s n ə m	хүснэм
x u r ə ɮ ə g t t ə g	хүрээлэгддэг
x u r ə x e	хүрэхээ
x u r ə x t e	хүрэхдээ
x u r ʧʰ ə x ɮ e	хүрчихлээ
x u r tʰ e x	хүртээх
x u r tʰ ə n	хүртэнэ
x u r g u ɮ s ə ŋ	хүргүүлсэн
x u n s i g	хүнсийг
x u n t ə r s ə ŋ	хүндэрсэн
x u m u s i ŋ x	хүмүүсийнх
x u ɮ e xʲ i ŋ	хүлээхийн
x u ɮ e	хүлээ
x u ɮ g e	хүлгээ
x ui tʰ ə r t ə g	хүйтэрдэг
x ui tʰ	хүйт
x ui s i g	хүйсийг
x u ʦ u t ə ʧ	хүзүүдэж
χ a tʰ ə t a r	хятадаар
χ a r s	хярс
χ a n ə ɮ tʰ ə ŋ	хяналтан
χ a ɮ ɢ ə s ə ŋ	хялгасан
χ a ʦ ɢ a r ɮ ə χ ə g	хязгаарлахыг
χ a ʦ ɢ a r ɮ ə ɢ t s ə ŋ	хязгаарлагдсан
χ a ʦ ɢ a r a	хязгаараа
x i tʰ ə r t ə g g ui	хэтэрдэггүй
x i r e r e	хэрээрээ
x i r ə g tʰ n u t	хэрэгтнүүд
x i r ə g tʰ nʲ i	хэрэгтний
x i r ə g s ə ɮ ə r	хэрэгсэлээр
x i r ə g s ə ɮʲ i g	хэрэгсэлийг
x i r ə g s ɮ u tʲ i ŋ	хэрэгслүүдийн
x i r ə g ɮ ə xʲ i ŋ	хэрэглэхийн
x i r ə g ʧ u ɮ ə t	хэрэгжүүлээд
x i r ə g ʧ u ɮ ə g ui	хэрэгжүүлээгүй
x i r ə g ʧ u ɮ ə xʲ i g	хэрэгжүүлэхийг
x i r ə g ʧ u ɮ ə x t e	хэрэгжүүлэхдээ
x i r g u tʲ i g	хэргүүдийг
x i nʲ i g e	хэнийгээ
x i m ə g t ə ʧ	хэмээгдэж
x i m n ə ɮ e	хэмнэлээ
x i m n ə ɮ tʰ	хэмнэлт
x i m ʧ e n u tʲ i ŋ	хэмжээнүүдийн
x i m ʧ e n e s e	хэмжээнээсээ
x i m ʧ e n t e	хэмжээндээ
x i m ʧ ə g t t ə g	хэмжигддэг
x i ɮ u ɮ ʧ	хэлүүлж
x i ɮ u tʲ i g	хэлүүдийг
x i ɮ e r x	хэлээрх
x i ɮ ə x e	хэлэхээ
x i ɮ ə ɮ ʦʰ u ɮ gʲ i ŋ	хэлэлцүүлгийн
x i ɮ ʧʰ ə x ə t	хэлчихэд
x i ɮ x e g	хэлхээг
x i ɮ tʰ ə s i ŋ	хэлтэсийн
x i ɮ s n e	хэлснээ
x i ɮ m e r g ui	хэлмээргүй
x i ɮ m ə g t u ɮ ə ŋ	хэлмэгдүүлэн
x i ɮ p ə r tʰ ə g ə r	хэлбэртэйгээр
x i ɮ p ə ɮ ʦ ə ɮ	хэлбэлзэл
x i t e s	хэдээс
x i t e r e	хэдээрээ
x i w tʰ ə x ə t	хэвтэхэд
x i w ɮ ə ʧ e	хэвлэжээ
x i w ɮ ə t ə g	хэвлэдэг
x ʊʊ ɮʲ ʧʰ i ŋ	хуульчийн
χ ʊʊ ɮʲ ʊ t ə ŋ	хуулиудын
χ ʊʊ t ə s ə g	хуудасыг
χ ʊʊ t ə s n ʊ t	хуудаснууд
χ ʊ tʰ ɢ ə ʧ	хутгаж
χ ʊ s ə ɮ	хусэл
χ ʊ r ʊ n ə χ a	хурууныхаа
χ ʊ r ʊ t	хурууд
χ ʊ rʲ ə m tʰ ɮ ə ɢ t ə ʧ	хуримтлагдаж
χ ʊ r ʧ	хурж
χ ʊ r t a s	хурдаас
χ ʊ r ə χ	хурах
χ ʊ r ə ɮ t ai ɢ a r	хуралдайгаар
χ ʊ r ə ɮ t a n a s	хуралдаанаас
χ ʊ r a ɢ a t	хураагаад
x ʊ n tʰ ai ʧ i ŋ	хунтайжийн
χ ʊ ɴ ɢ ə r	хунгар
χ ʊ ɮ s ə ŋ	хулсан
χ ʊ t ɮ ə g	худлыг
x ʊ t gʲ i ŋ	худгийн
χ ʊ t ə m	худам
χ ʊ t ə ɮ t a n a s	худалдаанаас
χ ʊ t ə ɮ t a ɮ ʧ	худалдаалж
χ ʊ t ə ɮ t a ɮ t ə g	худалдаалдаг
χ ʊ t ə ɮ t a ɮ ə ɢ t t ə g	худалдаалагддаг
χ ʊ t	худ
χ ʊ ɢ ə ʦʰ a n a s a	хугацаанаасаа
x ʊ g ə ʦʰ a g ui	хугацаагүй
χ ʊ ɢ ə r ə χ	хугарах
χ ʊ wʲ ʦʰ a tʰ	хувьцаат
χ ʊ w ʦʰ s ə n t	хувцсанд
χ ʊ w ʦʰ ə s tʰ ai ɢ a	хувцастайгаа
χ ʊ w χ ai	хувхай
χ ʊ wʲ ə s ɢ ə ɮ	хувисгал
χ ʊ wʲ a s a	хувиасаа
χ ʊ w a rʲ tʰ ai	хуваарьтай
χ ʊ w a rʲ ə ɮ ə n	хуваарилна
χ ʊ w a rʲ ə ɮ ʧ	хуваарилж
χ ʊ w a ɮ ʦʰ ə χ ə t	хуваалцахад
χ ʊ w a ɮ ʦʰ ə ŋ	хуваалцан
χ ʊ w a ɮ ʦʰ a t	хуваалцаад
x ʊ w a ʧ e	хуваажээ
χ r ɔ m ə ŋ	хромын
x rʲ i s tʰ ə s ə ŋ	христосын
x rʲ i s tʰ	христ
χ ɔ j ə r ə ɴ χ ɔ	хоёрынхоо
χ ɔ j ə r tʰ ə ŋ	хоёртын
χ ɔ j ə r tʰ ɔ	хоёртоо
χ ɔ j ə r ə n tʰ ɔ	хоёронтоо
χ ɔ ʃ ʊ t a s	хошуудаас
χ ɔ ʦʰ r ə w	хоцров
χ ɔ χ ə r ɔ ʧ	хохироож
χ ɔ χ ə r ɮ ə ŋ	хохирлын
χ ɔ χ ə r t ə g	хохирдог
χ ɔ s ʊ t ə t	хосуудад
χ ɔ s tʰ ɔi ɢ ɔ	хостойгоо
χ ɔ s ə ɮ m ə ɮ	хосолмол
χ ɔ r χ ɔi n ɔ s	хорхойноос
χ ɔ r χ ə g	хорхог
χ ɔ r ɔ ɢ ɔ t	хороогоод
χ ɔ r ə m ə ŋ	хоромын
χ ɔ r ɮ ə ɢ t s ə ŋ	хорлогдсон
χ ɔ r ɮ ə ɢ t ə ʧ	хорлогдож
χ ɔ rʲ ə ɢ t ə χ	хоригдох
χ ɔ r t ʊ ɮ s ə ŋ	хордуулсан
χ ɔ r ɢ ɔi	хоргой
χ ɔɔ ɮ ə n t ɔ	хоолондоо
χ ɔ ɴ ɢ ə ɮ ə ŋ	хонгилын
χ ɔ ɴ ɢ ə ɮ ɔ r	хонгилоор
χ ɔ ɮʲ ʦʰ tʰ ɔi	хольцтой
χ ɔ ɮʲ ʦʰ	хольц
χ ɔ ɮ tʰ ə s	холтос
χ ɔ ɮʲ ə ɮ t ə ʧ	холилдож
χ ɔ ɮ t ʊ ɮ ʧ	холдуулж
χ ɔi n ɔ s ɔ	хойноосоо
χ ɔ ʧ ɮ ɔ	хожлоо
χ ɔ t ɔ t ɔ	ходоодоо
χ ɔ t ə t ə n t	ходоодонд
xʲ i ʃ g e	хишгээ
xʲ i ʧʰ e n e	хичээнээ
xʲ i ʧʰ e ɮ u tʲ i g	хичээлүүдийг
