A	ə
KUHLMANN	k 'uw l m ə n
KUHN	k 'uw n
KUHNE	k 'ʌ n
KUHNER	k 'uw n ə ɹ
KUHNERT	k 'uw n ə ɹ t
KUHNKE	k 'ʌ ŋ k
KUHNLE	k 'ʌ n ə l
KUHNS	k 'uw n z
KUHR	k 'ɛ ɹ
KUHRT	k 'ɛ ɹ t
KUIKEN	k 'uw k ə n
KUIPER	k 'uw p ə ɹ
KUIPERS	k 'uw p ə ɹ z
KUJALA	k ə j 'ɑ l ə
KUJAWA	k uw ʤ 'ɑ w ə
KUJAWSKI	k ə j 'ɑ f s k ij
KUK	k 'ʌ k
KUKER	k j 'uw k ə ɹ
KUKJE	k 'uw k j ɪ
KUKJE(1)	k 'uw k ʤ ˌej
KUKJE(2)	k 'uw k ʤ ˌij
KUKLA	k 'ʌ k l ə
KUKLINSKI	k ə k l 'ɪ n s k ij
KUKOWSKI	k ə k 'ɔ f s k ij
KUKUK	k 'uw k ə k
KULA	k 'uw l ə
KULAGA	k uw l 'ɑ g ə
KULAKOWSKI	k j uw l ə k 'ɔ f s k ij
KULAS	k j 'uw l ə z
KULESA	k j uw l 'ij s ə
KULESZA	k j uw l 'ɛ ʃ ə
KULHANEK	k 'ʌ l h ə n ɛ k
KULICH	k j 'uw l ɪ k
KULICK	k j 'uw l ɪ k
KULIG	k j 'uw l ɪ g
KULIGOWSKI	k j uw l ɪ g 'ɔ f s k ij
KULIK	k j 'uw l ɪ k
KULIKOWSKI	k j uw l ɪ k 'ɔ f s k ij
KULINSKI	k j uw l 'ɪ n s k ij
KULIS	k 'uw l ɪ s
KULISH	k j 'uw l ɪ ʃ
KULKA	k 'ʌ l k ə
KULKARNI	k ə l k 'ɑ ɹ n ij
KULL	k 'ʌ l
KULLA	k 'ʌ l ə
KULLBERG	k 'ʌ l b ə ɹ g
KULLMAN	k 'ʌ l m ə n
KULLY	k 'ʌ l ij
KULON	k 'uw l ˌɔ n
KULOW	k j 'uw l ow
KULP	k 'ʌ l p
KULPA	k 'ʌ l p ə
KULWICKI	k ə l v 'ɪ t s k ij
KULZER	k 'ʌ l z ə ɹ
KUMAGAI	k uw m ɑ g 'ɑ ij
KUMAR	k uw m 'ɑ ɹ
KUMARATUNGA	k uw m ˌɑ ɹ ə t 'ʌ n g ə
KUMARISAMI	k uw m ˌɑ ɹ ə s 'ɑ m ij
KUMBAYA	k ˌʊ m b aj j 'ʌ
KUMBLE	k 'ʌ m b ə l
KUME	k j 'uw m
KUMHO	k 'ʌ m h ow
KUMLER	k 'ʌ m l ə ɹ
KUMM	k 'ʌ m
KUMMER	k 'ʌ m ə ɹ
KUMOURI	k ˌuw m 'ɔ ɹ ij
KUMOURI'S	k ˌuw m 'ɔ ɹ ij z
KUMP	k 'ʌ m p
KUMPF	k 'ʌ m p f
KUMQUAT	k 'ʌ m k w ɑ t
KUN	k 'ʌ n
KUNA	k j 'uw n ə
KUNAEV	k j uw n 'ej v
KUNATH	k 'ʌ n ə θ
KUNAYEV	k j uw n 'ej ə v
KUNCE	k 'ʌ n s
KUNDA	k 'ʌ n d ə
KUNDE	k 'ʌ n d
KUNDERA	k ə n d 'ɛ ɹ ə
KUNDERT	k 'ʌ n d ə ɹ t
KUNDINGER	k 'ʌ n d ɪ ŋ ə ɹ
KUNDRAT	k 'ʌ n d ɹ ə t
KUNDUN	k 'ʊ n d ə n
KUNERT	k j 'uw n ə ɹ t
KUNES	k j 'uw n z
KUNESH	k 'ʌ n ɪ ʃ
KUNEY	k j 'uw n ij
KUNG	k 'ʌ ŋ
KUNIN	k j 'uw n ɪ n
KUNIO	k j 'uw n ij ow
KUNKA	k 'ʌ ŋ k ə
KUNKEL	k 'ʌ ŋ k ə l
KUNKLE	k 'ʌ ŋ k ə l
KUNKLER	k 'ʌ ŋ k l ə ɹ
KUNS	k 'ʌ n z
KUNSELMAN	k 'ʌ n s ə l m ə n
KUNSMAN	k 'ʌ n s m ə n
KUNST	k 'ʌ n s t
KUNSTLER	k 'ʌ n s t l ə ɹ
KUNSTLER(1)	k 'ʌ n s l ə ɹ
KUNTSLER	k 'ʌ n t s l ə ɹ
KUNTZ	k 'ʌ n t s
KUNTZE	k 'ʌ n t z
KUNTZMAN	k 'ʌ n t s m ə n
KUNZ	k 'ʌ n z
KUNZE	k 'ʌ n z
KUNZELMAN	k 'ʌ n z ə l m ə n
KUNZLER	k 'ʌ n z l ə ɹ
KUNZMAN	k 'ʌ n z m ə n
KUO	k 'uw ow
KUOMINTANG	k w 'ow m ˌɪ n t 'æ ŋ
KUOMINTANG(1)	g w 'ow m ˌɪ n t 'æ ŋ
KUOMINTANG'S	k w 'ow m ˌɪ n t 'æ ŋ z
KUOMINTANG'S(1)	g w 'ow m ˌɪ n t 'æ ŋ z
KUOW	k j 'uw ow
KUPEK	k 'uw p ɪ k
KUPER	k j 'uw p ə ɹ
KUPERMAN	k 'uw p ə ɹ m ə n
KUPFER	k 'ʌ p f ə ɹ
KUPFERMAN	k 'ʌ p f ə ɹ m ə n
KUPIEC	k 'ʌ p ij k
KUPKA	k 'ʌ p k ə
KUPOR	k j 'uw p ə ɹ
KUPPER	k 'ʌ p ə ɹ
KUPRES	k 'uw p ɹ ə s
KURALT	k j ə ɹ 'ɔ l t
KURALT'S	k j ə ɹ 'ɔ l t s
KURAMOTO	k ʊ ɹ ɑ m 'ow t ow
KURANARI	k ˌʊ ɹ ə n 'ɑ ɹ ij
KURAS	k 'ʊ ɹ ə z
KURD	k 'ɛ ɹ d
KURDISH	k 'ɛ ɹ d ɪ ʃ
KURDISTAN	k 'ɛ ɹ d ɪ s t ˌæ n
KURDS	k 'ɛ ɹ d z
KURDZIEL	k 'ɛ ɹ d z ij l
KUREK	k j 'uw ɹ ɛ k
KURIAN	k j 'ʊ ɹ ij ə n
KURIANSKY	k ˌʊ ɹ ij 'æ n s k ij
KURIHARA	k ˌuw ɹ ɪ h 'ɑ ɹ ə
KURIL	k ə ɹ ə l
KURILLA	k ə ɹ 'ɪ l ə
KURINSKY	k j ˌɛ ɹ 'ɪ n s k ij
KURIYAMA	k uw ɹ ɪ j 'ɑ m ə
KURK	k 'ɛ ɹ k
KURKA	k 'ɛ ɹ k ə
KURKJIAN	k 'ɛ ɹ k ʤ ij ə n
KURKOWSKI	k ə ɹ k 'ɔ f s k ij
KURLAK	k 'ɛ ɹ l æ k
KURLAND	k 'ɛ ɹ l ə n d
KURLANDER	k 'ɛ ɹ l ə n d ə ɹ
KURMAN	k 'ɛ ɹ m ə n
KURMEL	k 'ɛ ɹ m ə l
KURNIT	k 'ɛ ɹ n ɪ t
KURODA	k ə ɹ 'ow d ə
KUROKAWA	k ˌuw ɹ ow k 'ɑ w ə
KUROSAWA	k ˌʊ ɹ ow s 'ɑ w ə
KUROWSKI	k ə ɹ 'ɔ f s k ij
KURSHIKOV	k 'ɛ ɹ ʃ ɪ k ɔ v
KURT	k 'ɛ ɹ t
KURTENBACH	k 'ɛ ɹ t ɪ n b ɑ k
KURTH	k 'ɛ ɹ θ
KURTIS	k 'ɛ ɹ t ɪ s
KURTZ	k 'ɛ ɹ t s
KURTZMAN	k 'ɛ ɹ t s m ə n
KURUMAN	k j 'ʊ ɹ uw m ə n
KURUMIZOWA	k ˌʊ ɹ uw m ij z 'ow ə
KURUMIZOWA'S	k ˌʊ ɹ uw m ij z 'ow ə z
KURY	k j 'uw ɹ ij
KURYLO	k ə ɹ 'ɪ l ow
KURZ	k 'ɛ ɹ z
KURZAWA	k ʊ ɹ z 'ɑ w ə
KURZBAN	k 'ɛ ɹ z b ˌæ n
KURZWEIL	k ə ɹ z w 'aj l
KUS	k 'ʌ s
KUSA	k 'uw z ə
KUSA(1)	k 'uw s ə
KUSCH	k 'ʌ ʃ
KUSCHEL	k 'ʌ ʃ ə l
KUSE	k j 'uw z
KUSEK	k 'uw s ɛ k
KUSEL	k 'uw s ə l
KUSH	k 'ʊ ʃ
KUSHNER	k 'ʌ ʃ n ə ɹ
KUSHNIR	k 'ʌ ʃ n ə ɹ
KUSIAK	k 'ʌ s ij æ k
KUSKE	k 'ʌ s k
KUSLER	k 'ʌ s ə l ə ɹ
KUSLER(1)	k 'ʌ s l ə ɹ
KUSS	k 'ʌ s
KUSSEROW	k 'ʌ s ə ɹ ow
KUSSMAN	k 'ʌ s m ə n
KUSTER	k 'ʌ s t ə ɹ
KUSTRA	k 'ʌ s t ɹ ə
KUT	k 'ʌ t
KUTCH	k 'ʌ ʧ
KUTCHER	k 'ʌ ʧ ə ɹ
KUTCHNA	k 'ʌ ʧ n ə
KUTER	k j 'uw t ə ɹ
KUTNER	k 'ʌ t n ə ɹ
KUTSCH	k 'ʌ ʧ
KUTSCHER	k 'ʌ ʧ ə ɹ
KUTTAB	k 'uw t ˌæ b
KUTTER	k 'ʌ t ə ɹ
KUTTNER	k 'ʌ t n ə ɹ
KUTUZOVSKY	k ˌuw t ə z 'ɑ v s k ij
KUTZ	k 'ʌ t s
KUTZER	k 'ʌ t z ə ɹ
KUVIN	k 'uw v ɪ n
KUWAHARA	k ˌuw w ɑ h 'ɑ ɹ ə
KUWAIT	k uw w 'ej t
KUWAIT'S	k uw w 'ej t s
KUWAITI	k uw w 'ej t ij
KUWAITIS	k uw w 'ej t ij z
KUWAM	k j 'uw w ɑ m
KUYKENDALL	k 'aj k ɛ n d ˌɑ l
KUYPER	k 'aj p ə ɹ
KUZARA	k j uw z 'ɑ ɹ ə
KUZE	k j 'uw z
KUZEL	k 'uw z ə l
KUZMA	k 'ʌ z m ə
KUZMINSKI	k ə z m 'ɪ n s k ij
KUZNETS	k 'ʌ z n ˌɛ t s
KUZNIA	k 'ʌ z n ij ə
KUZNIAR	k 'ʌ z n j ə ɹ
KUZNICKI	k ə z n 'ɪ t s k ij
KVALE	k v 'ej l
KVAM	k v 'æ m
KVAMME	k ə v 'æ m
KVAMME(1)	k v 'ɑ m ej
KVANT	k v 'ɑ n t
KVASNICKA	k v ə s n 'ɪ s k ə
KVETCH	k v 'ɛ ʧ
KVETON	k v 'ɛ t ɔ n
KVISTAD	k v 'ɪ s t ˌæ d
KVITSINSKY	k v ɪ t s 'ɪ n s k ij
KWAI	k w 'aj
KWAK	k w 'æ k
KWAN	k w 'ɑ n
KWANG	k w 'ɑ ŋ
KWANGJU	k w ɑ ŋ ʤ 'uw
KWANGJU(1)	g w ɑ ŋ ʤ 'uw
KWANZA	k w 'ɑ n z ə
KWANZAA	k w 'ɑ n z ə
KWASNIEWSKI	k w ə z n 'ɛ f s k ij
KWASNIEWSKI(1)	k w ə z n 'uw s k ij
KWASNIK	k w 'ɑ z n ɪ k
KWASNY	k w 'ɑ z n ij
KWAZULU	k w ɑ z 'uw l uw
KWEISI	k w 'aj z ij
KWH	k 'ej d 'ʌ b ə l j uw 'ej ʧ
KWIATEK	k w ij 'ɑ t ɛ k
KWIATKOWSKI	k w ij ə t k 'ɔ f s k ij
KWIECIEN	k w 'ij s ij n
KWIECINSKI	k w ij ʧ 'ɪ n s k ij
KWIK	k w 'ɪ k
KWITNY	k w 'ɪ t n ij
KWOK	k w 'ɑ k
KWOK-SHING	k w 'ɔ k ʃ 'ɪ ŋ
KWOLEK	k w 'ow l ɛ k
KWON	k w 'ɑ n
KWONG	k w 'ɔ ŋ
KYD	k 'ɪ d
KYD'S	k 'ɪ d z
KYER	k 'aj ə ɹ
KYES	k 'aj z
KYGER	k 'aj g ə ɹ
KYI	k 'ij
KYI(1)	k 'ej w 'aj 'aj
KYKER	k 'aj k ə ɹ
KYL	k 'aj l
KYLE	k 'aj l
KYLE'S	k 'aj l z
KYLER	k 'aj l ə ɹ
KYLES	k 'aj l z
KYLLO	k 'ɪ l ow
KYLLONEN	k ɪ l 'ɑ n ə n
KYM	k 'ɪ m
KYNA	k 'ɪ n ə
KYNARD	k 'ɪ n ə ɹ d
KYNE	k 'aj n
KYNIKOS	k ɪ n 'ij k ow s
KYO	k j 'ow
KYO(1)	k 'ij ow
KYOCERA	k j ow s 'ɛ ɹ ə
KYOCERA(1)	k ij ow s 'ɛ ɹ ə
KYODO	k j 'ow d ow
KYOKO	k ij 'ow k ow
KYOKUTO	k j ɑ k 'uw t ow
KYONG	k j 'ɔ ŋ
KYONGSANG	k j 'ɔ ŋ s æ ŋ
KYOSHI	k ij 'ow ʃ ij
KYOTO	k j 'ow t ow
KYOUNG	k j 'ɔ ŋ
KYOUNG-MIN	k j 'ɔ ŋ m 'ɪ n
KYOWA	k j 'ow ə
KYRA	k 'aj ɹ ə
KYRGYZSTAN	k 'ɪ ɹ g ɪ s t ˌæ n
KYRGYZSTAN(1)	k ˌɪ ɹ g 'ij s t ˌɑ n
KYRON	k 'aj ɹ ə n
KYSAR	k 'ɪ s ə ɹ
KYSER	k 'aj s ə ɹ
KYSOR	k 'aj s ə ɹ
KYTE	k 'aj t
KYTRIL	k 'ɪ t ɹ ɪ l
KYU	k j 'uw
KYUNG	k j 'ʌ ŋ
KYUSHU	k j 'ʌ ʃ uw
KYZAR	k 'ɪ z ə ɹ
KYZER	k 'aj z ə ɹ
L	'ɛ l
L'ALMA	l 'ɑ l m ə
L'AMOUR	l 'æ m ɔ ɹ
L'EGGS	l 'ɛ g z
L'ENFANT	l 'ɛ n f ˌɑ n t
L'ENFANT(1)	l ˌɑ n f 'ɑ n t
L'ESPALIER	l ɛ s p ˌæ l ij 'ej
L'EXPANSION	l ˌɛ k s p 'æ n ʃ ə n
L'EXPRESS	l ˌɛ k s p ɹ 'ɛ s
L'HEUREUX	l h j ˌuw ɹ 'ʊ
L'OREAL	l ɔ ɹ ij 'æ l
L'S	'ɛ l z
L.	'ɛ l
L.'S	'ɛ l z
L.S	'ɛ l z
LA	l 'ɑ
LA-CARRE	l 'ɑ k ˌɑ ɹ 'ej
LA-CROSSE	l ə k ɹ 'ɔ s
LA-GUARDIA	l ə g w 'ɑ ɹ d ij ə
LA-NINA	l ə n 'ij n j ə
LA-PAZ	l 'ʌ p ɔ z
LA-QUINTA	l ə k w 'ɪ n t ə
LAABS	l 'ɑ b z
LAACK	l 'ɑ k
LAACO	l 'ɑ k ow
LAAKE	l 'ɑ k
LAAKSO	l 'ɑ k s ow
LAAS	l 'ɑ z
LAATSCH	l 'ɑ ʧ
LAB	l 'æ b
LAB'S	l 'æ b z
LABA	l 'ɑ b ə
LABADIE	l 'æ b ə d ij
LABAN	l 'ej b ə n
LABAND	l ɑ b 'æ n d
LABANT	l ə b 'æ n t
LABAR	l ə b 'ɑ ɹ
LABARBERA	l ɑ b ɑ ɹ b 'ɛ ɹ ə
LABARGE	l 'æ b ɑ ɹ ʤ
LABARR	l ə b 'æ ɹ
LABARRE	l ɑ b 'ɑ ɹ ej
LABAT	l 'ɑ b ɑ t
LABATE	l 'ɑ b ej t
LABATON	l 'æ b ə t ə n
LABATT	l ə b 'æ t
LABATT'S	l ə b 'æ t s
LABAUVE	l ə b 'ow v
LABAY	l 'æ b ej
LABBE	l 'æ b
LABE	l 'ej b
LABEAU	l ə b 'ow
LABEL	l 'ej b ə l
LABEL'S	l 'ej b ə l z
LABELED	l 'ej b ə l d
LABELING	l 'ej b ə l ɪ ŋ
LABELING(1)	l 'ej b l ɪ ŋ
LABELL	l ə b 'ɛ l
LABELLA	l ə b 'ɛ l ə
LABELLE	l ə b 'ɛ l
LABELLED	l 'ej b ə l d
LABELS	l 'ej b ə l z
LABENSKI	l ɑ b 'ɛ n s k ij
LABER	l 'ej b ə ɹ
LABERGE	l 'ɑ b ə ɹ g
LABIANCA	l ɑ b ij 'ɑ ŋ k ə
LABIANCA'S	l ɑ b ij 'ɑ ŋ k ə z
LABINE	l ɑ b 'ij n ij
LABLANC	l ə b l 'æ ŋ k
LABO	l 'ɑ b ow
LABODA	l ɑ b 'ow d ə
LABOMBARD	l 'æ b ə m b ə ɹ d
LABONTE	l ə b 'ɑ n t
LABONTE(1)	l ə b 'ɑ n t ij
LABOR	l 'ej b ə ɹ
LABOR'S	l 'ej b ə ɹ z
LABORATOIRES	l ə b 'ɔ ɹ ə t w ˌɑ z
LABORATORIES	l 'æ b ɹ ə t ˌɔ ɹ ij z
LABORATORIES'	l 'æ b ɹ ə t ˌɔ ɹ ij z
LABORATORY	l 'æ b ɹ ə t ˌɔ ɹ ij
LABORATORY'S	l 'æ b ɹ ə t ˌɔ ɹ ij z
LABORDE	l ə b 'ɔ ɹ d
LABORE	l ə b 'ɔ ɹ
LABORED	l 'ej b ə ɹ d
LABORER	l 'ej b ə ɹ ə ɹ
LABORERS	l 'ej b ə ɹ ə ɹ z
LABORING	l 'ej b ə ɹ ɪ ŋ
LABORIOUS	l ə b 'ɔ ɹ ij ə s
LABORIOUSLY	l ə b 'ɔ ɹ ij ə s l ij
LABORS	l 'ej b ə ɹ z
LABOSSIERE	l 'æ b ə s ij ɛ ɹ
LABOUISSE	l ɑ b 'uw s
LABOUNTY	l ə b 'aw n t ij
LABOUR	l 'ej b ˌaw ɹ
LABOUR(1)	l 'ej b ə ɹ
LABOV	l ə b 'ʌ v
LABOVE	l ə b 'ʌ v
LABOW	l 'æ b ow
LABOY	l ə b 'ɔj
LABRADOR	l 'æ b ɹ ə d ˌɔ ɹ
LABRAKE	l 'æ b ɹ ə k
LABRANCHE	l ɑ b ɹ 'ɑ n k ij
LABRECK	l 'æ b ɹ ɪ k
LABRECQUE	l ə b ɹ 'ɛ k
LABREE	l ə b ɹ 'ij
LABRIE	l 'æ b ə ɹ ij
LABRIOCHE	l ˌɑ b ɹ ij 'ow ʃ
LABRIOLA	l ɑ b ɹ ij 'ow l ə
LABROSSE	l ɑ b ɹ 'ow s ij
LABS	l 'æ b z
LABS'	l 'æ b z
LABUDA	l ə b j 'uw d ə
LABUS	l 'æ b ɪ s
LABYRINTH	l 'æ b ə ɹ ˌɪ n θ
LABYRINTHINE	l ˌæ b ə ɹ 'ɪ n θ ˌij n
LAC	l 'æ k
LAC'S	l 'æ k s
LACANA	l ɑ k 'æ n ə
LACASSE	l ɑ k 'ɑ s ij
LACAVA	l ɑ k 'ɑ v ə
LACAYO	l ɑ k 'ej ow
LACAZE	l ɑ k 'ɑ z ij
LACCOLITHS	l 'æ k ə l ɪ θ s
LACE	l 'ej s
LACED	l 'ej s t
LACEFIELD	l 'ej s f ˌij l d
LACER	l 'ej s ə ɹ
LACERATE	l 'æ s ə ɹ ˌej t
LACERATION	l ˌæ s ə ɹ 'ej ʃ ə n
LACERATIONS	l ˌæ s ə ɹ 'ej ʃ ə n z
LACERTE	l ɑ ʧ 'ɛ ɹ t ij
LACES	l 'ej s ə z
LACES(1)	l 'ej s ɪ z
LACEWELL	l 'ej s w ˌɛ l
LACEY	l 'ej s ij
LACH	l 'æ ʧ
LACHANCE	l 'ɑ ʧ ə n s
LACHAPELLE	l 'æ ʃ ə p ə l
LACHARITE	l 'æ ʧ ə ɹ ˌaj t
LACHE	l 'æ ʧ
LACHENBRUCH	l 'æ k ə n b ɹ ˌuw k
LACHER	l 'æ k ə ɹ
LACHICA	l 'æ ʧ ɪ k ə
LACHLAN	l 'æ k l ə n
LACHMAN	l 'æ k m ə n
LACHMAR	l 'æ k m ɑ ɹ
LACHNEY	l 'æ k n ij
LACHOWICZ	l 'ɑ h ə v ɪ ʧ
LACINA	l ɑ ʧ 'ij n ə
LACIVITA	l ɑ ʧ ij v 'ij t ə
LACK	l 'æ k
LACKADAISICAL	l ˌæ k ə d 'ej z ɪ k ə l
LACKAWANNA	l ˌæ k ə w 'ɑ n ə
LACKED	l 'æ k t
LACKEY	l 'æ k ij
LACKEYS	l 'æ k ij z
LACKIE	l 'æ k ij
LACKING	l 'æ k ɪ ŋ
LACKLUSTER	l 'æ k l ˌʌ s t ə ɹ
LACKMAN	l 'æ k m ə n
LACKNER	l 'æ k n ə ɹ
LACKO	l 'æ k ow
LACKOVIC	l 'æ k ə v ɪ k
LACKS	l 'æ k s
LACKSADAISCIOUS	l ˌæ k s ə d 'ej s ij ə s
LACLAIR	l 'æ k l ə ɹ
LACLEDE	l ɑ k l 'ij d
LACOCK	l 'æ k ə k
LACOMB	l 'æ k ə m
LACOMBE	l ɑ k 'ow m b ij
LACONIC	l ɑ k 'ɑ n ɪ k
LACONTE	l ɑ k 'ow n t ij
LACORTE	l ɑ k 'ɔ ɹ t ij
LACOSS	l ə k 'ɑ s
LACOSSE	l ɑ k 'ow s ij
LACOSTE	l ɑ k 'ɔ s t
LACOUNT	l ə k 'uw n t
LACOUR	l ə k 'ʊ ɹ
LACOURSE	l ə k 'ʊ ɹ s
LACOURSIERE	l 'æ k ʊ ɹ s ij ɛ ɹ
LACOUTURE	l 'æ k uw ʧ ə ɹ
LACOVARA	l ɑ k ow v 'ɑ ɹ ə
LACQUER	l 'æ k ə ɹ
LACQUERED	l 'æ k ə ɹ d
LACROIX	l ə k ɹ 'ɔj
LACROSS	l ə k ɹ 'ɔ s
LACROSSE	l ə k ɹ 'ɔ s
LACTASE	l 'æ k t ˌej s
LACTATE	l 'æ k t ej t
LACTATING	l 'æ k t ej t ɪ ŋ
LACTATION	l æ k t 'ej ʃ ə n
LACTEALS	l 'æ k t ˌij l z
LACTER	l 'æ k t ə ɹ
LACTIC	l 'æ k t ɪ k
LACTOBACILLUS	l ˌæ k t ow b ə s 'ɪ l ə s
LACTONE	l 'æ k t ow n
LACTOSE	l 'æ k t ow s
LACY	l 'ej s ij
LAD	l 'æ d
LADA	l 'ɑ d ə
LADAKH	l 'ɑ d ə k
LADAS	l 'ɑ d ə z
LADBROKE	l 'æ d b ɹ ˌow k
LADBROKE'S	l 'æ d b ɹ ˌow k s
LADD	l 'æ d
LADD'S	l 'æ d z
LADDER	l 'æ d ə ɹ
LADDERS	l 'æ d ə ɹ z
LADE	l 'ej d
LADEHOFF	l 'æ d ə h ɔ f
LADEN	l 'ej d ə n
LADENBURG	l 'ej d ə n b ə ɹ g
LADER	l 'ej d ə ɹ
LADEWIG	l 'æ d uw ɪ g
LADIES	l 'ej d ij z
LADIES'	l 'ej d ˌij z
LADING	l 'ej d ɪ ŋ
LADINO	l ə d 'ij n ow
LADISH	l ɑ d 'ɪ ʃ
LADLE	l 'ej d ə l
LADLED	l 'ej d ə l d
LADLES	l 'ej d ə l z
LADLEY	l 'æ d l ij
LADLING	l 'ej d l ɪ ŋ
LADNER	l 'æ d n ə ɹ
LADNIER	l 'æ d n ij ə ɹ
LADOUCEUR	l 'æ d uw s ə ɹ
LADOW	l 'æ d ow
LADS	l 'æ d z
LADSON	l 'æ d s ə n
LADUCA	l ɑ d 'uw k ə
LADUE	l 'ɑ d w ɛ
LADUKE	l ɑ d 'uw k ej
LADWIG	l 'æ d w ɪ g
LADY	l 'ej d ij
LADY'S	l 'ej d ij z
LADYBIRD	l 'ej d ij b ˌɛ ɹ d
LADYBUG	l 'ej d ij b ˌʌ g
LADYBUGS	l 'ej d ij b ˌʌ g z
LADYLIKE	l 'ej d ij l ˌaj k
LAENDERBANK	l 'æ n d ə ɹ b ˌæ ŋ k
LAEVO	l 'ej v ow
LAFALCE	l ɑ f 'æ l s ij
LAFALCE(1)	l ə f 'ɑ l s
LAFARGE	l ɑ f 'ɑ ɹ ʤ
LAFATA	l ɑ f 'ɑ t ə
LAFAUCI	l ɑ f 'ɔ ʧ ij
LAFAVE	l ə f 'ej v
LAFAVOR	l 'æ f ə v ə ɹ
LAFAVRE	l ə f 'ej v ə ɹ
LAFAYETTE	l ˌɑ f ij 'ɛ t
LAFAYETTE(1)	l ˌɑ f ej 'ɛ t
LAFER	l 'ej f ə ɹ
LAFERRIERE	l 'æ f ə ɹ ij ɛ ɹ
LAFEVER	l 'æ f ɛ v ə ɹ
LAFEVERS	l 'æ f ɛ v ə ɹ z
LAFEYETTE	l ˌɑ f ij 'ɛ t
LAFF	l 'æ f
LAFFER	l 'æ f ə ɹ
LAFFERTY	l 'æ f ə ɹ t ij
LAFFEY	l 'æ f ij
LAFFIN	l 'æ f ɪ n
LAFFITTE	l ə f 'ɪ t
LAFFOON	l ə f 'uw n
LAFITE	l ɑ f 'aj t
LAFITTE	l ə f 'ɪ t
LAFLAM	l ə f l 'æ m
LAFLAMME	l ˌæ f l 'æ m
LAFLECHE	l ə f l 'ɛ ʃ
LAFLER	l 'ej f ə l ə ɹ
LAFLER(1)	l 'ej f l ə ɹ
LAFLEUR	l ə f l 'ɛ ɹ
LAFLIN	l 'æ f l ɪ n
LAFOE	l ə f 'ow
LAFOLLETTE	l 'æ f ə l ɛ t
LAFON	l 'æ f ə n
LAFOND	l ə f 'ɑ n d
LAFONT	l ə f 'ɑ n t
LAFONTAINE	l 'æ f ə n t ˌej n
LAFONTANT	l ɑ f 'ɑ n t ə n t
LAFORCE	l ə f 'ɔ ɹ s
LAFOREST	l ə f 'ɔ ɹ ə s t
LAFORGE	l ə f 'ɔ ɹ g
LAFORTE	l ə f 'ɔ ɹ t
LAFORTUNE	l 'æ f ə ɹ t uw n
LAFOSSE	l ə f 'ɑ s
LAFOUNTAIN	l 'ɑ f ˌɑ n t 'ej n
LAFOUNTAINE	l 'ɑ f ˌɑ n t 'ej n
LAFOY	l ə f 'ɔj
LAFRAMBOISE	l ˌʌ f ɹ ˌæ m b w 'ɑ
LAFRANCE	l ə f ɹ 'æ n s
LAFRENIERE	l 'æ f ɹ ɪ n ij ɛ ɹ
LAFRENZ	l 'æ f ɹ ɪ n s
LAFUENTE	l ɑ f w 'ɛ n t ej
LAG	l 'æ g
LAGACE	l ɑ g 'ɑ ʧ ij
LAGAN	l 'æ g ə n
LAGANA	l ɑ g 'æ n ə
LAGARDE	l ɑ g 'ɑ ɹ d ij
LAGARDERE	l ɑ g ɑ ɹ d 'ɪ ɹ
LAGASSE	l ɑ g 'ɑ s ij
LAGATTUTA	l ɑ g ɑ t 'uw t ə
LAGE	l 'ej ʤ
LAGER	l 'ɑ g ə ɹ
LAGERFELD	l 'ɑ g ə ɹ f ɛ l d
LAGERFELD(1)	l 'ej g ə ɹ f ɛ l d
LAGERGREN	l 'ej g ə ɹ g ɹ ɛ n
LAGERQUIST	l 'ej g ə ɹ k w ɪ s t
LAGERSTROM	l 'ej g ə ɹ s t ɹ ə m
LAGESSE	l 'æ g ɛ s
LAGGARD	l 'æ g ə ɹ d
LAGGARDS	l 'æ g ə ɹ d z
LAGGED	l 'æ g d
LAGGING	l 'æ g ɪ ŋ
LAGLE	l 'ej g ə l
LAGNADO	l ˌɑ g n 'ɑ d ow
LAGO	l 'ɑ g ow
LAGOMARSINO	l ɑ g ˌow m ɑ ɹ s 'ij n ow
LAGOON	l ə g 'uw n
LAGOONS	l ə g 'uw n z
LAGOS	l 'ej g ɔ s
LAGOW	l 'æ g ow
LAGRANGE	l 'æ g ɹ ˌej n ʤ
LAGRECA	l ɑ g ɹ 'ɛ k ə
LAGROCERIA	l ɑ g ɹ ˌow s ə ɹ 'ij ˌʌ
LAGROCERIA(1)	l ə g ɹ ˌow s ə ɹ 'ij ˌʌ
LAGRONE	l ɑ g ɹ 'ow n ij
LAGROW	l 'æ g ɹ ˌow
LAGS	l 'æ g z
LAGUARDIA	l ə g w 'ɑ ɹ d ij ə
LAGUE	l 'ɑ g
LAGUNA	l ə g 'uw n ə
LAGUNAS	l ə g 'uw n ə z
LAHAIE	l 'æ h ij
LAHAIE(1)	l ə h 'aj
LAHAM	l 'æ h ə m
LAHAYE	l 'æ h ej
LAHEY	l 'ej h ij
LAHIFF	l 'æ h ɪ f
LAHM	l 'æ m
LAHMAN	l 'ɑ m ə n
LAHMANN	l 'ɑ m ə n
LAHN	l 'æ n
LAHOOD	l 'ɑ h ʊ d
LAHORE	l ɑ h 'ɔ ɹ
LAHR	l 'ɑ ɹ
LAHTI	l 'ɑ t ij
LAHUE	l 'æ h j uw
LAI	l 'aj
LAIB	l 'ej b
