word	prefix	stem	part of speech	french
moˋeˊmiˊseˊtsiˋ	moˋ	eˊmiˊseˊtsiˋ	NA	remplaçant.
moˋeˋŋˋ	moˋ	eˋŋˋ	NA	étranger, hôte.
moˋɛˊɲˊdʒɪˋniˊɛˋrɛˊ	moˋ	ɛˊɲˊdʒɪˋniˊɛˋrɛˊ	NA	ingénieur.
moˋɛˋpɔˋ	moˋ	ɛˋpɔˋ	NA	mine.
moˋeˊsɪˊmaˋnɪˋ	moˋ	eˊsɪˊmaˋnɪˋ	NA	Anglais.
moˋɛˊtaˊ	moˋ	ɛˊtaˊ	NA	grande jarre.
moˋɛˋtaˋpɪˋlɪˋ	moˋ	ɛˋtaˋpɪˋlɪˋ	NA	personne qui se tient devant (pour faire obstacle).
moˋeˋteˊleˊdiˊpɪˊlɪˋ	moˋ	eˋteˊleˊdiˊpɪˊlɪˋ	NA	chef, directeur, prédécesseur, président.
moˋeˋtiˋ	moˋ	eˋtiˋ	NA	voyageur, visiteur.
moˋeˋtsaˊnaˊ	moˋ	eˋtsaˊnaˊ	NA	garçon d'honneur, demoiselle d'honneur.
moˋɛˋtsɛˋ	moˋ	ɛˋtsɛˋ	NA	crinière.
moˋɸaˊxɔˊ	moˋ	ɸaˊxɔˊ	NA	provisions de voyage.
moˋɸaˊlʊˊdiˊ	moˋ	ɸaˊlʊˊdiˊ	NA	survivant.
moˋɸaˊlʊˊtsiˊ	moˋ	ɸaˊlʊˊtsiˊ	NA	sauveteur.
moˋɸaˋmaˋ	moˋ	ɸaˋmaˋ	NA	côté.
moˋɸaˊphaˊ	moˋ	ɸaˊphaˊ	NA	coteau.
moˋɸeˊeˊdiˊ	moˋ	ɸeˊeˊdiˊ	NA	balayeur.
moˋɸɪˋmeˋdiˋ	moˋ	ɸɪˋmeˋdiˋ	NA	défenseur.
moˋɸeˊŋˊŋwɪˊ	moˋ	ɸeˊŋˊŋwɪˊ	NA	perdant, vaincu.
moˋɸeˊɲiˊ	moˋ	ɸeˊɲiˊ	NA	gagnant, vainqueur.
moˋɸɛˋrɔˋ	moˋ	ɸɛˋrɔˋ	NA	mauvaise herbe.
moˋɸɪˋtiˋ	moˋ	ɸɪˋtiˋ	NA	passant.
moˋɸeˋtʊˋleˋdiˋ	moˋ	ɸeˋtʊˋleˋdiˋ	NA	traducteur.
moˋɸiˊkɛˊlaˊ	moˋ	ɸiˊkɛˊlaˊ	NA	rhume.
moˋɸiˊneˊ	moˋ	ɸiˊneˊ	NA	vin.
moˋɸiˊɲaˊnaˊ	moˋ	ɸiˊɲaˊnaˊ	NA	manche (d'outil).
moˋɸiˊriˊ	moˋ	ɸiˊriˊ	NA	anneau, collier. - mofiri wa monwana : bague.
moˋɸoˊdiˊsiˊ	moˋ	ɸoˊdiˊsiˊ	NA	guérisseur.
moˋɸʊˋraˊ	moˋ	ɸʊˋraˊ	NA	Français, protestant.
moˋɸuˊdiˊ	moˋ	ɸuˊdiˊ	NA	tireur.
moˋɸuˋɸuˋtsɔˋ	moˋ	ɸuˋɸuˋtsɔˋ	NA	sueur, transpiration.
moˋɸuˊlaˊ	moˋ	ɸuˊlaˊ	NA	avare.
moˋɸuˊlaˊ	moˋ	ɸuˊlaˊ	NA	bonne, servante.
moˋɸuˊlaˊriˊ	moˋ	ɸuˊlaˊriˊ	NA	successeur.
moˋɸuˊtaˊ		moˋɸuˊtaˊ	n	sorte, catégorie, espèce, genre, race, type, variété.
moˋxaˊ	moˋ	xaˊ	NA	qq'un de chez É
moˋxaˊdiˋkaˊ	moˋ	xaˊdiˋkaˊ	NA	rival, rivale.
moˋxaˊdiˋkaˊnɪˊ	moˋ	xaˊdiˋkaˊnɪˊ	NA	rival, rivale.
moˋxaˊkʊˊlʊˊdiˋ	moˋ	xaˊkʊˊlʊˊdiˋ	NA	conseiller.
moˋxaˋlaˋ	moˋ	xaˋlaˋ	NA	corde, ficelle, téléphone.
moˋxaˋlaˋleˋdiˋwaˊ	moˋ	xaˋlaˋleˋdiˋwaˊ	NA	personne dont on dit les louanges.
moˋxaˊlɪˊ	moˋ	xaˊlɪˊ	NA	brave.
moˋxaˊmiˊ	moˋ	xaˊmiˊ	NA	trayeur.
moˋxaˊneˊtsiˊ	moˋ	xaˊneˊtsiˊ	NA	adversaire.
moˋxaˊŋˋ	moˋ	xaˊŋˋ	NA	le jour o.
moˋxaˋnʊˊ	moˋ	xaˋnʊˊ	NA	tendon du cou.
moˋxaˋnɔˋ	moˋ	xaˋnɔˋ	NA	éclaircie.
moˋxaˋpaˋ	moˋ	xaˋpaˋ	NA	oeil mort.
moˋxaˊpiˊ	moˋ	xaˊpiˊ	NA	ravisseur.
moˋxaˊtɛˊlɔˊ	moˋ	xaˊtɛˊlɔˊ	NA	génisse.
moˋxaˊtiˊsiˊ	moˋ	xaˊtiˊsiˊ	NA	imprimeur.
moˋxaˋtaˊ	moˋ	xaˋtaˊ	NA	queue.
moˋxaˊtsaˊ	moˋ	xaˊtsaˊ	NA	pl. bo- : conjoint(e), époux, épouse, mari, femme.
moˋxaˊtsɛˊ	moˋ	xaˊtsɛˊ	NA	pl. bo- : son mari, sa femme.
moˋxaˊtsɔˋ	moˋ	xaˊtsɔˋ	NA	pl. bo- : ton mari, ta femme.
moˋxaˊuˊ	moˋ	xaˊuˊ	NA	plante vénéneuse.
moˋxeˋtʊˋ	moˋ	xeˋtʊˋ	NA	sorte de bouillie fermentée.
moˋxʊˊbaˊdiˊ	moˋ	xʊˊbaˊdiˊ	NA	victime.
moˋxʊˋbɪˊ	moˋ	xʊˋbɪˊ	NA	mare, flaque.
moˋxʊˊdiˊ	moˋ	xʊˊdiˊ	NA	personne âgée et respectable, ancien.
moˋxoˋdiˊriˊ	moˋ	xoˋdiˊriˊ	NA	arbre (sp).
moˋxʊˋdiˊriˊ	moˋ	xʊˋdiˊriˊ	NA	- nna mogodiri : ne pas être mûr (sorgho).
moˋxoˊduˊ	moˋ	xoˊduˊ	NA	estomac des ruminants.
moˋxɔˊxaˊ	moˋ	xɔˊxaˊ	NA	vache abattue á l'occasion de funérailles.
moˋxoˊxiˊ	moˋ	xoˊxiˊ	NA	fumeur.
moˋxoˊxiˊ	moˋ	xoˊxiˊ	NA	guide.
moˋxʊˋkxʊˊ	moˋ	xʊˋkxʊˊ	NA	principal (d'une école).
moˋxʊˊlaˊɸaˊdiˋ	moˋ	xʊˊlaˊɸaˊdiˋ	NA	blessé, victime.
moˋxʊˊlɛˋxwaˊ	moˋ	xʊˊlɛˋxwaˊ	NA	prisonnier.
moˋxʊˊlʊˊ	moˋ	xʊˊlʊˊ	NA	adulte, ancien.
moˋxʊˊlʊˊ	moˋ	xʊˊlʊˊ	NA	pl. bo- : frère ou soeur ainé de même sexe.
moˋxʊˊlʊˋlɪˊ	moˋ	xʊˊlʊˋlɪˊ	NA	pl. bo- : mon grand frère (par rapport á un garçon), ma grande soeur (par rapport á une fille).
moˋxoˋloˋdiˋ	moˋ	xoˋloˋdiˋ	NA	grue.
moˋxʊˊlʊˊdiˊ	moˋ	xʊˊlʊˊdiˊ	NA	libérateur.
moˋxʊˊlwaˋnɪˊ	moˋ	xʊˊlwaˋnɪˊ	NA	notable, supérieur.
moˋxʊˋmaˊ	moˋ	xʊˋmaˊ	NA	charrue, houe.
moˋxoˊmʊˊtsiˊ	moˋ	xoˊmʊˊtsiˊ	NA	consolateur.
moˋxɔˊnɔˋnɔˊ	moˋ	xɔˊnɔˋnɔˊ	NA	arbre (sp).
moˋxʊˋpɪˋ	moˋ	xʊˋpɪˋ	NA	cabane, case.
moˋxʊˊpʊˊ	moˋ	xʊˊpʊˊ	NA	assiette, bol. - mogopo o o tlhapelang : cuvette.
moˋxoˊpʊˊlɔˊ	moˋ	xoˊpʊˊlɔˊ	NA	pensée, avis, jugement, opinion, supposition.
moˋxʊˋrʊˋxʊˋrʊˋ	moˋ	xʊˋrʊˋxʊˋrʊˋ	NA	tunnel, vallée.
moˋxoˊteˊ	moˋ	xoˊteˊ	NA	chaleur, fièvre, température.
moˋxʊˊthaˊ	moˋ	xʊˊthaˊ	NA	couloir, piège.
moˋxoˊtoˊmʊˋduˊaˋnɪˊ	moˋ	xoˊtoˊmʊˋduˊaˋnɪˊ	NA	ver (sp).
moˋxʊˊtswaˊnaˊ	moˋ	xʊˊtswaˊnaˊ	NA	bol. - mogotswana wa molora : cendrier.
moˋxwaˊxaˋdiˊ	moˋ	xwaˊxaˋdiˊ	NA	beau-parent d'un homme.
moˋxwaˊnaˊ	moˋ	xwaˊnaˊ	NA	arbuste (sp).
moˋxwaˋŋˋ	moˋ	xwaˋŋˋ	NA	feuille de forme allongée et pointue.
moˋxwɛˊ	moˋ	xwɛˊ	NA	beau-fils.
moˋxweˋbiˋ	moˋ	xweˋbiˋ	NA	marchand.
moˋxwɪˋlɪˊ	moˋ	xwɪˋlɪˊ	NA	galago.
moˋheˊiˊtaˊnɪˋ	moˋ	heˊiˊtaˊnɪˋ	NA	incroyant, païen.
moˋhiˊriˊ	moˋ	hiˊriˊ	NA	employeur, locataire, patron.
moˋhiˊriˊsaˊniˋ	moˋ	hiˊriˊsaˊniˋ	NA	colocataire.
moˋhuˊbuˊ	moˋ	huˊbuˊ	NA	nombril, bouton de porte.
moˋhuˊmaˊxaˊdiˋ	moˋ	huˊmaˊxaˊdiˋ	NA	dame, madame, reine.
moˋhuˊmaˊxaˊtsaˋnaˋ	moˋ	huˊmaˊxaˊtsaˋnaˋ	NA	mademoiselle.
moˋhuˊmaˊneˊxiˋ	moˋ	huˊmaˊneˊxiˋ	NA	malheureux, pauvre.
moˋhuˊmiˊ	moˋ	huˊmiˊ	NA	riche.
moˋiˊkaˊɲeˊxiˋ	moˋ	iˊkaˊɲeˊxiˋ	NA	personne de confiance.
moˋiˊkeˊpiˊ	moˋ	iˊkeˊpiˊ	NA	rénégat.
moˋiˊkxaˊnˊtshiˊ	moˋ	iˊkxaˊnˊtshiˊ	NA	vantard.
moˋiˊkxʊˊdiˊsiˊ	moˋ	iˊkxʊˊdiˊsiˊ	NA	vantard.
moˋiˊkxoˊxoˊmʊˋsiˋ	moˋ	iˊkxoˊxoˊmʊˋsiˋ	NA	orgueilleux, prétentieux.
moˋiˊkoˊkoˊbeˊtsiˋ	moˋ	iˊkoˊkoˊbeˊtsiˋ	NA	modeste.
moˋiˊkuˊeˊdiˊ	moˋ	iˊkuˊeˊdiˊ	NA	plaignant.
moˋiˋlaˊ	moˋ	iˋlaˊ	NA	interdit, tabou.
moˋiˋmaˋnaˋ	moˋ	iˋmaˋnaˋ	NA	femme enceinte.
moˋiˊpɪˊlaˊɸaˋtsiˋ	moˋ	iˊpɪˊlaˊɸaˋtsiˋ	NA	vantard.
moˋiˊpʊˊlaˊiˊ	moˋ	iˊpʊˊlaˊiˊ	NA	suicidé.
moˋiˋsaˋnˋtɛˊ	moˋ	iˋsaˋnˋtɛˊ	NA	exportateur.
moˋiˊtaˊʊˊdiˋ	moˋ	iˊtaˊʊˊdiˋ	NA	personne qui n'en fait qu'á sa tête.
moˋiˊthaˊbuˊeˋtsiˋ	moˋ	iˊthaˊbuˊeˋtsiˋ	NA	plongeur.
moˋiˊthaˊʊˊpiˊ	moˋ	iˊthaˊʊˊpiˊ	NA	volontaire.
moˋiˊthaˊtiˊ	moˋ	iˊthaˊtiˊ	NA	égoiste.
moˋiˊtheˊbʊˊdiˊ	moˋ	iˊtheˊbʊˊdiˊ	NA	volontaire.
moˋiˊthuˊsiˊ	moˋ	iˊthuˊsiˊ	NA	profiteur.
moˋiˊthuˊtiˊ	moˋ	iˊthuˊtiˊ	NA	écolier, élève, étudiant.
moˋiˊtiˊmʊˊkaˋɲɪˋ	moˋ	iˊtiˊmʊˊkaˋɲɪˋ	NA	hypocrite.
moˋiˊtaˊmɔˊ	moˋ	iˊtaˊmɔˊ	NA	ceinture, façon d'attacher un vêtement.
moˋiˊthɔˊ	moˋ	iˊthɔˊ	NA	borgne.
moˋiˊtsɪˊdiˋkiˊtsɔˊ	moˋ	iˊtsɪˊdiˋkiˊtsɔˊ	NA	savant.
moˋiˊtsɪˋaˊnaˋpɪˊ	moˋ	iˊtsɪˋaˊnaˋpɪˊ	NA	expert, savant, spécialiste.
moˋiˊtsheˊpiˊ	moˋ	iˊtsheˊpiˊ	NA	saint.
moˋdʒaˊ	moˋ	dʒaˊ	NA	le côté droit. - -a moja : droit.
moˋdʒaˊbʊˋswaˊ	moˋ	dʒaˊbʊˋswaˊ	NA	héritier.
moˋdʒaˊdiˊ	moˋ	dʒaˊdiˊ	NA	semeur.
moˋdʒaˊkiˊ	moˋ	dʒaˊkiˊ	NA	travailleur migrant.
moˋdʒaˋkɔˋ	moˋ	dʒaˋkɔˋ	NA	porte.
moˋdʒaˊmʊˋnaˊtɪˊ	moˋ	dʒaˊmʊˋnaˊtɪˊ	NA	gourmand.
moˋdʒaˊnaˋlaˊ	moˋ	dʒaˊnaˋlaˊ	NA	visiteur, touriste.
moˋdʒɛˊlaˊ	moˋ	dʒɛˊlaˊ	NA	crédit, dette.
moˋdʒɪˊsaˊbʊˋduˊtuˊ	moˋ	dʒɪˊsaˊbʊˋduˊtuˊ	NA	raseur, casse-pieds.
moˋdʒiˊ	moˋ	dʒiˊ	NA	gros mangeur.
moˋdʒɔˊ	moˋ	dʒɔˊ	NA	nourriture, façon de manger.
moˋdʒuˊtaˊ	moˋ	dʒuˊtaˊ	NA	Juif.
moˋkaˊɪˊ	moˋ	kaˊɪˊ	NA	une personne de quelle origine?
moˋkaˋeˋdiˋ	moˋ	kaˋeˋdiˋ	NA	conseiller, guide.
moˋkaˊbaˊʊˋwaˊnɪˊ	moˋ	kaˊbaˊʊˋwaˊnɪˊ	NA	antilope (sp).
moˋkaˋiˋdiˋ	moˋ	kaˋiˋdiˋ	NA	flâneur.
moˋkaˋlaˋ	moˋ	kaˋlaˋ	NA	arbre (sp).
moˋkaˊlaˊkaˊ	moˋ	kaˊlaˊkaˊ	NA	Kalanga.
moˋkaˋlʊˋbaˋ	moˋ	kaˋlʊˋbaˋ	NA	costaud.
moˋkaˊɔˊ	moˋ	kaˊɔˊ	NA	corde pour entraver une vache qu'on trait.
moˋkaˋraˋxaˋnaˋ	moˋ	kaˋraˋxaˋnaˋ	NA	- ja mokaragana : gambader joyeusement.
moˋkaˊrɔˊ	moˋ	kaˊrɔˊ	NA	petit-lait.
moˋkaˊtaˊkɔˊ	moˋ	kaˊtaˊkɔˊ	NA	terrasse, seuil, marche.
moˋkaˋtiˋsiˋ	moˋ	kaˋtiˋsiˋ	NA	entraineur.
moˋkaˊuˊlɪˊŋwɪˋ	moˋ	kaˊuˊlɪˊŋwɪˋ	NA	associé, collègue.
moˋkaˋjaˋtsɪˋlaˋ	moˋ	kaˋjaˋtsɪˋlaˋ	NA	guide.
moˋkɛˊnˊtɛˊlɔˋ	moˋ	kɛˊnˊtɛˊlɔˋ	NA	vaccination.
moˋkɛˊnˊtɔˊ	moˋ	kɛˊnˊtɔˊ	NA	piqûre.
moˋkɪˋreˊsɪˋtɪˊ	moˋ	kɪˋreˊsɪˋtɪˊ	NA	chrétien.
moˋkɪˊtɪˊ	moˋ	kɪˊtɪˊ	NA	fête.
moˋkxaˋbiˋsiˋ	moˋ	kxaˋbiˋsiˋ	NA	décorateur.
moˋkxaˋbiˋsɔˋ	moˋ	kxaˋbiˋsɔˋ	NA	décoration.
moˋkxaˋbɔˋ	moˋ	kxaˋbɔˋ	NA	ornement.
moˋkxaˊdiˊ	moˋ	kxaˊdiˊ	NA	opposant.
moˋkxaˋlaˋxaˋdiˋ	moˋ	kxaˋlaˋxaˋdiˋ	NA	Kgalagadi.
moˋkxaˊlɔˊ	moˋ	kxaˊlɔˊ	NA	arbre (sp).
moˋkxaˋnˋtsuˊtswaˋnɪˊ	moˋ	kxaˋnˋtsuˊtswaˋnɪˊ	NA	lézard.
moˋkxaˊphiˊ	moˋ	kxaˊphiˊ	NA	affaire.
moˋkxaˊtheˊxeˊdiˋ	moˋ	kxaˊtheˊxeˊdiˋ	NA	admirateur.
moˋkxaˋthɔˋ	moˋ	kxaˋthɔˋ	NA	association, club, mouvement, organisation.
moˋkxaˋtshaˋ	moˋ	kxaˋtshaˋ	NA	vallée.
moˋkxɛˊkxɛˊthɔˊ	moˋ	kxɛˊkxɛˊthɔˊ	NA	moitié d'animal abattu.
moˋkxeˋthiˋ	moˋ	kxeˋthiˋ	NA	contribuable.
moˋkxeˋthiˋsaˋdiˋthʊˊtʊˊ	moˋ	kxeˋthiˋsaˋdiˋthʊˊtʊˊ	NA	douanier.
moˋkxʊˊbɛˊ	moˋ	kxʊˊbɛˊ	NA	tas.
moˋkxoˊkʊˋlʊˊsaˊ	moˋ	kxoˊkʊˋlʊˊsaˊ	NA	pente raide.
moˋkxɔˋrɔˋ	moˋ	kxɔˋrɔˋ	NA	cabane, case, hutte.
moˋkxoˊsiˊ	moˋ	kxoˊsiˊ	NA	grand cri, appel au secours.
moˋkxoˊthiˊ	moˋ	kxoˊthiˊ	NA	manche (d'outil), poignée.
moˋkxwaˊ	moˋ	kxwaˊ	NA	manière, coutume, façon, habitude, méthode, mode, moyen, style, usage. - nna mokgwa : être habituel. - mokgwa wa puo : accent.
moˋkxwaˋrɔˋ	moˋ	kxwaˋrɔˋ	NA	trait.
moˋkxwaˋrɔˋ	moˋ	kxwaˋrɔˋ	NA	allumette.
moˋkxwaˋsaˊ	moˋ	kxwaˋsaˊ	NA	bruit léger.
moˋkxwɛˊbaˊ	moˋ	kxwɛˊbaˊ	NA	oiseau (sp).
moˋkxweˊeˊtsiˊ	moˋ	kxweˊeˊtsiˊ	NA	chauffeur, conducteur.
moˋkxwɪˋlɪˋɔˋ	moˋ	kxwɪˋlɪˋɔˋ	NA	charge, poids.
moˋkheˊmiˋsiˊ	moˋ	kheˊmiˋsiˊ	NA	pharmacien.
moˋkhɛˊnɛˊkɛˊ	moˋ	khɛˊnɛˊkɛˊ	NA	mécanicien.
moˋkɔˊ	moˋ	kɔˊ	NA	molle.
moˋkʊˊaˊ	moˋ	kʊˊaˊ	NA	pile, tas.
moˋkoˋduˋɛˋ	moˋ	koˋduˋɛˋ	NA	animal maigre. - nna mokodue : être maigre (animal).
moˋkʊˊkʊˊ	moˋ	kʊˊkʊˊ	NA	coq.
moˋkɔˋkɔˋtɔˋ	moˋ	kɔˋkɔˋtɔˋ	NA	colonne vertébrale.
moˋkɔˋlaˋ	moˋ	kɔˋlaˋ	NA	saignement de nez.
moˋkʊˋlaˋnɪˋ	moˋ	kʊˋlaˋnɪˋ	NA	palmier.
moˋkoˊloˊbeˊtsiˋ	moˋ	koˊloˊbeˊtsiˋ	NA	personne qui baptise.
moˋkʊˋmaˊkʊˋmaˊnɪˊ	moˋ	kʊˋmaˊkʊˋmaˊnɪˊ	NA	averse.
mʊˊkʊˊnaˊ		mʊˊkʊˊnaˊ	v	sucer.
moˋkʊˊŋˊ	moˋ	kʊˊŋˊ	NA	montée, côte. - nna mokong : monter (route).
moˋkʊˋpiˋ	moˋ	kʊˋpiˋ	NA	mendiant.
moˋkɔˊrɔˊ	moˋ	kɔˊrɔˊ	NA	barque, pirogue.
moˋkwaˊdiˊ	moˋ	kwaˊdiˊ	NA	auteur, écrivain.
moˋkwaˊlaˊdiˋkxaˊŋˊ	moˋ	kwaˊlaˊdiˋkxaˊŋˊ	NA	journaliste.
moˋkwaˊleˊdiˊ	moˋ	kwaˊleˊdiˊ	NA	secrétaire.
moˋkwaˊlɔˊ	moˋ	kwaˊlɔˊ	NA	écriture, inscription, orthographe.
moˋkwaˋtaˋ	moˋ	kwaˋtaˋ	NA	dos, dossier.
moˋkwɛˊpaˊ	moˋ	kwɛˊpaˊ	NA	serpent (sp).
moˋlaˋ	moˋ	laˋ	NA	queue, rang.
moˋlaˋeˋtsaˊ	moˋ	laˋeˋtsaˊ	NA	message, communication.
moˋlaˋlaˋ	moˋ	laˋlaˋ	NA	cou.
moˋlaˊleˊdiˋwaˊ	moˋ	laˊleˊdiˋwaˊ	NA	invité.
moˋlaˋmuˊ	moˋ	laˋmuˊ	NA	gourdin.
moˋlaˋɔˋ	moˋ	laˋɔˋ	NA	loi, réglement.
moˋlaˋʊˋdiˋ	moˋ	laˋʊˋdiˋ	NA	dirigeant, commandant, patron, préfet.
moˋlaˋpɔˋ	moˋ	laˋpɔˋ	NA	rivière.
moˋlaˋteˋdiˋ	moˋ	laˋteˋdiˋ	NA	adhérent, disciple.
moˋlaˊthɛˊxɛˋlwaˊ	moˋ	laˊthɛˊxɛˋlwaˊ	NA	perdant.
moˋlaˊtheˊxiˊ	moˋ	laˊtheˊxiˊ	NA	personne égarée.
moˋlaˋtʊˊ	moˋ	laˋtʊˊ	NA	défaut, dette, péché.
moˋlaˋtʊˋɸaˋdiˋwaˊ	moˋ	laˋtʊˋɸaˋdiˋwaˊ	NA	accusé.
moˋlaˋtswaˋnaˋ	moˋ	laˋtswaˋnaˋ	NA	ruisseau.
moˋlaˋwaˋnaˋ	moˋ	laˋwaˋnaˋ	NA	réglement.
moˋlɪˋbaˋdiˋ	moˋ	lɪˋbaˋdiˋ	NA	distrait.
moˋlɪˊbeˊleˊdiˋ	moˋ	lɪˊbeˊleˊdiˋ	NA	contrôleur, observateur, surveillant, veilleur.
moˋlɪˋkaˋnɪˋ	moˋ	lɪˋkaˋnɪˋ	NA	camarade, copain.
moˋlɪˊkwaˊ	moˋ	lɪˊkwaˊ	NA	personne á l'essai, stagiaire.
moˋlɪˋlɔˋ	moˋ	lɪˋlɔˋ	NA	feu. - nna molelo : être brûlant, être chaud.
moˋlɪˊlwaˋnɪˊ	moˋ	lɪˊlwaˋnɪˊ	NA	frontière, limite, marge.
moˋlɛˊmaˊ	moˋ	lɛˊmaˊ	NA	main gauche, côté gauche. - nna molema : être gaucher, manquer de symétrie, être mauvais. - -a molema : gauche.
moˋlɪˋmiˋ	moˋ	lɪˋmiˋ	NA	agriculteur, cultivateur, laboureur.
moˋlɪˋmiˋ	moˋ	lɪˋmiˋ	NA	exploitant agricole.
moˋlɪˋmɔˋ	moˋ	lɪˋmɔˋ	NA	médicament, avantage, bien, bonté, fétiche. - nna molemo : être bon.
moˋleˊoˊɸiˊ	moˋ	leˊoˊɸiˊ	NA	pécheur.
moˋlɪˋpiˋ	moˋ	lɪˋpiˋ	NA	observateur.
moˋlɪˋpɔˋ	moˋ	lɪˋpɔˋ	NA	anse, poignée.
moˋlɪˋtiˋ	moˋ	lɪˋtiˋ	NA	surveillant.
moˋleˋtaˋɲiˋ	moˋ	leˋtaˋɲiˋ	NA	conciliateur.
moˋlɪˋtɔˋ	moˋ	lɪˋtɔˋ	NA	fête, réception.
moˋlɪˋtsiˋ	moˋ	lɪˋtsiˋ	NA	musicien, joueur.
moˋlɪˋtsɔˋ	moˋ	lɪˋtsɔˋ	NA	musique, rythme.
moˋloˊdiˊ	moˋ	loˊdiˊ	NA	air, siffement.
moˋlʊˋxiˋ	moˋ	lʊˋxiˋ	NA	coiffeur, tisserand.
moˋlʊˋxɔˋ	moˋ	lʊˋxɔˋ	NA	coiffure, natte, tissage, tresse, tricot.
moˋloˋiˋ	moˋ	loˋiˋ	NA	sorcier.
moˋlʊˊmaˊtsɛˋbɛˊ	moˋ	lʊˊmaˊtsɛˋbɛˊ	NA	informateur.
moˋloˋmʊˋ	moˋ	loˋmʊˋ	NA	bouche, bec, gueule.
moˋlʊˊmɔˊ	moˋ	lʊˊmɔˊ	NA	morsure, piqûre.
moˋlɔˋraˋ	moˋ	lɔˋraˋ	NA	cendre, savon.
moˋloˊriˊ	moˋ	loˊriˊ	NA	rêveur.
moˋlʊˋthaˋɲiˋ	moˋ	lʊˋthaˋɲiˋ	NA	personne qui sème la zizanie.
moˋlɔˋtsaˋnaˋ	moˋ	lɔˋtsaˋnaˋ	NA	charlatan.
moˋlwɛˋlaˊ	moˋ	lwɛˋlaˊ	NA	défenseur.
moˋlweˊtsɪˊ	moˋ	lweˊtsɪˊ	NA	malade, patient.
mʊˊmaˊ		mʊˊmaˊ	v	- moma molomo : se taire.
mʊˊmaˊxaˊɲaˋ		mʊˊmaˊxaˊɲaˋ	v	monter.
mʊˊmaˊxaˊɲɔˋ		mʊˊmaˊxaˊɲɔˋ	NA	montage.
moˋmɪˋlaˋ	moˋ	mɪˋlaˋ	NA	grains qu'on fait germer pour préparer la bière.
moˋmɪˋnɔˋ	moˋ	mɪˋnɔˋ	NA	pli, ourlet, pliure.
moˋmɪˋtsɔˋ	moˋ	mɪˋtsɔˋ	NA	gorge.
moˋmɔˊ	moˋ	mɔˊ	NA	tibia.
mʊˊmʊˊlʊˊlaˋ		mʊˊmʊˊlʊˊlaˋ	v	- momolola molomo : ouvrir la bouche.
moˋmʊˊmaˊxaˊɲiˋ	moˋ	mʊˊmaˊxaˊɲiˋ	NA	monteur.
mʊˊnaˊ		mʊˊnaˊ	v	sucer.
moˋnaˋxeˋŋˋ	moˋ	naˋxeˋŋˋ	NA	paysan.
moˋnaˋmɔˋ	moˋ	naˋmɔˋ	NA	plante rampante.
moˋnaˋŋˊ	moˋ	naˋŋˊ	NA	moustique.
moˋnaˊtɪˊ	moˋ	naˊtɪˊ	NA	bien-être, plaisir. - nna monate : être agréable, bon, délicieux. - ja monate : se réjouir. - jesa monate : réjouir.
moˋŋˊ	moˋ	ŋˊ	NA	maitre, propriétaire. - pl. beng
moˋŋaˊtɔˊ	moˋ	ŋaˊtɔˊ	NA	cache-sexe, couche (de bébé).
moˋŋˊxaˊɪˊ	moˋ	ŋˊxaˊɪˊ	NA	maitre de maison, hôte.
moˋŋoˊŋoˊreˊxiˋ	moˋ	ŋoˊŋoˊreˊxiˋ	NA	râleur, rouspéteur.
moˋŋwɪˋ	moˋ	ŋwɪˋ	NA	quelqu'un. - mongwe le mongwe : chacun.
moˋŋˋkaˋnɪˋ	moˋ	ŋˋkaˋnɪˋ	NA	copain.
moˋŋˋkɔˊ	moˋ	ŋˋkɔˊ	NA	odeur, parfum.
moˋnˊnaˊ	moˋ	nˊnaˊ	NA	homme, époux, mari.
moˋnˊnaˊ	moˋ	nˊnaˊ	NA	pl. bo- : frère ou soeur cadet de même sexe.
moˋnˊnaˊmʊˋxʊˊlʊˊ	moˋ	nˊnaˊmʊˋxʊˊlʊˊ	NA	homme d'âge mûr.
moˋnˊniˊ	moˋ	nˊniˊ	NA	habitant, citoyen.
moˊnʊˊ		moˊnʊˊ	NA	ici.
moˋnɔˊ	moˋ	nɔˊ	NA	façon de boire.
moˋnɔˋ	moˋ	nɔˋ	NA	façon de pleuvoir.
moˋnɔˋ	moˋ	nɔˋ	NA	doigt, pouce.
moˋnɔˊkɛˊlaˊ	moˋ	nɔˊkɛˊlaˊ	NA	- ka monokela : peu á peu.
moˋnʊˊŋwaˋxaˊ	moˋ	nʊˊŋwaˋxaˊ	NA	l'année en cours.
moˋnɔˋnɔˋ	moˋ	nɔˋnɔˋ	NA	embonpoint.
moˋnɔˋtɔˋ	moˋ	nɔˋtɔˋ	NA	griffe.
moˋnˋtsaˋnaˋ	moˋ	nˋtsaˋnaˋ	NA	moustique.
moˋnˋtshʊˋ	moˋ	nˋtshʊˋ	NA	Noir.
moˋnwaˋnaˋ	moˋ	nwaˋnaˋ	NA	doigt.
moˋɲaˊdiˊ	moˋ	ɲaˊdiˊ	NA	marié.
moˋɲaˊdiˋwaˊ	moˋ	ɲaˊdiˋwaˊ	NA	mariée.
moˋɲaˊlwaˊ	moˋ	ɲaˊlwaˊ	NA	mariée.
moˋɲaˋtsiˋ	moˋ	ɲaˋtsiˋ	NA	personne méprisante.
mʊˊɲɛˊlaˊ		mʊˊɲɛˊlaˊ	v	aspirer.
